ops/s, hits/s, miss/s, latency, KB/s
81536.99, 33033.1514286, 41090.4842857, 0.756142857143, 3148.68571429
42758.3871429, 8142.25857143, 30728.5271429, 0.732071428571, 1651.17571429
29492.1014286, 6411.82142857, 20398.8771429, 0.675380952381, 1138.88142857
22538.7528571, 4769.7675, 15719.7678571, 0.707285714286, 870.367142857
18049.5357143, 3978.18942857, 12430.2954286, 0.664342857143, 697.011428571
14633.942619, 3941.34785714, 9362.11428571, 0.550738095238, 565.119047619
12933.3134694, 3054.59040816, 8702.84857143, 0.616571428571, 499.440408163
11851.5185714, 2532.82375, 8241.16375, 0.676178571429, 457.664642857
9491.30634921, 2960.98603175, 5667.41507937, 0.423253968254, 366.531904762
8874.76928571, 2636.26357143, 5431.64757143, 0.453642857143, 342.720857143
8220.19805195, 2295.94753247, 5176.89766234, 0.496649350649, 317.442597403
7836.06416667, 2206.0975, 4917.53702381, 0.51719047619, 302.606904762
