[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       54186 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      107481 ops,   53288 (avg:   53740) ops/sec, 1.96MB/sec (avg: 1.98MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 10%,   3 secs]  1 threads:      159781 ops,   52294 (avg:   53258) ops/sec, 1.93MB/sec (avg: 1.96MB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 13%,   4 secs]  1 threads:      213551 ops,   53762 (avg:   53384) ops/sec, 1.98MB/sec (avg: 1.97MB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 17%,   5 secs]  1 threads:      265781 ops,   52223 (avg:   53152) ops/sec, 1.92MB/sec (avg: 1.96MB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 20%,   6 secs]  1 threads:      318406 ops,   52618 (avg:   53063) ops/sec, 1.94MB/sec (avg: 1.96MB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 23%,   7 secs]  1 threads:      372035 ops,   53623 (avg:   53143) ops/sec, 1.98MB/sec (avg: 1.96MB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 27%,   8 secs]  1 threads:      424384 ops,   52341 (avg:   53043) ops/sec, 1.93MB/sec (avg: 1.95MB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 30%,   9 secs]  1 threads:      477156 ops,   52768 (avg:   53012) ops/sec, 1.94MB/sec (avg: 1.95MB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 33%,  10 secs]  1 threads:      535812 ops,   58650 (avg:   53576) ops/sec, 2.16MB/sec (avg: 1.97MB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 37%,  11 secs]  1 threads:      590565 ops,   54746 (avg:   53682) ops/sec, 2.02MB/sec (avg: 1.98MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  1 threads:      643858 ops,   53287 (avg:   53649) ops/sec, 1.96MB/sec (avg: 1.98MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:      697438 ops,   53575 (avg:   53644) ops/sec, 1.97MB/sec (avg: 1.98MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:      751212 ops,   53767 (avg:   53653) ops/sec, 1.98MB/sec (avg: 1.98MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 50%,  15 secs]  1 threads:      803367 ops,   52149 (avg:   53552) ops/sec, 1.92MB/sec (avg: 1.97MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 53%,  16 secs]  1 threads:      857440 ops,   54066 (avg:   53584) ops/sec, 1.99MB/sec (avg: 1.97MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  1 threads:      910535 ops,   53088 (avg:   53555) ops/sec, 1.96MB/sec (avg: 1.97MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  1 threads:      964246 ops,   53705 (avg:   53564) ops/sec, 1.98MB/sec (avg: 1.97MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 63%,  19 secs]  1 threads:     1020008 ops,   55756 (avg:   53679) ops/sec, 2.05MB/sec (avg: 1.98MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 67%,  20 secs]  1 threads:     1072512 ops,   52498 (avg:   53620) ops/sec, 1.93MB/sec (avg: 1.98MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 70%,  21 secs]  1 threads:     1125871 ops,   53352 (avg:   53607) ops/sec, 1.97MB/sec (avg: 1.98MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 73%,  22 secs]  1 threads:     1181737 ops,   55859 (avg:   53710) ops/sec, 2.06MB/sec (avg: 1.98MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 77%,  23 secs]  1 threads:     1239300 ops,   57556 (avg:   53877) ops/sec, 2.12MB/sec (avg: 1.99MB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 80%,  24 secs]  1 threads:     1292495 ops,   53189 (avg:   53848) ops/sec, 1.96MB/sec (avg: 1.98MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 83%,  25 secs]  1 threads:     1346395 ops,   53893 (avg:   53850) ops/sec, 1.99MB/sec (avg: 1.98MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 87%,  26 secs]  1 threads:     1400750 ops,   54348 (avg:   53869) ops/sec, 2.00MB/sec (avg: 1.98MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 90%,  27 secs]  1 threads:     1455315 ops,   54560 (avg:   53895) ops/sec, 2.01MB/sec (avg: 1.99MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 93%,  28 secs]  1 threads:     1508724 ops,   53406 (avg:   53877) ops/sec, 1.97MB/sec (avg: 1.99MB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 97%,  29 secs]  1 threads:     1561257 ops,   52528 (avg:   53831) ops/sec, 1.94MB/sec (avg: 1.98MB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 100%,  30 secs]  0 threads:     1614681 ops,   52528 (avg:   53822) ops/sec, 1.94MB/sec (avg: 1.98MB/sec),  0.19 (avg:  0.18) msec latency

1         Threads
10        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        4735.28          ---          ---      0.18600       346.82
Gets       47351.09     46885.80       465.29      0.18300      1618.45
Totals     52086.37     46885.80       465.29      0.18300      1965.27


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.050      0.00007
GET       0.051      0.00020
GET       0.054      0.00034
GET       0.055      0.00048
GET       0.056      0.00061
GET       0.057      0.00109
GET       0.058      0.00170
GET       0.059      0.00252
GET       0.060      0.00307
GET       0.061      0.00422
GET       0.062      0.00552
GET       0.063      0.00661
GET       0.064      0.00777
GET       0.065      0.00967
GET       0.066      0.01199
GET       0.067      0.01526
GET       0.068      0.01860
GET       0.069      0.02398
GET       0.070      0.02957
GET       0.071      0.03577
GET       0.072      0.04224
GET       0.073      0.05014
GET       0.074      0.06002
GET       0.075      0.07187
GET       0.076      0.08373
GET       0.077      0.09728
GET       0.078      0.11581
GET       0.079      0.13775
GET       0.080      0.16275
GET       0.081      0.19048
GET       0.082      0.22270
GET       0.083      0.25976
GET       0.084      0.30697
GET       0.085      0.36025
GET       0.086      0.41836
GET       0.087      0.48859
GET       0.088      0.56557
GET       0.089      0.65611
GET       0.090      0.75176
GET       0.091      0.86287
GET       0.092      0.98046
GET       0.093      1.11548
GET       0.094      1.26529
GET       0.095      1.43090
GET       0.096      1.61082
GET       0.097      1.79769
GET       0.098      2.00962
GET       0.099      2.23110
GET       0.100      3.53481
GET       0.110      6.95823
GET       0.120     11.58652
GET       0.130     18.22620
GET       0.140     27.57283
GET       0.150     38.59364
GET       0.160     49.08954
GET       0.170     58.25680
GET       0.180     65.82489
GET       0.190     71.89334
GET       0.200     76.57027
GET       0.210     79.96147
GET       0.220     82.48809
GET       0.230     84.43831
GET       0.240     86.08599
GET       0.250     87.54155
GET       0.260     88.85459
GET       0.270     90.06020
GET       0.280     91.21847
GET       0.290     92.33320
GET       0.300     93.39111
GET       0.310     94.32811
GET       0.320     95.15508
GET       0.330     95.88218
GET       0.340     96.50443
GET       0.350     97.02920
GET       0.360     97.46275
GET       0.370     97.81489
GET       0.380     98.10537
GET       0.390     98.35212
GET       0.400     98.55745
GET       0.410     98.72749
GET       0.420     98.87069
GET       0.430     99.00299
GET       0.440     99.11941
GET       0.450     99.21935
GET       0.460     99.30873
GET       0.470     99.38790
GET       0.480     99.45623
GET       0.490     99.52088
GET       0.500     99.57831
GET       0.510     99.62504
GET       0.520     99.66857
GET       0.530     99.70372
GET       0.540     99.73370
GET       0.550     99.76245
GET       0.560     99.78731
GET       0.570     99.80973
GET       0.580     99.83146
GET       0.590     99.85012
GET       0.600     99.86627
GET       0.610     99.87894
GET       0.620     99.89434
GET       0.630     99.90646
GET       0.640     99.91879
GET       0.650     99.92867
GET       0.660     99.93589
GET       0.670     99.94495
GET       0.680     99.95061
GET       0.690     99.95613
GET       0.700     99.96069
GET       0.710     99.96403
GET       0.720     99.96675
GET       0.730     99.96962
GET       0.740     99.97111
GET       0.750     99.97275
GET       0.760     99.97391
GET       0.770     99.97527
GET       0.780     99.97609
GET       0.790     99.97731
GET       0.800     99.97800
GET       0.810     99.97888
GET       0.820     99.97929
GET       0.830     99.97990
GET       0.840     99.98038
GET       0.850     99.98092
GET       0.860     99.98127
GET       0.870     99.98133
GET       0.880     99.98195
GET       0.890     99.98229
GET       0.900     99.98270
GET       0.910     99.98304
GET       0.920     99.98317
GET       0.930     99.98338
GET       0.940     99.98358
GET       0.950     99.98372
GET       0.960     99.98406
GET       0.970     99.98447
GET       0.980     99.98481
GET       0.990     99.98508
GET       1.000     99.98644
GET       1.100     99.98910
GET       1.200     99.99053
GET       1.300     99.99128
GET       1.400     99.99203
GET       1.500     99.99312
GET       1.600     99.99373
GET       1.700     99.99448
GET       1.800     99.99496
GET       1.900     99.99516
GET       2.000     99.99537
GET       2.100     99.99571
GET       2.200     99.99591
GET       2.300     99.99625
GET       2.400     99.99666
GET       2.500     99.99707
GET       2.600     99.99727
GET       2.700     99.99762
GET       2.800     99.99782
GET       3.000     99.99809
GET       3.200     99.99864
GET       3.300     99.99891
GET       3.400     99.99905
GET       3.500     99.99911
GET       3.600     99.99925
GET       3.700     99.99966
GET       3.800     99.99973
GET       4.200     99.99986
GET       5.200     99.99993
GET       5.300    100.00000
