[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       58519 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      116795 ops,   58268 (avg:   58397) ops/sec, 2.15MB/sec (avg: 2.15MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 10%,   3 secs]  1 threads:      175504 ops,   58701 (avg:   58499) ops/sec, 2.16MB/sec (avg: 2.16MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  1 threads:      234639 ops,   59127 (avg:   58656) ops/sec, 2.18MB/sec (avg: 2.16MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 17%,   5 secs]  1 threads:      293430 ops,   58784 (avg:   58681) ops/sec, 2.17MB/sec (avg: 2.16MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 20%,   6 secs]  1 threads:      352609 ops,   59172 (avg:   58763) ops/sec, 2.18MB/sec (avg: 2.17MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 23%,   7 secs]  1 threads:      412022 ops,   59406 (avg:   58855) ops/sec, 2.19MB/sec (avg: 2.17MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 27%,   8 secs]  1 threads:      470918 ops,   58889 (avg:   58859) ops/sec, 2.17MB/sec (avg: 2.17MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 30%,   9 secs]  1 threads:      529296 ops,   58371 (avg:   58805) ops/sec, 2.15MB/sec (avg: 2.17MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 33%,  10 secs]  1 threads:      588598 ops,   59295 (avg:   58854) ops/sec, 2.18MB/sec (avg: 2.17MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 37%,  11 secs]  1 threads:      649075 ops,   60469 (avg:   59001) ops/sec, 2.23MB/sec (avg: 2.17MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      709186 ops,   60104 (avg:   59093) ops/sec, 2.21MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      768663 ops,   59469 (avg:   59122) ops/sec, 2.19MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      827010 ops,   58340 (avg:   59066) ops/sec, 2.15MB/sec (avg: 2.18MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      886173 ops,   59156 (avg:   59072) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      946481 ops,   60300 (avg:   59149) ops/sec, 2.22MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  1 threads:     1005386 ops,   58898 (avg:   59134) ops/sec, 2.17MB/sec (avg: 2.18MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:     1064151 ops,   58758 (avg:   59113) ops/sec, 2.16MB/sec (avg: 2.18MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 63%,  19 secs]  1 threads:     1123230 ops,   59072 (avg:   59111) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:     1183937 ops,   60700 (avg:   59190) ops/sec, 2.24MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  1 threads:     1244287 ops,   60342 (avg:   59245) ops/sec, 2.22MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 73%,  22 secs]  1 threads:     1303374 ops,   59080 (avg:   59238) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  1 threads:     1362571 ops,   59190 (avg:   59235) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  1 threads:     1421860 ops,   59282 (avg:   59237) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  1 threads:     1481025 ops,   59158 (avg:   59234) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:     1539828 ops,   58795 (avg:   59217) ops/sec, 2.17MB/sec (avg: 2.18MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  1 threads:     1599159 ops,   59324 (avg:   59221) ops/sec, 2.19MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  1 threads:     1658271 ops,   59104 (avg:   59217) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:     1717352 ops,   59074 (avg:   59212) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:     1776003 ops,   59074 (avg:   59199) ops/sec, 2.18MB/sec (avg: 2.18MB/sec),  0.23 (avg:  0.23) msec latency

1         Threads
14        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5382.09          ---          ---      0.23700       394.20
Gets       53817.86     53208.12       609.73      0.23300      1839.48
Totals     59199.94     53208.12       609.73      0.23400      2233.67


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00006
GET       0.064      0.00012
GET       0.065      0.00019
GET       0.068      0.00025
GET       0.069      0.00050
GET       0.070      0.00074
GET       0.071      0.00099
GET       0.072      0.00124
GET       0.073      0.00161
GET       0.074      0.00198
GET       0.075      0.00235
GET       0.076      0.00291
GET       0.077      0.00322
GET       0.078      0.00359
GET       0.079      0.00452
GET       0.080      0.00582
GET       0.081      0.00694
GET       0.082      0.00836
GET       0.083      0.01022
GET       0.084      0.01270
GET       0.085      0.01511
GET       0.086      0.01833
GET       0.087      0.02162
GET       0.088      0.02645
GET       0.089      0.03171
GET       0.090      0.03691
GET       0.091      0.04360
GET       0.092      0.05184
GET       0.093      0.06051
GET       0.094      0.07135
GET       0.095      0.08331
GET       0.096      0.09569
GET       0.097      0.10988
GET       0.098      0.12375
GET       0.099      0.14338
GET       0.100      0.26689
GET       0.110      0.72652
GET       0.120      1.63879
GET       0.130      3.31382
GET       0.140      6.13896
GET       0.150     10.45264
GET       0.160     16.18591
GET       0.170     23.22922
GET       0.180     31.13017
GET       0.190     39.30996
GET       0.200     47.10029
GET       0.210     53.79551
GET       0.220     59.37450
GET       0.230     64.02381
GET       0.240     68.00172
GET       0.250     71.55431
GET       0.260     74.64634
GET       0.270     77.33720
GET       0.280     79.68220
GET       0.290     81.71622
GET       0.300     83.46891
GET       0.310     84.97300
GET       0.320     86.28507
GET       0.330     87.45680
GET       0.340     88.58331
GET       0.350     89.66765
GET       0.360     90.72392
GET       0.370     91.72514
GET       0.380     92.67816
GET       0.390     93.58895
GET       0.400     94.44188
GET       0.410     95.22124
GET       0.420     95.90577
GET       0.430     96.51133
GET       0.440     97.04386
GET       0.450     97.50715
GET       0.460     97.89810
GET       0.470     98.23194
GET       0.480     98.51741
GET       0.490     98.75426
GET       0.500     98.95332
GET       0.510     99.12260
GET       0.520     99.25273
GET       0.530     99.36217
GET       0.540     99.45161
GET       0.550     99.52426
GET       0.560     99.58669
GET       0.570     99.63891
GET       0.580     99.68524
GET       0.590     99.72221
GET       0.600     99.75714
GET       0.610     99.78601
GET       0.620     99.81190
GET       0.630     99.83500
GET       0.640     99.85395
GET       0.650     99.87173
GET       0.660     99.88635
GET       0.670     99.89985
GET       0.680     99.91038
GET       0.690     99.91917
GET       0.700     99.92735
GET       0.710     99.93323
GET       0.720     99.93831
GET       0.730     99.94339
GET       0.740     99.94754
GET       0.750     99.95057
GET       0.760     99.95324
GET       0.770     99.95615
GET       0.780     99.95801
GET       0.790     99.95931
GET       0.800     99.95999
GET       0.810     99.96079
GET       0.820     99.96148
GET       0.830     99.96197
GET       0.840     99.96240
GET       0.850     99.96302
GET       0.860     99.96321
GET       0.870     99.96358
GET       0.880     99.96377
GET       0.890     99.96414
GET       0.900     99.96445
GET       0.910     99.96457
GET       0.920     99.96476
GET       0.930     99.96488
GET       0.940     99.96513
GET       0.950     99.96519
GET       0.960     99.96556
GET       0.970     99.96581
GET       0.980     99.96600
GET       0.990     99.96631
GET       1.000     99.96792
GET       1.100     99.97002
GET       1.200     99.97176
GET       1.300     99.97473
GET       1.400     99.97758
GET       1.500     99.98030
GET       1.600     99.98241
GET       1.700     99.98359
GET       1.800     99.98464
GET       1.900     99.98495
GET       2.000     99.98563
GET       2.100     99.98625
GET       2.200     99.98730
GET       2.300     99.98755
GET       2.400     99.98811
GET       2.500     99.98860
GET       2.600     99.98904
GET       2.700     99.98959
GET       2.800     99.98997
GET       2.900     99.99065
GET       3.000     99.99127
GET       3.100     99.99213
GET       3.200     99.99288
GET       3.300     99.99337
GET       3.400     99.99393
GET       3.500     99.99424
GET       3.600     99.99436
GET       3.700     99.99474
GET       3.800     99.99492
GET       3.900     99.99511
GET       4.000     99.99529
GET       4.100     99.99591
GET       4.200     99.99746
GET       4.300     99.99808
GET       4.400     99.99839
GET       4.500     99.99944
GET       4.600    100.00000
