[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       57735 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      115030 ops,   57287 (avg:   57515) ops/sec, 2.11MB/sec (avg: 2.12MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 10%,   3 secs]  1 threads:      171589 ops,   56552 (avg:   57194) ops/sec, 2.08MB/sec (avg: 2.11MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 13%,   4 secs]  1 threads:      228563 ops,   56967 (avg:   57137) ops/sec, 2.10MB/sec (avg: 2.11MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 17%,   5 secs]  1 threads:      285916 ops,   57346 (avg:   57179) ops/sec, 2.11MB/sec (avg: 2.11MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 20%,   6 secs]  1 threads:      342725 ops,   56802 (avg:   57116) ops/sec, 2.09MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 23%,   7 secs]  1 threads:      399675 ops,   56943 (avg:   57091) ops/sec, 2.10MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  1 threads:      456322 ops,   56640 (avg:   57035) ops/sec, 2.09MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 30%,   9 secs]  1 threads:      512946 ops,   56617 (avg:   56988) ops/sec, 2.09MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 33%,  10 secs]  1 threads:      569850 ops,   56897 (avg:   56979) ops/sec, 2.10MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 37%,  11 secs]  1 threads:      627520 ops,   57663 (avg:   57041) ops/sec, 2.12MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 40%,  12 secs]  1 threads:      684391 ops,   56864 (avg:   57027) ops/sec, 2.10MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 43%,  13 secs]  1 threads:      741069 ops,   56671 (avg:   56999) ops/sec, 2.09MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 47%,  14 secs]  1 threads:      797559 ops,   56483 (avg:   56962) ops/sec, 2.08MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 50%,  15 secs]  1 threads:      854391 ops,   56825 (avg:   56953) ops/sec, 2.09MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 53%,  16 secs]  1 threads:      911065 ops,   56667 (avg:   56935) ops/sec, 2.09MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 57%,  17 secs]  1 threads:      967744 ops,   56672 (avg:   56920) ops/sec, 2.09MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 60%,  18 secs]  1 threads:     1024843 ops,   57092 (avg:   56929) ops/sec, 2.10MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 63%,  19 secs]  1 threads:     1082141 ops,   57291 (avg:   56948) ops/sec, 2.11MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 67%,  20 secs]  1 threads:     1139190 ops,   57041 (avg:   56953) ops/sec, 2.10MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 70%,  21 secs]  1 threads:     1196900 ops,   57703 (avg:   56989) ops/sec, 2.13MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 73%,  22 secs]  1 threads:     1254207 ops,   57301 (avg:   57003) ops/sec, 2.11MB/sec (avg: 2.10MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 77%,  23 secs]  1 threads:     1312911 ops,   58697 (avg:   57077) ops/sec, 2.16MB/sec (avg: 2.10MB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 80%,  24 secs]  1 threads:     1371476 ops,   58558 (avg:   57138) ops/sec, 2.16MB/sec (avg: 2.11MB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 83%,  25 secs]  1 threads:     1429941 ops,   58458 (avg:   57191) ops/sec, 2.15MB/sec (avg: 2.11MB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 87%,  26 secs]  1 threads:     1488971 ops,   59022 (avg:   57262) ops/sec, 2.17MB/sec (avg: 2.11MB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 90%,  27 secs]  1 threads:     1548272 ops,   59294 (avg:   57337) ops/sec, 2.18MB/sec (avg: 2.11MB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 93%,  28 secs]  1 threads:     1605822 ops,   57543 (avg:   57344) ops/sec, 2.12MB/sec (avg: 2.11MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  1 threads:     1663470 ops,   57641 (avg:   57354) ops/sec, 2.12MB/sec (avg: 2.11MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 100%,  30 secs]  0 threads:     1721092 ops,   57641 (avg:   57369) ops/sec, 2.12MB/sec (avg: 2.11MB/sec),  0.26 (avg:  0.26) msec latency

1         Threads
15        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5215.58          ---          ---      0.26100       382.00
Gets       52153.89     51367.93       785.96      0.25800      1782.60
Totals     57369.46     51367.93       785.96      0.25900      2164.60


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.99361
SET       2.000     99.99808
SET       3.000     99.99936
SET       4.000    100.00000
---
GET       0.057      0.00006
GET       0.058      0.00013
GET       0.060      0.00019
GET       0.062      0.00026
GET       0.066      0.00045
GET       0.069      0.00051
GET       0.070      0.00064
GET       0.071      0.00089
GET       0.073      0.00102
GET       0.074      0.00141
GET       0.075      0.00198
GET       0.076      0.00275
GET       0.077      0.00332
GET       0.078      0.00371
GET       0.079      0.00460
GET       0.080      0.00550
GET       0.081      0.00633
GET       0.082      0.00793
GET       0.083      0.00965
GET       0.084      0.01144
GET       0.085      0.01361
GET       0.086      0.01553
GET       0.087      0.01853
GET       0.088      0.02211
GET       0.089      0.02620
GET       0.090      0.03132
GET       0.091      0.03592
GET       0.092      0.04199
GET       0.093      0.04902
GET       0.094      0.05637
GET       0.095      0.06673
GET       0.096      0.07689
GET       0.097      0.08980
GET       0.098      0.10418
GET       0.099      0.11690
GET       0.100      0.21219
GET       0.110      0.55585
GET       0.120      1.23205
GET       0.130      2.49785
GET       0.140      4.64693
GET       0.150      8.03746
GET       0.160     12.68944
GET       0.170     18.61975
GET       0.180     25.63856
GET       0.190     33.31900
GET       0.200     41.06143
GET       0.210     48.20583
GET       0.220     54.55394
GET       0.230     60.03890
GET       0.240     64.81289
GET       0.250     68.93369
GET       0.260     72.53308
GET       0.270     75.64865
GET       0.280     78.38164
GET       0.290     80.72655
GET       0.300     82.67929
GET       0.310     84.27117
GET       0.320     85.50246
GET       0.330     86.48199
GET       0.340     87.24467
GET       0.350     87.88706
GET       0.360     88.43006
GET       0.370     88.92986
GET       0.380     89.37930
GET       0.390     89.79518
GET       0.400     90.17636
GET       0.410     90.53421
GET       0.420     90.87199
GET       0.430     91.18472
GET       0.440     91.46875
GET       0.450     91.73584
GET       0.460     91.98932
GET       0.470     92.22912
GET       0.480     92.45793
GET       0.490     92.68329
GET       0.500     92.89785
GET       0.510     93.11291
GET       0.520     93.31558
GET       0.530     93.52880
GET       0.540     93.74252
GET       0.550     93.95561
GET       0.560     94.17093
GET       0.570     94.39277
GET       0.580     94.61462
GET       0.590     94.84291
GET       0.600     95.06751
GET       0.610     95.29638
GET       0.620     95.53081
GET       0.630     95.75994
GET       0.640     95.98996
GET       0.650     96.21449
GET       0.660     96.44234
GET       0.670     96.66111
GET       0.680     96.87343
GET       0.690     97.08332
GET       0.700     97.28574
GET       0.710     97.49058
GET       0.720     97.68468
GET       0.730     97.87010
GET       0.740     98.04643
GET       0.750     98.21120
GET       0.760     98.37060
GET       0.770     98.51869
GET       0.780     98.65693
GET       0.790     98.78744
GET       0.800     98.91079
GET       0.810     99.02168
GET       0.820     99.12279
GET       0.830     99.21080
GET       0.840     99.29370
GET       0.850     99.36764
GET       0.860     99.43411
GET       0.870     99.49796
GET       0.880     99.55651
GET       0.890     99.60508
GET       0.900     99.65142
GET       0.910     99.69098
GET       0.920     99.72632
GET       0.930     99.75572
GET       0.940     99.78225
GET       0.950     99.80692
GET       0.960     99.83037
GET       0.970     99.85064
GET       0.980     99.86770
GET       0.990     99.88361
GET       1.000     99.93947
GET       1.100     99.97341
GET       1.200     99.98089
GET       1.300     99.98479
GET       1.400     99.98709
GET       1.500     99.98843
GET       1.600     99.98945
GET       1.700     99.98990
GET       1.800     99.98997
GET       1.900     99.99060
GET       2.000     99.99099
GET       2.100     99.99150
GET       2.200     99.99169
GET       2.300     99.99246
GET       2.400     99.99335
GET       2.500     99.99386
GET       2.600     99.99399
GET       2.700     99.99438
GET       2.800     99.99495
GET       2.900     99.99546
GET       3.000     99.99629
GET       3.100     99.99661
GET       3.200     99.99687
GET       3.300     99.99706
GET       3.600     99.99712
GET       3.700     99.99732
GET       4.000     99.99744
GET       4.100     99.99757
GET       4.200     99.99808
GET       4.300     99.99847
GET       4.400     99.99917
GET       4.500     99.99942
GET       4.600     99.99949
GET       4.700     99.99955
GET       4.800     99.99974
GET       8.400     99.99987
GET       8.500    100.00000
