[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       57769 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      115571 ops,   57795 (avg:   57789) ops/sec, 2.13MB/sec (avg: 2.13MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 10%,   2 secs]  1 threads:      173291 ops,   57711 (avg:   57763) ops/sec, 2.13MB/sec (avg: 2.13MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 13%,   4 secs]  1 threads:      230402 ops,   57104 (avg:   57598) ops/sec, 2.10MB/sec (avg: 2.12MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 17%,   5 secs]  1 threads:      287858 ops,   57449 (avg:   57568) ops/sec, 2.12MB/sec (avg: 2.12MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 20%,   6 secs]  1 threads:      345828 ops,   57962 (avg:   57634) ops/sec, 2.14MB/sec (avg: 2.12MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 23%,   7 secs]  1 threads:      404382 ops,   58547 (avg:   57764) ops/sec, 2.16MB/sec (avg: 2.13MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 27%,   8 secs]  1 threads:      462502 ops,   58113 (avg:   57808) ops/sec, 2.14MB/sec (avg: 2.13MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 30%,   9 secs]  1 threads:      520669 ops,   58159 (avg:   57847) ops/sec, 2.14MB/sec (avg: 2.13MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 33%,  10 secs]  1 threads:      580000 ops,   59323 (avg:   57995) ops/sec, 2.19MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 37%,  11 secs]  1 threads:      638897 ops,   58889 (avg:   58076) ops/sec, 2.17MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 40%,  12 secs]  1 threads:      697877 ops,   58973 (avg:   58151) ops/sec, 2.17MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 43%,  13 secs]  1 threads:      756109 ops,   58221 (avg:   58156) ops/sec, 2.15MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 47%,  14 secs]  1 threads:      814160 ops,   58045 (avg:   58148) ops/sec, 2.14MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 50%,  15 secs]  1 threads:      871892 ops,   57725 (avg:   58120) ops/sec, 2.13MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 53%,  16 secs]  1 threads:      931050 ops,   59150 (avg:   58184) ops/sec, 2.18MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 57%,  17 secs]  1 threads:      989967 ops,   58909 (avg:   58227) ops/sec, 2.17MB/sec (avg: 2.15MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 60%,  18 secs]  1 threads:     1047691 ops,   57717 (avg:   58199) ops/sec, 2.13MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 63%,  19 secs]  1 threads:     1104942 ops,   57244 (avg:   58148) ops/sec, 2.11MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 67%,  20 secs]  1 threads:     1162981 ops,   58031 (avg:   58143) ops/sec, 2.14MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 70%,  21 secs]  1 threads:     1221455 ops,   58466 (avg:   58158) ops/sec, 2.15MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 73%,  22 secs]  1 threads:     1280253 ops,   58791 (avg:   58187) ops/sec, 2.17MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 77%,  23 secs]  1 threads:     1337860 ops,   57600 (avg:   58161) ops/sec, 2.12MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 80%,  24 secs]  1 threads:     1396812 ops,   58945 (avg:   58194) ops/sec, 2.17MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 83%,  25 secs]  1 threads:     1454192 ops,   57374 (avg:   58161) ops/sec, 2.11MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 87%,  26 secs]  1 threads:     1512932 ops,   58733 (avg:   58183) ops/sec, 2.16MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 90%,  27 secs]  1 threads:     1571055 ops,   58116 (avg:   58181) ops/sec, 2.14MB/sec (avg: 2.14MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 93%,  28 secs]  1 threads:     1629543 ops,   58483 (avg:   58191) ops/sec, 2.15MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 97%,  29 secs]  1 threads:     1688180 ops,   58629 (avg:   58206) ops/sec, 2.16MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 100%,  30 secs]  0 threads:     1745759 ops,   58629 (avg:   58191) ops/sec, 2.16MB/sec (avg: 2.14MB/sec),  0.49 (avg:  0.50) msec latency

1         Threads
29        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5290.63          ---          ---      0.49900       387.50
Gets       52900.97     51688.18      1212.79      0.49500      1808.14
Totals     58191.61     51688.18      1212.79      0.49500      2195.64


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.074      0.00006
GET       0.082      0.00019
GET       0.083      0.00025
GET       0.086      0.00038
GET       0.087      0.00050
GET       0.088      0.00057
GET       0.089      0.00069
GET       0.093      0.00088
GET       0.094      0.00095
GET       0.095      0.00101
GET       0.096      0.00120
GET       0.097      0.00151
GET       0.098      0.00158
GET       0.099      0.00170
GET       0.100      0.00296
GET       0.110      0.00788
GET       0.120      0.01456
GET       0.130      0.02470
GET       0.140      0.04367
GET       0.150      0.06635
GET       0.160      0.10176
GET       0.170      0.15085
GET       0.180      0.22217
GET       0.190      0.33799
GET       0.200      0.52765
GET       0.210      0.82613
GET       0.220      1.28182
GET       0.230      1.95301
GET       0.240      2.88203
GET       0.250      4.09013
GET       0.260      5.58209
GET       0.270      7.36793
GET       0.280      9.42220
GET       0.290     11.76613
GET       0.300     14.33720
GET       0.310     17.13764
GET       0.320     20.08501
GET       0.330     23.15104
GET       0.340     26.37459
GET       0.350     29.67369
GET       0.360     33.04783
GET       0.370     36.54075
GET       0.380     40.09221
GET       0.390     43.73062
GET       0.400     47.34383
GET       0.410     50.85055
GET       0.420     54.16723
GET       0.430     57.25360
GET       0.440     60.04761
GET       0.450     62.53117
GET       0.460     64.68007
GET       0.470     66.55703
GET       0.480     68.22435
GET       0.490     69.71751
GET       0.500     71.12503
GET       0.510     72.48373
GET       0.520     73.81879
GET       0.530     75.16022
GET       0.540     76.47802
GET       0.550     77.76936
GET       0.560     79.02906
GET       0.570     80.23987
GET       0.580     81.37500
GET       0.590     82.40459
GET       0.600     83.33437
GET       0.610     84.17367
GET       0.620     84.92954
GET       0.630     85.59380
GET       0.640     86.15907
GET       0.650     86.67260
GET       0.660     87.13504
GET       0.670     87.54870
GET       0.680     87.93218
GET       0.690     88.29355
GET       0.700     88.62145
GET       0.710     88.93071
GET       0.720     89.22560
GET       0.730     89.51273
GET       0.740     89.77719
GET       0.750     90.02986
GET       0.760     90.27485
GET       0.770     90.50628
GET       0.780     90.72027
GET       0.790     90.92700
GET       0.800     91.12051
GET       0.810     91.30885
GET       0.820     91.47753
GET       0.830     91.64715
GET       0.840     91.80764
GET       0.850     91.96208
GET       0.860     92.10341
GET       0.870     92.24411
GET       0.880     92.38046
GET       0.890     92.50718
GET       0.900     92.63528
GET       0.910     92.75689
GET       0.920     92.86943
GET       0.930     92.97617
GET       0.940     93.07704
GET       0.950     93.17660
GET       0.960     93.27307
GET       0.970     93.36740
GET       0.980     93.45864
GET       0.990     93.54798
GET       1.000     93.98282
GET       1.100     94.70807
GET       1.200     95.47428
GET       1.300     96.32989
GET       1.400     97.20227
GET       1.500     98.03874
GET       1.600     98.70740
GET       1.700     99.21987
GET       1.800     99.57361
GET       1.900     99.78369
GET       2.000     99.89635
GET       2.100     99.95060
GET       2.200     99.97769
GET       2.300     99.98897
GET       2.400     99.99256
GET       2.500     99.99408
GET       2.600     99.99546
GET       2.700     99.99572
GET       2.800     99.99653
GET       2.900     99.99666
GET       3.000     99.99679
GET       3.100     99.99786
GET       3.200     99.99792
GET       3.400     99.99798
GET       3.500     99.99824
GET       3.800     99.99830
GET       4.000     99.99880
GET       4.100     99.99893
GET       4.200     99.99943
GET       4.300    100.00000
