[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       61612 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      123464 ops,   61844 (avg:   61735) ops/sec, 2.28MB/sec (avg: 2.27MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 10%,   3 secs]  1 threads:      183899 ops,   60427 (avg:   61299) ops/sec, 2.23MB/sec (avg: 2.26MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 13%,   4 secs]  1 threads:      243913 ops,   60006 (avg:   60976) ops/sec, 2.21MB/sec (avg: 2.25MB/sec),  0.51 (avg:  0.51) msec latency[RUN #1 17%,   5 secs]  1 threads:      304940 ops,   61020 (avg:   60984) ops/sec, 2.25MB/sec (avg: 2.25MB/sec),  0.51 (avg:  0.51) msec latency[RUN #1 20%,   6 secs]  1 threads:      365567 ops,   60619 (avg:   60924) ops/sec, 2.23MB/sec (avg: 2.24MB/sec),  0.51 (avg:  0.51) msec latency[RUN #1 23%,   7 secs]  1 threads:      427328 ops,   61753 (avg:   61042) ops/sec, 2.28MB/sec (avg: 2.25MB/sec),  0.50 (avg:  0.51) msec latency[RUN #1 27%,   8 secs]  1 threads:      489947 ops,   62611 (avg:   61238) ops/sec, 2.31MB/sec (avg: 2.26MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 30%,   9 secs]  1 threads:      551472 ops,   61517 (avg:   61269) ops/sec, 2.27MB/sec (avg: 2.26MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 33%,  10 secs]  1 threads:      611216 ops,   59736 (avg:   61116) ops/sec, 2.20MB/sec (avg: 2.25MB/sec),  0.52 (avg:  0.50) msec latency[RUN #1 37%,  11 secs]  1 threads:      672708 ops,   61485 (avg:   61149) ops/sec, 2.27MB/sec (avg: 2.25MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 40%,  12 secs]  1 threads:      733817 ops,   61101 (avg:   61145) ops/sec, 2.25MB/sec (avg: 2.25MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 43%,  13 secs]  1 threads:      794616 ops,   60791 (avg:   61118) ops/sec, 2.24MB/sec (avg: 2.25MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 47%,  14 secs]  1 threads:      855742 ops,   61118 (avg:   61118) ops/sec, 2.25MB/sec (avg: 2.25MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 50%,  15 secs]  1 threads:      918151 ops,   62401 (avg:   61204) ops/sec, 2.30MB/sec (avg: 2.26MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 53%,  16 secs]  1 threads:      979811 ops,   61652 (avg:   61232) ops/sec, 2.27MB/sec (avg: 2.26MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 57%,  17 secs]  1 threads:     1041018 ops,   61199 (avg:   61230) ops/sec, 2.25MB/sec (avg: 2.26MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 60%,  18 secs]  1 threads:     1102024 ops,   60998 (avg:   61217) ops/sec, 2.25MB/sec (avg: 2.26MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 63%,  19 secs]  1 threads:     1162828 ops,   60797 (avg:   61195) ops/sec, 2.24MB/sec (avg: 2.25MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 67%,  20 secs]  1 threads:     1224663 ops,   61828 (avg:   61227) ops/sec, 2.28MB/sec (avg: 2.26MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 70%,  21 secs]  1 threads:     1284548 ops,   59878 (avg:   61162) ops/sec, 2.21MB/sec (avg: 2.25MB/sec),  0.52 (avg:  0.50) msec latency[RUN #1 73%,  22 secs]  1 threads:     1345483 ops,   60927 (avg:   61152) ops/sec, 2.24MB/sec (avg: 2.25MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 77%,  23 secs]  1 threads:     1407714 ops,   62223 (avg:   61198) ops/sec, 2.29MB/sec (avg: 2.25MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 80%,  24 secs]  1 threads:     1469475 ops,   61753 (avg:   61221) ops/sec, 2.28MB/sec (avg: 2.26MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 83%,  25 secs]  1 threads:     1530801 ops,   61318 (avg:   61225) ops/sec, 2.26MB/sec (avg: 2.26MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 87%,  26 secs]  1 threads:     1591834 ops,   61026 (avg:   61218) ops/sec, 2.25MB/sec (avg: 2.26MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 90%,  27 secs]  1 threads:     1653107 ops,   61266 (avg:   61219) ops/sec, 2.26MB/sec (avg: 2.26MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 93%,  28 secs]  1 threads:     1713899 ops,   60784 (avg:   61204) ops/sec, 2.24MB/sec (avg: 2.26MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 97%,  29 secs]  1 threads:     1776441 ops,   62534 (avg:   61250) ops/sec, 2.30MB/sec (avg: 2.26MB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 100%,  30 secs]  0 threads:     1837833 ops,   62534 (avg:   61260) ops/sec, 2.30MB/sec (avg: 2.26MB/sec),  0.49 (avg:  0.50) msec latency

1         Threads
31        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5569.61          ---          ---      0.50600       407.93
Gets       55691.24     54213.01      1478.23      0.50300      1903.51
Totals     61260.85     54213.01      1478.23      0.50300      2311.44


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.068      0.00006
GET       0.073      0.00012
GET       0.074      0.00024
GET       0.075      0.00030
GET       0.076      0.00036
GET       0.077      0.00042
GET       0.078      0.00048
GET       0.081      0.00060
GET       0.082      0.00066
GET       0.083      0.00072
GET       0.085      0.00090
GET       0.086      0.00102
GET       0.087      0.00108
GET       0.088      0.00126
GET       0.089      0.00138
GET       0.090      0.00144
GET       0.091      0.00156
GET       0.092      0.00180
GET       0.093      0.00209
GET       0.094      0.00221
GET       0.095      0.00263
GET       0.096      0.00287
GET       0.097      0.00365
GET       0.098      0.00371
GET       0.099      0.00413
GET       0.100      0.00634
GET       0.110      0.01251
GET       0.120      0.02173
GET       0.130      0.03286
GET       0.140      0.04699
GET       0.150      0.07123
GET       0.160      0.10498
GET       0.170      0.15759
GET       0.180      0.23235
GET       0.190      0.34763
GET       0.200      0.52629
GET       0.210      0.78713
GET       0.220      1.17846
GET       0.230      1.71726
GET       0.240      2.44765
GET       0.250      3.39980
GET       0.260      4.56144
GET       0.270      5.97985
GET       0.280      7.60517
GET       0.290      9.46429
GET       0.300     11.48500
GET       0.310     13.64266
GET       0.320     15.94320
GET       0.330     18.34021
GET       0.340     20.87052
GET       0.350     23.56070
GET       0.360     26.34569
GET       0.370     29.28384
GET       0.380     32.30674
GET       0.390     35.39890
GET       0.400     38.47011
GET       0.410     41.56310
GET       0.420     44.59636
GET       0.430     47.55756
GET       0.440     50.39186
GET       0.450     53.08252
GET       0.460     55.62115
GET       0.470     57.97196
GET       0.480     60.15176
GET       0.490     62.12400
GET       0.500     63.93367
GET       0.510     65.60897
GET       0.520     67.17989
GET       0.530     68.70436
GET       0.540     70.21321
GET       0.550     71.70350
GET       0.560     73.18332
GET       0.570     74.66739
GET       0.580     76.10155
GET       0.590     77.47345
GET       0.600     78.78281
GET       0.610     79.98927
GET       0.620     81.11075
GET       0.630     82.11013
GET       0.640     83.00811
GET       0.650     83.81081
GET       0.660     84.53485
GET       0.670     85.17134
GET       0.680     85.75964
GET       0.690     86.29982
GET       0.700     86.78325
GET       0.710     87.23078
GET       0.720     87.64886
GET       0.730     88.04132
GET       0.740     88.41779
GET       0.750     88.77374
GET       0.760     89.11407
GET       0.770     89.44225
GET       0.780     89.76324
GET       0.790     90.06886
GET       0.800     90.36345
GET       0.810     90.65847
GET       0.820     90.94164
GET       0.830     91.21715
GET       0.840     91.48433
GET       0.850     91.74368
GET       0.860     91.99895
GET       0.870     92.25052
GET       0.880     92.49538
GET       0.890     92.72546
GET       0.900     92.95811
GET       0.910     93.18268
GET       0.920     93.40509
GET       0.930     93.61512
GET       0.940     93.82485
GET       0.950     94.03649
GET       0.960     94.23933
GET       0.970     94.43254
GET       0.980     94.62808
GET       0.990     94.81925
GET       1.000     95.84233
GET       1.100     97.40601
GET       1.200     98.55466
GET       1.300     99.28265
GET       1.400     99.69056
GET       1.500     99.87940
GET       1.600     99.95780
GET       1.700     99.98246
GET       1.800     99.98881
GET       1.900     99.99198
GET       2.000     99.99348
GET       2.100     99.99401
GET       2.200     99.99407
GET       2.300     99.99425
GET       2.400     99.99437
GET       2.500     99.99467
GET       2.600     99.99491
GET       2.700     99.99533
GET       2.800     99.99551
GET       2.900     99.99623
GET       3.000     99.99665
GET       3.700     99.99683
GET       3.800     99.99779
GET       3.900     99.99796
GET       4.200     99.99802
GET       4.300     99.99850
GET       4.400     99.99916
GET       4.500     99.99970
GET       4.800    100.00000
