[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       62875 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      126996 ops,   64112 (avg:   63501) ops/sec, 2.36MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 10%,   3 secs]  1 threads:      191212 ops,   64208 (avg:   63737) ops/sec, 2.37MB/sec (avg: 2.35MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 13%,   4 secs]  1 threads:      255266 ops,   64046 (avg:   63814) ops/sec, 2.36MB/sec (avg: 2.35MB/sec),  0.51 (avg:  0.51) msec latency[RUN #1 17%,   5 secs]  1 threads:      318891 ops,   63618 (avg:   63775) ops/sec, 2.34MB/sec (avg: 2.35MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 20%,   6 secs]  1 threads:      381182 ops,   62283 (avg:   63526) ops/sec, 2.29MB/sec (avg: 2.34MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 23%,   7 secs]  1 threads:      443530 ops,   62339 (avg:   63356) ops/sec, 2.30MB/sec (avg: 2.33MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 27%,   8 secs]  1 threads:      507443 ops,   63905 (avg:   63425) ops/sec, 2.35MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 30%,   9 secs]  1 threads:      570481 ops,   63029 (avg:   63381) ops/sec, 2.32MB/sec (avg: 2.34MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 33%,  10 secs]  1 threads:      633222 ops,   62733 (avg:   63316) ops/sec, 2.31MB/sec (avg: 2.33MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 37%,  11 secs]  1 threads:      696544 ops,   63314 (avg:   63316) ops/sec, 2.33MB/sec (avg: 2.33MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 40%,  12 secs]  1 threads:      761037 ops,   64484 (avg:   63413) ops/sec, 2.38MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 43%,  13 secs]  1 threads:      824909 ops,   63864 (avg:   63448) ops/sec, 2.35MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 47%,  14 secs]  1 threads:      888273 ops,   63356 (avg:   63441) ops/sec, 2.33MB/sec (avg: 2.34MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 50%,  15 secs]  1 threads:      951543 ops,   63262 (avg:   63429) ops/sec, 2.33MB/sec (avg: 2.34MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 53%,  16 secs]  1 threads:     1013972 ops,   62421 (avg:   63366) ops/sec, 2.30MB/sec (avg: 2.33MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 57%,  17 secs]  1 threads:     1079734 ops,   65753 (avg:   63507) ops/sec, 2.42MB/sec (avg: 2.34MB/sec),  0.50 (avg:  0.52) msec latency[RUN #1 60%,  18 secs]  1 threads:     1142127 ops,   62385 (avg:   63445) ops/sec, 2.30MB/sec (avg: 2.34MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 63%,  19 secs]  1 threads:     1204713 ops,   62579 (avg:   63399) ops/sec, 2.31MB/sec (avg: 2.34MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 67%,  20 secs]  1 threads:     1266391 ops,   61670 (avg:   63313) ops/sec, 2.27MB/sec (avg: 2.33MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 70%,  21 secs]  1 threads:     1330587 ops,   64188 (avg:   63354) ops/sec, 2.37MB/sec (avg: 2.33MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 73%,  22 secs]  1 threads:     1394470 ops,   63877 (avg:   63378) ops/sec, 2.35MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 77%,  23 secs]  1 threads:     1457451 ops,   62974 (avg:   63360) ops/sec, 2.32MB/sec (avg: 2.33MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 80%,  24 secs]  1 threads:     1521547 ops,   64089 (avg:   63391) ops/sec, 2.36MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 83%,  25 secs]  1 threads:     1585625 ops,   64070 (avg:   63418) ops/sec, 2.36MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 87%,  26 secs]  1 threads:     1649991 ops,   64360 (avg:   63454) ops/sec, 2.37MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 90%,  27 secs]  1 threads:     1712362 ops,   62363 (avg:   63414) ops/sec, 2.30MB/sec (avg: 2.34MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 93%,  28 secs]  1 threads:     1776220 ops,   63849 (avg:   63429) ops/sec, 2.35MB/sec (avg: 2.34MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 97%,  29 secs]  1 threads:     1838681 ops,   62452 (avg:   63396) ops/sec, 2.30MB/sec (avg: 2.34MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 100%,  30 secs]  0 threads:     1901246 ops,   62452 (avg:   63374) ops/sec, 2.30MB/sec (avg: 2.34MB/sec),  0.53 (avg:  0.52) msec latency

1         Threads
33        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5761.80          ---          ---      0.52100       422.01
Gets       57612.67     55878.25      1734.42      0.51800      1969.18
Totals     63374.47     55878.25      1734.42      0.51800      2391.19


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.074      0.00006
GET       0.075      0.00012
GET       0.082      0.00017
GET       0.085      0.00029
GET       0.087      0.00052
GET       0.088      0.00058
GET       0.090      0.00081
GET       0.091      0.00104
GET       0.092      0.00122
GET       0.093      0.00156
GET       0.094      0.00162
GET       0.095      0.00214
GET       0.096      0.00260
GET       0.097      0.00284
GET       0.098      0.00318
GET       0.099      0.00370
GET       0.100      0.00608
GET       0.110      0.01313
GET       0.120      0.02239
GET       0.130      0.03726
GET       0.140      0.06185
GET       0.150      0.09645
GET       0.160      0.14152
GET       0.170      0.19914
GET       0.180      0.27719
GET       0.190      0.39401
GET       0.200      0.56017
GET       0.210      0.79831
GET       0.220      1.16247
GET       0.230      1.67555
GET       0.240      2.39824
GET       0.250      3.38749
GET       0.260      4.64334
GET       0.270      6.18355
GET       0.280      8.01381
GET       0.290     10.12427
GET       0.300     12.48884
GET       0.310     15.08449
GET       0.320     17.89034
GET       0.330     20.85500
GET       0.340     23.97114
GET       0.350     27.18737
GET       0.360     30.44051
GET       0.370     33.72454
GET       0.380     36.94349
GET       0.390     40.13328
GET       0.400     43.28234
GET       0.410     46.31886
GET       0.420     49.23139
GET       0.430     52.04789
GET       0.440     54.74288
GET       0.450     57.27136
GET       0.460     59.66839
GET       0.470     61.88739
GET       0.480     63.93785
GET       0.490     65.82978
GET       0.500     67.56324
GET       0.510     69.14113
GET       0.520     70.58362
GET       0.530     71.89322
GET       0.540     73.13328
GET       0.550     74.28857
GET       0.560     75.40736
GET       0.570     76.49305
GET       0.580     77.53853
GET       0.590     78.55613
GET       0.600     79.53247
GET       0.610     80.46495
GET       0.620     81.34658
GET       0.630     82.18557
GET       0.640     82.97127
GET       0.650     83.69136
GET       0.660     84.35186
GET       0.670     84.96220
GET       0.680     85.51121
GET       0.690     86.00803
GET       0.700     86.46863
GET       0.710     86.88364
GET       0.720     87.27580
GET       0.730     87.61397
GET       0.740     87.94405
GET       0.750     88.24201
GET       0.760     88.52679
GET       0.770     88.79247
GET       0.780     89.05016
GET       0.790     89.29154
GET       0.800     89.53130
GET       0.810     89.76921
GET       0.820     90.00192
GET       0.830     90.21940
GET       0.840     90.42769
GET       0.850     90.63979
GET       0.860     90.84281
GET       0.870     91.03854
GET       0.880     91.23161
GET       0.890     91.41982
GET       0.900     91.60977
GET       0.910     91.79023
GET       0.920     91.97143
GET       0.930     92.14836
GET       0.940     92.32575
GET       0.950     92.49319
GET       0.960     92.65901
GET       0.970     92.81997
GET       0.980     92.97838
GET       0.990     93.13373
GET       1.000     93.94836
GET       1.100     95.17164
GET       1.200     96.06021
GET       1.300     96.67784
GET       1.400     97.16251
GET       1.500     97.58689
GET       1.600     97.98281
GET       1.700     98.37606
GET       1.800     98.73206
GET       1.900     99.03928
GET       2.000     99.29721
GET       2.100     99.50034
GET       2.200     99.66946
GET       2.300     99.79351
GET       2.400     99.87381
GET       2.500     99.92421
GET       2.600     99.95389
GET       2.700     99.97292
GET       2.800     99.98357
GET       2.900     99.98895
GET       3.000     99.99190
GET       3.100     99.99294
GET       3.200     99.99352
GET       3.300     99.99364
GET       3.500     99.99404
GET       3.600     99.99416
GET       3.700     99.99456
GET       3.800     99.99497
GET       3.900     99.99537
GET       4.000     99.99589
GET       4.100     99.99693
GET       4.200     99.99751
GET       4.300     99.99792
GET       4.400     99.99815
GET       4.500     99.99878
GET       4.600     99.99925
GET       6.100     99.99936
GET       6.200     99.99971
GET       6.300     99.99988
GET       6.400    100.00000
