[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       34904 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       70020 ops,   35111 (avg:   35009) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 10%,   3 secs]  1 threads:      104996 ops,   34971 (avg:   34996) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 13%,   4 secs]  1 threads:      139829 ops,   34828 (avg:   34954) ops/sec, 1.28MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 17%,   5 secs]  1 threads:      175028 ops,   35194 (avg:   35002) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 20%,   6 secs]  1 threads:      210400 ops,   35367 (avg:   35063) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 23%,   7 secs]  1 threads:      245345 ops,   34940 (avg:   35046) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 27%,   8 secs]  1 threads:      280128 ops,   34778 (avg:   35012) ops/sec, 1.28MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 30%,   9 secs]  1 threads:      314565 ops,   34432 (avg:   34948) ops/sec, 1.27MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 33%,  10 secs]  1 threads:      349372 ops,   34802 (avg:   34933) ops/sec, 1.28MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 37%,  11 secs]  1 threads:      384502 ops,   35126 (avg:   34951) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 40%,  12 secs]  1 threads:      419650 ops,   35144 (avg:   34967) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 43%,  13 secs]  1 threads:      454887 ops,   35232 (avg:   34987) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 47%,  14 secs]  1 threads:      489799 ops,   34907 (avg:   34982) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 50%,  15 secs]  1 threads:      525115 ops,   35312 (avg:   35004) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 53%,  16 secs]  1 threads:      560394 ops,   35274 (avg:   35021) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 57%,  17 secs]  1 threads:      595869 ops,   35470 (avg:   35047) ops/sec, 1.31MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 60%,  18 secs]  1 threads:      631100 ops,   35226 (avg:   35057) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 63%,  19 secs]  1 threads:      665905 ops,   34800 (avg:   35043) ops/sec, 1.28MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 67%,  20 secs]  1 threads:      701001 ops,   35091 (avg:   35046) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 70%,  21 secs]  1 threads:      735920 ops,   34914 (avg:   35040) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 73%,  22 secs]  1 threads:      770928 ops,   35004 (avg:   35038) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 77%,  23 secs]  1 threads:      806017 ops,   35084 (avg:   35040) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 80%,  24 secs]  1 threads:      841608 ops,   35586 (avg:   35063) ops/sec, 1.31MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 83%,  25 secs]  1 threads:      876589 ops,   34976 (avg:   35059) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 87%,  26 secs]  1 threads:      911975 ops,   35381 (avg:   35072) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 90%,  27 secs]  1 threads:      947046 ops,   35066 (avg:   35071) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 93%,  28 secs]  1 threads:      982144 ops,   35093 (avg:   35072) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 97%,  29 secs]  1 threads:     1017206 ops,   35057 (avg:   35072) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 100%,  30 secs]  0 threads:     1052122 ops,   35057 (avg:   35070) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.11 (avg:  0.11) msec latency

1         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3188.29          ---          ---      0.11400       233.52
Gets       31882.38     31677.81       204.57      0.11100      1089.73
Totals     35070.68     31677.81       204.57      0.11100      1323.25


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.047      0.00010
GET       0.049      0.00052
GET       0.050      0.00063
GET       0.051      0.00105
GET       0.052      0.00199
GET       0.053      0.00282
GET       0.054      0.00439
GET       0.055      0.00690
GET       0.056      0.00931
GET       0.057      0.01338
GET       0.058      0.01934
GET       0.059      0.02614
GET       0.060      0.03544
GET       0.061      0.04998
GET       0.062      0.06587
GET       0.063      0.09085
GET       0.064      0.12274
GET       0.065      0.15902
GET       0.066      0.20293
GET       0.067      0.26410
GET       0.068      0.35432
GET       0.069      0.46536
GET       0.070      0.58162
GET       0.071      0.72537
GET       0.072      0.89914
GET       0.073      1.11336
GET       0.074      1.36355
GET       0.075      1.64814
GET       0.076      1.97925
GET       0.077      2.34717
GET       0.078      2.79694
GET       0.079      3.32147
GET       0.080      3.92463
GET       0.081      4.61916
GET       0.082      5.40862
GET       0.083      6.31549
GET       0.084      7.34752
GET       0.085      8.54734
GET       0.086      9.96139
GET       0.087     11.59531
GET       0.088     13.43666
GET       0.089     15.43577
GET       0.090     17.55857
GET       0.091     19.82021
GET       0.092     22.26534
GET       0.093     24.99799
GET       0.094     27.94078
GET       0.095     31.10490
GET       0.096     34.30510
GET       0.097     37.33467
GET       0.098     40.17970
GET       0.099     42.80319
GET       0.100     54.13943
GET       0.110     68.76587
GET       0.120     78.08135
GET       0.130     85.19007
GET       0.140     90.52122
GET       0.150     94.19712
GET       0.160     96.34637
GET       0.170     97.50824
GET       0.180     98.08505
GET       0.190     98.38657
GET       0.200     98.56943
GET       0.210     98.69834
GET       0.220     98.80561
GET       0.230     98.91727
GET       0.240     99.03008
GET       0.250     99.14007
GET       0.260     99.23218
GET       0.270     99.31676
GET       0.280     99.38576
GET       0.290     99.44640
GET       0.300     99.49575
GET       0.310     99.54301
GET       0.320     99.57991
GET       0.330     99.61337
GET       0.340     99.64327
GET       0.350     99.67087
GET       0.360     99.69691
GET       0.370     99.72472
GET       0.380     99.75253
GET       0.390     99.78023
GET       0.400     99.80449
GET       0.410     99.82833
GET       0.420     99.84924
GET       0.430     99.86921
GET       0.440     99.88824
GET       0.450     99.90559
GET       0.460     99.91929
GET       0.470     99.93068
GET       0.480     99.94114
GET       0.490     99.95107
GET       0.500     99.95964
GET       0.510     99.96498
GET       0.520     99.97031
GET       0.530     99.97564
GET       0.540     99.98034
GET       0.550     99.98474
GET       0.560     99.98745
GET       0.570     99.99017
GET       0.580     99.99268
GET       0.590     99.99498
GET       0.600     99.99665
GET       0.610     99.99718
GET       0.620     99.99760
GET       0.630     99.99822
GET       0.640     99.99843
GET       0.650     99.99854
GET       0.690     99.99864
GET       0.700     99.99875
GET       0.730     99.99895
GET       0.770     99.99916
GET       0.780     99.99927
GET       0.790     99.99948
GET       0.830     99.99969
GET       0.940     99.99979
GET       1.000    100.00000
