[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       32107 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       64811 ops,   32700 (avg:   32404) ops/sec, 1.20MB/sec (avg: 1.19MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 10%,   3 secs]  1 threads:       97585 ops,   32770 (avg:   32526) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 13%,   4 secs]  1 threads:      130415 ops,   32827 (avg:   32601) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 17%,   5 secs]  1 threads:      163284 ops,   32865 (avg:   32654) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 20%,   6 secs]  1 threads:      196179 ops,   32891 (avg:   32694) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 23%,   7 secs]  1 threads:      228831 ops,   32649 (avg:   32687) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 27%,   8 secs]  1 threads:      261323 ops,   32488 (avg:   32662) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 30%,   9 secs]  1 threads:      293548 ops,   32221 (avg:   32613) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 33%,  10 secs]  1 threads:      326353 ops,   32801 (avg:   32632) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 37%,  11 secs]  1 threads:      359061 ops,   32704 (avg:   32639) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 40%,  12 secs]  1 threads:      391789 ops,   32725 (avg:   32646) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 43%,  13 secs]  1 threads:      424464 ops,   32671 (avg:   32648) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 47%,  14 secs]  1 threads:      457026 ops,   32559 (avg:   32642) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 50%,  15 secs]  1 threads:      489849 ops,   32819 (avg:   32653) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 53%,  16 secs]  1 threads:      522628 ops,   32775 (avg:   32661) ops/sec, 1.21MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 57%,  17 secs]  1 threads:      555261 ops,   32630 (avg:   32659) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 60%,  18 secs]  1 threads:      587671 ops,   32407 (avg:   32645) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 63%,  19 secs]  1 threads:      620038 ops,   32363 (avg:   32630) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 67%,  20 secs]  1 threads:      652705 ops,   32663 (avg:   32632) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 70%,  21 secs]  1 threads:      685174 ops,   32465 (avg:   32624) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 73%,  22 secs]  1 threads:      717479 ops,   32302 (avg:   32609) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 77%,  23 secs]  1 threads:      749795 ops,   32312 (avg:   32596) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 80%,  24 secs]  1 threads:      782149 ops,   32350 (avg:   32586) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 83%,  25 secs]  1 threads:      814569 ops,   32416 (avg:   32579) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 87%,  26 secs]  1 threads:      846910 ops,   32337 (avg:   32570) ops/sec, 1.19MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 90%,  27 secs]  1 threads:      879504 ops,   32590 (avg:   32571) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 93%,  28 secs]  1 threads:      912100 ops,   32592 (avg:   32571) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 97%,  29 secs]  1 threads:      944805 ops,   32701 (avg:   32576) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 100%,  30 secs]  0 threads:      977287 ops,   32701 (avg:   32576) ops/sec, 1.20MB/sec (avg: 1.20MB/sec),  0.12 (avg:  0.12) msec latency

1         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        2961.52          ---          ---      0.12300       216.91
Gets       29614.60     29440.07       174.53      0.11900      1012.22
Totals     32576.12     29440.07       174.53      0.12000      1229.13


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.049      0.00011
GET       0.050      0.00034
GET       0.051      0.00079
GET       0.052      0.00113
GET       0.053      0.00203
GET       0.054      0.00270
GET       0.055      0.00529
GET       0.056      0.00799
GET       0.057      0.01114
GET       0.058      0.01812
GET       0.059      0.02578
GET       0.060      0.03534
GET       0.061      0.04739
GET       0.062      0.06821
GET       0.063      0.08971
GET       0.064      0.11425
GET       0.065      0.14677
GET       0.066      0.18437
GET       0.067      0.22827
GET       0.068      0.29017
GET       0.069      0.36637
GET       0.070      0.46441
GET       0.071      0.58102
GET       0.072      0.69290
GET       0.073      0.82414
GET       0.074      0.97879
GET       0.075      1.16012
GET       0.076      1.37882
GET       0.077      1.62217
GET       0.078      1.90964
GET       0.079      2.23538
GET       0.080      2.60749
GET       0.081      3.03273
GET       0.082      3.52235
GET       0.083      4.06352
GET       0.084      4.68303
GET       0.085      5.42715
GET       0.086      6.28472
GET       0.087      7.32665
GET       0.088      8.56523
GET       0.089      9.90623
GET       0.090     11.30700
GET       0.091     12.80850
GET       0.092     14.52792
GET       0.093     16.52119
GET       0.094     18.74024
GET       0.095     21.39591
GET       0.096     24.05134
GET       0.097     26.37902
GET       0.098     28.42035
GET       0.099     30.32053
GET       0.100     39.61445
GET       0.110     53.48909
GET       0.120     63.01060
GET       0.130     71.32989
GET       0.140     81.28857
GET       0.150     89.75149
GET       0.160     94.06072
GET       0.170     96.25400
GET       0.180     97.41491
GET       0.190     98.11445
GET       0.200     98.46349
GET       0.210     98.65281
GET       0.220     98.78675
GET       0.230     98.91709
GET       0.240     99.03978
GET       0.250     99.15830
GET       0.260     99.25364
GET       0.270     99.33805
GET       0.280     99.41347
GET       0.290     99.48145
GET       0.300     99.54167
GET       0.310     99.59783
GET       0.320     99.64916
GET       0.330     99.69677
GET       0.340     99.73786
GET       0.350     99.77072
GET       0.360     99.79886
GET       0.370     99.82013
GET       0.380     99.83904
GET       0.390     99.85593
GET       0.400     99.87450
GET       0.410     99.89183
GET       0.420     99.90984
GET       0.430     99.92481
GET       0.440     99.94034
GET       0.450     99.95520
GET       0.460     99.96871
GET       0.470     99.97906
GET       0.480     99.98593
GET       0.490     99.99088
GET       0.500     99.99325
GET       0.510     99.99572
GET       0.520     99.99707
GET       0.530     99.99764
GET       0.540     99.99831
GET       0.550     99.99865
GET       0.560     99.99876
GET       0.590     99.99887
GET       0.610     99.99899
GET       0.660     99.99910
GET       0.710     99.99921
GET       0.760     99.99932
GET       0.770     99.99944
GET       0.810     99.99955
GET       0.830     99.99966
GET       0.860     99.99977
GET       0.870     99.99989
GET       0.920    100.00000
