[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       38862 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       77660 ops,   38793 (avg:   38829) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  1 threads:      116412 ops,   38748 (avg:   38802) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  1 threads:      155111 ops,   38695 (avg:   38775) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  1 threads:      193687 ops,   38572 (avg:   38735) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  1 threads:      232449 ops,   38758 (avg:   38738) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  1 threads:      271165 ops,   38712 (avg:   38735) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  1 threads:      309956 ops,   38787 (avg:   38741) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  1 threads:      348676 ops,   38716 (avg:   38738) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  1 threads:      387437 ops,   38757 (avg:   38740) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  1 threads:      426137 ops,   38696 (avg:   38736) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  1 threads:      464827 ops,   38686 (avg:   38732) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  1 threads:      503511 ops,   38680 (avg:   38728) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  1 threads:      542179 ops,   38664 (avg:   38723) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  1 threads:      580888 ops,   38705 (avg:   38722) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  1 threads:      619573 ops,   38681 (avg:   38720) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  1 threads:      658295 ops,   38717 (avg:   38719) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  1 threads:      696970 ops,   38670 (avg:   38717) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  1 threads:      735673 ops,   38699 (avg:   38716) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  1 threads:      774369 ops,   38691 (avg:   38714) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  1 threads:      813021 ops,   38647 (avg:   38711) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  1 threads:      851671 ops,   38645 (avg:   38708) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  1 threads:      890397 ops,   38721 (avg:   38709) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  1 threads:      929088 ops,   38686 (avg:   38708) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  1 threads:      967898 ops,   38805 (avg:   38712) ops/sec, 1.43MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  1 threads:     1006521 ops,   38618 (avg:   38708) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  1 threads:     1045144 ops,   38618 (avg:   38705) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  1 threads:     1083740 ops,   38591 (avg:   38701) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  1 threads:     1122374 ops,   38629 (avg:   38698) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 100%,  30 secs]  0 threads:     1160947 ops,   38629 (avg:   38698) ops/sec, 1.42MB/sec (avg: 1.43MB/sec),  0.13 (avg:  0.13) msec latency

1         Threads
5         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3518.06          ---          ---      0.12900       257.67
Gets       35180.10     34983.16       196.93      0.12600      1202.44
Totals     38698.16     34983.16       196.93      0.12600      1460.12


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.050      0.00038
GET       0.051      0.00076
GET       0.052      0.00114
GET       0.053      0.00190
GET       0.054      0.00246
GET       0.055      0.00407
GET       0.056      0.00587
GET       0.057      0.00948
GET       0.058      0.01374
GET       0.059      0.01942
GET       0.060      0.02662
GET       0.061      0.03534
GET       0.062      0.04671
GET       0.063      0.06490
GET       0.064      0.08546
GET       0.065      0.11114
GET       0.066      0.14222
GET       0.067      0.17984
GET       0.068      0.21840
GET       0.069      0.26758
GET       0.070      0.33144
GET       0.071      0.40534
GET       0.072      0.49716
GET       0.073      0.60100
GET       0.074      0.71347
GET       0.075      0.85114
GET       0.076      1.00862
GET       0.077      1.19954
GET       0.078      1.42836
GET       0.079      1.69035
GET       0.080      1.97858
GET       0.081      2.30300
GET       0.082      2.67205
GET       0.083      3.10260
GET       0.084      3.59075
GET       0.085      4.14950
GET       0.086      4.83341
GET       0.087      5.66579
GET       0.088      6.64570
GET       0.089      7.71865
GET       0.090      8.90919
GET       0.091     10.30202
GET       0.092     11.89960
GET       0.093     13.61307
GET       0.094     15.36917
GET       0.095     17.06444
GET       0.096     18.69974
GET       0.097     20.31050
GET       0.098     21.96190
GET       0.099     23.63462
GET       0.100     32.00534
GET       0.110     45.40901
GET       0.120     55.15721
GET       0.130     64.19469
GET       0.140     74.87893
GET       0.150     84.08876
GET       0.160     89.37896
GET       0.170     92.42528
GET       0.180     94.56976
GET       0.190     96.27053
GET       0.200     97.43937
GET       0.210     98.07742
GET       0.220     98.44448
GET       0.230     98.69756
GET       0.240     98.88574
GET       0.250     99.03876
GET       0.260     99.16212
GET       0.270     99.26464
GET       0.280     99.36044
GET       0.290     99.44363
GET       0.300     99.51791
GET       0.310     99.58433
GET       0.320     99.64601
GET       0.330     99.69907
GET       0.340     99.74474
GET       0.350     99.78368
GET       0.360     99.81751
GET       0.370     99.84319
GET       0.380     99.86877
GET       0.390     99.88573
GET       0.400     99.90392
GET       0.410     99.91652
GET       0.420     99.93093
GET       0.430     99.93870
GET       0.440     99.94779
GET       0.450     99.95660
GET       0.460     99.96219
GET       0.470     99.96930
GET       0.480     99.97394
GET       0.490     99.97840
GET       0.500     99.98247
GET       0.510     99.98531
GET       0.520     99.98787
GET       0.530     99.99015
GET       0.540     99.99119
GET       0.550     99.99223
GET       0.560     99.99337
GET       0.570     99.99375
GET       0.580     99.99413
GET       0.590     99.99460
GET       0.600     99.99574
GET       0.610     99.99649
GET       0.620     99.99659
GET       0.630     99.99697
GET       0.640     99.99716
GET       0.650     99.99754
GET       0.660     99.99782
GET       0.680     99.99801
GET       0.690     99.99810
GET       0.710     99.99820
GET       0.720     99.99839
GET       0.740     99.99858
GET       0.780     99.99867
GET       0.790     99.99877
GET       0.800     99.99886
GET       0.810     99.99915
GET       0.830     99.99934
GET       0.850     99.99943
GET       0.890     99.99953
GET       0.930     99.99962
GET       0.960     99.99972
GET       0.970     99.99981
GET       1.000    100.00000
