[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       41617 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       83883 ops,   42261 (avg:   41941) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 10%,   3 secs]  1 threads:      126060 ops,   42171 (avg:   42018) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 13%,   4 secs]  1 threads:      168162 ops,   42097 (avg:   42037) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 17%,   5 secs]  1 threads:      210454 ops,   42286 (avg:   42087) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 20%,   6 secs]  1 threads:      252005 ops,   41546 (avg:   41997) ops/sec, 1.53MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 23%,   7 secs]  1 threads:      294025 ops,   42015 (avg:   41999) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 27%,   8 secs]  1 threads:      336232 ops,   42201 (avg:   42025) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 30%,   9 secs]  1 threads:      378320 ops,   42083 (avg:   42031) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  1 threads:      420506 ops,   42181 (avg:   42046) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  1 threads:      462829 ops,   42318 (avg:   42071) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  1 threads:      505176 ops,   42342 (avg:   42093) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  1 threads:      547395 ops,   42214 (avg:   42103) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  1 threads:      589604 ops,   42204 (avg:   42110) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 50%,  15 secs]  1 threads:      631831 ops,   42222 (avg:   42117) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 53%,  16 secs]  1 threads:      674174 ops,   42338 (avg:   42131) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 57%,  17 secs]  1 threads:      716719 ops,   42539 (avg:   42155) ops/sec, 1.57MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 60%,  18 secs]  1 threads:      758866 ops,   42142 (avg:   42154) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 63%,  19 secs]  1 threads:      800937 ops,   42066 (avg:   42150) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 67%,  20 secs]  1 threads:      843007 ops,   42064 (avg:   42145) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 70%,  21 secs]  1 threads:      885163 ops,   42151 (avg:   42146) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 73%,  22 secs]  1 threads:      927423 ops,   42255 (avg:   42151) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 77%,  23 secs]  1 threads:      969651 ops,   42222 (avg:   42154) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 80%,  24 secs]  1 threads:     1011587 ops,   41931 (avg:   42144) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 83%,  25 secs]  1 threads:     1053589 ops,   41996 (avg:   42138) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 87%,  26 secs]  1 threads:     1095110 ops,   41516 (avg:   42115) ops/sec, 1.53MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 90%,  27 secs]  1 threads:     1137177 ops,   42062 (avg:   42113) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 93%,  28 secs]  1 threads:     1179256 ops,   42073 (avg:   42111) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 97%,  29 secs]  1 threads:     1221622 ops,   42361 (avg:   42120) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 100%,  30 secs]  0 threads:     1263860 ops,   42361 (avg:   42128) ops/sec, 1.56MB/sec (avg: 1.55MB/sec),  0.14 (avg:  0.14) msec latency

1         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3829.96          ---          ---      0.14200       280.51
Gets       38298.61     38016.47       282.13      0.13900      1309.03
Totals     42128.56     38016.47       282.13      0.13900      1589.55


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.050      0.00009
GET       0.053      0.00052
GET       0.054      0.00078
GET       0.055      0.00096
GET       0.056      0.00139
GET       0.057      0.00279
GET       0.058      0.00444
GET       0.059      0.00566
GET       0.060      0.00783
GET       0.061      0.01088
GET       0.062      0.01393
GET       0.063      0.01810
GET       0.064      0.02446
GET       0.065      0.03090
GET       0.066      0.04004
GET       0.067      0.05248
GET       0.068      0.06884
GET       0.069      0.08686
GET       0.070      0.11184
GET       0.071      0.14030
GET       0.072      0.17764
GET       0.073      0.22472
GET       0.074      0.28078
GET       0.075      0.33918
GET       0.076      0.41255
GET       0.077      0.50272
GET       0.078      0.60959
GET       0.079      0.73362
GET       0.080      0.87714
GET       0.081      1.02728
GET       0.082      1.19699
GET       0.083      1.38891
GET       0.084      1.61990
GET       0.085      1.88449
GET       0.086      2.19242
GET       0.087      2.54334
GET       0.088      2.93770
GET       0.089      3.35599
GET       0.090      3.79308
GET       0.091      4.27743
GET       0.092      4.81940
GET       0.093      5.41289
GET       0.094      6.06113
GET       0.095      6.76542
GET       0.096      7.50730
GET       0.097      8.27400
GET       0.098      9.06097
GET       0.099      9.88040
GET       0.100     14.74524
GET       0.110     25.41427
GET       0.120     36.83058
GET       0.130     49.75870
GET       0.140     63.66726
GET       0.150     75.23110
GET       0.160     82.97244
GET       0.170     88.06609
GET       0.180     91.63766
GET       0.190     94.20955
GET       0.200     95.95687
GET       0.210     97.00495
GET       0.220     97.58826
GET       0.230     97.92291
GET       0.240     98.13640
GET       0.250     98.30168
GET       0.260     98.44320
GET       0.270     98.57584
GET       0.280     98.70030
GET       0.290     98.81536
GET       0.300     98.91955
GET       0.310     99.01790
GET       0.320     99.11007
GET       0.330     99.19614
GET       0.340     99.28196
GET       0.350     99.35002
GET       0.360     99.41730
GET       0.370     99.47396
GET       0.380     99.52792
GET       0.390     99.57309
GET       0.400     99.61478
GET       0.410     99.65778
GET       0.420     99.69842
GET       0.430     99.74046
GET       0.440     99.78050
GET       0.450     99.81627
GET       0.460     99.84603
GET       0.470     99.87232
GET       0.480     99.89321
GET       0.490     99.91009
GET       0.500     99.92445
GET       0.510     99.93455
GET       0.520     99.94290
GET       0.530     99.95039
GET       0.540     99.95718
GET       0.550     99.96318
GET       0.560     99.96858
GET       0.570     99.97511
GET       0.580     99.97929
GET       0.590     99.98303
GET       0.600     99.98607
GET       0.610     99.98851
GET       0.620     99.99008
GET       0.630     99.99095
GET       0.640     99.99208
GET       0.650     99.99295
GET       0.660     99.99347
GET       0.670     99.99382
GET       0.680     99.99460
GET       0.690     99.99521
GET       0.700     99.99547
GET       0.710     99.99591
GET       0.720     99.99634
GET       0.730     99.99687
GET       0.740     99.99704
GET       0.750     99.99713
GET       0.760     99.99756
GET       0.770     99.99765
GET       0.780     99.99782
GET       0.790     99.99791
GET       0.800     99.99843
GET       0.820     99.99852
GET       0.830     99.99861
GET       0.840     99.99878
GET       0.850     99.99887
GET       0.860     99.99922
GET       0.870     99.99930
GET       0.880     99.99965
GET       0.900     99.99974
GET       1.000     99.99991
GET       1.300    100.00000
