[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       45626 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       91225 ops,   45593 (avg:   45611) ops/sec, 1.68MB/sec (avg: 1.68MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:      136326 ops,   45095 (avg:   45439) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:      181458 ops,   45127 (avg:   45361) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 17%,   5 secs]  1 threads:      226763 ops,   45299 (avg:   45349) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 20%,   6 secs]  1 threads:      272005 ops,   45236 (avg:   45330) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 23%,   7 secs]  1 threads:      317276 ops,   45267 (avg:   45321) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 27%,   8 secs]  1 threads:      362387 ops,   45106 (avg:   45294) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 30%,   9 secs]  1 threads:      407790 ops,   45398 (avg:   45306) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 33%,  10 secs]  1 threads:      453142 ops,   45347 (avg:   45310) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 37%,  11 secs]  1 threads:      498307 ops,   45160 (avg:   45296) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 40%,  12 secs]  1 threads:      543475 ops,   45162 (avg:   45285) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 43%,  13 secs]  1 threads:      589113 ops,   45632 (avg:   45312) ops/sec, 1.68MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 47%,  14 secs]  1 threads:      634375 ops,   45256 (avg:   45308) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 50%,  15 secs]  1 threads:      680471 ops,   46090 (avg:   45360) ops/sec, 1.70MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 53%,  16 secs]  1 threads:      725600 ops,   45123 (avg:   45345) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 57%,  17 secs]  1 threads:      771466 ops,   45860 (avg:   45375) ops/sec, 1.69MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 60%,  18 secs]  1 threads:      816770 ops,   45298 (avg:   45371) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 63%,  19 secs]  1 threads:      862063 ops,   45287 (avg:   45367) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 67%,  20 secs]  1 threads:      907289 ops,   45220 (avg:   45359) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 70%,  21 secs]  1 threads:      952534 ops,   45239 (avg:   45354) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 73%,  22 secs]  1 threads:      997749 ops,   45209 (avg:   45347) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 77%,  23 secs]  1 threads:     1043058 ops,   45304 (avg:   45345) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 80%,  24 secs]  1 threads:     1088753 ops,   45690 (avg:   45360) ops/sec, 1.68MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 83%,  25 secs]  1 threads:     1134434 ops,   45675 (avg:   45372) ops/sec, 1.68MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 87%,  26 secs]  1 threads:     1179559 ops,   45119 (avg:   45362) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 90%,  27 secs]  1 threads:     1224936 ops,   45371 (avg:   45363) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 93%,  28 secs]  1 threads:     1270367 ops,   45425 (avg:   45365) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 97%,  29 secs]  1 threads:     1315940 ops,   45567 (avg:   45372) ops/sec, 1.68MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 100%,  30 secs]  0 threads:     1360984 ops,   45567 (avg:   45366) ops/sec, 1.68MB/sec (avg: 1.67MB/sec),  0.15 (avg:  0.15) msec latency

1         Threads
7         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        4124.29          ---          ---      0.15400       302.07
Gets       41241.75     40826.98       414.77      0.15100      1409.63
Totals     45366.04     40826.98       414.77      0.15100      1711.70


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000    100.00000
---
GET       0.052      0.00016
GET       0.053      0.00032
GET       0.054      0.00048
GET       0.055      0.00065
GET       0.056      0.00105
GET       0.057      0.00129
GET       0.058      0.00178
GET       0.059      0.00299
GET       0.060      0.00372
GET       0.061      0.00542
GET       0.062      0.00719
GET       0.063      0.01002
GET       0.064      0.01269
GET       0.065      0.01584
GET       0.066      0.02037
GET       0.067      0.02473
GET       0.068      0.02966
GET       0.069      0.03750
GET       0.070      0.04607
GET       0.071      0.05698
GET       0.072      0.06854
GET       0.073      0.08470
GET       0.074      0.10046
GET       0.075      0.12156
GET       0.076      0.14653
GET       0.077      0.17668
GET       0.078      0.21475
GET       0.079      0.25718
GET       0.080      0.30673
GET       0.081      0.36516
GET       0.082      0.43338
GET       0.083      0.52035
GET       0.084      0.62938
GET       0.085      0.75490
GET       0.086      0.90458
GET       0.087      1.08377
GET       0.088      1.28753
GET       0.089      1.53816
GET       0.090      1.82315
GET       0.091      2.14871
GET       0.092      2.51371
GET       0.093      2.92252
GET       0.094      3.38952
GET       0.095      3.90922
GET       0.096      4.48824
GET       0.097      5.12174
GET       0.098      5.76656
GET       0.099      6.43691
GET       0.100     10.31049
GET       0.110     18.71530
GET       0.120     27.09393
GET       0.130     36.61824
GET       0.140     50.59935
GET       0.150     64.56543
GET       0.160     73.92591
GET       0.170     80.07800
GET       0.180     84.55856
GET       0.190     88.20251
GET       0.200     91.07338
GET       0.210     93.14693
GET       0.220     94.60629
GET       0.230     95.66637
GET       0.240     96.47373
GET       0.250     97.08573
GET       0.260     97.51345
GET       0.270     97.82268
GET       0.280     98.05319
GET       0.290     98.23302
GET       0.300     98.38562
GET       0.310     98.50710
GET       0.320     98.62260
GET       0.330     98.72096
GET       0.340     98.80631
GET       0.350     98.88568
GET       0.360     98.95535
GET       0.370     99.02494
GET       0.380     99.09461
GET       0.390     99.16202
GET       0.400     99.23225
GET       0.410     99.29279
GET       0.420     99.35656
GET       0.430     99.41289
GET       0.440     99.46486
GET       0.450     99.51150
GET       0.460     99.55110
GET       0.470     99.59006
GET       0.480     99.63039
GET       0.490     99.66660
GET       0.500     99.70507
GET       0.510     99.73853
GET       0.520     99.77385
GET       0.530     99.80538
GET       0.540     99.83512
GET       0.550     99.86276
GET       0.560     99.88119
GET       0.570     99.89857
GET       0.580     99.91311
GET       0.590     99.92556
GET       0.600     99.93712
GET       0.610     99.94827
GET       0.620     99.95611
GET       0.630     99.96387
GET       0.640     99.96824
GET       0.650     99.97317
GET       0.660     99.97624
GET       0.670     99.97858
GET       0.680     99.98036
GET       0.690     99.98181
GET       0.700     99.98335
GET       0.710     99.98472
GET       0.720     99.98561
GET       0.730     99.98626
GET       0.740     99.98699
GET       0.750     99.98723
GET       0.760     99.98828
GET       0.770     99.98885
GET       0.780     99.98925
GET       0.790     99.98949
GET       0.800     99.98965
GET       0.810     99.98974
GET       0.820     99.99022
GET       0.830     99.99038
GET       0.840     99.99062
GET       0.850     99.99119
GET       0.860     99.99159
GET       0.870     99.99208
GET       0.880     99.99273
GET       0.900     99.99289
GET       0.910     99.99305
GET       0.920     99.99321
GET       0.930     99.99329
GET       0.940     99.99345
GET       0.950     99.99361
GET       0.970     99.99386
GET       0.990     99.99394
GET       1.000     99.99475
GET       1.100     99.99636
GET       1.200     99.99669
GET       1.300     99.99717
GET       1.400     99.99782
GET       1.500     99.99838
GET       1.600     99.99879
GET       1.700     99.99903
GET       1.800     99.99911
GET       1.900     99.99927
GET       2.000     99.99935
GET       2.100     99.99943
GET       2.600     99.99952
GET       2.900     99.99960
GET       3.000     99.99992
GET       3.800    100.00000
