[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       51311 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      102193 ops,   50875 (avg:   51096) ops/sec, 1.87MB/sec (avg: 1.88MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:      152222 ops,   50023 (avg:   50738) ops/sec, 1.84MB/sec (avg: 1.87MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 13%,   4 secs]  1 threads:      202860 ops,   50631 (avg:   50712) ops/sec, 1.87MB/sec (avg: 1.87MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:      252583 ops,   49717 (avg:   50513) ops/sec, 1.83MB/sec (avg: 1.86MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:      303175 ops,   50586 (avg:   50525) ops/sec, 1.86MB/sec (avg: 1.86MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:      353652 ops,   50471 (avg:   50517) ops/sec, 1.86MB/sec (avg: 1.86MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:      404489 ops,   50832 (avg:   50557) ops/sec, 1.87MB/sec (avg: 1.86MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      454543 ops,   50048 (avg:   50500) ops/sec, 1.84MB/sec (avg: 1.86MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 33%,  10 secs]  1 threads:      505642 ops,   51093 (avg:   50559) ops/sec, 1.88MB/sec (avg: 1.86MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 37%,  11 secs]  1 threads:      556607 ops,   50959 (avg:   50596) ops/sec, 1.88MB/sec (avg: 1.86MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 40%,  12 secs]  1 threads:      607478 ops,   50865 (avg:   50618) ops/sec, 1.87MB/sec (avg: 1.87MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 43%,  13 secs]  1 threads:      658049 ops,   50564 (avg:   50614) ops/sec, 1.86MB/sec (avg: 1.86MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 47%,  14 secs]  1 threads:      709609 ops,   51553 (avg:   50681) ops/sec, 1.90MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 50%,  15 secs]  1 threads:      760814 ops,   51199 (avg:   50716) ops/sec, 1.89MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 53%,  16 secs]  1 threads:      811509 ops,   50689 (avg:   50714) ops/sec, 1.87MB/sec (avg: 1.87MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 57%,  17 secs]  1 threads:      862333 ops,   50818 (avg:   50720) ops/sec, 1.87MB/sec (avg: 1.87MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 60%,  18 secs]  1 threads:      913271 ops,   50932 (avg:   50732) ops/sec, 1.88MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 63%,  19 secs]  1 threads:      963976 ops,   50698 (avg:   50730) ops/sec, 1.87MB/sec (avg: 1.87MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 67%,  20 secs]  1 threads:     1014990 ops,   51007 (avg:   50744) ops/sec, 1.88MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 70%,  21 secs]  1 threads:     1066127 ops,   51131 (avg:   50762) ops/sec, 1.88MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 73%,  22 secs]  1 threads:     1117298 ops,   51164 (avg:   50781) ops/sec, 1.89MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:     1168686 ops,   51381 (avg:   50807) ops/sec, 1.89MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:     1219930 ops,   51237 (avg:   50825) ops/sec, 1.89MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:     1271359 ops,   51422 (avg:   50849) ops/sec, 1.89MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 87%,  26 secs]  1 threads:     1322414 ops,   51048 (avg:   50856) ops/sec, 1.88MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 90%,  27 secs]  1 threads:     1373268 ops,   50847 (avg:   50856) ops/sec, 1.87MB/sec (avg: 1.87MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 93%,  28 secs]  1 threads:     1424551 ops,   51276 (avg:   50871) ops/sec, 1.89MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 97%,  29 secs]  1 threads:     1475800 ops,   51242 (avg:   50884) ops/sec, 1.89MB/sec (avg: 1.87MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 100%,  30 secs]  0 threads:     1527124 ops,   51242 (avg:   50904) ops/sec, 1.89MB/sec (avg: 1.88MB/sec),  0.15 (avg:  0.15) msec latency

1         Threads
8         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        4787.37          ---          ---      0.15700       350.64
Gets       47871.95     47492.67       379.27      0.15400      1636.25
Totals     52659.31     47492.67       379.27      0.15400      1986.89


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.050      0.00022
GET       0.051      0.00036
GET       0.052      0.00072
GET       0.053      0.00122
GET       0.054      0.00202
GET       0.055      0.00310
GET       0.056      0.00418
GET       0.057      0.00576
GET       0.058      0.00843
GET       0.059      0.01124
GET       0.060      0.01419
GET       0.061      0.01765
GET       0.062      0.02233
GET       0.063      0.02816
GET       0.064      0.03616
GET       0.065      0.04588
GET       0.066      0.05712
GET       0.067      0.07275
GET       0.068      0.08853
GET       0.069      0.10639
GET       0.070      0.12749
GET       0.071      0.15285
GET       0.072      0.18267
GET       0.073      0.21876
GET       0.074      0.26147
GET       0.075      0.31182
GET       0.076      0.36779
GET       0.077      0.43370
GET       0.078      0.50998
GET       0.079      0.59779
GET       0.080      0.69524
GET       0.081      0.81294
GET       0.082      0.95405
GET       0.083      1.11518
GET       0.084      1.29735
GET       0.085      1.49961
GET       0.086      1.73321
GET       0.087      2.00945
GET       0.088      2.34108
GET       0.089      2.70592
GET       0.090      3.09287
GET       0.091      3.51901
GET       0.092      3.99009
GET       0.093      4.50417
GET       0.094      5.10045
GET       0.095      5.79548
GET       0.096      6.55483
GET       0.097      7.31836
GET       0.098      8.07079
GET       0.099      8.82064
GET       0.100     13.08307
GET       0.110     21.72975
GET       0.120     30.13693
GET       0.130     40.06195
GET       0.140     52.87512
GET       0.150     64.53443
GET       0.160     71.76707
GET       0.170     76.70681
GET       0.180     80.66679
GET       0.190     84.11204
GET       0.200     86.91289
GET       0.210     88.96297
GET       0.220     90.57459
GET       0.230     92.06355
GET       0.240     93.52837
GET       0.250     94.78956
GET       0.260     95.74059
GET       0.270     96.45629
GET       0.280     97.04543
GET       0.290     97.55426
GET       0.300     97.92406
GET       0.310     98.17639
GET       0.320     98.36043
GET       0.330     98.50485
GET       0.340     98.63299
GET       0.350     98.73413
GET       0.360     98.81682
GET       0.370     98.88489
GET       0.380     98.94928
GET       0.390     99.01606
GET       0.400     99.07483
GET       0.410     99.13138
GET       0.420     99.18871
GET       0.430     99.23676
GET       0.440     99.28005
GET       0.450     99.32276
GET       0.460     99.35698
GET       0.470     99.38774
GET       0.480     99.41993
GET       0.490     99.45177
GET       0.500     99.48274
GET       0.510     99.51127
GET       0.520     99.54289
GET       0.530     99.57444
GET       0.540     99.60729
GET       0.550     99.63502
GET       0.560     99.66412
GET       0.570     99.68969
GET       0.580     99.71807
GET       0.590     99.74299
GET       0.600     99.76828
GET       0.610     99.79197
GET       0.620     99.81524
GET       0.630     99.83404
GET       0.640     99.85435
GET       0.650     99.87373
GET       0.660     99.89073
GET       0.670     99.90586
GET       0.680     99.91961
GET       0.690     99.93222
GET       0.700     99.94403
GET       0.710     99.95296
GET       0.720     99.96038
GET       0.730     99.96658
GET       0.740     99.97133
GET       0.750     99.97580
GET       0.760     99.97882
GET       0.770     99.98113
GET       0.780     99.98293
GET       0.790     99.98502
GET       0.800     99.98624
GET       0.810     99.98703
GET       0.820     99.98811
GET       0.830     99.98855
GET       0.840     99.98891
GET       0.850     99.98934
GET       0.860     99.98948
GET       0.870     99.98970
GET       0.880     99.99006
GET       0.890     99.99042
GET       0.900     99.99064
GET       0.910     99.99078
GET       0.930     99.99092
GET       0.940     99.99107
GET       0.950     99.99121
GET       0.960     99.99136
GET       0.970     99.99157
GET       0.980     99.99164
GET       1.000     99.99215
GET       1.100     99.99323
GET       1.200     99.99438
GET       1.300     99.99467
GET       1.400     99.99561
GET       1.500     99.99640
GET       1.600     99.99697
GET       1.700     99.99755
GET       1.800     99.99791
GET       1.900     99.99798
GET       2.000     99.99806
GET       2.100     99.99820
GET       2.300     99.99827
GET       2.400     99.99842
GET       2.500     99.99849
GET       2.600     99.99863
GET       2.700     99.99870
GET       2.800     99.99892
GET       2.900     99.99899
GET       3.400     99.99906
GET       3.500     99.99928
GET       3.700     99.99942
GET       3.900     99.99957
GET       4.000     99.99971
GET       4.100     99.99986
GET       4.300    100.00000
