[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       76779 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:      156179 ops,   79390 (avg:   78093) ops/sec, 2.99MB/sec (avg: 2.95MB/sec),  0.48 (avg:  0.48) msec latency[RUN #1 10%,   3 secs]  2 threads:      236945 ops,   80756 (avg:   78981) ops/sec, 3.05MB/sec (avg: 2.98MB/sec),  0.47 (avg:  0.48) msec latency[RUN #1 13%,   4 secs]  2 threads:      316802 ops,   79846 (avg:   79197) ops/sec, 3.01MB/sec (avg: 2.99MB/sec),  0.47 (avg:  0.48) msec latency[RUN #1 17%,   5 secs]  2 threads:      399214 ops,   82401 (avg:   79838) ops/sec, 3.11MB/sec (avg: 3.01MB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 20%,   6 secs]  2 threads:      481753 ops,   82528 (avg:   80286) ops/sec, 3.11MB/sec (avg: 3.03MB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 23%,   7 secs]  2 threads:      564411 ops,   82647 (avg:   80624) ops/sec, 3.12MB/sec (avg: 3.04MB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 27%,   8 secs]  2 threads:      644597 ops,   80175 (avg:   80568) ops/sec, 3.02MB/sec (avg: 3.04MB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 30%,   9 secs]  2 threads:      725319 ops,   80711 (avg:   80584) ops/sec, 3.04MB/sec (avg: 3.04MB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 33%,  10 secs]  2 threads:      805103 ops,   79773 (avg:   80503) ops/sec, 3.01MB/sec (avg: 3.04MB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 37%,  11 secs]  2 threads:      884744 ops,   79630 (avg:   80423) ops/sec, 3.00MB/sec (avg: 3.03MB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 40%,  12 secs]  2 threads:      965049 ops,   80294 (avg:   80412) ops/sec, 3.03MB/sec (avg: 3.03MB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 43%,  13 secs]  2 threads:     1044728 ops,   79670 (avg:   80355) ops/sec, 3.00MB/sec (avg: 3.03MB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 47%,  14 secs]  2 threads:     1125176 ops,   80437 (avg:   80361) ops/sec, 3.03MB/sec (avg: 3.03MB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 50%,  15 secs]  2 threads:     1204673 ops,   79488 (avg:   80303) ops/sec, 3.00MB/sec (avg: 3.03MB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 53%,  16 secs]  2 threads:     1282440 ops,   77759 (avg:   80144) ops/sec, 2.93MB/sec (avg: 3.02MB/sec),  0.49 (avg:  0.47) msec latency[RUN #1 57%,  17 secs]  2 threads:     1361585 ops,   79135 (avg:   80085) ops/sec, 2.98MB/sec (avg: 3.02MB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 60%,  18 secs]  2 threads:     1439844 ops,   78250 (avg:   79983) ops/sec, 2.95MB/sec (avg: 3.02MB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 63%,  19 secs]  2 threads:     1515850 ops,   75996 (avg:   79773) ops/sec, 2.87MB/sec (avg: 3.01MB/sec),  0.50 (avg:  0.47) msec latency[RUN #1 67%,  20 secs]  2 threads:     1593330 ops,   77464 (avg:   79657) ops/sec, 2.92MB/sec (avg: 3.00MB/sec),  0.49 (avg:  0.47) msec latency[RUN #1 70%,  21 secs]  2 threads:     1669345 ops,   76007 (avg:   79484) ops/sec, 2.87MB/sec (avg: 3.00MB/sec),  0.50 (avg:  0.48) msec latency[RUN #1 73%,  22 secs]  2 threads:     1747331 ops,   77978 (avg:   79415) ops/sec, 2.94MB/sec (avg: 2.99MB/sec),  0.48 (avg:  0.48) msec latency[RUN #1 77%,  23 secs]  2 threads:     1824268 ops,   76929 (avg:   79307) ops/sec, 2.90MB/sec (avg: 2.99MB/sec),  0.49 (avg:  0.48) msec latency[RUN #1 80%,  24 secs]  2 threads:     1903604 ops,   79327 (avg:   79308) ops/sec, 2.99MB/sec (avg: 2.99MB/sec),  0.48 (avg:  0.48) msec latency[RUN #1 83%,  25 secs]  2 threads:     1984073 ops,   80461 (avg:   79354) ops/sec, 3.03MB/sec (avg: 2.99MB/sec),  0.47 (avg:  0.48) msec latency[RUN #1 87%,  26 secs]  2 threads:     2069937 ops,   85855 (avg:   79604) ops/sec, 3.24MB/sec (avg: 3.00MB/sec),  0.44 (avg:  0.47) msec latency[RUN #1 90%,  27 secs]  2 threads:     2164027 ops,   94080 (avg:   80140) ops/sec, 3.55MB/sec (avg: 3.02MB/sec),  0.40 (avg:  0.47) msec latency[RUN #1 93%,  28 secs]  2 threads:     2264548 ops,  100510 (avg:   80868) ops/sec, 3.79MB/sec (avg: 3.05MB/sec),  0.38 (avg:  0.47) msec latency[RUN #1 97%,  29 secs]  2 threads:     2365946 ops,  101387 (avg:   81575) ops/sec, 3.82MB/sec (avg: 3.08MB/sec),  0.37 (avg:  0.46) msec latency[RUN #1 100%,  30 secs]  0 threads:     2467669 ops,  101387 (avg:   82255) ops/sec, 3.82MB/sec (avg: 3.10MB/sec),  0.37 (avg:  0.46) msec latency

2         Threads
19        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        7478.33          ---          ---      0.46200       554.35
Gets       74776.92     27929.27     46847.65      0.45900      2622.17
Totals     82255.25     27929.27     46847.65      0.45900      3176.51


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.076      0.00004
GET       0.082      0.00009
GET       0.083      0.00013
GET       0.085      0.00018
GET       0.086      0.00031
GET       0.087      0.00045
GET       0.088      0.00049
GET       0.089      0.00053
GET       0.091      0.00076
GET       0.092      0.00098
GET       0.093      0.00111
GET       0.094      0.00174
GET       0.095      0.00196
GET       0.096      0.00236
GET       0.097      0.00272
GET       0.098      0.00312
GET       0.099      0.00357
GET       0.100      0.00673
GET       0.110      0.01863
GET       0.120      0.04649
GET       0.130      0.12152
GET       0.140      0.31770
GET       0.150      0.71822
GET       0.160      1.31702
GET       0.170      2.25893
GET       0.180      3.85041
GET       0.190      6.70382
GET       0.200     10.39184
GET       0.210     13.90980
GET       0.220     17.22903
GET       0.230     20.59512
GET       0.240     24.52947
GET       0.250     27.74185
GET       0.260     29.78659
GET       0.270     31.07468
GET       0.280     31.98757
GET       0.290     32.84840
GET       0.300     33.70378
GET       0.310     34.62501
GET       0.320     35.74179
GET       0.330     37.21951
GET       0.340     39.25400
GET       0.350     41.51930
GET       0.360     43.89088
GET       0.370     46.42543
GET       0.380     49.35586
GET       0.390     52.86165
GET       0.400     56.42709
GET       0.410     59.90359
GET       0.420     63.36939
GET       0.430     67.03013
GET       0.440     70.83976
GET       0.450     74.26379
GET       0.460     77.16084
GET       0.470     79.59246
GET       0.480     81.60831
GET       0.490     83.25605
GET       0.500     84.43007
GET       0.510     85.28706
GET       0.520     85.90521
GET       0.530     86.36627
GET       0.540     86.72605
GET       0.550     87.02119
GET       0.560     87.27773
GET       0.570     87.51960
GET       0.580     87.75470
GET       0.590     87.99475
GET       0.600     88.24028
GET       0.610     88.50341
GET       0.620     88.78220
GET       0.630     89.09825
GET       0.640     89.45584
GET       0.650     89.84883
GET       0.660     90.27311
GET       0.670     90.72044
GET       0.680     91.20887
GET       0.690     91.72503
GET       0.700     92.24604
GET       0.710     92.76326
GET       0.720     93.26556
GET       0.730     93.75077
GET       0.740     94.19775
GET       0.750     94.59292
GET       0.760     94.94276
GET       0.770     95.23951
GET       0.780     95.49328
GET       0.790     95.70716
GET       0.800     95.88092
GET       0.810     96.01884
GET       0.820     96.13202
GET       0.830     96.22724
GET       0.840     96.30962
GET       0.850     96.37706
GET       0.860     96.43448
GET       0.870     96.48168
GET       0.880     96.52564
GET       0.890     96.56353
GET       0.900     96.59380
GET       0.910     96.61876
GET       0.920     96.64051
GET       0.930     96.65955
GET       0.940     96.67475
GET       0.950     96.68692
GET       0.960     96.69753
GET       0.970     96.70600
GET       0.980     96.71487
GET       0.990     96.72146
GET       1.000     96.75240
GET       1.100     96.79827
GET       1.200     96.82711
GET       1.300     96.83531
GET       1.400     96.84347
GET       1.500     96.85747
GET       1.600     96.88038
GET       1.700     96.90280
GET       1.800     96.91872
GET       1.900     96.93102
GET       2.000     96.94060
GET       2.100     96.95612
GET       2.200     96.98237
GET       2.300     97.03252
GET       2.400     97.11160
GET       2.500     97.24141
GET       2.600     97.44334
GET       2.700     97.70920
GET       2.800     98.04129
GET       2.900     98.39604
GET       3.000     98.75876
GET       3.100     99.08011
GET       3.200     99.34610
GET       3.300     99.55526
GET       3.400     99.71551
GET       3.500     99.82829
GET       3.600     99.89729
GET       3.700     99.93777
GET       3.800     99.96630
GET       3.900     99.98021
GET       4.000     99.98890
GET       4.100     99.99247
GET       4.200     99.99456
GET       4.300     99.99581
GET       4.400     99.99692
GET       4.500     99.99741
GET       4.600     99.99782
GET       4.700     99.99804
GET       4.800     99.99857
GET       4.900     99.99889
GET       5.000     99.99915
GET       5.100     99.99951
GET       5.200     99.99960
GET       5.400     99.99978
GET       5.500     99.99991
GET       5.600    100.00000
