[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  6 threads:       18668 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  6 threads:       37166 ops,   18495 (avg:   18584) ops/sec, 701.95KB/sec (avg: 706.39KB/sec),  3.89 (avg:  3.87) msec latency[RUN #1 10%,   3 secs]  6 threads:       55604 ops,   18435 (avg:   18534) ops/sec, 700.83KB/sec (avg: 704.54KB/sec),  3.90 (avg:  3.88) msec latency[RUN #1 13%,   4 secs]  6 threads:       74108 ops,   18501 (avg:   18526) ops/sec, 701.79KB/sec (avg: 703.85KB/sec),  3.89 (avg:  3.88) msec latency[RUN #1 17%,   5 secs]  6 threads:       92540 ops,   18429 (avg:   18506) ops/sec, 700.28KB/sec (avg: 703.14KB/sec),  3.90 (avg:  3.88) msec latency[RUN #1 20%,   6 secs]  6 threads:      111044 ops,   18501 (avg:   18506) ops/sec, 703.88KB/sec (avg: 703.26KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 23%,   7 secs]  6 threads:      129547 ops,   18500 (avg:   18505) ops/sec, 701.95KB/sec (avg: 703.07KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 27%,   8 secs]  6 threads:      148046 ops,   18497 (avg:   18504) ops/sec, 702.06KB/sec (avg: 702.95KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 30%,   9 secs]  6 threads:      166555 ops,   18506 (avg:   18504) ops/sec, 703.53KB/sec (avg: 703.01KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 33%,  10 secs]  6 threads:      185059 ops,   18501 (avg:   18504) ops/sec, 702.18KB/sec (avg: 702.93KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 37%,  11 secs]  6 threads:      203563 ops,   18501 (avg:   18504) ops/sec, 702.67KB/sec (avg: 702.90KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 40%,  12 secs]  6 threads:      222140 ops,   18575 (avg:   18509) ops/sec, 706.85KB/sec (avg: 703.23KB/sec),  3.87 (avg:  3.89) msec latency[RUN #1 43%,  13 secs]  6 threads:      240709 ops,   18566 (avg:   18514) ops/sec, 704.31KB/sec (avg: 703.32KB/sec),  3.88 (avg:  3.88) msec latency[RUN #1 47%,  14 secs]  6 threads:      259219 ops,   18508 (avg:   18513) ops/sec, 704.63KB/sec (avg: 703.41KB/sec),  3.89 (avg:  3.88) msec latency[RUN #1 50%,  15 secs]  6 threads:      277657 ops,   18435 (avg:   18508) ops/sec, 699.21KB/sec (avg: 703.13KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 53%,  16 secs]  6 threads:      296163 ops,   18503 (avg:   18508) ops/sec, 702.34KB/sec (avg: 703.08KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 57%,  17 secs]  6 threads:      314667 ops,   18501 (avg:   18507) ops/sec, 704.30KB/sec (avg: 703.15KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 60%,  18 secs]  6 threads:      333164 ops,   18494 (avg:   18507) ops/sec, 700.95KB/sec (avg: 703.03KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 63%,  19 secs]  6 threads:      351668 ops,   18501 (avg:   18506) ops/sec, 702.66KB/sec (avg: 703.01KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 67%,  20 secs]  6 threads:      370206 ops,   18535 (avg:   18508) ops/sec, 705.21KB/sec (avg: 703.12KB/sec),  3.88 (avg:  3.89) msec latency[RUN #1 70%,  21 secs]  6 threads:      388575 ops,   18366 (avg:   18501) ops/sec, 697.28KB/sec (avg: 702.84KB/sec),  3.92 (avg:  3.89) msec latency[RUN #1 73%,  22 secs]  6 threads:      406932 ops,   18354 (avg:   18494) ops/sec, 696.78KB/sec (avg: 702.57KB/sec),  3.92 (avg:  3.89) msec latency[RUN #1 77%,  23 secs]  6 threads:      425377 ops,   18442 (avg:   18492) ops/sec, 701.13KB/sec (avg: 702.50KB/sec),  3.90 (avg:  3.89) msec latency[RUN #1 80%,  24 secs]  6 threads:      443861 ops,   18481 (avg:   18492) ops/sec, 700.72KB/sec (avg: 702.43KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 83%,  25 secs]  6 threads:      462358 ops,   18495 (avg:   18492) ops/sec, 702.34KB/sec (avg: 702.43KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 87%,  26 secs]  6 threads:      480864 ops,   18504 (avg:   18492) ops/sec, 703.65KB/sec (avg: 702.47KB/sec),  3.89 (avg:  3.89) msec latency[RUN #1 90%,  27 secs]  6 threads:      499390 ops,   18523 (avg:   18493) ops/sec, 702.47KB/sec (avg: 702.47KB/sec),  3.88 (avg:  3.89) msec latency[RUN #1 93%,  28 secs]  6 threads:      517818 ops,   18425 (avg:   18491) ops/sec, 699.63KB/sec (avg: 702.37KB/sec),  3.90 (avg:  3.89) msec latency[RUN #1 97%,  29 secs]  6 threads:      536152 ops,   18331 (avg:   18485) ops/sec, 695.94KB/sec (avg: 702.15KB/sec),  3.92 (avg:  3.89) msec latency[RUN #1 100%,  30 secs]  0 threads:      555195 ops,   18331 (avg:   18505) ops/sec, 695.94KB/sec (avg: 702.98KB/sec),  3.92 (avg:  3.89) msec latency

6         Threads
12        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1683.68          ---          ---      3.89600       129.71
Gets       16821.91         2.17     16819.74      3.88500       573.27
Totals     18505.59         2.17     16819.74      3.88600       702.98


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000      0.35238
SET       3.000     93.40962
SET       4.000     99.85152
SET       5.000     99.98416
SET       6.000    100.00000
---
GET       1.900      0.00020
GET       2.000      0.00753
GET       2.100      0.08421
GET       2.200      0.14128
GET       2.300      0.18863
GET       2.400      0.20964
GET       2.500      0.22648
GET       2.600      0.24471
GET       2.700      0.28731
GET       2.800      0.32337
GET       2.900      0.33130
GET       3.000      0.33803
GET       3.100      0.35091
GET       3.200      0.37846
GET       3.300      0.42145
GET       3.400      0.46505
GET       3.500      0.51201
GET       3.600      0.57601
GET       3.700      0.86510
GET       3.800     21.28865
GET       3.900     88.99287
GET       4.000     97.12136
GET       4.100     99.52089
GET       4.200     99.72795
GET       4.300     99.77590
GET       4.400     99.85298
GET       4.500     99.87854
GET       4.600     99.88745
GET       4.700     99.88765
GET       5.200     99.88825
GET       5.300     99.88844
GET       5.500     99.88884
GET       5.600     99.89498
GET       5.700     99.92153
GET       5.800     99.94075
GET       5.900     99.97583
GET       6.000     99.99227
GET       6.100     99.99802
GET       6.200     99.99960
GET       6.300    100.00000
