[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  8 threads:       27031 ops,   27022 (avg:   27022) ops/sec, 1.00MB/sec (avg: 1.00MB/sec),  3.54 (avg:  3.54) msec latency[RUN #1 7%,   2 secs]  8 threads:       47191 ops,   20157 (avg:   23590) ops/sec, 764.90KB/sec (avg: 896.72KB/sec),  4.75 (avg:  4.06) msec latency[RUN #1 10%,   3 secs]  8 threads:       67349 ops,   20155 (avg:   22445) ops/sec, 764.66KB/sec (avg: 852.70KB/sec),  4.76 (avg:  4.27) msec latency[RUN #1 13%,   4 secs]  8 threads:       87499 ops,   20147 (avg:   21871) ops/sec, 764.76KB/sec (avg: 830.72KB/sec),  4.76 (avg:  4.38) msec latency[RUN #1 17%,   5 secs]  8 threads:      107566 ops,   20064 (avg:   21509) ops/sec, 762.20KB/sec (avg: 817.02KB/sec),  4.78 (avg:  4.46) msec latency[RUN #1 20%,   6 secs]  8 threads:      127599 ops,   20030 (avg:   21263) ops/sec, 761.59KB/sec (avg: 807.78KB/sec),  4.78 (avg:  4.51) msec latency[RUN #1 23%,   7 secs]  8 threads:      147694 ops,   20092 (avg:   21096) ops/sec, 762.88KB/sec (avg: 801.36KB/sec),  4.78 (avg:  4.55) msec latency[RUN #1 27%,   8 secs]  8 threads:      167767 ops,   20070 (avg:   20967) ops/sec, 762.78KB/sec (avg: 796.54KB/sec),  4.77 (avg:  4.57) msec latency[RUN #1 30%,   9 secs]  8 threads:      187887 ops,   20117 (avg:   20873) ops/sec, 763.24KB/sec (avg: 792.84KB/sec),  4.77 (avg:  4.59) msec latency[RUN #1 33%,  10 secs]  8 threads:      208026 ops,   20136 (avg:   20799) ops/sec, 766.07KB/sec (avg: 790.16KB/sec),  4.76 (avg:  4.61) msec latency[RUN #1 37%,  11 secs]  8 threads:      228111 ops,   20082 (avg:   20734) ops/sec, 762.75KB/sec (avg: 787.67KB/sec),  4.77 (avg:  4.62) msec latency[RUN #1 40%,  12 secs]  8 threads:      248119 ops,   20005 (avg:   20673) ops/sec, 758.54KB/sec (avg: 785.24KB/sec),  4.79 (avg:  4.64) msec latency[RUN #1 43%,  13 secs]  8 threads:      268183 ops,   20061 (avg:   20626) ops/sec, 761.90KB/sec (avg: 783.45KB/sec),  4.78 (avg:  4.65) msec latency[RUN #1 47%,  14 secs]  8 threads:      288247 ops,   20061 (avg:   20586) ops/sec, 762.74KB/sec (avg: 781.97KB/sec),  4.78 (avg:  4.66) msec latency[RUN #1 50%,  15 secs]  8 threads:      308311 ops,   20061 (avg:   20551) ops/sec, 761.91KB/sec (avg: 780.63KB/sec),  4.78 (avg:  4.67) msec latency[RUN #1 53%,  16 secs]  8 threads:      328381 ops,   20067 (avg:   20521) ops/sec, 762.71KB/sec (avg: 779.51KB/sec),  4.78 (avg:  4.67) msec latency[RUN #1 57%,  17 secs]  8 threads:      348495 ops,   20111 (avg:   20496) ops/sec, 765.71KB/sec (avg: 778.70KB/sec),  4.77 (avg:  4.68) msec latency[RUN #1 60%,  18 secs]  8 threads:      368559 ops,   20061 (avg:   20472) ops/sec, 761.71KB/sec (avg: 777.75KB/sec),  4.78 (avg:  4.68) msec latency[RUN #1 63%,  19 secs]  8 threads:      388623 ops,   20061 (avg:   20451) ops/sec, 761.83KB/sec (avg: 776.92KB/sec),  4.78 (avg:  4.69) msec latency[RUN #1 67%,  20 secs]  8 threads:      408687 ops,   20061 (avg:   20431) ops/sec, 762.09KB/sec (avg: 776.18KB/sec),  4.78 (avg:  4.69) msec latency[RUN #1 70%,  21 secs]  8 threads:      428751 ops,   20061 (avg:   20414) ops/sec, 762.12KB/sec (avg: 775.51KB/sec),  4.78 (avg:  4.70) msec latency[RUN #1 73%,  22 secs]  8 threads:      448815 ops,   20061 (avg:   20397) ops/sec, 762.07KB/sec (avg: 774.90KB/sec),  4.78 (avg:  4.70) msec latency[RUN #1 77%,  23 secs]  8 threads:      468879 ops,   20061 (avg:   20383) ops/sec, 761.81KB/sec (avg: 774.33KB/sec),  4.78 (avg:  4.70) msec latency[RUN #1 80%,  24 secs]  8 threads:      488943 ops,   20061 (avg:   20369) ops/sec, 762.37KB/sec (avg: 773.83KB/sec),  4.79 (avg:  4.71) msec latency[RUN #1 83%,  25 secs]  8 threads:      509007 ops,   20061 (avg:   20357) ops/sec, 762.65KB/sec (avg: 773.38KB/sec),  4.78 (avg:  4.71) msec latency[RUN #1 87%,  26 secs]  8 threads:      529063 ops,   20053 (avg:   20345) ops/sec, 761.36KB/sec (avg: 772.92KB/sec),  4.78 (avg:  4.71) msec latency[RUN #1 90%,  27 secs]  8 threads:      549079 ops,   20013 (avg:   20333) ops/sec, 758.01KB/sec (avg: 772.37KB/sec),  4.79 (avg:  4.72) msec latency[RUN #1 93%,  28 secs]  8 threads:      569143 ops,   20061 (avg:   20323) ops/sec, 761.53KB/sec (avg: 771.98KB/sec),  4.78 (avg:  4.72) msec latency[RUN #1 97%,  29 secs]  8 threads:      589201 ops,   20055 (avg:   20314) ops/sec, 761.33KB/sec (avg: 771.61KB/sec),  4.79 (avg:  4.72) msec latency[RUN #1 100%,  30 secs]  0 threads:      609231 ops,   20055 (avg:   20306) ops/sec, 761.33KB/sec (avg: 771.30KB/sec),  4.79 (avg:  4.72) msec latency

8         Threads
12        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1909.97          ---          ---      4.71300       147.16
Gets       19096.92         0.00     19096.92      4.72400       650.74
Totals     21006.89         0.00     19096.92      4.72300       797.90


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      3.54383
SET       2.000      4.01502
SET       3.000      4.09084
SET       4.000     99.43313
SET       5.000    100.00000
---
GET       1.200      0.00614
GET       1.300      0.04532
GET       1.400      0.08956
GET       1.500      0.11158
GET       1.600      0.11700
GET       1.700      0.13452
GET       1.800      0.16449
GET       1.900      1.03550
GET       2.000      1.56652
GET       2.100      1.70970
GET       2.200      1.75213
GET       2.300      1.78084
GET       2.400      1.78969
GET       2.500      1.80648
GET       2.600      1.81497
GET       2.700      1.82923
GET       2.800      1.83700
GET       2.900      1.84584
GET       3.000      1.85650
GET       3.100      1.86137
GET       3.200      1.87329
GET       3.300      1.87834
GET       3.400      1.89514
GET       3.600      1.90164
GET       3.700      1.90236
GET       3.800      1.90868
GET       3.900      1.91229
GET       4.000      1.91554
GET       4.100      1.93052
GET       4.200      1.94533
GET       4.300      1.95634
GET       4.400      1.96483
GET       4.500      2.02929
GET       4.600      2.48953
GET       4.700     34.45532
GET       4.800     89.74828
GET       4.900     97.69229
GET       5.000     99.76907
GET       5.100     99.97996
GET       5.200     99.99928
GET       5.300    100.00000
