[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       21694 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       40626 ops,   18929 (avg:   20312) ops/sec, 718.84KB/sec (avg: 771.52KB/sec),  0.21 (avg:  0.19) msec latency[RUN #1 10%,   3 secs]  1 threads:       59365 ops,   18736 (avg:   19787) ops/sec, 711.60KB/sec (avg: 751.55KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 13%,   4 secs]  1 threads:       78199 ops,   18832 (avg:   19548) ops/sec, 715.22KB/sec (avg: 742.46KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 17%,   5 secs]  1 threads:       96951 ops,   18749 (avg:   19388) ops/sec, 712.08KB/sec (avg: 736.39KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 20%,   6 secs]  1 threads:      115742 ops,   18789 (avg:   19288) ops/sec, 713.76KB/sec (avg: 732.62KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 23%,   7 secs]  1 threads:      134476 ops,   18732 (avg:   19209) ops/sec, 711.63KB/sec (avg: 729.62KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 27%,   8 secs]  1 threads:      153324 ops,   18845 (avg:   19164) ops/sec, 716.24KB/sec (avg: 727.95KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:      172077 ops,   18751 (avg:   19118) ops/sec, 712.49KB/sec (avg: 726.23KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:      190890 ops,   18811 (avg:   19087) ops/sec, 714.57KB/sec (avg: 725.06KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      209748 ops,   18855 (avg:   19066) ops/sec, 716.13KB/sec (avg: 724.25KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      228599 ops,   18849 (avg:   19048) ops/sec, 716.15KB/sec (avg: 723.58KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 43%,  13 secs]  1 threads:      247441 ops,   18840 (avg:   19032) ops/sec, 715.64KB/sec (avg: 722.96KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 47%,  14 secs]  1 threads:      266235 ops,   18792 (avg:   19015) ops/sec, 713.98KB/sec (avg: 722.32KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 50%,  15 secs]  1 threads:      284998 ops,   18761 (avg:   18998) ops/sec, 713.40KB/sec (avg: 721.73KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 53%,  16 secs]  1 threads:      303781 ops,   18781 (avg:   18984) ops/sec, 713.55KB/sec (avg: 721.22KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 57%,  17 secs]  1 threads:      322576 ops,   18792 (avg:   18973) ops/sec, 713.95KB/sec (avg: 720.79KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 60%,  18 secs]  1 threads:      341327 ops,   18749 (avg:   18960) ops/sec, 712.71KB/sec (avg: 720.34KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 63%,  19 secs]  1 threads:      360082 ops,   18752 (avg:   18949) ops/sec, 712.62KB/sec (avg: 719.93KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 67%,  20 secs]  1 threads:      378882 ops,   18798 (avg:   18942) ops/sec, 713.99KB/sec (avg: 719.64KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 70%,  21 secs]  1 threads:      397696 ops,   18811 (avg:   18936) ops/sec, 714.97KB/sec (avg: 719.42KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 73%,  22 secs]  1 threads:      416463 ops,   18765 (avg:   18928) ops/sec, 713.17KB/sec (avg: 719.13KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 77%,  23 secs]  1 threads:      435368 ops,   18903 (avg:   18927) ops/sec, 718.52KB/sec (avg: 719.10KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 80%,  24 secs]  1 threads:      454183 ops,   18812 (avg:   18922) ops/sec, 714.71KB/sec (avg: 718.92KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 83%,  25 secs]  1 threads:      473030 ops,   18845 (avg:   18919) ops/sec, 716.18KB/sec (avg: 718.81KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 87%,  26 secs]  1 threads:      491828 ops,   18796 (avg:   18914) ops/sec, 714.77KB/sec (avg: 718.66KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 90%,  27 secs]  1 threads:      510659 ops,   18828 (avg:   18911) ops/sec, 715.55KB/sec (avg: 718.54KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 93%,  28 secs]  1 threads:      529433 ops,   18771 (avg:   18906) ops/sec, 713.51KB/sec (avg: 718.36KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 97%,  29 secs]  1 threads:      548162 ops,   18726 (avg:   18900) ops/sec, 712.22KB/sec (avg: 718.15KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 100%,  30 secs]  0 threads:      566910 ops,   18726 (avg:   18896) ops/sec, 712.22KB/sec (avg: 718.05KB/sec),  0.21 (avg:  0.21) msec latency

1         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1717.96          ---          ---      0.20900       132.35
Gets       17178.99        10.03     17168.95      0.20800       585.70
Totals     18896.95        10.03     17168.95      0.20800       718.05


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00019
GET       0.057      0.00039
GET       0.059      0.00058
GET       0.060      0.00078
GET       0.062      0.00175
GET       0.063      0.00194
GET       0.064      0.00330
GET       0.065      0.00407
GET       0.066      0.00446
GET       0.067      0.00504
GET       0.068      0.00582
GET       0.069      0.00737
GET       0.070      0.00854
GET       0.071      0.01048
GET       0.072      0.01242
GET       0.073      0.01455
GET       0.074      0.01610
GET       0.075      0.01746
GET       0.076      0.02076
GET       0.077      0.02290
GET       0.078      0.02716
GET       0.079      0.03066
GET       0.080      0.03337
GET       0.081      0.03590
GET       0.082      0.04036
GET       0.083      0.04424
GET       0.084      0.04793
GET       0.085      0.05220
GET       0.086      0.05840
GET       0.087      0.06539
GET       0.088      0.07470
GET       0.089      0.08479
GET       0.090      0.09469
GET       0.091      0.10847
GET       0.092      0.12011
GET       0.093      0.13874
GET       0.094      0.16299
GET       0.095      0.19035
GET       0.096      0.21596
GET       0.097      0.23769
GET       0.098      0.25690
GET       0.099      0.27048
GET       0.100      0.37022
GET       0.110      0.53748
GET       0.120      0.81417
GET       0.130      1.61049
GET       0.140      3.54638
GET       0.150      5.17278
GET       0.160      6.64880
GET       0.170      8.95685
GET       0.180     13.38240
GET       0.190     22.77524
GET       0.200     38.40728
GET       0.210     60.89943
GET       0.220     78.01952
GET       0.230     88.56862
GET       0.240     93.97638
GET       0.250     96.69520
GET       0.260     98.24476
GET       0.270     99.01741
GET       0.280     99.37676
GET       0.290     99.56187
GET       0.300     99.64608
GET       0.310     99.69168
GET       0.320     99.72098
GET       0.330     99.74310
GET       0.340     99.76677
GET       0.350     99.78637
GET       0.360     99.80286
GET       0.370     99.82246
GET       0.380     99.84206
GET       0.390     99.86825
GET       0.400     99.89173
GET       0.410     99.91540
GET       0.420     99.93519
GET       0.430     99.95091
GET       0.440     99.96313
GET       0.450     99.97478
GET       0.460     99.98118
GET       0.470     99.98448
GET       0.480     99.98739
GET       0.490     99.98816
GET       0.500     99.98894
GET       0.510     99.98933
GET       0.520     99.99030
GET       0.530     99.99127
GET       0.540     99.99263
GET       0.550     99.99360
GET       0.560     99.99515
GET       0.570     99.99573
GET       0.580     99.99709
GET       0.590     99.99787
GET       0.600     99.99845
GET       0.610     99.99922
GET       0.620     99.99961
GET       0.630    100.00000
