[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       25427 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       47211 ops,   21781 (avg:   23604) ops/sec, 827.14KB/sec (avg: 896.52KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  2 threads:       69138 ops,   21924 (avg:   23044) ops/sec, 832.59KB/sec (avg: 875.21KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  2 threads:       90982 ops,   21841 (avg:   22743) ops/sec, 829.65KB/sec (avg: 863.82KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  2 threads:      112939 ops,   21954 (avg:   22586) ops/sec, 833.87KB/sec (avg: 857.83KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  2 threads:      134653 ops,   21711 (avg:   22440) ops/sec, 824.85KB/sec (avg: 852.33KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 23%,   7 secs]  2 threads:      156337 ops,   21681 (avg:   22331) ops/sec, 823.93KB/sec (avg: 848.28KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 27%,   8 secs]  2 threads:      178234 ops,   21894 (avg:   22277) ops/sec, 831.95KB/sec (avg: 846.24KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 30%,   9 secs]  2 threads:      199986 ops,   21749 (avg:   22218) ops/sec, 826.02KB/sec (avg: 843.99KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 33%,  10 secs]  2 threads:      221836 ops,   21847 (avg:   22181) ops/sec, 829.97KB/sec (avg: 842.59KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 37%,  11 secs]  2 threads:      243752 ops,   21913 (avg:   22157) ops/sec, 832.48KB/sec (avg: 841.67KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  2 threads:      265684 ops,   21930 (avg:   22138) ops/sec, 833.17KB/sec (avg: 840.96KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  2 threads:      287463 ops,   21776 (avg:   22110) ops/sec, 827.92KB/sec (avg: 839.96KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  2 threads:      309262 ops,   21796 (avg:   22088) ops/sec, 828.07KB/sec (avg: 839.11KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 50%,  15 secs]  2 threads:      330987 ops,   21722 (avg:   22063) ops/sec, 825.43KB/sec (avg: 838.20KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 53%,  16 secs]  2 threads:      352632 ops,   21642 (avg:   22037) ops/sec, 822.76KB/sec (avg: 837.23KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  2 threads:      374557 ops,   21922 (avg:   22030) ops/sec, 832.75KB/sec (avg: 836.97KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  2 threads:      396401 ops,   21841 (avg:   22020) ops/sec, 830.01KB/sec (avg: 836.58KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 63%,  19 secs]  2 threads:      418144 ops,   21740 (avg:   22005) ops/sec, 826.21KB/sec (avg: 836.03KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 67%,  20 secs]  2 threads:      439919 ops,   21772 (avg:   21993) ops/sec, 827.40KB/sec (avg: 835.60KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 70%,  21 secs]  2 threads:      461695 ops,   21773 (avg:   21983) ops/sec, 827.47KB/sec (avg: 835.21KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 73%,  22 secs]  2 threads:      483401 ops,   21703 (avg:   21970) ops/sec, 825.10KB/sec (avg: 834.75KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 77%,  23 secs]  2 threads:      505453 ops,   22049 (avg:   21973) ops/sec, 838.03KB/sec (avg: 834.90KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 80%,  24 secs]  2 threads:      527333 ops,   21877 (avg:   21969) ops/sec, 831.49KB/sec (avg: 834.76KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 83%,  25 secs]  2 threads:      549071 ops,   21735 (avg:   21960) ops/sec, 826.62KB/sec (avg: 834.43KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 87%,  26 secs]  2 threads:      570924 ops,   21850 (avg:   21956) ops/sec, 830.82KB/sec (avg: 834.29KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 90%,  27 secs]  2 threads:      592722 ops,   21795 (avg:   21950) ops/sec, 829.24KB/sec (avg: 834.10KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 93%,  28 secs]  2 threads:      614467 ops,   21742 (avg:   21942) ops/sec, 825.91KB/sec (avg: 833.81KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 97%,  29 secs]  2 threads:      636282 ops,   21813 (avg:   21938) ops/sec, 829.44KB/sec (avg: 833.66KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 100%,  30 secs]  0 threads:      657668 ops,   21813 (avg:   21922) ops/sec, 829.44KB/sec (avg: 833.07KB/sec),  0.18 (avg:  0.18) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1992.96          ---          ---      0.17900       153.53
Gets       19929.22        13.53     19915.68      0.17800       679.54
Totals     21922.18        13.53     19915.68      0.17800       833.07


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00017
GET       0.055      0.00033
GET       0.056      0.00050
GET       0.057      0.00100
GET       0.058      0.00201
GET       0.059      0.00234
GET       0.060      0.00351
GET       0.061      0.00485
GET       0.062      0.00602
GET       0.063      0.00719
GET       0.064      0.00870
GET       0.065      0.01037
GET       0.066      0.01288
GET       0.067      0.01489
GET       0.068      0.01673
GET       0.069      0.01940
GET       0.070      0.02375
GET       0.071      0.02643
GET       0.072      0.02927
GET       0.073      0.03295
GET       0.074      0.03730
GET       0.075      0.04349
GET       0.076      0.04901
GET       0.077      0.05218
GET       0.078      0.05821
GET       0.079      0.06289
GET       0.080      0.06623
GET       0.081      0.07075
GET       0.082      0.07694
GET       0.083      0.08229
GET       0.084      0.08831
GET       0.085      0.09718
GET       0.086      0.10972
GET       0.087      0.12762
GET       0.088      0.14418
GET       0.089      0.17010
GET       0.090      0.19686
GET       0.091      0.22396
GET       0.092      0.25925
GET       0.093      0.30424
GET       0.094      0.42935
GET       0.095      0.60129
GET       0.096      0.69362
GET       0.097      0.74597
GET       0.098      0.79581
GET       0.099      0.85469
GET       0.100      1.06460
GET       0.110      1.26999
GET       0.120      1.54178
GET       0.130      1.99873
GET       0.140      3.73336
GET       0.150      9.06019
GET       0.160     21.60153
GET       0.170     40.56674
GET       0.180     61.12340
GET       0.190     80.79729
GET       0.200     92.91445
GET       0.210     97.46136
GET       0.220     98.75677
GET       0.230     99.23296
GET       0.240     99.48167
GET       0.250     99.60828
GET       0.260     99.67217
GET       0.270     99.71315
GET       0.280     99.73607
GET       0.290     99.75781
GET       0.300     99.77771
GET       0.310     99.79277
GET       0.320     99.80732
GET       0.330     99.82070
GET       0.340     99.83943
GET       0.350     99.86268
GET       0.360     99.88877
GET       0.370     99.91988
GET       0.380     99.94765
GET       0.390     99.96588
GET       0.400     99.97859
GET       0.410     99.98762
GET       0.420     99.99197
GET       0.430     99.99431
GET       0.440     99.99599
GET       0.450     99.99682
GET       0.460     99.99766
GET       0.470     99.99816
GET       0.480     99.99833
GET       0.490     99.99849
GET       0.500     99.99866
GET       0.510     99.99933
GET       0.540     99.99967
GET       0.560     99.99983
GET       0.570    100.00000
