[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  3 threads:       23699 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  3 threads:       43116 ops,   19414 (avg:   21558) ops/sec, 737.30KB/sec (avg: 818.84KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 10%,   3 secs]  3 threads:       62544 ops,   19425 (avg:   20847) ops/sec, 737.84KB/sec (avg: 791.84KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 13%,   4 secs]  3 threads:       81555 ops,   19009 (avg:   20387) ops/sec, 721.91KB/sec (avg: 774.36KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 17%,   5 secs]  3 threads:      101213 ops,   19656 (avg:   20241) ops/sec, 746.43KB/sec (avg: 768.77KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 20%,   6 secs]  3 threads:      119872 ops,   18656 (avg:   19977) ops/sec, 708.65KB/sec (avg: 758.75KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 23%,   7 secs]  3 threads:      139551 ops,   19677 (avg:   19934) ops/sec, 747.30KB/sec (avg: 757.11KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 27%,   8 secs]  3 threads:      158934 ops,   19381 (avg:   19865) ops/sec, 736.05KB/sec (avg: 754.48KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 30%,   9 secs]  3 threads:      178589 ops,   19652 (avg:   19841) ops/sec, 746.56KB/sec (avg: 753.60KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 33%,  10 secs]  3 threads:      198096 ops,   19505 (avg:   19808) ops/sec, 741.30KB/sec (avg: 752.37KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 37%,  11 secs]  3 threads:      217854 ops,   19756 (avg:   19803) ops/sec, 750.80KB/sec (avg: 752.23KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 40%,  12 secs]  3 threads:      237104 ops,   19248 (avg:   19757) ops/sec, 731.26KB/sec (avg: 750.48KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 43%,  13 secs]  3 threads:      256396 ops,   19290 (avg:   19721) ops/sec, 732.96KB/sec (avg: 749.13KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 47%,  14 secs]  3 threads:      275010 ops,   18612 (avg:   19641) ops/sec, 707.21KB/sec (avg: 746.14KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 50%,  15 secs]  3 threads:      293760 ops,   18747 (avg:   19582) ops/sec, 711.97KB/sec (avg: 743.86KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 53%,  16 secs]  3 threads:      313079 ops,   19317 (avg:   19565) ops/sec, 733.68KB/sec (avg: 743.22KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 57%,  17 secs]  3 threads:      331863 ops,   18781 (avg:   19519) ops/sec, 713.48KB/sec (avg: 741.47KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 60%,  18 secs]  3 threads:      351100 ops,   19234 (avg:   19503) ops/sec, 730.89KB/sec (avg: 740.89KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 63%,  19 secs]  3 threads:      369741 ops,   18638 (avg:   19458) ops/sec, 708.18KB/sec (avg: 739.17KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 67%,  20 secs]  3 threads:      389011 ops,   19267 (avg:   19448) ops/sec, 731.81KB/sec (avg: 738.80KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 70%,  21 secs]  3 threads:      408094 ops,   19080 (avg:   19431) ops/sec, 725.30KB/sec (avg: 738.15KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 73%,  22 secs]  3 threads:      426877 ops,   18781 (avg:   19401) ops/sec, 714.03KB/sec (avg: 737.06KB/sec),  0.32 (avg:  0.31) msec latency[RUN #1 77%,  23 secs]  3 threads:      446477 ops,   19597 (avg:   19410) ops/sec, 745.23KB/sec (avg: 737.41KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 80%,  24 secs]  3 threads:      465206 ops,   18726 (avg:   19381) ops/sec, 711.53KB/sec (avg: 736.33KB/sec),  0.32 (avg:  0.31) msec latency[RUN #1 83%,  25 secs]  3 threads:      484587 ops,   19378 (avg:   19381) ops/sec, 736.61KB/sec (avg: 736.35KB/sec),  0.31 (avg:  0.31) msec latency[RUN #1 87%,  26 secs]  3 threads:      503569 ops,   18979 (avg:   19366) ops/sec, 721.66KB/sec (avg: 735.78KB/sec),  0.31 (avg:  0.31) msec latency[RUN #1 90%,  27 secs]  3 threads:      522297 ops,   18725 (avg:   19342) ops/sec, 711.67KB/sec (avg: 734.89KB/sec),  0.32 (avg:  0.31) msec latency[RUN #1 93%,  28 secs]  3 threads:      541365 ops,   19066 (avg:   19332) ops/sec, 724.48KB/sec (avg: 734.52KB/sec),  0.31 (avg:  0.31) msec latency[RUN #1 97%,  29 secs]  3 threads:      560048 ops,   18681 (avg:   19310) ops/sec, 709.86KB/sec (avg: 733.67KB/sec),  0.32 (avg:  0.31) msec latency[RUN #1 100%,  30 secs]  0 threads:      578947 ops,   18681 (avg:   19298) ops/sec, 709.86KB/sec (avg: 733.22KB/sec),  0.32 (avg:  0.31) msec latency

3         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1754.46          ---          ---      0.30800       135.16
Gets       17543.72         8.53     17535.18      0.30600       598.06
Totals     19298.18         8.53     17535.18      0.30600       733.22


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.060      0.00019
GET       0.065      0.00057
GET       0.067      0.00076
GET       0.068      0.00095
GET       0.071      0.00114
GET       0.072      0.00171
GET       0.073      0.00228
GET       0.074      0.00266
GET       0.075      0.00323
GET       0.076      0.00475
GET       0.077      0.00513
GET       0.078      0.00608
GET       0.079      0.00722
GET       0.080      0.00741
GET       0.081      0.00836
GET       0.082      0.01026
GET       0.083      0.01140
GET       0.084      0.01368
GET       0.085      0.01577
GET       0.086      0.01976
GET       0.087      0.02280
GET       0.088      0.02831
GET       0.089      0.03306
GET       0.090      0.03914
GET       0.091      0.04484
GET       0.092      0.05054
GET       0.093      0.06061
GET       0.094      0.07638
GET       0.095      0.09253
GET       0.096      0.10545
GET       0.097      0.11343
GET       0.098      0.12350
GET       0.099      0.13034
GET       0.100      0.18088
GET       0.110      0.30001
GET       0.120      0.45220
GET       0.130      0.61693
GET       0.140      0.89224
GET       0.150      1.09992
GET       0.160      1.23216
GET       0.170      1.33590
GET       0.180      1.43831
GET       0.190      1.64750
GET       0.200      2.18045
GET       0.210      3.68564
GET       0.220      7.28160
GET       0.230     14.58809
GET       0.240     26.09759
GET       0.250     35.56762
GET       0.260     39.79267
GET       0.270     41.94861
GET       0.280     42.79583
GET       0.290     43.42758
GET       0.300     44.18074
GET       0.310     45.50315
GET       0.320     47.97202
GET       0.330     52.38708
GET       0.340     59.29703
GET       0.350     68.28883
GET       0.360     78.03512
GET       0.370     86.36819
GET       0.380     92.27304
GET       0.390     95.82739
GET       0.400     97.71809
GET       0.410     98.68652
GET       0.420     99.20523
GET       0.430     99.47503
GET       0.440     99.61145
GET       0.450     99.70170
GET       0.460     99.74464
GET       0.470     99.77390
GET       0.480     99.79233
GET       0.490     99.80487
GET       0.500     99.82558
GET       0.510     99.84439
GET       0.520     99.86415
GET       0.530     99.87954
GET       0.540     99.89854
GET       0.550     99.91678
GET       0.560     99.93008
GET       0.570     99.94376
GET       0.580     99.95516
GET       0.590     99.96295
GET       0.600     99.97093
GET       0.610     99.97473
GET       0.620     99.97967
GET       0.630     99.98404
GET       0.640     99.98765
GET       0.650     99.98917
GET       0.660     99.98974
GET       0.670     99.99050
GET       0.680     99.99164
GET       0.690     99.99221
GET       0.700     99.99240
GET       0.710     99.99392
GET       0.720     99.99582
GET       0.730     99.99734
GET       0.740     99.99791
GET       0.750     99.99810
GET       0.760     99.99867
GET       0.770     99.99886
GET       0.780     99.99905
GET       1.100     99.99943
GET       1.200     99.99981
GET       1.300    100.00000
