[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:       79655 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  4 threads:      160931 ops,   81263 (avg:   80464) ops/sec, 3.06MB/sec (avg: 3.03MB/sec),  0.24 (avg:  0.25) msec latency[RUN #1 10%,   3 secs]  4 threads:      241191 ops,   80251 (avg:   80393) ops/sec, 3.03MB/sec (avg: 3.03MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 13%,   4 secs]  4 threads:      321349 ops,   80149 (avg:   80332) ops/sec, 3.02MB/sec (avg: 3.03MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 17%,   5 secs]  4 threads:      401836 ops,   80477 (avg:   80361) ops/sec, 3.03MB/sec (avg: 3.03MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 20%,   6 secs]  4 threads:      481565 ops,   79721 (avg:   80254) ops/sec, 3.01MB/sec (avg: 3.03MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 23%,   7 secs]  4 threads:      561702 ops,   80129 (avg:   80236) ops/sec, 3.02MB/sec (avg: 3.03MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 27%,   8 secs]  4 threads:      641521 ops,   79808 (avg:   80183) ops/sec, 3.01MB/sec (avg: 3.02MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 30%,   9 secs]  4 threads:      721526 ops,   79995 (avg:   80162) ops/sec, 3.02MB/sec (avg: 3.02MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 33%,  10 secs]  4 threads:      801244 ops,   79709 (avg:   80117) ops/sec, 3.01MB/sec (avg: 3.02MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 37%,  11 secs]  4 threads:      880610 ops,   79358 (avg:   80048) ops/sec, 2.99MB/sec (avg: 3.02MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 40%,  12 secs]  4 threads:      959396 ops,   78778 (avg:   79942) ops/sec, 2.97MB/sec (avg: 3.01MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 43%,  13 secs]  4 threads:     1037972 ops,   78568 (avg:   79836) ops/sec, 2.96MB/sec (avg: 3.01MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 47%,  14 secs]  4 threads:     1116975 ops,   78994 (avg:   79776) ops/sec, 2.98MB/sec (avg: 3.01MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 50%,  15 secs]  4 threads:     1195660 ops,   78675 (avg:   79703) ops/sec, 2.97MB/sec (avg: 3.01MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 53%,  16 secs]  4 threads:     1274207 ops,   78536 (avg:   79630) ops/sec, 2.96MB/sec (avg: 3.00MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 57%,  17 secs]  4 threads:     1353339 ops,   79123 (avg:   79600) ops/sec, 2.98MB/sec (avg: 3.00MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 60%,  18 secs]  4 threads:     1432141 ops,   78794 (avg:   79555) ops/sec, 2.97MB/sec (avg: 3.00MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 63%,  19 secs]  4 threads:     1510635 ops,   78484 (avg:   79499) ops/sec, 2.96MB/sec (avg: 3.00MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 67%,  20 secs]  4 threads:     1589433 ops,   78790 (avg:   79463) ops/sec, 2.97MB/sec (avg: 3.00MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 70%,  21 secs]  4 threads:     1668021 ops,   78579 (avg:   79421) ops/sec, 2.96MB/sec (avg: 3.00MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 73%,  22 secs]  4 threads:     1746286 ops,   78257 (avg:   79368) ops/sec, 2.95MB/sec (avg: 2.99MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 77%,  23 secs]  4 threads:     1824409 ops,   78114 (avg:   79314) ops/sec, 2.95MB/sec (avg: 2.99MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  4 threads:     1903217 ops,   78799 (avg:   79292) ops/sec, 2.97MB/sec (avg: 2.99MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 83%,  25 secs]  4 threads:     1981651 ops,   78426 (avg:   79258) ops/sec, 2.96MB/sec (avg: 2.99MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  4 threads:     2059352 ops,   77691 (avg:   79197) ops/sec, 2.93MB/sec (avg: 2.99MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  4 threads:     2137350 ops,   77988 (avg:   79153) ops/sec, 2.94MB/sec (avg: 2.99MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 93%,  28 secs]  4 threads:     2215264 ops,   77903 (avg:   79108) ops/sec, 2.94MB/sec (avg: 2.98MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 97%,  29 secs]  4 threads:     2293024 ops,   77751 (avg:   79061) ops/sec, 2.93MB/sec (avg: 2.98MB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 100%,  30 secs]  0 threads:     2372960 ops,   77751 (avg:   79098) ops/sec, 2.93MB/sec (avg: 2.98MB/sec),  0.25 (avg:  0.25) msec latency

4         Threads
5         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        7191.12          ---          ---      0.25200       533.07
Gets       71907.06     35149.85     36757.21      0.24900      2521.60
Totals     79098.18     35149.85     36757.21      0.24900      3054.67


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.051      0.00005
GET       0.052      0.00009
GET       0.055      0.00019
GET       0.056      0.00032
GET       0.057      0.00070
GET       0.058      0.00111
GET       0.059      0.00190
GET       0.060      0.00273
GET       0.061      0.00389
GET       0.062      0.00528
GET       0.063      0.00811
GET       0.064      0.01122
GET       0.065      0.01553
GET       0.066      0.02016
GET       0.067      0.02526
GET       0.068      0.03120
GET       0.069      0.03759
GET       0.070      0.04515
GET       0.071      0.05382
GET       0.072      0.06397
GET       0.073      0.07329
GET       0.074      0.08483
GET       0.075      0.09661
GET       0.076      0.10912
GET       0.077      0.12127
GET       0.078      0.13425
GET       0.079      0.14862
GET       0.080      0.16382
GET       0.081      0.18079
GET       0.082      0.19933
GET       0.083      0.21977
GET       0.084      0.24147
GET       0.085      0.26414
GET       0.086      0.29237
GET       0.087      0.32421
GET       0.088      0.36297
GET       0.089      0.40890
GET       0.090      0.46333
GET       0.091      0.52920
GET       0.092      0.60939
GET       0.093      0.70600
GET       0.094      0.82773
GET       0.095      0.95581
GET       0.096      1.07592
GET       0.097      1.18245
GET       0.098      1.27979
GET       0.099      1.37635
GET       0.100      1.77812
GET       0.110      2.28126
GET       0.120      2.72304
GET       0.130      3.41643
GET       0.140      5.66237
GET       0.150     10.19894
GET       0.160     15.84568
GET       0.170     22.78511
GET       0.180     31.94660
GET       0.190     49.92419
GET       0.200     64.22000
GET       0.210     71.40590
GET       0.220     75.53955
GET       0.230     78.69749
GET       0.240     81.50003
GET       0.250     83.34444
GET       0.260     84.58487
GET       0.270     85.75981
GET       0.280     87.12026
GET       0.290     88.91961
GET       0.300     90.64488
GET       0.310     92.04093
GET       0.320     93.20706
GET       0.330     94.26217
GET       0.340     95.26113
GET       0.350     95.92731
GET       0.360     96.32556
GET       0.370     96.57236
GET       0.380     96.74202
GET       0.390     96.87390
GET       0.400     96.94955
GET       0.410     96.99832
GET       0.420     97.03054
GET       0.430     97.05515
GET       0.440     97.07615
GET       0.450     97.09233
GET       0.460     97.10628
GET       0.470     97.11954
GET       0.480     97.13094
GET       0.490     97.14332
GET       0.500     97.15264
GET       0.510     97.16158
GET       0.520     97.16896
GET       0.530     97.17540
GET       0.540     97.18110
GET       0.550     97.18615
GET       0.560     97.18940
GET       0.570     97.19172
GET       0.580     97.19394
GET       0.590     97.19607
GET       0.600     97.19751
GET       0.610     97.19899
GET       0.620     97.19997
GET       0.630     97.20052
GET       0.640     97.20127
GET       0.650     97.20173
GET       0.660     97.20247
GET       0.670     97.20331
GET       0.680     97.20483
GET       0.690     97.20581
GET       0.700     97.20678
GET       0.710     97.20748
GET       0.720     97.20868
GET       0.730     97.20979
GET       0.740     97.21063
GET       0.750     97.21160
GET       0.760     97.21239
GET       0.770     97.21369
GET       0.780     97.21545
GET       0.790     97.21624
GET       0.800     97.21735
GET       0.810     97.21800
GET       0.820     97.21897
GET       0.830     97.21990
GET       0.840     97.22073
GET       0.850     97.22143
GET       0.860     97.22175
GET       0.870     97.22222
GET       0.880     97.22287
GET       0.890     97.22352
GET       0.900     97.22403
GET       0.910     97.22477
GET       0.920     97.22514
GET       0.930     97.22551
GET       0.940     97.22597
GET       0.950     97.22639
GET       0.960     97.22704
GET       0.970     97.22750
GET       0.980     97.22824
GET       0.990     97.22950
GET       1.000     97.23645
GET       1.100     97.25699
GET       1.200     97.30399
GET       1.300     97.40273
GET       1.400     97.62171
GET       1.500     97.99817
GET       1.600     98.49524
GET       1.700     98.96200
GET       1.800     99.32200
GET       1.900     99.52430
GET       2.000     99.62447
GET       2.100     99.66577
GET       2.200     99.68256
GET       2.300     99.69057
GET       2.400     99.69609
GET       2.500     99.70420
GET       2.600     99.71514
GET       2.700     99.72947
GET       2.800     99.75176
GET       2.900     99.77939
GET       3.000     99.81676
GET       3.100     99.85695
GET       3.200     99.89802
GET       3.300     99.93181
GET       3.400     99.95898
GET       3.500     99.97399
GET       3.600     99.98484
GET       3.700     99.99078
GET       3.800     99.99485
GET       3.900     99.99703
GET       4.000     99.99810
GET       4.100     99.99889
GET       4.200     99.99968
GET       4.300     99.99977
GET       4.400     99.99986
GET       4.600     99.99991
GET       5.200     99.99995
GET       5.300    100.00000
