[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:       65874 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  4 threads:      132608 ops,   66724 (avg:   66305) ops/sec, 2.52MB/sec (avg: 2.50MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 10%,   3 secs]  4 threads:      198468 ops,   65852 (avg:   66154) ops/sec, 2.48MB/sec (avg: 2.49MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 13%,   4 secs]  4 threads:      264957 ops,   66480 (avg:   66236) ops/sec, 2.51MB/sec (avg: 2.50MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 17%,   5 secs]  4 threads:      330176 ops,   65212 (avg:   66031) ops/sec, 2.46MB/sec (avg: 2.49MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 20%,   6 secs]  4 threads:      396352 ops,   66169 (avg:   66054) ops/sec, 2.50MB/sec (avg: 2.49MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 23%,   7 secs]  4 threads:      463134 ops,   66773 (avg:   66157) ops/sec, 2.52MB/sec (avg: 2.49MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 27%,   8 secs]  4 threads:      529884 ops,   66741 (avg:   66230) ops/sec, 2.52MB/sec (avg: 2.50MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 30%,   9 secs]  4 threads:      594544 ops,   64651 (avg:   66054) ops/sec, 2.44MB/sec (avg: 2.49MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 33%,  10 secs]  4 threads:      658619 ops,   64066 (avg:   65856) ops/sec, 2.42MB/sec (avg: 2.48MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 37%,  11 secs]  4 threads:      724097 ops,   65469 (avg:   65820) ops/sec, 2.47MB/sec (avg: 2.48MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 40%,  12 secs]  4 threads:      789628 ops,   65522 (avg:   65796) ops/sec, 2.47MB/sec (avg: 2.48MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 43%,  13 secs]  4 threads:      856017 ops,   66380 (avg:   65840) ops/sec, 2.50MB/sec (avg: 2.48MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 47%,  14 secs]  4 threads:      921384 ops,   65358 (avg:   65806) ops/sec, 2.46MB/sec (avg: 2.48MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 50%,  15 secs]  4 threads:      984597 ops,   63204 (avg:   65633) ops/sec, 2.38MB/sec (avg: 2.48MB/sec),  0.44 (avg:  0.42) msec latency[RUN #1 53%,  16 secs]  4 threads:     1048451 ops,   63845 (avg:   65521) ops/sec, 2.41MB/sec (avg: 2.47MB/sec),  0.44 (avg:  0.42) msec latency[RUN #1 57%,  17 secs]  4 threads:     1113220 ops,   64760 (avg:   65476) ops/sec, 2.44MB/sec (avg: 2.47MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 60%,  18 secs]  4 threads:     1179868 ops,   66639 (avg:   65541) ops/sec, 2.51MB/sec (avg: 2.47MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 63%,  19 secs]  4 threads:     1245471 ops,   65594 (avg:   65543) ops/sec, 2.47MB/sec (avg: 2.47MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 67%,  20 secs]  4 threads:     1310777 ops,   65297 (avg:   65531) ops/sec, 2.46MB/sec (avg: 2.47MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 70%,  21 secs]  4 threads:     1375964 ops,   65178 (avg:   65514) ops/sec, 2.46MB/sec (avg: 2.47MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 73%,  22 secs]  4 threads:     1440893 ops,   64920 (avg:   65487) ops/sec, 2.45MB/sec (avg: 2.47MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 77%,  23 secs]  4 threads:     1506781 ops,   65879 (avg:   65504) ops/sec, 2.48MB/sec (avg: 2.47MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 80%,  24 secs]  4 threads:     1570663 ops,   63873 (avg:   65436) ops/sec, 2.41MB/sec (avg: 2.47MB/sec),  0.44 (avg:  0.42) msec latency[RUN #1 83%,  25 secs]  4 threads:     1636240 ops,   65568 (avg:   65442) ops/sec, 2.47MB/sec (avg: 2.47MB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 87%,  26 secs]  4 threads:     1700581 ops,   64332 (avg:   65399) ops/sec, 2.43MB/sec (avg: 2.47MB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 90%,  27 secs]  4 threads:     1764740 ops,   64150 (avg:   65353) ops/sec, 2.42MB/sec (avg: 2.46MB/sec),  0.43 (avg:  0.43) msec latency[RUN #1 93%,  28 secs]  4 threads:     1829270 ops,   64521 (avg:   65323) ops/sec, 2.43MB/sec (avg: 2.46MB/sec),  0.43 (avg:  0.43) msec latency[RUN #1 97%,  29 secs]  4 threads:     1894194 ops,   64915 (avg:   65309) ops/sec, 2.45MB/sec (avg: 2.46MB/sec),  0.43 (avg:  0.43) msec latency[RUN #1 100%,  30 secs]  0 threads:     1961940 ops,   64915 (avg:   65397) ops/sec, 2.45MB/sec (avg: 2.47MB/sec),  0.43 (avg:  0.42) msec latency

4         Threads
7         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5945.66          ---          ---      0.42800       440.74
Gets       59452.23     27050.42     32401.81      0.42400      2084.79
Totals     65397.88     27050.42     32401.81      0.42400      2525.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.96748
SET       2.000     99.99664
SET       3.000     99.99832
SET       4.000    100.00000
---
GET       0.067      0.00006
GET       0.073      0.00011
GET       0.074      0.00028
GET       0.075      0.00050
GET       0.076      0.00073
GET       0.077      0.00112
GET       0.078      0.00118
GET       0.079      0.00135
GET       0.080      0.00191
GET       0.081      0.00264
GET       0.082      0.00348
GET       0.083      0.00443
GET       0.084      0.00555
GET       0.085      0.00684
GET       0.086      0.00863
GET       0.087      0.01082
GET       0.088      0.01329
GET       0.089      0.01861
GET       0.090      0.02388
GET       0.091      0.03101
GET       0.092      0.03981
GET       0.093      0.05046
GET       0.094      0.06100
GET       0.095      0.07446
GET       0.096      0.08763
GET       0.097      0.10513
GET       0.098      0.12357
GET       0.099      0.14297
GET       0.100      0.25746
GET       0.110      0.59112
GET       0.120      1.09286
GET       0.130      1.93141
GET       0.140      3.84599
GET       0.150      6.08751
GET       0.160      7.47450
GET       0.170      8.37657
GET       0.180      9.11273
GET       0.190     10.08775
GET       0.200     11.14843
GET       0.210     12.18932
GET       0.220     13.43945
GET       0.230     15.16021
GET       0.240     18.09887
GET       0.250     21.66447
GET       0.260     25.42833
GET       0.270     29.56912
GET       0.280     34.12241
GET       0.290     39.24517
GET       0.300     43.86091
GET       0.310     47.58400
GET       0.320     50.43833
GET       0.330     52.56037
GET       0.340     54.14068
GET       0.350     55.27689
GET       0.360     56.14879
GET       0.370     56.95734
GET       0.380     57.85683
GET       0.390     58.95849
GET       0.400     60.22909
GET       0.410     61.64580
GET       0.420     63.21524
GET       0.430     64.98781
GET       0.440     66.97371
GET       0.450     68.96494
GET       0.460     70.98426
GET       0.470     72.96720
GET       0.480     74.95355
GET       0.490     76.84391
GET       0.500     78.53418
GET       0.510     79.98413
GET       0.520     81.19620
GET       0.530     82.18091
GET       0.540     82.90788
GET       0.550     83.41315
GET       0.560     83.77215
GET       0.570     84.01369
GET       0.580     84.16967
GET       0.590     84.26717
GET       0.600     84.33098
GET       0.610     84.37746
GET       0.620     84.41087
GET       0.630     84.43767
GET       0.640     84.46021
GET       0.650     84.48354
GET       0.660     84.50675
GET       0.670     84.53859
GET       0.680     84.57313
GET       0.690     84.61950
GET       0.700     84.67428
GET       0.710     84.74750
GET       0.720     84.84214
GET       0.730     84.97115
GET       0.740     85.13941
GET       0.750     85.35678
GET       0.760     85.61896
GET       0.770     85.94409
GET       0.780     86.35030
GET       0.790     86.82631
GET       0.800     87.38334
GET       0.810     87.98741
GET       0.820     88.65287
GET       0.830     89.39049
GET       0.840     90.15833
GET       0.850     90.94137
GET       0.860     91.72794
GET       0.870     92.50627
GET       0.880     93.25022
GET       0.890     93.94647
GET       0.900     94.58872
GET       0.910     95.15730
GET       0.920     95.67087
GET       0.930     96.12950
GET       0.940     96.50846
GET       0.950     96.82956
GET       0.960     97.08949
GET       0.970     97.31656
GET       0.980     97.50248
GET       0.990     97.64786
GET       1.000     98.05497
GET       1.100     98.19530
GET       1.200     98.20792
GET       1.300     98.21095
GET       1.400     98.23708
GET       1.500     98.40001
GET       1.600     98.81911
GET       1.700     99.39801
GET       1.800     99.80225
GET       1.900     99.95369
GET       2.000     99.99187
GET       2.100     99.99809
GET       2.200     99.99849
GET       2.300     99.99854
GET       2.400     99.99893
GET       2.500     99.99938
GET       2.600     99.99989
GET       2.700    100.00000
