[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:       69265 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  4 threads:      138793 ops,   69520 (avg:   69399) ops/sec, 2.62MB/sec (avg: 2.62MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 10%,   3 secs]  4 threads:      207655 ops,   68855 (avg:   69218) ops/sec, 2.60MB/sec (avg: 2.61MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 13%,   4 secs]  4 threads:      276721 ops,   69059 (avg:   69178) ops/sec, 2.60MB/sec (avg: 2.61MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 17%,   5 secs]  4 threads:      345458 ops,   68728 (avg:   69088) ops/sec, 2.59MB/sec (avg: 2.61MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 20%,   6 secs]  4 threads:      412721 ops,   67255 (avg:   68782) ops/sec, 2.54MB/sec (avg: 2.59MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 23%,   7 secs]  4 threads:      481033 ops,   68305 (avg:   68714) ops/sec, 2.58MB/sec (avg: 2.59MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 27%,   8 secs]  4 threads:      549247 ops,   68206 (avg:   68651) ops/sec, 2.57MB/sec (avg: 2.59MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 30%,   9 secs]  4 threads:      615601 ops,   66347 (avg:   68395) ops/sec, 2.50MB/sec (avg: 2.58MB/sec),  0.54 (avg:  0.52) msec latency[RUN #1 33%,  10 secs]  4 threads:      683063 ops,   67453 (avg:   68300) ops/sec, 2.54MB/sec (avg: 2.58MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 37%,  11 secs]  4 threads:      753193 ops,   70120 (avg:   68466) ops/sec, 2.64MB/sec (avg: 2.58MB/sec),  0.51 (avg:  0.52) msec latency[RUN #1 40%,  12 secs]  4 threads:      821893 ops,   68691 (avg:   68485) ops/sec, 2.59MB/sec (avg: 2.58MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 43%,  13 secs]  4 threads:      888985 ops,   67083 (avg:   68377) ops/sec, 2.53MB/sec (avg: 2.58MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 47%,  14 secs]  4 threads:      956099 ops,   67105 (avg:   68286) ops/sec, 2.53MB/sec (avg: 2.58MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 50%,  15 secs]  4 threads:     1025241 ops,   69133 (avg:   68342) ops/sec, 2.61MB/sec (avg: 2.58MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 53%,  16 secs]  4 threads:     1092586 ops,   67337 (avg:   68280) ops/sec, 2.54MB/sec (avg: 2.57MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 57%,  17 secs]  4 threads:     1160813 ops,   68217 (avg:   68276) ops/sec, 2.57MB/sec (avg: 2.57MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 60%,  18 secs]  4 threads:     1230226 ops,   69403 (avg:   68339) ops/sec, 2.62MB/sec (avg: 2.58MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 63%,  19 secs]  4 threads:     1299581 ops,   69347 (avg:   68392) ops/sec, 2.62MB/sec (avg: 2.58MB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 67%,  20 secs]  4 threads:     1365875 ops,   66285 (avg:   68286) ops/sec, 2.50MB/sec (avg: 2.58MB/sec),  0.54 (avg:  0.52) msec latency[RUN #1 70%,  21 secs]  4 threads:     1432985 ops,   67101 (avg:   68230) ops/sec, 2.53MB/sec (avg: 2.57MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 73%,  22 secs]  4 threads:     1500660 ops,   67666 (avg:   68204) ops/sec, 2.55MB/sec (avg: 2.57MB/sec),  0.53 (avg:  0.52) msec latency[RUN #1 77%,  23 secs]  4 threads:     1567044 ops,   66375 (avg:   68125) ops/sec, 2.50MB/sec (avg: 2.57MB/sec),  0.54 (avg:  0.53) msec latency[RUN #1 80%,  24 secs]  4 threads:     1635457 ops,   68403 (avg:   68136) ops/sec, 2.58MB/sec (avg: 2.57MB/sec),  0.52 (avg:  0.53) msec latency[RUN #1 83%,  25 secs]  4 threads:     1703255 ops,   67789 (avg:   68122) ops/sec, 2.56MB/sec (avg: 2.57MB/sec),  0.53 (avg:  0.53) msec latency[RUN #1 87%,  26 secs]  4 threads:     1769461 ops,   66198 (avg:   68048) ops/sec, 2.50MB/sec (avg: 2.57MB/sec),  0.54 (avg:  0.53) msec latency[RUN #1 90%,  27 secs]  4 threads:     1837753 ops,   68284 (avg:   68057) ops/sec, 2.58MB/sec (avg: 2.57MB/sec),  0.52 (avg:  0.53) msec latency[RUN #1 93%,  28 secs]  4 threads:     1904558 ops,   66797 (avg:   68012) ops/sec, 2.52MB/sec (avg: 2.56MB/sec),  0.54 (avg:  0.53) msec latency[RUN #1 97%,  29 secs]  4 threads:     1971085 ops,   66519 (avg:   67961) ops/sec, 2.51MB/sec (avg: 2.56MB/sec),  0.54 (avg:  0.53) msec latency[RUN #1 100%,  30 secs]  0 threads:     2038322 ops,   66519 (avg:   67943) ops/sec, 2.51MB/sec (avg: 2.56MB/sec),  0.54 (avg:  0.53) msec latency

4         Threads
9         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        6177.28          ---          ---      0.53000       457.90
Gets       61766.17     24862.17     36904.00      0.52600      2165.90
Totals     67943.45     24862.17     36904.00      0.52600      2623.80


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.088      0.00005
GET       0.090      0.00011
GET       0.091      0.00022
GET       0.093      0.00032
GET       0.094      0.00038
GET       0.096      0.00054
GET       0.097      0.00065
GET       0.098      0.00076
GET       0.099      0.00081
GET       0.100      0.00108
GET       0.110      0.00275
GET       0.120      0.00556
GET       0.130      0.01225
GET       0.140      0.03438
GET       0.150      0.10162
GET       0.160      0.26001
GET       0.170      0.61166
GET       0.180      1.34760
GET       0.190      3.06055
GET       0.200      5.54441
GET       0.210      8.01359
GET       0.220     10.42033
GET       0.230     12.68525
GET       0.240     15.50533
GET       0.250     17.59243
GET       0.260     18.73900
GET       0.270     19.42491
GET       0.280     19.96943
GET       0.290     20.65745
GET       0.300     21.54838
GET       0.310     22.70607
GET       0.320     24.12361
GET       0.330     25.87013
GET       0.340     27.98141
GET       0.350     30.04627
GET       0.360     31.92965
GET       0.370     33.63752
GET       0.380     35.26564
GET       0.390     37.03720
GET       0.400     38.94097
GET       0.410     41.07761
GET       0.420     43.49790
GET       0.430     46.16180
GET       0.440     49.00216
GET       0.450     51.58861
GET       0.460     53.77474
GET       0.470     55.50442
GET       0.480     56.86891
GET       0.490     57.92487
GET       0.500     58.74521
GET       0.510     59.46383
GET       0.520     60.18148
GET       0.530     61.02130
GET       0.540     62.06890
GET       0.550     63.31310
GET       0.560     64.74958
GET       0.570     66.36695
GET       0.580     68.15988
GET       0.590     70.07920
GET       0.600     71.96403
GET       0.610     73.78718
GET       0.620     75.51735
GET       0.630     77.12560
GET       0.640     78.60855
GET       0.650     79.94438
GET       0.660     81.17126
GET       0.670     82.32868
GET       0.680     83.41006
GET       0.690     84.37028
GET       0.700     85.23223
GET       0.710     85.94130
GET       0.720     86.53472
GET       0.730     87.01367
GET       0.740     87.38172
GET       0.750     87.64939
GET       0.760     87.84270
GET       0.770     87.98037
GET       0.780     88.07573
GET       0.790     88.14065
GET       0.800     88.18771
GET       0.810     88.22009
GET       0.820     88.24443
GET       0.830     88.26105
GET       0.840     88.27416
GET       0.850     88.28452
GET       0.860     88.29532
GET       0.870     88.30347
GET       0.880     88.31043
GET       0.890     88.31653
GET       0.900     88.32246
GET       0.910     88.32808
GET       0.920     88.33299
GET       0.930     88.33854
GET       0.940     88.34453
GET       0.950     88.35090
GET       0.960     88.35851
GET       0.970     88.36920
GET       0.980     88.37999
GET       0.990     88.39640
GET       1.000     88.61577
GET       1.100     90.76812
GET       1.200     95.47853
GET       1.300     98.76643
GET       1.400     99.80799
GET       1.500     99.97296
GET       1.600     99.99201
GET       1.700     99.99358
GET       1.800     99.99374
GET       1.900     99.99433
GET       2.000     99.99655
GET       2.100     99.99881
GET       2.200     99.99968
GET       2.300     99.99995
GET       2.400    100.00000
