[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       60306 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:      121977 ops,   61662 (avg:   60988) ops/sec, 2.33MB/sec (avg: 2.30MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 10%,   3 secs]  1 threads:      183147 ops,   61162 (avg:   61046) ops/sec, 2.31MB/sec (avg: 2.30MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 13%,   4 secs]  1 threads:      245000 ops,   61836 (avg:   61244) ops/sec, 2.33MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 17%,   5 secs]  1 threads:      306767 ops,   61758 (avg:   61346) ops/sec, 2.33MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 20%,   6 secs]  1 threads:      367128 ops,   60353 (avg:   61181) ops/sec, 2.28MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 23%,   7 secs]  1 threads:      429025 ops,   61889 (avg:   61282) ops/sec, 2.33MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  1 threads:      491049 ops,   62016 (avg:   61374) ops/sec, 2.34MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 30%,   9 secs]  1 threads:      552433 ops,   61376 (avg:   61374) ops/sec, 2.31MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 33%,  10 secs]  1 threads:      614046 ops,   61606 (avg:   61397) ops/sec, 2.32MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 37%,  11 secs]  1 threads:      676995 ops,   62942 (avg:   61538) ops/sec, 2.37MB/sec (avg: 2.32MB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 40%,  12 secs]  1 threads:      738199 ops,   61196 (avg:   61509) ops/sec, 2.31MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 43%,  13 secs]  1 threads:      800161 ops,   61954 (avg:   61544) ops/sec, 2.34MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 47%,  14 secs]  1 threads:      861607 ops,   61438 (avg:   61536) ops/sec, 2.32MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 50%,  15 secs]  1 threads:      923864 ops,   62249 (avg:   61584) ops/sec, 2.35MB/sec (avg: 2.32MB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 53%,  16 secs]  1 threads:      984110 ops,   60239 (avg:   61499) ops/sec, 2.27MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 57%,  17 secs]  1 threads:     1044566 ops,   60448 (avg:   61438) ops/sec, 2.28MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 60%,  18 secs]  1 threads:     1105922 ops,   61349 (avg:   61433) ops/sec, 2.31MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 63%,  19 secs]  1 threads:     1166482 ops,   60552 (avg:   61386) ops/sec, 2.28MB/sec (avg: 2.32MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 67%,  20 secs]  1 threads:     1227483 ops,   60993 (avg:   61367) ops/sec, 2.30MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 70%,  21 secs]  1 threads:     1286837 ops,   59346 (avg:   61271) ops/sec, 2.24MB/sec (avg: 2.31MB/sec),  0.27 (avg:  0.26) msec latency[RUN #1 73%,  22 secs]  1 threads:     1348447 ops,   61602 (avg:   61286) ops/sec, 2.32MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 77%,  23 secs]  1 threads:     1409958 ops,   61503 (avg:   61295) ops/sec, 2.32MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 80%,  24 secs]  1 threads:     1470349 ops,   60383 (avg:   61257) ops/sec, 2.28MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 83%,  25 secs]  1 threads:     1531601 ops,   61245 (avg:   61257) ops/sec, 2.31MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 87%,  26 secs]  1 threads:     1592384 ops,   60776 (avg:   61238) ops/sec, 2.29MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 90%,  27 secs]  1 threads:     1653118 ops,   60726 (avg:   61219) ops/sec, 2.29MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 93%,  28 secs]  1 threads:     1714193 ops,   61068 (avg:   61214) ops/sec, 2.30MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  1 threads:     1774558 ops,   60357 (avg:   61184) ops/sec, 2.28MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 100%,  30 secs]  0 threads:     1835762 ops,   60357 (avg:   61191) ops/sec, 2.28MB/sec (avg: 2.31MB/sec),  0.26 (avg:  0.26) msec latency

1         Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5755.01          ---          ---      0.26200       426.61
Gets       57546.89     24977.77     32569.12      0.25800      2018.01
Totals     63301.90     24977.77     32569.12      0.25900      2444.62


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.060      0.00012
GET       0.063      0.00024
GET       0.064      0.00030
GET       0.065      0.00036
GET       0.067      0.00054
GET       0.068      0.00060
GET       0.069      0.00066
GET       0.070      0.00102
GET       0.071      0.00126
GET       0.072      0.00138
GET       0.073      0.00156
GET       0.074      0.00198
GET       0.075      0.00246
GET       0.076      0.00324
GET       0.077      0.00378
GET       0.078      0.00431
GET       0.079      0.00551
GET       0.080      0.00629
GET       0.081      0.00731
GET       0.082      0.00863
GET       0.083      0.01037
GET       0.084      0.01258
GET       0.085      0.01582
GET       0.086      0.01870
GET       0.087      0.02199
GET       0.088      0.02625
GET       0.089      0.03068
GET       0.090      0.03691
GET       0.091      0.04374
GET       0.092      0.05105
GET       0.093      0.05968
GET       0.094      0.06819
GET       0.095      0.07886
GET       0.096      0.09288
GET       0.097      0.10732
GET       0.098      0.12248
GET       0.099      0.14016
GET       0.100      0.25598
GET       0.110      0.64337
GET       0.120      1.41240
GET       0.130      2.92822
GET       0.140      5.69626
GET       0.150     10.13167
GET       0.160     16.07942
GET       0.170     23.44370
GET       0.180     31.69613
GET       0.190     40.17800
GET       0.200     48.12633
GET       0.210     54.87193
GET       0.220     60.54459
GET       0.230     65.28092
GET       0.240     69.40455
GET       0.250     73.04469
GET       0.260     76.23644
GET       0.270     79.07567
GET       0.280     81.52656
GET       0.290     83.56063
GET       0.300     85.19564
GET       0.310     86.39441
GET       0.320     87.28262
GET       0.330     87.92551
GET       0.340     88.39404
GET       0.350     88.75500
GET       0.360     89.03741
GET       0.370     89.27529
GET       0.380     89.49059
GET       0.390     89.70085
GET       0.400     89.89667
GET       0.410     90.09483
GET       0.420     90.28951
GET       0.430     90.48522
GET       0.440     90.69314
GET       0.450     90.90778
GET       0.460     91.11636
GET       0.470     91.33088
GET       0.480     91.55432
GET       0.490     91.79083
GET       0.500     92.02686
GET       0.510     92.27499
GET       0.520     92.53619
GET       0.530     92.82021
GET       0.540     93.10873
GET       0.550     93.40654
GET       0.560     93.69560
GET       0.570     94.00042
GET       0.580     94.29007
GET       0.590     94.57434
GET       0.600     94.84536
GET       0.610     95.10734
GET       0.620     95.35277
GET       0.630     95.58065
GET       0.640     95.79481
GET       0.650     95.99033
GET       0.660     96.17261
GET       0.670     96.33601
GET       0.680     96.48546
GET       0.690     96.63047
GET       0.700     96.75894
GET       0.710     96.87578
GET       0.720     96.98148
GET       0.730     97.07712
GET       0.740     97.16520
GET       0.750     97.24046
GET       0.760     97.31207
GET       0.770     97.38026
GET       0.780     97.43544
GET       0.790     97.49315
GET       0.800     97.54594
GET       0.810     97.59513
GET       0.820     97.64289
GET       0.830     97.68831
GET       0.840     97.73517
GET       0.850     97.77921
GET       0.860     97.82247
GET       0.870     97.86478
GET       0.880     97.90888
GET       0.890     97.95220
GET       0.900     97.99361
GET       0.910     98.03723
GET       0.920     98.07750
GET       0.930     98.12094
GET       0.940     98.16360
GET       0.950     98.20884
GET       0.960     98.25498
GET       0.970     98.30208
GET       0.980     98.35158
GET       0.990     98.39957
GET       1.000     98.69432
GET       1.100     99.21174
GET       1.200     99.60224
GET       1.300     99.82964
GET       1.400     99.93187
GET       1.500     99.96890
GET       1.600     99.97999
GET       1.700     99.98394
GET       1.800     99.98520
GET       1.900     99.98604
GET       2.000     99.98778
GET       2.100     99.98963
GET       2.200     99.99071
GET       2.300     99.99095
GET       2.400     99.99125
GET       2.500     99.99161
GET       2.600     99.99215
GET       2.700     99.99269
GET       2.800     99.99293
GET       3.000     99.99311
GET       3.100     99.99335
GET       3.200     99.99389
GET       3.300     99.99431
GET       3.400     99.99449
GET       3.500     99.99461
GET       3.700     99.99485
GET       3.800     99.99605
GET       3.900     99.99724
GET       4.000     99.99766
GET       4.100     99.99808
GET       4.200     99.99826
GET       4.300     99.99874
GET       4.400     99.99928
GET       8.000     99.99940
GET       8.100     99.99952
GET       8.200     99.99964
GET       8.300     99.99982
GET       8.400     99.99994
GET       8.500    100.00000
