[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs] 11 threads:       94456 ops,   94428 (avg:   94428) ops/sec, 3.56MB/sec (avg: 3.56MB/sec),  1.86 (avg:  1.86) msec latency[RUN #1 7%,   2 secs] 11 threads:      175859 ops,   81391 (avg:   87910) ops/sec, 3.07MB/sec (avg: 3.32MB/sec),  2.16 (avg:  2.00) msec latency[RUN #1 10%,   3 secs] 11 threads:      257934 ops,   82065 (avg:   85962) ops/sec, 3.09MB/sec (avg: 3.24MB/sec),  2.14 (avg:  2.04) msec latency[RUN #1 13%,   4 secs] 11 threads:      339973 ops,   82026 (avg:   84978) ops/sec, 3.09MB/sec (avg: 3.21MB/sec),  2.14 (avg:  2.07) msec latency[RUN #1 17%,   5 secs] 11 threads:      422195 ops,   82211 (avg:   84425) ops/sec, 3.10MB/sec (avg: 3.18MB/sec),  2.14 (avg:  2.08) msec latency[RUN #1 20%,   6 secs] 11 threads:      504133 ops,   81928 (avg:   84008) ops/sec, 3.09MB/sec (avg: 3.17MB/sec),  2.14 (avg:  2.09) msec latency[RUN #1 23%,   7 secs] 11 threads:      586819 ops,   82676 (avg:   83818) ops/sec, 3.12MB/sec (avg: 3.16MB/sec),  2.13 (avg:  2.10) msec latency[RUN #1 27%,   8 secs] 11 threads:      670746 ops,   83917 (avg:   83830) ops/sec, 3.16MB/sec (avg: 3.16MB/sec),  2.09 (avg:  2.10) msec latency[RUN #1 30%,   9 secs] 11 threads:      752469 ops,   81711 (avg:   83595) ops/sec, 3.08MB/sec (avg: 3.15MB/sec),  2.15 (avg:  2.10) msec latency[RUN #1 33%,  10 secs] 11 threads:      843355 ops,   90875 (avg:   84323) ops/sec, 3.43MB/sec (avg: 3.18MB/sec),  1.93 (avg:  2.08) msec latency[RUN #1 37%,  11 secs] 11 threads:      938744 ops,   95377 (avg:   85328) ops/sec, 3.60MB/sec (avg: 3.22MB/sec),  1.85 (avg:  2.06) msec latency[RUN #1 40%,  12 secs] 11 threads:     1032858 ops,   94101 (avg:   86059) ops/sec, 3.55MB/sec (avg: 3.25MB/sec),  1.86 (avg:  2.04) msec latency[RUN #1 43%,  13 secs] 11 threads:     1126503 ops,   93633 (avg:   86642) ops/sec, 3.53MB/sec (avg: 3.27MB/sec),  1.88 (avg:  2.03) msec latency[RUN #1 47%,  14 secs] 11 threads:     1219692 ops,   93177 (avg:   87108) ops/sec, 3.51MB/sec (avg: 3.29MB/sec),  1.89 (avg:  2.02) msec latency[RUN #1 50%,  15 secs] 11 threads:     1313563 ops,   93860 (avg:   87558) ops/sec, 3.54MB/sec (avg: 3.30MB/sec),  1.87 (avg:  2.01) msec latency[RUN #1 53%,  16 secs] 11 threads:     1406047 ops,   92472 (avg:   87866) ops/sec, 3.49MB/sec (avg: 3.31MB/sec),  1.90 (avg:  2.00) msec latency[RUN #1 57%,  17 secs] 11 threads:     1493142 ops,   87083 (avg:   87820) ops/sec, 3.28MB/sec (avg: 3.31MB/sec),  2.02 (avg:  2.00) msec latency[RUN #1 60%,  18 secs] 11 threads:     1578818 ops,   85666 (avg:   87700) ops/sec, 3.23MB/sec (avg: 3.31MB/sec),  2.05 (avg:  2.00) msec latency[RUN #1 63%,  19 secs] 11 threads:     1663860 ops,   85032 (avg:   87559) ops/sec, 3.21MB/sec (avg: 3.30MB/sec),  2.07 (avg:  2.01) msec latency[RUN #1 67%,  20 secs] 11 threads:     1747952 ops,   84082 (avg:   87386) ops/sec, 3.17MB/sec (avg: 3.30MB/sec),  2.09 (avg:  2.01) msec latency[RUN #1 70%,  21 secs] 11 threads:     1832549 ops,   84587 (avg:   87252) ops/sec, 3.19MB/sec (avg: 3.29MB/sec),  2.08 (avg:  2.01) msec latency[RUN #1 73%,  22 secs] 11 threads:     1918423 ops,   85863 (avg:   87189) ops/sec, 3.24MB/sec (avg: 3.29MB/sec),  2.05 (avg:  2.02) msec latency[RUN #1 77%,  23 secs] 11 threads:     2002375 ops,   83941 (avg:   87048) ops/sec, 3.17MB/sec (avg: 3.28MB/sec),  2.09 (avg:  2.02) msec latency[RUN #1 80%,  24 secs] 11 threads:     2088778 ops,   86392 (avg:   87021) ops/sec, 3.26MB/sec (avg: 3.28MB/sec),  2.04 (avg:  2.02) msec latency[RUN #1 83%,  25 secs] 11 threads:     2175170 ops,   86381 (avg:   86995) ops/sec, 3.26MB/sec (avg: 3.28MB/sec),  2.03 (avg:  2.02) msec latency[RUN #1 87%,  26 secs] 11 threads:     2259441 ops,   84261 (avg:   86890) ops/sec, 3.18MB/sec (avg: 3.28MB/sec),  2.09 (avg:  2.02) msec latency[RUN #1 90%,  27 secs] 11 threads:     2344955 ops,   85502 (avg:   86838) ops/sec, 3.22MB/sec (avg: 3.27MB/sec),  2.05 (avg:  2.02) msec latency[RUN #1 93%,  28 secs] 11 threads:     2431606 ops,   86635 (avg:   86831) ops/sec, 3.27MB/sec (avg: 3.27MB/sec),  2.03 (avg:  2.02) msec latency[RUN #1 97%,  29 secs] 11 threads:     2516264 ops,   84646 (avg:   86756) ops/sec, 3.19MB/sec (avg: 3.27MB/sec),  2.07 (avg:  2.03) msec latency[RUN #1 100%,  30 secs]  0 threads:     2601637 ops,   84646 (avg:   86717) ops/sec, 3.19MB/sec (avg: 3.27MB/sec),  2.07 (avg:  2.03) msec latency

11        Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        7885.87          ---          ---      2.02800       584.53
Gets       78831.39      8984.12     69847.27      2.02600      2764.26
Totals     86717.27      8984.12     69847.27      2.02600      3348.80


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     70.11543
SET       2.000     88.96600
SET       3.000     93.14333
SET       4.000     93.20039
SET       5.000     94.10196
SET       6.000     95.87255
SET       7.000     98.71971
SET       8.000     98.93866
SET       9.000     98.98515
SET      10.000     99.43868
SET      11.000     99.96703
SET      12.000     99.99958
SET      13.000    100.00000
---
GET       0.090      0.00013
GET       0.095      0.00017
GET       0.096      0.00021
GET       0.098      0.00025
GET       0.099      0.00034
GET       0.100      0.00063
GET       0.110      0.00148
GET       0.120      0.00355
GET       0.130      0.00605
GET       0.140      0.01032
GET       0.150      0.01691
GET       0.160      0.02647
GET       0.170      0.03708
GET       0.180      0.04989
GET       0.190      0.06575
GET       0.200      0.08262
GET       0.210      0.09941
GET       0.220      0.11598
GET       0.230      0.13171
GET       0.240      0.15019
GET       0.250      0.16723
GET       0.260      0.18198
GET       0.270      0.19725
GET       0.280      0.21277
GET       0.290      0.22811
GET       0.300      0.24283
GET       0.310      0.25446
GET       0.320      0.26435
GET       0.330      0.27412
GET       0.340      0.28418
GET       0.350      0.29238
GET       0.360      0.29970
GET       0.370      0.30570
GET       0.380      0.31196
GET       0.390      0.31906
GET       0.400      0.32621
GET       0.410      0.33230
GET       0.420      0.33737
GET       0.430      0.34393
GET       0.440      0.35132
GET       0.450      0.35720
GET       0.460      0.36278
GET       0.470      0.36803
GET       0.480      0.37471
GET       0.490      0.38194
GET       0.500      0.38870
GET       0.510      0.39475
GET       0.520      0.40029
GET       0.530      0.40879
GET       0.540      0.41606
GET       0.550      0.42363
GET       0.560      0.43141
GET       0.570      0.43716
GET       0.580      0.44358
GET       0.590      0.45001
GET       0.600      0.45585
GET       0.610      0.46037
GET       0.620      0.46413
GET       0.630      0.46895
GET       0.640      0.47344
GET       0.650      0.47635
GET       0.660      0.47982
GET       0.670      0.48227
GET       0.680      0.48494
GET       0.690      0.48773
GET       0.700      0.49060
GET       0.710      0.49360
GET       0.720      0.49665
GET       0.730      0.49948
GET       0.740      0.50198
GET       0.750      0.50561
GET       0.760      0.50878
GET       0.770      0.51124
GET       0.780      0.51559
GET       0.790      0.52003
GET       0.800      0.52405
GET       0.810      0.52857
GET       0.820      0.53352
GET       0.830      0.54012
GET       0.840      0.54557
GET       0.850      0.55208
GET       0.860      0.55783
GET       0.870      0.56413
GET       0.880      0.57026
GET       0.890      0.57635
GET       0.900      0.58303
GET       0.910      0.58988
GET       0.920      0.59762
GET       0.930      0.60498
GET       0.940      0.61229
GET       0.950      0.62113
GET       0.960      0.63288
GET       0.970      0.64768
GET       0.980      0.66540
GET       0.990      0.68667
GET       1.000      1.01727
GET       1.100     17.55637
GET       1.200     51.28555
GET       1.300     54.29923
GET       1.400     54.87207
GET       1.500     55.48665
GET       1.600     60.90100
GET       1.700     65.56102
GET       1.800     68.86311
GET       1.900     69.46407
GET       2.000     69.59121
GET       2.100     69.71159
GET       2.200     70.82548
GET       2.300     75.29371
GET       2.400     78.33619
GET       2.500     79.49557
GET       2.600     82.07907
GET       2.700     84.14359
GET       2.800     85.10771
GET       2.900     87.22581
GET       3.000     90.44337
GET       3.100     91.95070
GET       3.200     92.51360
GET       3.300     92.71842
GET       3.400     92.81140
GET       3.500     93.01765
GET       3.600     93.13203
GET       3.700     93.16268
GET       3.800     93.17131
GET       3.900     93.17397
GET       4.000     93.17663
GET       4.100     93.17854
GET       4.200     93.18277
GET       4.300     93.18788
GET       4.400     93.19325
GET       4.500     93.20090
GET       4.600     93.20894
GET       4.700     93.21672
GET       4.800     93.22357
GET       4.900     93.22983
GET       5.000     93.23600
GET       5.100     93.24505
GET       5.200     93.25786
GET       5.300     93.27388
GET       5.400     93.29025
GET       5.500     93.30547
GET       5.600     93.32809
GET       5.700     93.38872
GET       5.800     93.56563
GET       5.900     93.93924
GET       6.000     94.38054
GET       6.100     94.76582
GET       6.200     95.09668
GET       6.300     95.35511
GET       6.400     95.55105
GET       6.500     95.68445
GET       6.600     95.76364
GET       6.700     95.80740
GET       6.800     95.84115
GET       6.900     95.88254
GET       7.000     95.95598
GET       7.100     96.12072
GET       7.200     96.41069
GET       7.300     96.79512
GET       7.400     97.23257
GET       7.500     97.64741
GET       7.600     98.00854
GET       7.700     98.29534
GET       7.800     98.51453
GET       7.900     98.67555
GET       8.000     98.79081
GET       8.100     98.86379
GET       8.200     98.91157
GET       8.300     98.93825
GET       8.400     98.95385
GET       8.500     98.96345
GET       8.600     98.96899
GET       8.700     98.97173
GET       8.800     98.97347
GET       8.900     98.97554
GET       9.000     98.97643
GET       9.100     98.97677
GET       9.300     98.97685
GET       9.400     98.97693
GET       9.500     98.97710
GET       9.600     98.97803
GET       9.700     98.97977
GET       9.800     98.98192
GET       9.900     98.98548
GET      10.000     99.08856
GET      11.000     99.82808
GET      12.000     99.99450
GET      13.000    100.00000
