[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs] 17 threads:      128783 ops,  128653 (avg:  128653) ops/sec, 4.86MB/sec (avg: 4.86MB/sec),  2.11 (avg:  2.11) msec latency[RUN #1 7%,   2 secs] 17 threads:      244690 ops,  115890 (avg:  122274) ops/sec, 4.37MB/sec (avg: 4.61MB/sec),  2.34 (avg:  2.22) msec latency[RUN #1 10%,   3 secs] 17 threads:      361155 ops,  116448 (avg:  120333) ops/sec, 4.39MB/sec (avg: 4.54MB/sec),  2.33 (avg:  2.26) msec latency[RUN #1 13%,   4 secs] 17 threads:      476187 ops,  115013 (avg:  119003) ops/sec, 4.34MB/sec (avg: 4.49MB/sec),  2.36 (avg:  2.28) msec latency[RUN #1 17%,   5 secs] 17 threads:      590569 ops,  114367 (avg:  118076) ops/sec, 4.31MB/sec (avg: 4.45MB/sec),  2.38 (avg:  2.30) msec latency[RUN #1 20%,   6 secs] 17 threads:      704489 ops,  113906 (avg:  117381) ops/sec, 4.30MB/sec (avg: 4.43MB/sec),  2.38 (avg:  2.31) msec latency[RUN #1 23%,   7 secs] 17 threads:      817956 ops,  113452 (avg:  116820) ops/sec, 4.28MB/sec (avg: 4.41MB/sec),  2.39 (avg:  2.32) msec latency[RUN #1 27%,   8 secs] 17 threads:      931293 ops,  113322 (avg:  116383) ops/sec, 4.27MB/sec (avg: 4.39MB/sec),  2.40 (avg:  2.33) msec latency[RUN #1 30%,   9 secs] 17 threads:     1043543 ops,  112235 (avg:  115922) ops/sec, 4.23MB/sec (avg: 4.37MB/sec),  2.42 (avg:  2.34) msec latency[RUN #1 33%,  10 secs] 17 threads:     1156127 ops,  112569 (avg:  115587) ops/sec, 4.25MB/sec (avg: 4.36MB/sec),  2.41 (avg:  2.35) msec latency[RUN #1 37%,  11 secs] 17 threads:     1267648 ops,  111507 (avg:  115216) ops/sec, 4.20MB/sec (avg: 4.35MB/sec),  2.44 (avg:  2.36) msec latency[RUN #1 40%,  12 secs] 17 threads:     1378789 ops,  111125 (avg:  114875) ops/sec, 4.19MB/sec (avg: 4.33MB/sec),  2.44 (avg:  2.36) msec latency[RUN #1 43%,  13 secs] 17 threads:     1490927 ops,  112121 (avg:  114663) ops/sec, 4.23MB/sec (avg: 4.32MB/sec),  2.42 (avg:  2.37) msec latency[RUN #1 47%,  14 secs] 17 threads:     1602866 ops,  111924 (avg:  114467) ops/sec, 4.22MB/sec (avg: 4.32MB/sec),  2.43 (avg:  2.37) msec latency[RUN #1 50%,  15 secs] 17 threads:     1714562 ops,  111678 (avg:  114282) ops/sec, 4.21MB/sec (avg: 4.31MB/sec),  2.43 (avg:  2.38) msec latency[RUN #1 53%,  16 secs] 17 threads:     1828292 ops,  113712 (avg:  114246) ops/sec, 4.29MB/sec (avg: 4.31MB/sec),  2.39 (avg:  2.38) msec latency[RUN #1 57%,  17 secs] 17 threads:     1944041 ops,  115730 (avg:  114333) ops/sec, 4.36MB/sec (avg: 4.31MB/sec),  2.35 (avg:  2.38) msec latency[RUN #1 60%,  18 secs] 17 threads:     2060401 ops,  116343 (avg:  114445) ops/sec, 4.39MB/sec (avg: 4.32MB/sec),  2.34 (avg:  2.37) msec latency[RUN #1 63%,  19 secs] 17 threads:     2176632 ops,  116214 (avg:  114538) ops/sec, 4.38MB/sec (avg: 4.32MB/sec),  2.34 (avg:  2.37) msec latency[RUN #1 67%,  20 secs] 17 threads:     2293890 ops,  117243 (avg:  114673) ops/sec, 4.42MB/sec (avg: 4.32MB/sec),  2.32 (avg:  2.37) msec latency[RUN #1 70%,  21 secs] 17 threads:     2413183 ops,  119278 (avg:  114892) ops/sec, 4.50MB/sec (avg: 4.33MB/sec),  2.28 (avg:  2.36) msec latency[RUN #1 73%,  22 secs] 17 threads:     2531683 ops,  118485 (avg:  115056) ops/sec, 4.47MB/sec (avg: 4.34MB/sec),  2.29 (avg:  2.36) msec latency[RUN #1 77%,  23 secs] 17 threads:     2651439 ops,  119741 (avg:  115259) ops/sec, 4.51MB/sec (avg: 4.35MB/sec),  2.27 (avg:  2.36) msec latency[RUN #1 80%,  24 secs] 17 threads:     2771635 ops,  120181 (avg:  115465) ops/sec, 4.53MB/sec (avg: 4.35MB/sec),  2.26 (avg:  2.35) msec latency[RUN #1 83%,  25 secs] 17 threads:     2892299 ops,  120649 (avg:  115672) ops/sec, 4.55MB/sec (avg: 4.36MB/sec),  2.25 (avg:  2.35) msec latency[RUN #1 87%,  26 secs] 17 threads:     3012430 ops,  120116 (avg:  115843) ops/sec, 4.53MB/sec (avg: 4.37MB/sec),  2.26 (avg:  2.34) msec latency[RUN #1 90%,  27 secs] 17 threads:     3130977 ops,  118531 (avg:  115942) ops/sec, 4.47MB/sec (avg: 4.37MB/sec),  2.29 (avg:  2.34) msec latency[RUN #1 93%,  28 secs] 17 threads:     3249712 ops,  118720 (avg:  116042) ops/sec, 4.48MB/sec (avg: 4.38MB/sec),  2.29 (avg:  2.34) msec latency[RUN #1 97%,  29 secs] 17 threads:     3366889 ops,  117161 (avg:  116080) ops/sec, 4.42MB/sec (avg: 4.38MB/sec),  2.32 (avg:  2.34) msec latency[RUN #1 100%,  30 secs]  8 threads:     3485322 ops,  117161 (avg:  116171) ops/sec, 4.42MB/sec (avg: 4.38MB/sec),  2.32 (avg:  2.34) msec latency[RUN #1 100%,  30 secs]  0 threads:     3485343 ops,  117161 (avg:  116172) ops/sec, 4.42MB/sec (avg: 4.38MB/sec),  2.32 (avg:  2.34) msec latency

17        Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets       10565.49          ---          ---      2.34700       783.16
Gets      105608.48     12208.87     93399.61      2.33700      3703.24
Totals    116173.97     12208.87     93399.61      2.33800      4486.40


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     48.92074
SET       2.000     86.69899
SET       3.000     90.17181
SET       4.000     90.98512
SET       5.000     92.75308
SET       6.000     96.48112
SET       7.000     96.94267
SET       8.000     99.18921
SET       9.000     99.91514
SET      10.000     99.95836
SET      11.000     99.95993
SET      12.000     99.96088
SET      13.000     99.96120
SET      14.000     99.96498
SET      15.000     99.96751
SET      16.000     99.97224
SET      17.000     99.98012
SET      18.000     99.99306
SET      19.000    100.00000
---
GET       0.087      0.00006
GET       0.088      0.00009
GET       0.093      0.00013
GET       0.097      0.00019
GET       0.098      0.00028
GET       0.099      0.00032
GET       0.100      0.00054
GET       0.110      0.00139
GET       0.120      0.00347
GET       0.130      0.00669
GET       0.140      0.01203
GET       0.150      0.02007
GET       0.160      0.03008
GET       0.170      0.04248
GET       0.180      0.05577
GET       0.190      0.07019
GET       0.200      0.08241
GET       0.210      0.09320
GET       0.220      0.10296
GET       0.230      0.11186
GET       0.240      0.12148
GET       0.250      0.13013
GET       0.260      0.13748
GET       0.270      0.14414
GET       0.280      0.15226
GET       0.290      0.16008
GET       0.300      0.16747
GET       0.310      0.17517
GET       0.320      0.18136
GET       0.330      0.18789
GET       0.340      0.19467
GET       0.350      0.20096
GET       0.360      0.20793
GET       0.370      0.21412
GET       0.380      0.22037
GET       0.390      0.22734
GET       0.400      0.23454
GET       0.410      0.24000
GET       0.420      0.24524
GET       0.430      0.25007
GET       0.440      0.25521
GET       0.450      0.26004
GET       0.460      0.26458
GET       0.470      0.26837
GET       0.480      0.27232
GET       0.490      0.27727
GET       0.500      0.28115
GET       0.510      0.28488
GET       0.520      0.28785
GET       0.530      0.29122
GET       0.540      0.29558
GET       0.550      0.29918
GET       0.560      0.30284
GET       0.570      0.30678
GET       0.580      0.31044
GET       0.590      0.31414
GET       0.600      0.31786
GET       0.610      0.32162
GET       0.620      0.32408
GET       0.630      0.32698
GET       0.640      0.33074
GET       0.650      0.33430
GET       0.660      0.33806
GET       0.670      0.34112
GET       0.680      0.34507
GET       0.690      0.34860
GET       0.700      0.35242
GET       0.710      0.35580
GET       0.720      0.35968
GET       0.730      0.36372
GET       0.740      0.36754
GET       0.750      0.37186
GET       0.760      0.37552
GET       0.770      0.37953
GET       0.780      0.38313
GET       0.790      0.38764
GET       0.800      0.39131
GET       0.810      0.39487
GET       0.820      0.39860
GET       0.830      0.40213
GET       0.840      0.40664
GET       0.850      0.41163
GET       0.860      0.41684
GET       0.870      0.42359
GET       0.880      0.43177
GET       0.890      0.44247
GET       0.900      0.45377
GET       0.910      0.46636
GET       0.920      0.48280
GET       0.930      0.50392
GET       0.940      0.53037
GET       0.950      0.56461
GET       0.960      0.60668
GET       0.970      0.66905
GET       0.980      0.75408
GET       0.990      0.87158
GET       1.000      3.02519
GET       1.100     22.59388
GET       1.200     33.81389
GET       1.300     35.63574
GET       1.400     36.47292
GET       1.500     39.34446
GET       1.600     45.12779
GET       1.700     47.24999
GET       1.800     47.94123
GET       1.900     48.44259
GET       2.000     49.40643
GET       2.100     52.39194
GET       2.200     59.02848
GET       2.300     65.44321
GET       2.400     69.93745
GET       2.500     74.91067
GET       2.600     79.37912
GET       2.700     83.23117
GET       2.800     85.23953
GET       2.900     86.11016
GET       3.000     86.79922
GET       3.100     87.85589
GET       3.200     88.94976
GET       3.300     89.46710
GET       3.400     89.65521
GET       3.500     89.72764
GET       3.600     89.76217
GET       3.700     89.78022
GET       3.800     89.79061
GET       3.900     89.79891
GET       4.000     89.80478
GET       4.100     89.80866
GET       4.200     89.81434
GET       4.300     89.82236
GET       4.400     89.83246
GET       4.500     89.84953
GET       4.600     89.88081
GET       4.700     89.96107
GET       4.800     90.14243
GET       4.900     90.43583
GET       5.000     90.74637
GET       5.100     91.04826
GET       5.200     91.35706
GET       5.300     91.63392
GET       5.400     91.86300
GET       5.500     92.00904
GET       5.600     92.09448
GET       5.700     92.14330
GET       5.800     92.19563
GET       5.900     92.28101
GET       6.000     92.45400
GET       6.100     92.77233
GET       6.200     93.27190
GET       6.300     93.91573
GET       6.400     94.59109
GET       6.500     95.16697
GET       6.600     95.59865
GET       6.700     95.88981
GET       6.800     96.09199
GET       6.900     96.24295
GET       7.000     96.36179
GET       7.100     96.45814
GET       7.200     96.53108
GET       7.300     96.58474
GET       7.400     96.62107
GET       7.500     96.64512
GET       7.600     96.66181
GET       7.700     96.67864
GET       7.800     96.70619
GET       7.900     96.75476
GET       8.000     96.83237
GET       8.100     96.95376
GET       8.200     97.11990
GET       8.300     97.34226
GET       8.400     97.61574
GET       8.500     97.92679
GET       8.600     98.26198
GET       8.700     98.58987
GET       8.800     98.89142
GET       8.900     99.14903
GET       9.000     99.35162
GET       9.100     99.50751
GET       9.200     99.62116
GET       9.300     99.70906
GET       9.400     99.77272
GET       9.500     99.82309
GET       9.600     99.86340
GET       9.700     99.89342
GET       9.800     99.91870
GET       9.900     99.94079
GET      10.000     99.98081
GET      11.000     99.98558
GET      12.000     99.98630
GET      13.000     99.98801
GET      14.000     99.98883
GET      15.000     99.98889
GET      16.000     99.99085
GET      17.000     99.99672
GET      18.000     99.99953
GET      19.000    100.00000
