[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  5 threads:       72110 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  5 threads:      140993 ops,   68874 (avg:   70501) ops/sec, 2.60MB/sec (avg: 2.66MB/sec),  1.16 (avg:  1.13) msec latency[RUN #1 10%,   2 secs]  5 threads:      211099 ops,   70098 (avg:   70367) ops/sec, 2.64MB/sec (avg: 2.65MB/sec),  1.14 (avg:  1.13) msec latency[RUN #1 13%,   4 secs]  5 threads:      281017 ops,   69910 (avg:   70252) ops/sec, 2.64MB/sec (avg: 2.65MB/sec),  1.14 (avg:  1.14) msec latency[RUN #1 17%,   5 secs]  5 threads:      350058 ops,   69033 (avg:   70008) ops/sec, 2.60MB/sec (avg: 2.64MB/sec),  1.16 (avg:  1.14) msec latency[RUN #1 20%,   6 secs]  5 threads:      418050 ops,   67984 (avg:   69671) ops/sec, 2.56MB/sec (avg: 2.63MB/sec),  1.17 (avg:  1.14) msec latency[RUN #1 23%,   7 secs]  5 threads:      486657 ops,   68597 (avg:   69518) ops/sec, 2.59MB/sec (avg: 2.62MB/sec),  1.16 (avg:  1.15) msec latency[RUN #1 27%,   8 secs]  5 threads:      555108 ops,   68443 (avg:   69383) ops/sec, 2.58MB/sec (avg: 2.62MB/sec),  1.17 (avg:  1.15) msec latency[RUN #1 30%,   9 secs]  5 threads:      624142 ops,   69024 (avg:   69343) ops/sec, 2.60MB/sec (avg: 2.62MB/sec),  1.16 (avg:  1.15) msec latency[RUN #1 33%,  10 secs]  5 threads:      693467 ops,   69317 (avg:   69341) ops/sec, 2.61MB/sec (avg: 2.62MB/sec),  1.15 (avg:  1.15) msec latency[RUN #1 37%,  11 secs]  5 threads:      761627 ops,   68152 (avg:   69233) ops/sec, 2.57MB/sec (avg: 2.61MB/sec),  1.17 (avg:  1.15) msec latency[RUN #1 40%,  12 secs]  5 threads:      830200 ops,   68565 (avg:   69177) ops/sec, 2.59MB/sec (avg: 2.61MB/sec),  1.16 (avg:  1.15) msec latency[RUN #1 43%,  13 secs]  5 threads:      896471 ops,   66264 (avg:   68953) ops/sec, 2.50MB/sec (avg: 2.60MB/sec),  1.20 (avg:  1.16) msec latency[RUN #1 47%,  14 secs]  5 threads:      963239 ops,   66759 (avg:   68796) ops/sec, 2.52MB/sec (avg: 2.59MB/sec),  1.20 (avg:  1.16) msec latency[RUN #1 50%,  15 secs]  5 threads:     1031348 ops,   68099 (avg:   68750) ops/sec, 2.57MB/sec (avg: 2.59MB/sec),  1.17 (avg:  1.16) msec latency[RUN #1 53%,  16 secs]  5 threads:     1099775 ops,   68417 (avg:   68729) ops/sec, 2.58MB/sec (avg: 2.59MB/sec),  1.17 (avg:  1.16) msec latency[RUN #1 57%,  17 secs]  5 threads:     1168187 ops,   68404 (avg:   68710) ops/sec, 2.58MB/sec (avg: 2.59MB/sec),  1.17 (avg:  1.16) msec latency[RUN #1 60%,  18 secs]  5 threads:     1237050 ops,   68855 (avg:   68718) ops/sec, 2.60MB/sec (avg: 2.59MB/sec),  1.16 (avg:  1.16) msec latency[RUN #1 63%,  19 secs]  5 threads:     1307195 ops,   70137 (avg:   68793) ops/sec, 2.64MB/sec (avg: 2.59MB/sec),  1.14 (avg:  1.16) msec latency[RUN #1 67%,  20 secs]  5 threads:     1376857 ops,   69653 (avg:   68836) ops/sec, 2.63MB/sec (avg: 2.60MB/sec),  1.15 (avg:  1.16) msec latency[RUN #1 70%,  21 secs]  5 threads:     1445615 ops,   68748 (avg:   68831) ops/sec, 2.59MB/sec (avg: 2.60MB/sec),  1.16 (avg:  1.16) msec latency[RUN #1 73%,  22 secs]  5 threads:     1513700 ops,   68076 (avg:   68797) ops/sec, 2.57MB/sec (avg: 2.59MB/sec),  1.17 (avg:  1.16) msec latency[RUN #1 77%,  23 secs]  5 threads:     1581107 ops,   67397 (avg:   68736) ops/sec, 2.54MB/sec (avg: 2.59MB/sec),  1.18 (avg:  1.16) msec latency[RUN #1 80%,  24 secs]  5 threads:     1650184 ops,   69068 (avg:   68750) ops/sec, 2.60MB/sec (avg: 2.59MB/sec),  1.15 (avg:  1.16) msec latency[RUN #1 83%,  25 secs]  5 threads:     1716012 ops,   65819 (avg:   68633) ops/sec, 2.48MB/sec (avg: 2.59MB/sec),  1.21 (avg:  1.16) msec latency[RUN #1 87%,  26 secs]  5 threads:     1782339 ops,   66318 (avg:   68544) ops/sec, 2.50MB/sec (avg: 2.58MB/sec),  1.20 (avg:  1.16) msec latency[RUN #1 90%,  27 secs]  5 threads:     1849505 ops,   67157 (avg:   68492) ops/sec, 2.53MB/sec (avg: 2.58MB/sec),  1.19 (avg:  1.16) msec latency[RUN #1 93%,  28 secs]  5 threads:     1918912 ops,   69397 (avg:   68525) ops/sec, 2.62MB/sec (avg: 2.58MB/sec),  1.15 (avg:  1.16) msec latency[RUN #1 97%,  29 secs]  5 threads:     1987854 ops,   68932 (avg:   68539) ops/sec, 2.60MB/sec (avg: 2.58MB/sec),  1.16 (avg:  1.16) msec latency[RUN #1 100%,  30 secs]  0 threads:     2055760 ops,   68932 (avg:   68524) ops/sec, 2.60MB/sec (avg: 2.58MB/sec),  1.16 (avg:  1.16) msec latency

5         Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        6029.74          ---          ---      1.17200       446.96
Gets       60284.00     11837.64     48446.36      1.16300      2113.87
Totals     66313.74     11837.64     48446.36      1.16400      2560.83


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.095      0.00005
GET       0.098      0.00016
GET       0.100      0.00021
GET       0.110      0.00043
GET       0.120      0.00054
GET       0.130      0.00102
GET       0.140      0.00198
GET       0.150      0.00316
GET       0.160      0.00433
GET       0.170      0.00562
GET       0.180      0.00744
GET       0.190      0.01049
GET       0.200      0.01429
GET       0.210      0.01664
GET       0.220      0.01942
GET       0.230      0.02301
GET       0.240      0.02788
GET       0.250      0.03323
GET       0.260      0.03671
GET       0.270      0.04142
GET       0.280      0.04634
GET       0.290      0.05115
GET       0.300      0.05699
GET       0.310      0.06218
GET       0.320      0.06598
GET       0.330      0.07058
GET       0.340      0.07513
GET       0.350      0.07941
GET       0.360      0.08380
GET       0.370      0.08792
GET       0.380      0.09262
GET       0.390      0.09835
GET       0.400      0.10370
GET       0.410      0.10836
GET       0.420      0.11408
GET       0.430      0.11959
GET       0.440      0.12484
GET       0.450      0.13099
GET       0.460      0.13848
GET       0.470      0.14662
GET       0.480      0.15641
GET       0.490      0.17075
GET       0.500      0.19060
GET       0.510      0.22035
GET       0.520      0.27841
GET       0.530      0.39897
GET       0.540      0.65217
GET       0.550      1.15061
GET       0.560      2.05267
GET       0.570      3.54772
GET       0.580      5.83524
GET       0.590      8.98410
GET       0.600     12.82805
GET       0.610     17.03644
GET       0.620     21.13220
GET       0.630     24.65921
GET       0.640     27.43169
GET       0.650     29.41672
GET       0.660     30.71619
GET       0.670     31.54966
GET       0.680     32.05227
GET       0.690     32.35984
GET       0.700     32.55472
GET       0.710     32.68106
GET       0.720     32.77090
GET       0.730     32.83773
GET       0.740     32.89317
GET       0.750     32.94106
GET       0.760     32.99152
GET       0.770     33.05369
GET       0.780     33.13444
GET       0.790     33.24991
GET       0.800     33.42184
GET       0.810     33.70308
GET       0.820     34.13576
GET       0.830     34.82234
GET       0.840     35.81766
GET       0.850     37.20799
GET       0.860     38.98488
GET       0.870     41.22167
GET       0.880     43.85829
GET       0.890     46.63526
GET       0.900     49.39858
GET       0.910     52.03183
GET       0.920     54.42166
GET       0.930     56.41311
GET       0.940     57.95065
GET       0.950     59.11544
GET       0.960     59.96340
GET       0.970     60.54981
GET       0.980     60.92881
GET       0.990     61.17426
GET       1.000     61.65049
GET       1.100     62.10859
GET       1.200     67.05777
GET       1.300     69.45883
GET       1.400     76.59692
GET       1.500     86.90585
GET       1.600     88.62013
GET       1.700     89.06618
GET       1.800     90.19908
GET       1.900     90.52506
GET       2.000     90.56112
GET       2.100     90.57102
GET       2.200     90.57579
GET       2.300     90.58017
GET       2.400     90.58456
GET       2.500     90.58761
GET       2.600     90.59489
GET       2.700     90.63176
GET       2.800     90.88748
GET       2.900     91.96355
GET       3.000     94.30576
GET       3.100     97.11296
GET       3.200     98.94399
GET       3.300     99.71672
GET       3.400     99.93739
GET       3.500     99.97763
GET       3.600     99.98368
GET       3.700     99.98502
GET       3.800     99.98609
GET       3.900     99.98791
GET       4.000     99.99144
GET       4.100     99.99411
GET       4.200     99.99791
GET       4.300     99.99925
GET       4.400     99.99968
GET       4.500    100.00000
