[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  8 threads:       58961 ops,   58944 (avg:   58944) ops/sec, 2.23MB/sec (avg: 2.23MB/sec),  2.17 (avg:  2.17) msec latency[RUN #1 7%,   2 secs]  8 threads:      120897 ops,   61927 (avg:   60436) ops/sec, 2.34MB/sec (avg: 2.28MB/sec),  2.06 (avg:  2.11) msec latency[RUN #1 10%,   3 secs]  8 threads:      183185 ops,   62281 (avg:   61051) ops/sec, 2.35MB/sec (avg: 2.30MB/sec),  2.05 (avg:  2.09) msec latency[RUN #1 13%,   4 secs]  8 threads:      244480 ops,   61288 (avg:   61110) ops/sec, 2.31MB/sec (avg: 2.31MB/sec),  2.09 (avg:  2.09) msec latency[RUN #1 17%,   5 secs]  8 threads:      306887 ops,   62400 (avg:   61368) ops/sec, 2.35MB/sec (avg: 2.31MB/sec),  2.05 (avg:  2.08) msec latency[RUN #1 20%,   6 secs]  8 threads:      368795 ops,   61901 (avg:   61457) ops/sec, 2.33MB/sec (avg: 2.32MB/sec),  2.06 (avg:  2.08) msec latency[RUN #1 23%,   7 secs]  8 threads:      430995 ops,   62193 (avg:   61562) ops/sec, 2.35MB/sec (avg: 2.32MB/sec),  2.05 (avg:  2.08) msec latency[RUN #1 27%,   8 secs]  8 threads:      492254 ops,   61250 (avg:   61523) ops/sec, 2.31MB/sec (avg: 2.32MB/sec),  2.09 (avg:  2.08) msec latency[RUN #1 30%,   9 secs]  8 threads:      554928 ops,   62666 (avg:   61650) ops/sec, 2.36MB/sec (avg: 2.33MB/sec),  2.04 (avg:  2.07) msec latency[RUN #1 33%,  10 secs]  8 threads:      616881 ops,   61946 (avg:   61679) ops/sec, 2.34MB/sec (avg: 2.33MB/sec),  2.06 (avg:  2.07) msec latency[RUN #1 37%,  11 secs]  8 threads:      679837 ops,   62949 (avg:   61795) ops/sec, 2.37MB/sec (avg: 2.33MB/sec),  2.03 (avg:  2.07) msec latency[RUN #1 40%,  12 secs]  8 threads:      741646 ops,   61802 (avg:   61795) ops/sec, 2.33MB/sec (avg: 2.33MB/sec),  2.07 (avg:  2.07) msec latency[RUN #1 43%,  13 secs]  8 threads:      803160 ops,   61507 (avg:   61773) ops/sec, 2.32MB/sec (avg: 2.33MB/sec),  2.08 (avg:  2.07) msec latency[RUN #1 47%,  14 secs]  8 threads:      864788 ops,   61620 (avg:   61762) ops/sec, 2.32MB/sec (avg: 2.33MB/sec),  2.07 (avg:  2.07) msec latency[RUN #1 50%,  15 secs]  8 threads:      925927 ops,   61132 (avg:   61720) ops/sec, 2.31MB/sec (avg: 2.33MB/sec),  2.09 (avg:  2.07) msec latency[RUN #1 53%,  16 secs]  8 threads:      985839 ops,   59905 (avg:   61607) ops/sec, 2.26MB/sec (avg: 2.32MB/sec),  2.13 (avg:  2.07) msec latency[RUN #1 57%,  17 secs]  8 threads:     1046172 ops,   60325 (avg:   61531) ops/sec, 2.27MB/sec (avg: 2.32MB/sec),  2.12 (avg:  2.08) msec latency[RUN #1 60%,  18 secs]  8 threads:     1106492 ops,   60313 (avg:   61464) ops/sec, 2.27MB/sec (avg: 2.32MB/sec),  2.12 (avg:  2.08) msec latency[RUN #1 63%,  19 secs]  8 threads:     1167820 ops,   61320 (avg:   61456) ops/sec, 2.31MB/sec (avg: 2.32MB/sec),  2.09 (avg:  2.08) msec latency[RUN #1 67%,  20 secs]  8 threads:     1228207 ops,   60378 (avg:   61402) ops/sec, 2.28MB/sec (avg: 2.32MB/sec),  2.12 (avg:  2.08) msec latency[RUN #1 70%,  21 secs]  8 threads:     1290484 ops,   62269 (avg:   61444) ops/sec, 2.35MB/sec (avg: 2.32MB/sec),  2.05 (avg:  2.08) msec latency[RUN #1 73%,  22 secs]  8 threads:     1351755 ops,   61263 (avg:   61435) ops/sec, 2.31MB/sec (avg: 2.32MB/sec),  2.09 (avg:  2.08) msec latency[RUN #1 77%,  23 secs]  8 threads:     1424182 ops,   72419 (avg:   61913) ops/sec, 2.73MB/sec (avg: 2.33MB/sec),  1.76 (avg:  2.06) msec latency[RUN #1 80%,  24 secs]  8 threads:     1503013 ops,   78821 (avg:   62617) ops/sec, 2.97MB/sec (avg: 2.36MB/sec),  1.62 (avg:  2.04) msec latency[RUN #1 83%,  25 secs]  8 threads:     1582561 ops,   79539 (avg:   63294) ops/sec, 3.00MB/sec (avg: 2.39MB/sec),  1.61 (avg:  2.02) msec latency[RUN #1 87%,  26 secs]  8 threads:     1660910 ops,   78340 (avg:   63873) ops/sec, 2.95MB/sec (avg: 2.41MB/sec),  1.63 (avg:  2.00) msec latency[RUN #1 90%,  27 secs]  8 threads:     1737583 ops,   76663 (avg:   64347) ops/sec, 2.89MB/sec (avg: 2.43MB/sec),  1.67 (avg:  1.99) msec latency[RUN #1 93%,  28 secs]  8 threads:     1808832 ops,   71239 (avg:   64593) ops/sec, 2.69MB/sec (avg: 2.44MB/sec),  1.79 (avg:  1.98) msec latency[RUN #1 97%,  29 secs]  8 threads:     1878310 ops,   69470 (avg:   64761) ops/sec, 2.62MB/sec (avg: 2.44MB/sec),  1.84 (avg:  1.97) msec latency[RUN #1 100%,  30 secs]  0 threads:     1953817 ops,   69470 (avg:   65126) ops/sec, 2.62MB/sec (avg: 2.46MB/sec),  1.84 (avg:  1.96) msec latency

8         Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        6126.97          ---          ---      2.01700       454.16
Gets       61245.29      7950.84     53294.45      1.95600      2147.60
Totals     67372.26      7950.84     53294.45      1.96200      2601.77


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     62.71133
SET       2.000     87.41699
SET       3.000     91.49220
SET       4.000     92.37804
SET       5.000     99.12485
SET       6.000     99.19576
SET       7.000     99.39668
SET       8.000     99.91502
SET       9.000     99.91783
SET      10.000     99.94991
SET      11.000     99.95216
SET      12.000     99.95273
SET      14.000     99.95441
SET      15.000     99.95498
SET      16.000     99.95666
SET      17.000     99.95723
SET      20.000     99.95779
SET      22.000     99.95892
SET      23.000     99.96004
SET      24.000     99.96117
SET      25.000     99.96173
SET      28.000     99.96229
SET      30.000     99.96286
SET      32.000     99.96342
SET      34.000     99.96398
SET      36.000     99.96511
SET      37.000     99.96567
SET      39.000     99.96679
SET      40.000     99.96736
SET      42.000     99.96792
SET      46.000     99.96848
SET      50.000     99.96905
SET      52.000     99.97017
SET      54.000     99.97130
SET      55.000     99.97186
SET      56.000     99.97242
SET      57.000     99.97299
SET      63.000     99.97355
SET      65.000     99.97411
SET      66.000     99.97467
SET      68.000     99.97524
SET      74.000     99.97580
SET      76.000     99.97636
SET      77.000     99.97693
SET      78.000     99.97749
SET      80.000     99.97861
SET      85.000     99.97918
SET      88.000     99.97974
SET      99.000     99.98030
SET     100.000     99.98143
SET     110.000     99.98199
SET     120.000     99.98255
SET     130.000     99.98649
SET     140.000     99.98706
SET     150.000     99.98874
SET     170.000     99.98931
SET     180.000     99.99100
SET     220.000     99.99156
SET     230.000     99.99268
SET     240.000     99.99325
SET     280.000     99.99437
SET     290.000     99.99550
SET     340.000     99.99662
SET     350.000     99.99775
SET     380.000     99.99887
SET     390.000     99.99944
SET     400.000    100.00000
---
GET       0.100      0.00006
GET       0.120      0.00023
GET       0.130      0.00051
GET       0.140      0.00101
GET       0.150      0.00197
GET       0.160      0.00225
GET       0.170      0.00270
GET       0.180      0.00366
GET       0.190      0.00495
GET       0.200      0.00636
GET       0.210      0.00771
GET       0.220      0.00980
GET       0.230      0.01194
GET       0.240      0.01599
GET       0.250      0.01880
GET       0.260      0.02179
GET       0.270      0.02348
GET       0.280      0.02674
GET       0.290      0.03215
GET       0.300      0.03829
GET       0.310      0.04245
GET       0.320      0.04741
GET       0.330      0.05596
GET       0.340      0.06700
GET       0.350      0.07696
GET       0.360      0.08276
GET       0.370      0.08817
GET       0.380      0.09346
GET       0.390      0.09932
GET       0.400      0.10416
GET       0.410      0.10968
GET       0.420      0.11469
GET       0.430      0.11975
GET       0.440      0.12572
GET       0.450      0.13152
GET       0.460      0.13591
GET       0.470      0.14177
GET       0.480      0.14875
GET       0.490      0.15556
GET       0.500      0.16226
GET       0.510      0.16682
GET       0.520      0.17273
GET       0.530      0.17943
GET       0.540      0.18749
GET       0.550      0.19379
GET       0.560      0.19903
GET       0.570      0.20415
GET       0.580      0.21006
GET       0.590      0.21603
GET       0.600      0.22104
GET       0.610      0.22560
GET       0.620      0.23135
GET       0.630      0.23681
GET       0.640      0.24311
GET       0.650      0.24779
GET       0.660      0.25263
GET       0.670      0.25792
GET       0.680      0.26417
GET       0.690      0.26941
GET       0.700      0.27419
GET       0.710      0.27920
GET       0.720      0.28342
GET       0.730      0.28770
GET       0.740      0.29142
GET       0.750      0.29547
GET       0.760      0.29795
GET       0.770      0.30133
GET       0.780      0.30533
GET       0.790      0.30910
GET       0.800      0.31231
GET       0.810      0.31642
GET       0.820      0.32064
GET       0.830      0.32779
GET       0.840      0.33522
GET       0.850      0.34406
GET       0.860      0.35572
GET       0.870      0.37171
GET       0.880      0.38916
GET       0.890      0.40994
GET       0.900      0.43437
GET       0.910      0.46252
GET       0.920      0.50182
GET       0.930      0.55717
GET       0.940      0.65699
GET       0.950      0.86035
GET       0.960      1.23172
GET       0.970      1.90093
GET       0.980      3.00968
GET       0.990      4.70922
GET       1.000     24.66831
GET       1.100     41.22186
GET       1.200     42.23034
GET       1.300     42.45560
GET       1.400     47.18053
GET       1.500     56.50630
GET       1.600     58.44928
GET       1.700     61.57495
GET       1.800     62.26093
GET       1.900     62.40417
GET       2.000     65.12108
GET       2.100     69.50459
GET       2.200     70.59494
GET       2.300     71.53704
GET       2.400     76.24908
GET       2.500     81.52672
GET       2.600     83.28430
GET       2.700     83.59402
GET       2.800     83.97851
GET       2.900     86.40890
GET       3.000     88.09549
GET       3.100     88.35701
GET       3.200     88.58081
GET       3.300     89.58248
GET       3.400     90.86915
GET       3.500     91.38747
GET       3.600     91.52541
GET       3.700     91.56004
GET       3.800     91.56589
GET       3.900     91.56848
GET       4.000     91.57214
GET       4.100     91.57755
GET       4.200     91.58115
GET       4.300     91.58475
GET       4.400     91.58993
GET       4.500     91.59522
GET       4.600     91.60952
GET       4.700     91.68418
GET       4.800     91.92521
GET       4.900     92.29016
GET       5.000     92.67904
GET       5.100     93.27883
GET       5.200     94.45537
GET       5.300     96.00863
GET       5.400     97.39068
GET       5.500     98.29973
GET       5.600     98.78613
GET       5.700     99.02772
GET       5.800     99.13554
GET       5.900     99.17551
GET       6.000     99.18869
GET       6.100     99.19426
GET       6.200     99.19871
GET       6.300     99.20209
GET       6.400     99.20744
GET       6.500     99.21447
GET       6.600     99.22314
GET       6.700     99.23215
GET       6.800     99.24200
GET       6.900     99.24780
GET       7.000     99.25146
GET       7.100     99.25473
GET       7.200     99.25754
GET       7.300     99.26210
GET       7.400     99.26841
GET       7.500     99.27843
GET       7.600     99.29589
GET       7.700     99.31970
GET       7.800     99.36153
GET       7.900     99.41930
GET       8.000     99.50032
GET       8.100     99.58708
GET       8.200     99.68015
GET       8.300     99.77535
GET       8.400     99.85333
GET       8.500     99.90682
GET       8.600     99.93728
GET       8.700     99.95327
GET       8.800     99.96211
GET       8.900     99.96605
GET       9.000     99.96768
