[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs] 17 threads:      132261 ops,  132184 (avg:  132184) ops/sec, 4.99MB/sec (avg: 4.99MB/sec),  2.05 (avg:  2.05) msec latency[RUN #1 7%,   2 secs] 17 threads:      250372 ops,  118093 (avg:  125140) ops/sec, 4.45MB/sec (avg: 4.72MB/sec),  2.30 (avg:  2.17) msec latency[RUN #1 10%,   3 secs] 17 threads:      365624 ops,  115237 (avg:  121840) ops/sec, 4.35MB/sec (avg: 4.60MB/sec),  2.36 (avg:  2.23) msec latency[RUN #1 13%,   4 secs] 17 threads:      479744 ops,  114105 (avg:  119906) ops/sec, 4.30MB/sec (avg: 4.52MB/sec),  2.38 (avg:  2.26) msec latency[RUN #1 17%,   5 secs] 17 threads:      593271 ops,  113513 (avg:  118628) ops/sec, 4.28MB/sec (avg: 4.47MB/sec),  2.39 (avg:  2.29) msec latency[RUN #1 20%,   6 secs] 17 threads:      706220 ops,  112934 (avg:  117679) ops/sec, 4.26MB/sec (avg: 4.44MB/sec),  2.41 (avg:  2.31) msec latency[RUN #1 23%,   7 secs] 17 threads:      820319 ops,  114084 (avg:  117165) ops/sec, 4.30MB/sec (avg: 4.42MB/sec),  2.38 (avg:  2.32) msec latency[RUN #1 27%,   8 secs] 17 threads:      935644 ops,  115310 (avg:  116933) ops/sec, 4.35MB/sec (avg: 4.41MB/sec),  2.36 (avg:  2.32) msec latency[RUN #1 30%,   9 secs] 17 threads:     1050779 ops,  115120 (avg:  116732) ops/sec, 4.34MB/sec (avg: 4.40MB/sec),  2.36 (avg:  2.33) msec latency[RUN #1 33%,  10 secs] 17 threads:     1164687 ops,  113893 (avg:  116448) ops/sec, 4.29MB/sec (avg: 4.39MB/sec),  2.38 (avg:  2.33) msec latency[RUN #1 37%,  11 secs] 17 threads:     1277775 ops,  113074 (avg:  116141) ops/sec, 4.26MB/sec (avg: 4.38MB/sec),  2.40 (avg:  2.34) msec latency[RUN #1 40%,  12 secs] 17 threads:     1391379 ops,  113589 (avg:  115929) ops/sec, 4.28MB/sec (avg: 4.37MB/sec),  2.39 (avg:  2.34) msec latency[RUN #1 43%,  13 secs] 17 threads:     1504343 ops,  112949 (avg:  115699) ops/sec, 4.26MB/sec (avg: 4.36MB/sec),  2.41 (avg:  2.35) msec latency[RUN #1 47%,  14 secs] 17 threads:     1616747 ops,  112389 (avg:  115463) ops/sec, 4.24MB/sec (avg: 4.35MB/sec),  2.42 (avg:  2.35) msec latency[RUN #1 50%,  15 secs] 17 threads:     1729006 ops,  112245 (avg:  115249) ops/sec, 4.23MB/sec (avg: 4.35MB/sec),  2.42 (avg:  2.36) msec latency[RUN #1 53%,  16 secs] 17 threads:     1842310 ops,  113289 (avg:  115126) ops/sec, 4.27MB/sec (avg: 4.34MB/sec),  2.40 (avg:  2.36) msec latency[RUN #1 57%,  17 secs] 17 threads:     1954298 ops,  111974 (avg:  114941) ops/sec, 4.22MB/sec (avg: 4.33MB/sec),  2.43 (avg:  2.36) msec latency[RUN #1 60%,  18 secs] 17 threads:     2067808 ops,  113493 (avg:  114860) ops/sec, 4.28MB/sec (avg: 4.33MB/sec),  2.39 (avg:  2.36) msec latency[RUN #1 63%,  19 secs] 17 threads:     2180676 ops,  112839 (avg:  114754) ops/sec, 4.26MB/sec (avg: 4.33MB/sec),  2.41 (avg:  2.37) msec latency[RUN #1 67%,  20 secs] 17 threads:     2292657 ops,  111967 (avg:  114614) ops/sec, 4.22MB/sec (avg: 4.32MB/sec),  2.43 (avg:  2.37) msec latency[RUN #1 70%,  21 secs] 17 threads:     2422301 ops,  129627 (avg:  115329) ops/sec, 4.89MB/sec (avg: 4.35MB/sec),  2.10 (avg:  2.36) msec latency[RUN #1 73%,  22 secs] 17 threads:     2557765 ops,  135448 (avg:  116244) ops/sec, 5.11MB/sec (avg: 4.38MB/sec),  2.01 (avg:  2.34) msec latency[RUN #1 77%,  23 secs] 17 threads:     2694150 ops,  136367 (avg:  117119) ops/sec, 5.14MB/sec (avg: 4.42MB/sec),  1.99 (avg:  2.32) msec latency[RUN #1 80%,  24 secs] 17 threads:     2826941 ops,  132774 (avg:  117771) ops/sec, 5.01MB/sec (avg: 4.44MB/sec),  2.05 (avg:  2.31) msec latency[RUN #1 83%,  25 secs] 17 threads:     2961935 ops,  134978 (avg:  118459) ops/sec, 5.09MB/sec (avg: 4.47MB/sec),  2.01 (avg:  2.29) msec latency[RUN #1 87%,  26 secs] 17 threads:     3096801 ops,  134848 (avg:  119090) ops/sec, 5.09MB/sec (avg: 4.49MB/sec),  2.01 (avg:  2.28) msec latency[RUN #1 90%,  27 secs] 17 threads:     3234300 ops,  137480 (avg:  119771) ops/sec, 5.18MB/sec (avg: 4.52MB/sec),  1.97 (avg:  2.27) msec latency[RUN #1 93%,  28 secs] 17 threads:     3369684 ops,  135366 (avg:  120328) ops/sec, 5.10MB/sec (avg: 4.54MB/sec),  2.01 (avg:  2.26) msec latency[RUN #1 97%,  29 secs] 17 threads:     3506652 ops,  136950 (avg:  120901) ops/sec, 5.16MB/sec (avg: 4.56MB/sec),  1.98 (avg:  2.25) msec latency[RUN #1 100%,  30 secs]  0 threads:     3644012 ops,  136950 (avg:  121462) ops/sec, 5.16MB/sec (avg: 4.58MB/sec),  1.98 (avg:  2.24) msec latency

17        Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets       11046.29          ---          ---      2.23800       818.81
Gets      110417.69     13019.17     97398.52      2.23500      3871.88
Totals    121463.97     13019.17     97398.52      2.23600      4690.69


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     51.41779
SET       2.000     81.77322
SET       3.000     93.05938
SET       4.000     93.22565
SET       5.000     95.33973
SET       6.000     99.73747
SET       7.000     99.91551
SET       8.000     99.91641
SET       9.000     99.91732
SET      10.000     99.91762
SET      11.000     99.93030
SET      12.000     99.97495
SET      13.000     99.99668
SET      14.000    100.00000
---
GET       0.081      0.00006
GET       0.082      0.00012
GET       0.083      0.00015
GET       0.085      0.00018
GET       0.086      0.00021
GET       0.087      0.00024
GET       0.089      0.00027
GET       0.091      0.00030
GET       0.094      0.00033
GET       0.098      0.00036
GET       0.099      0.00045
GET       0.100      0.00069
GET       0.110      0.00109
GET       0.120      0.00242
GET       0.130      0.00498
GET       0.140      0.00872
GET       0.150      0.01458
GET       0.160      0.02201
GET       0.170      0.03115
GET       0.180      0.04175
GET       0.190      0.05328
GET       0.200      0.06484
GET       0.210      0.07468
GET       0.220      0.08356
GET       0.230      0.09114
GET       0.240      0.09929
GET       0.250      0.10647
GET       0.260      0.11239
GET       0.270      0.11818
GET       0.280      0.12383
GET       0.290      0.12932
GET       0.300      0.13461
GET       0.310      0.14010
GET       0.320      0.14502
GET       0.330      0.15061
GET       0.340      0.15692
GET       0.350      0.16371
GET       0.360      0.16881
GET       0.370      0.17391
GET       0.380      0.17850
GET       0.390      0.18297
GET       0.400      0.18801
GET       0.410      0.19205
GET       0.420      0.19559
GET       0.430      0.19927
GET       0.440      0.20410
GET       0.450      0.20784
GET       0.460      0.21143
GET       0.470      0.21397
GET       0.480      0.21723
GET       0.490      0.22118
GET       0.500      0.22475
GET       0.510      0.22740
GET       0.520      0.23027
GET       0.530      0.23335
GET       0.540      0.23727
GET       0.550      0.23999
GET       0.560      0.24337
GET       0.570      0.24615
GET       0.580      0.24971
GET       0.590      0.25373
GET       0.600      0.25675
GET       0.610      0.26001
GET       0.620      0.26348
GET       0.630      0.26734
GET       0.640      0.27136
GET       0.650      0.27492
GET       0.660      0.27842
GET       0.670      0.28207
GET       0.680      0.28651
GET       0.690      0.29143
GET       0.700      0.29569
GET       0.710      0.29958
GET       0.720      0.30348
GET       0.730      0.30957
GET       0.740      0.31459
GET       0.750      0.31942
GET       0.760      0.32452
GET       0.770      0.33028
GET       0.780      0.33698
GET       0.790      0.34272
GET       0.800      0.34990
GET       0.810      0.35772
GET       0.820      0.36458
GET       0.830      0.37303
GET       0.840      0.38178
GET       0.850      0.39108
GET       0.860      0.40228
GET       0.870      0.41257
GET       0.880      0.42673
GET       0.890      0.44225
GET       0.900      0.45909
GET       0.910      0.47947
GET       0.920      0.50398
GET       0.930      0.53577
GET       0.940      0.57347
GET       0.950      0.61981
GET       0.960      0.67650
GET       0.970      0.75022
GET       0.980      0.84797
GET       0.990      0.97630
GET       1.000      3.06048
GET       1.100     20.04438
GET       1.200     29.10734
GET       1.300     30.66158
GET       1.400     31.50532
GET       1.500     35.14939
GET       1.600     42.94121
GET       1.700     46.39881
GET       1.800     49.63831
GET       1.900     51.23484
GET       2.000     52.43314
GET       2.100     55.10800
GET       2.200     60.85549
GET       2.300     65.58369
GET       2.400     67.58084
GET       2.500     69.37009
GET       2.600     74.11604
GET       2.700     78.97754
GET       2.800     80.89374
GET       2.900     81.60568
GET       3.000     82.43128
GET       3.100     84.09537
GET       3.200     85.72898
GET       3.300     86.60871
GET       3.400     87.60680
GET       3.500     89.40028
GET       3.600     91.30563
GET       3.700     92.40286
GET       3.800     92.86099
GET       3.900     93.04242
GET       4.000     93.12407
GET       4.100     93.16809
GET       4.200     93.19281
GET       4.300     93.20830
GET       4.400     93.21675
GET       4.500     93.22285
GET       4.600     93.22780
GET       4.700     93.23178
GET       4.800     93.23586
GET       4.900     93.24377
GET       5.000     93.26357
GET       5.100     93.32367
GET       5.200     93.45505
GET       5.300     93.60016
GET       5.400     93.69803
GET       5.500     93.74992
GET       5.600     93.80918
GET       5.700     93.94161
GET       5.800     94.24497
GET       5.900     94.81512
GET       6.000     95.64157
GET       6.100     96.58493
GET       6.200     97.45002
GET       6.300     98.13350
GET       6.400     98.63531
GET       6.500     98.99219
GET       6.600     99.26025
GET       6.700     99.45200
GET       6.800     99.59144
GET       6.900     99.69616
GET       7.000     99.77722
GET       7.100     99.83614
GET       7.200     99.87874
GET       7.300     99.90397
GET       7.400     99.91925
GET       7.500     99.92725
GET       7.600     99.93175
GET       7.700     99.93401
GET       7.800     99.93498
GET       7.900     99.93573
GET       8.000     99.93673
GET       8.100     99.93736
GET       8.200     99.93793
GET       8.300     99.93821
GET       8.400     99.93824
GET       8.500     99.93830
GET       8.600     99.93833
GET       8.800     99.93836
GET       8.900     99.93839
GET       9.000     99.93845
GET       9.100     99.93857
GET       9.200     99.93869
GET       9.300     99.93890
GET       9.400     99.93902
GET       9.500     99.93914
GET       9.600     99.93920
GET       9.700     99.93935
GET       9.800     99.93938
GET      10.000     99.93975
GET      11.000     99.94165
GET      12.000     99.98584
GET      13.000     99.99979
GET      14.000    100.00000
