[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       68160 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:      133025 ops,   64857 (avg:   66514) ops/sec, 2.45MB/sec (avg: 2.51MB/sec),  0.49 (avg:  0.48) msec latency[RUN #1 10%,   3 secs]  2 threads:      198234 ops,   65200 (avg:   66076) ops/sec, 2.46MB/sec (avg: 2.49MB/sec),  0.49 (avg:  0.48) msec latency[RUN #1 13%,   4 secs]  2 threads:      262887 ops,   64644 (avg:   65718) ops/sec, 2.44MB/sec (avg: 2.48MB/sec),  0.49 (avg:  0.48) msec latency[RUN #1 17%,   5 secs]  2 threads:      328042 ops,   65146 (avg:   65604) ops/sec, 2.46MB/sec (avg: 2.47MB/sec),  0.49 (avg:  0.48) msec latency[RUN #1 20%,   6 secs]  2 threads:      391633 ops,   63584 (avg:   65267) ops/sec, 2.40MB/sec (avg: 2.46MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 23%,   7 secs]  2 threads:      455398 ops,   63757 (avg:   65051) ops/sec, 2.40MB/sec (avg: 2.45MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 27%,   8 secs]  2 threads:      519649 ops,   64242 (avg:   64950) ops/sec, 2.42MB/sec (avg: 2.45MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 30%,   9 secs]  2 threads:      583545 ops,   63889 (avg:   64832) ops/sec, 2.41MB/sec (avg: 2.44MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 33%,  10 secs]  2 threads:      648160 ops,   64608 (avg:   64810) ops/sec, 2.44MB/sec (avg: 2.44MB/sec),  0.49 (avg:  0.49) msec latency[RUN #1 37%,  11 secs]  2 threads:      711943 ops,   63774 (avg:   64716) ops/sec, 2.41MB/sec (avg: 2.44MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 40%,  12 secs]  2 threads:      775831 ops,   63879 (avg:   64646) ops/sec, 2.41MB/sec (avg: 2.44MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 43%,  13 secs]  2 threads:      839253 ops,   63414 (avg:   64551) ops/sec, 2.39MB/sec (avg: 2.43MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 47%,  14 secs]  2 threads:      902331 ops,   63071 (avg:   64445) ops/sec, 2.38MB/sec (avg: 2.43MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 50%,  15 secs]  2 threads:      966066 ops,   63727 (avg:   64398) ops/sec, 2.40MB/sec (avg: 2.43MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 53%,  16 secs]  2 threads:     1029705 ops,   63633 (avg:   64350) ops/sec, 2.40MB/sec (avg: 2.43MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 57%,  17 secs]  2 threads:     1092866 ops,   63153 (avg:   64279) ops/sec, 2.38MB/sec (avg: 2.42MB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 60%,  18 secs]  2 threads:     1156524 ops,   63651 (avg:   64244) ops/sec, 2.40MB/sec (avg: 2.42MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 63%,  19 secs]  2 threads:     1220144 ops,   63611 (avg:   64211) ops/sec, 2.40MB/sec (avg: 2.42MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 67%,  20 secs]  2 threads:     1283332 ops,   63179 (avg:   64159) ops/sec, 2.38MB/sec (avg: 2.42MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 70%,  21 secs]  2 threads:     1346987 ops,   63647 (avg:   64135) ops/sec, 2.40MB/sec (avg: 2.42MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 73%,  22 secs]  2 threads:     1409922 ops,   62927 (avg:   64080) ops/sec, 2.37MB/sec (avg: 2.42MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 77%,  23 secs]  2 threads:     1473069 ops,   63139 (avg:   64039) ops/sec, 2.38MB/sec (avg: 2.42MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 80%,  24 secs]  2 threads:     1536052 ops,   62975 (avg:   63995) ops/sec, 2.37MB/sec (avg: 2.41MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 83%,  25 secs]  2 threads:     1599092 ops,   63032 (avg:   63956) ops/sec, 2.38MB/sec (avg: 2.41MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 87%,  26 secs]  2 threads:     1662089 ops,   62990 (avg:   63919) ops/sec, 2.38MB/sec (avg: 2.41MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 90%,  27 secs]  2 threads:     1725541 ops,   63444 (avg:   63902) ops/sec, 2.39MB/sec (avg: 2.41MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 93%,  28 secs]  2 threads:     1789082 ops,   63533 (avg:   63888) ops/sec, 2.40MB/sec (avg: 2.41MB/sec),  0.50 (avg:  0.50) msec latency[RUN #1 97%,  29 secs]  2 threads:     1851199 ops,   62109 (avg:   63827) ops/sec, 2.34MB/sec (avg: 2.41MB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 100%,  30 secs]  0 threads:     1917235 ops,   62109 (avg:   63907) ops/sec, 2.34MB/sec (avg: 2.41MB/sec),  0.51 (avg:  0.50) msec latency

2         Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        5810.23          ---          ---      0.50100       430.70
Gets       58096.81     23927.90     34168.91      0.49700      2037.24
Totals     63907.04     23927.90     34168.91      0.49700      2467.94


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.28690
SET       2.000    100.00000
---
GET       0.062      0.00006
GET       0.067      0.00011
GET       0.068      0.00017
GET       0.070      0.00023
GET       0.072      0.00034
GET       0.073      0.00046
GET       0.074      0.00052
GET       0.075      0.00057
GET       0.076      0.00069
GET       0.077      0.00075
GET       0.078      0.00080
GET       0.079      0.00098
GET       0.081      0.00103
GET       0.082      0.00132
GET       0.083      0.00155
GET       0.084      0.00172
GET       0.085      0.00218
GET       0.086      0.00293
GET       0.087      0.00361
GET       0.088      0.00436
GET       0.089      0.00528
GET       0.090      0.00654
GET       0.091      0.00901
GET       0.092      0.01084
GET       0.093      0.01354
GET       0.094      0.01572
GET       0.095      0.01882
GET       0.096      0.02238
GET       0.097      0.02720
GET       0.098      0.03179
GET       0.099      0.03758
GET       0.100      0.07114
GET       0.110      0.20110
GET       0.120      0.46847
GET       0.130      1.02207
GET       0.140      2.17037
GET       0.150      3.93034
GET       0.160      5.81918
GET       0.170      7.68352
GET       0.180      9.52112
GET       0.190     11.49659
GET       0.200     13.20607
GET       0.210     14.36366
GET       0.220     15.17351
GET       0.230     15.85541
GET       0.240     16.60489
GET       0.250     17.56592
GET       0.260     18.76706
GET       0.270     20.32232
GET       0.280     22.38907
GET       0.290     25.18902
GET       0.300     28.47516
GET       0.310     32.02396
GET       0.320     35.73938
GET       0.330     39.56685
GET       0.340     43.37321
GET       0.350     46.82947
GET       0.360     49.73367
GET       0.370     52.09120
GET       0.380     53.92719
GET       0.390     55.34492
GET       0.400     56.40882
GET       0.410     57.23054
GET       0.420     57.91755
GET       0.430     58.57569
GET       0.440     59.28066
GET       0.450     60.05998
GET       0.460     60.91613
GET       0.470     61.87050
GET       0.480     62.91908
GET       0.490     64.06646
GET       0.500     65.23266
GET       0.510     66.42720
GET       0.520     67.61653
GET       0.530     68.81795
GET       0.540     70.04004
GET       0.550     71.24554
GET       0.560     72.46464
GET       0.570     73.68792
GET       0.580     74.90903
GET       0.590     76.10512
GET       0.600     77.24304
GET       0.610     78.28846
GET       0.620     79.21948
GET       0.630     80.02308
GET       0.640     80.70578
GET       0.650     81.24464
GET       0.660     81.66279
GET       0.670     81.98667
GET       0.680     82.21829
GET       0.690     82.39518
GET       0.700     82.52146
GET       0.710     82.61768
GET       0.720     82.68997
GET       0.730     82.75027
GET       0.740     82.80093
GET       0.750     82.85108
GET       0.760     82.90392
GET       0.770     82.95791
GET       0.780     83.02005
GET       0.790     83.09211
GET       0.800     83.17903
GET       0.810     83.28156
GET       0.820     83.40056
GET       0.830     83.54835
GET       0.840     83.73356
GET       0.850     83.95497
GET       0.860     84.21321
GET       0.870     84.51902
GET       0.880     84.88261
GET       0.890     85.30190
GET       0.900     85.77972
GET       0.910     86.31485
GET       0.920     86.91258
GET       0.930     87.55357
GET       0.940     88.23696
GET       0.950     88.96006
GET       0.960     89.69509
GET       0.970     90.42908
GET       0.980     91.15958
GET       0.990     91.86540
GET       1.000     94.87379
GET       1.100     96.63044
GET       1.200     96.86866
GET       1.300     96.90159
GET       1.400     96.90652
GET       1.500     96.92202
GET       1.600     97.00091
GET       1.700     97.30528
GET       1.800     98.02252
GET       1.900     98.94643
GET       2.000     99.60526
GET       2.100     99.89449
GET       2.200     99.97716
GET       2.300     99.99415
GET       2.400     99.99656
GET       2.500     99.99736
GET       2.600     99.99839
GET       2.700     99.99914
GET       2.800     99.99943
GET       2.900     99.99977
GET       3.000    100.00000
