[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  6 threads:       80631 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  6 threads:      152689 ops,   72049 (avg:   76353) ops/sec, 2.72MB/sec (avg: 2.88MB/sec),  1.33 (avg:  1.25) msec latency[RUN #1 10%,   2 secs]  6 threads:      226829 ops,   74131 (avg:   75612) ops/sec, 2.80MB/sec (avg: 2.85MB/sec),  1.29 (avg:  1.27) msec latency[RUN #1 13%,   3 secs]  6 threads:      298778 ops,   71941 (avg:   74694) ops/sec, 2.71MB/sec (avg: 2.82MB/sec),  1.33 (avg:  1.28) msec latency[RUN #1 17%,   5 secs]  6 threads:      371185 ops,   72398 (avg:   74235) ops/sec, 2.73MB/sec (avg: 2.80MB/sec),  1.32 (avg:  1.29) msec latency[RUN #1 20%,   6 secs]  6 threads:      444452 ops,   73259 (avg:   74072) ops/sec, 2.76MB/sec (avg: 2.79MB/sec),  1.31 (avg:  1.29) msec latency[RUN #1 23%,   7 secs]  6 threads:      516530 ops,   72070 (avg:   73786) ops/sec, 2.72MB/sec (avg: 2.78MB/sec),  1.33 (avg:  1.30) msec latency[RUN #1 27%,   8 secs]  6 threads:      587913 ops,   71374 (avg:   73484) ops/sec, 2.69MB/sec (avg: 2.77MB/sec),  1.34 (avg:  1.30) msec latency[RUN #1 30%,   9 secs]  6 threads:      658804 ops,   70882 (avg:   73195) ops/sec, 2.67MB/sec (avg: 2.76MB/sec),  1.35 (avg:  1.31) msec latency[RUN #1 33%,  10 secs]  6 threads:      727544 ops,   68732 (avg:   72749) ops/sec, 2.59MB/sec (avg: 2.74MB/sec),  1.39 (avg:  1.32) msec latency[RUN #1 37%,  11 secs]  6 threads:      797757 ops,   70205 (avg:   72518) ops/sec, 2.65MB/sec (avg: 2.73MB/sec),  1.36 (avg:  1.32) msec latency[RUN #1 40%,  12 secs]  6 threads:      868424 ops,   70659 (avg:   72363) ops/sec, 2.66MB/sec (avg: 2.73MB/sec),  1.36 (avg:  1.32) msec latency[RUN #1 43%,  13 secs]  6 threads:      941233 ops,   72801 (avg:   72396) ops/sec, 2.75MB/sec (avg: 2.73MB/sec),  1.32 (avg:  1.32) msec latency[RUN #1 47%,  14 secs]  6 threads:     1013080 ops,   71839 (avg:   72357) ops/sec, 2.71MB/sec (avg: 2.73MB/sec),  1.33 (avg:  1.32) msec latency[RUN #1 50%,  15 secs]  6 threads:     1083328 ops,   70240 (avg:   72216) ops/sec, 2.65MB/sec (avg: 2.72MB/sec),  1.36 (avg:  1.33) msec latency[RUN #1 53%,  16 secs]  6 threads:     1153895 ops,   70559 (avg:   72112) ops/sec, 2.66MB/sec (avg: 2.72MB/sec),  1.36 (avg:  1.33) msec latency[RUN #1 57%,  17 secs]  6 threads:     1226019 ops,   72116 (avg:   72112) ops/sec, 2.72MB/sec (avg: 2.72MB/sec),  1.33 (avg:  1.33) msec latency[RUN #1 60%,  18 secs]  6 threads:     1296526 ops,   70499 (avg:   72023) ops/sec, 2.66MB/sec (avg: 2.72MB/sec),  1.36 (avg:  1.33) msec latency[RUN #1 63%,  19 secs]  6 threads:     1366423 ops,   69889 (avg:   71910) ops/sec, 2.64MB/sec (avg: 2.71MB/sec),  1.37 (avg:  1.33) msec latency[RUN #1 67%,  20 secs]  6 threads:     1437107 ops,   70675 (avg:   71849) ops/sec, 2.67MB/sec (avg: 2.71MB/sec),  1.36 (avg:  1.33) msec latency[RUN #1 70%,  21 secs]  6 threads:     1516074 ops,   78958 (avg:   72187) ops/sec, 2.98MB/sec (avg: 2.72MB/sec),  1.21 (avg:  1.33) msec latency[RUN #1 73%,  22 secs]  6 threads:     1599840 ops,   83757 (avg:   72713) ops/sec, 3.16MB/sec (avg: 2.74MB/sec),  1.14 (avg:  1.32) msec latency[RUN #1 77%,  23 secs]  6 threads:     1684370 ops,   84520 (avg:   73226) ops/sec, 3.19MB/sec (avg: 2.76MB/sec),  1.13 (avg:  1.31) msec latency[RUN #1 80%,  24 secs]  6 threads:     1768209 ops,   83829 (avg:   73668) ops/sec, 3.16MB/sec (avg: 2.78MB/sec),  1.14 (avg:  1.30) msec latency[RUN #1 83%,  25 secs]  6 threads:     1851161 ops,   82942 (avg:   74039) ops/sec, 3.13MB/sec (avg: 2.79MB/sec),  1.15 (avg:  1.29) msec latency[RUN #1 87%,  26 secs]  6 threads:     1935864 ops,   84694 (avg:   74449) ops/sec, 3.19MB/sec (avg: 2.81MB/sec),  1.13 (avg:  1.29) msec latency[RUN #1 90%,  27 secs]  6 threads:     2020695 ops,   84821 (avg:   74833) ops/sec, 3.20MB/sec (avg: 2.82MB/sec),  1.13 (avg:  1.28) msec latency[RUN #1 93%,  28 secs]  6 threads:     2105023 ops,   84318 (avg:   75172) ops/sec, 3.18MB/sec (avg: 2.83MB/sec),  1.13 (avg:  1.27) msec latency[RUN #1 97%,  29 secs]  6 threads:     2200271 ops,   95238 (avg:   75864) ops/sec, 3.59MB/sec (avg: 2.86MB/sec),  1.01 (avg:  1.26) msec latency[RUN #1 100%,  30 secs]  0 threads:     2301561 ops,   95238 (avg:   76717) ops/sec, 3.59MB/sec (avg: 2.89MB/sec),  1.01 (avg:  1.25) msec latency

6         Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        7216.21          ---          ---      1.25100       534.91
Gets       72146.88     12135.08     60011.80      1.24700      2529.85
Totals     79363.09     12135.08     60011.80      1.24800      3064.76


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     95.05144
SET       2.000     95.61577
SET       3.000     95.64014
SET       4.000     95.65782
SET       5.000     98.59036
SET       6.000     99.29805
SET       7.000     99.30617
SET       8.000     99.30951
SET       9.000     99.33914
SET      10.000     99.47533
SET      11.000     99.75295
SET      12.000     99.93549
SET      13.000     99.99044
SET      14.000     99.99904
SET      15.000     99.99952
SET      16.000    100.00000
---
GET       0.098      0.00005
GET       0.100      0.00010
GET       0.110      0.00024
GET       0.120      0.00048
GET       0.130      0.00153
GET       0.140      0.00315
GET       0.150      0.00531
GET       0.160      0.00841
GET       0.170      0.01295
GET       0.180      0.01912
GET       0.190      0.02958
GET       0.200      0.04077
GET       0.210      0.05081
GET       0.220      0.06041
GET       0.230      0.07389
GET       0.240      0.08823
GET       0.250      0.10371
GET       0.260      0.11270
GET       0.270      0.12030
GET       0.280      0.12919
GET       0.290      0.13865
GET       0.300      0.14625
GET       0.310      0.15433
GET       0.320      0.16169
GET       0.330      0.16867
GET       0.340      0.17794
GET       0.350      0.18573
GET       0.360      0.19328
GET       0.370      0.19973
GET       0.380      0.20934
GET       0.390      0.22005
GET       0.400      0.22961
GET       0.410      0.23697
GET       0.420      0.24466
GET       0.430      0.25283
GET       0.440      0.26402
GET       0.450      0.27367
GET       0.460      0.28075
GET       0.470      0.28834
GET       0.480      0.29762
GET       0.490      0.30612
GET       0.500      0.31396
GET       0.510      0.32156
GET       0.520      0.32864
GET       0.530      0.33776
GET       0.540      0.34704
GET       0.550      0.35526
GET       0.560      0.36568
GET       0.570      0.37672
GET       0.580      0.39072
GET       0.590      0.40735
GET       0.600      0.42523
GET       0.610      0.44549
GET       0.620      0.47025
GET       0.630      0.50137
GET       0.640      0.53764
GET       0.650      0.58544
GET       0.660      0.65632
GET       0.670      0.77035
GET       0.680      0.98189
GET       0.690      1.36224
GET       0.700      2.07433
GET       0.710      3.33745
GET       0.720      5.46483
GET       0.730      8.83636
GET       0.740     13.79466
GET       0.750     20.41827
GET       0.760     28.29161
GET       0.770     36.89172
GET       0.780     45.40360
GET       0.790     52.87814
GET       0.800     58.67075
GET       0.810     62.79738
GET       0.820     65.55579
GET       0.830     67.35655
GET       0.840     68.50386
GET       0.850     69.22986
GET       0.860     69.72577
GET       0.870     70.08724
GET       0.880     70.37984
GET       0.890     70.63368
GET       0.900     70.85573
GET       0.910     71.05676
GET       0.920     71.24899
GET       0.930     71.43357
GET       0.940     71.59292
GET       0.950     71.72923
GET       0.960     71.84025
GET       0.970     71.92141
GET       0.980     71.98541
GET       0.990     72.03239
GET       1.000     72.16822
GET       1.100     72.25917
GET       1.200     72.43099
GET       1.300     73.18338
GET       1.400     73.87477
GET       1.500     79.22275
GET       1.600     83.69144
GET       1.700     84.79922
GET       1.800     89.17209
GET       1.900     94.35365
GET       2.000     95.43137
GET       2.100     95.56686
GET       2.200     95.58278
GET       2.300     95.58655
GET       2.400     95.59014
GET       2.500     95.59415
GET       2.600     95.59951
GET       2.700     95.60500
GET       2.800     95.60969
GET       2.900     95.61442
GET       3.000     95.61810
GET       3.100     95.62025
GET       3.200     95.62297
GET       3.300     95.62589
GET       3.400     95.62871
GET       3.500     95.63067
GET       3.600     95.63186
GET       3.700     95.63239
GET       3.800     95.63354
GET       3.900     95.63507
GET       4.000     95.63559
GET       4.100     95.63573
GET       4.200     95.63597
GET       4.300     95.63621
GET       4.400     95.63636
GET       4.500     95.63722
GET       4.600     95.64051
GET       4.700     95.64338
GET       4.800     95.64711
GET       4.900     95.65777
GET       5.000     95.68147
GET       5.100     95.72454
GET       5.200     95.79174
GET       5.300     95.91376
GET       5.400     96.18991
GET       5.500     96.62733
GET       5.600     97.09328
GET       5.700     97.55043
GET       5.800     97.97991
GET       5.900     98.37398
GET       6.000     98.72804
GET       6.100     99.00042
GET       6.200     99.14601
GET       6.300     99.21555
GET       6.400     99.25503
GET       6.500     99.27400
GET       6.600     99.28509
GET       6.700     99.29159
GET       6.800     99.29470
GET       6.900     99.29670
GET       7.000     99.29799
GET       7.100     99.29981
GET       7.200     99.30110
GET       7.300     99.30167
GET       7.400     99.30311
GET       7.500     99.30378
GET       7.600     99.30425
GET       7.700     99.30440
GET       7.900     99.30454
GET       8.000     99.30464
GET       8.100     99.30483
GET       8.200     99.30488
GET       8.300     99.30507
GET       8.400     99.30521
GET       8.500     99.30550
GET       8.600     99.30569
GET       8.700     99.30626
GET       8.800     99.30664
GET       8.900     99.30731
GET       9.000     99.30846
GET       9.100     99.30923
GET       9.200     99.31085
GET       9.300     99.31357
GET       9.400     99.31620
GET       9.500     99.31988
GET       9.600     99.32447
GET       9.700     99.32801
GET       9.800     99.33212
GET       9.900     99.33589
GET      10.000     99.38880
GET      11.000     99.60765
GET      12.000     99.85757
GET      13.000     99.96831
GET      14.000     99.99479
GET      15.000     99.99952
GET      16.000     99.99986
GET      17.000    100.00000
