[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  8 threads:       84446 ops,   84428 (avg:   84428) ops/sec, 3.19MB/sec (avg: 3.19MB/sec),  1.51 (avg:  1.51) msec latency[RUN #1 7%,   2 secs]  8 threads:      159374 ops,   74918 (avg:   79673) ops/sec, 2.83MB/sec (avg: 3.01MB/sec),  1.70 (avg:  1.60) msec latency[RUN #1 10%,   3 secs]  8 threads:      234474 ops,   75091 (avg:   78146) ops/sec, 2.83MB/sec (avg: 2.95MB/sec),  1.70 (avg:  1.63) msec latency[RUN #1 13%,   4 secs]  8 threads:      309439 ops,   74956 (avg:   77348) ops/sec, 2.83MB/sec (avg: 2.92MB/sec),  1.70 (avg:  1.65) msec latency[RUN #1 17%,   5 secs]  8 threads:      384229 ops,   74781 (avg:   76835) ops/sec, 2.82MB/sec (avg: 2.90MB/sec),  1.71 (avg:  1.66) msec latency[RUN #1 20%,   6 secs]  8 threads:      458726 ops,   74489 (avg:   76444) ops/sec, 2.81MB/sec (avg: 2.88MB/sec),  1.72 (avg:  1.67) msec latency[RUN #1 23%,   7 secs]  8 threads:      534372 ops,   75636 (avg:   76329) ops/sec, 2.85MB/sec (avg: 2.88MB/sec),  1.69 (avg:  1.67) msec latency[RUN #1 27%,   8 secs]  8 threads:      610437 ops,   76056 (avg:   76294) ops/sec, 2.87MB/sec (avg: 2.88MB/sec),  1.68 (avg:  1.67) msec latency[RUN #1 30%,   9 secs]  8 threads:      686082 ops,   75632 (avg:   76221) ops/sec, 2.85MB/sec (avg: 2.87MB/sec),  1.69 (avg:  1.68) msec latency[RUN #1 33%,  10 secs]  8 threads:      761862 ops,   75770 (avg:   76176) ops/sec, 2.86MB/sec (avg: 2.87MB/sec),  1.69 (avg:  1.68) msec latency[RUN #1 37%,  11 secs]  8 threads:      836904 ops,   75031 (avg:   76072) ops/sec, 2.83MB/sec (avg: 2.87MB/sec),  1.70 (avg:  1.68) msec latency[RUN #1 40%,  12 secs]  8 threads:      911678 ops,   74764 (avg:   75963) ops/sec, 2.82MB/sec (avg: 2.86MB/sec),  1.71 (avg:  1.68) msec latency[RUN #1 43%,  13 secs]  8 threads:      987281 ops,   75594 (avg:   75934) ops/sec, 2.85MB/sec (avg: 2.86MB/sec),  1.69 (avg:  1.68) msec latency[RUN #1 47%,  14 secs]  8 threads:     1062317 ops,   75027 (avg:   75870) ops/sec, 2.83MB/sec (avg: 2.86MB/sec),  1.70 (avg:  1.68) msec latency[RUN #1 50%,  15 secs]  8 threads:     1137972 ops,   75646 (avg:   75855) ops/sec, 2.85MB/sec (avg: 2.86MB/sec),  1.69 (avg:  1.68) msec latency[RUN #1 53%,  16 secs]  8 threads:     1213369 ops,   75388 (avg:   75826) ops/sec, 2.84MB/sec (avg: 2.86MB/sec),  1.70 (avg:  1.68) msec latency[RUN #1 57%,  17 secs]  8 threads:     1288921 ops,   75543 (avg:   75809) ops/sec, 2.85MB/sec (avg: 2.86MB/sec),  1.69 (avg:  1.69) msec latency[RUN #1 60%,  18 secs]  8 threads:     1364246 ops,   75316 (avg:   75782) ops/sec, 2.84MB/sec (avg: 2.86MB/sec),  1.70 (avg:  1.69) msec latency[RUN #1 63%,  19 secs]  8 threads:     1439499 ops,   75244 (avg:   75753) ops/sec, 2.84MB/sec (avg: 2.86MB/sec),  1.70 (avg:  1.69) msec latency[RUN #1 67%,  20 secs]  8 threads:     1515217 ops,   75710 (avg:   75751) ops/sec, 2.86MB/sec (avg: 2.86MB/sec),  1.69 (avg:  1.69) msec latency[RUN #1 70%,  21 secs]  8 threads:     1608369 ops,   93141 (avg:   76579) ops/sec, 3.51MB/sec (avg: 2.89MB/sec),  1.37 (avg:  1.67) msec latency[RUN #1 73%,  22 secs]  8 threads:     1703049 ops,   94667 (avg:   77401) ops/sec, 3.57MB/sec (avg: 2.92MB/sec),  1.35 (avg:  1.65) msec latency[RUN #1 77%,  23 secs]  8 threads:     1795979 ops,   92919 (avg:   78076) ops/sec, 3.50MB/sec (avg: 2.94MB/sec),  1.37 (avg:  1.64) msec latency[RUN #1 80%,  24 secs]  8 threads:     1888420 ops,   92430 (avg:   78674) ops/sec, 3.49MB/sec (avg: 2.97MB/sec),  1.38 (avg:  1.62) msec latency[RUN #1 83%,  25 secs]  8 threads:     1981339 ops,   92905 (avg:   79243) ops/sec, 3.50MB/sec (avg: 2.99MB/sec),  1.37 (avg:  1.61) msec latency[RUN #1 87%,  26 secs]  8 threads:     2075203 ops,   93853 (avg:   79805) ops/sec, 3.54MB/sec (avg: 3.01MB/sec),  1.36 (avg:  1.60) msec latency[RUN #1 90%,  27 secs]  8 threads:     2168924 ops,   93707 (avg:   80320) ops/sec, 3.53MB/sec (avg: 3.03MB/sec),  1.36 (avg:  1.59) msec latency[RUN #1 93%,  28 secs]  8 threads:     2262977 ops,   94040 (avg:   80810) ops/sec, 3.55MB/sec (avg: 3.05MB/sec),  1.36 (avg:  1.58) msec latency[RUN #1 97%,  29 secs]  8 threads:     2354978 ops,   91991 (avg:   81196) ops/sec, 3.47MB/sec (avg: 3.06MB/sec),  1.39 (avg:  1.57) msec latency[RUN #1 100%,  30 secs]  0 threads:     2446707 ops,   91991 (avg:   81554) ops/sec, 3.47MB/sec (avg: 3.08MB/sec),  1.39 (avg:  1.57) msec latency

8         Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        7416.00          ---          ---      1.57100       549.71
Gets       74139.05      9357.05     64782.00      1.56500      2599.72
Totals     81555.05      9357.05     64782.00      1.56600      3149.44


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     79.57166
SET       2.000     92.41926
SET       3.000     94.47289
SET       4.000     95.97276
SET       5.000     96.26986
SET       6.000     99.92359
SET       7.000     99.99955
SET       8.000    100.00000
---
GET       0.089      0.00004
GET       0.091      0.00009
GET       0.099      0.00018
GET       0.100      0.00058
GET       0.110      0.00126
GET       0.120      0.00220
GET       0.130      0.00387
GET       0.140      0.00724
GET       0.150      0.01326
GET       0.160      0.02113
GET       0.170      0.03129
GET       0.180      0.04635
GET       0.190      0.06470
GET       0.200      0.08232
GET       0.210      0.09873
GET       0.220      0.11258
GET       0.230      0.12467
GET       0.240      0.13749
GET       0.250      0.14954
GET       0.260      0.15821
GET       0.270      0.16581
GET       0.280      0.17377
GET       0.290      0.18249
GET       0.300      0.18977
GET       0.310      0.19625
GET       0.320      0.20268
GET       0.330      0.21100
GET       0.340      0.22134
GET       0.350      0.23127
GET       0.360      0.23865
GET       0.370      0.24584
GET       0.380      0.25353
GET       0.390      0.26378
GET       0.400      0.27156
GET       0.410      0.27731
GET       0.420      0.28275
GET       0.430      0.28747
GET       0.440      0.29282
GET       0.450      0.29750
GET       0.460      0.30231
GET       0.470      0.30707
GET       0.480      0.31130
GET       0.490      0.31584
GET       0.500      0.31984
GET       0.510      0.32438
GET       0.520      0.32811
GET       0.530      0.33221
GET       0.540      0.33648
GET       0.550      0.34007
GET       0.560      0.34363
GET       0.570      0.34686
GET       0.580      0.35122
GET       0.590      0.35567
GET       0.600      0.36026
GET       0.610      0.36363
GET       0.620      0.36718
GET       0.630      0.37024
GET       0.640      0.37469
GET       0.650      0.37910
GET       0.660      0.38288
GET       0.670      0.38769
GET       0.680      0.39290
GET       0.690      0.39911
GET       0.700      0.40473
GET       0.710      0.41156
GET       0.720      0.41889
GET       0.730      0.42855
GET       0.740      0.43791
GET       0.750      0.44861
GET       0.760      0.46061
GET       0.770      0.47473
GET       0.780      0.48947
GET       0.790      0.50692
GET       0.800      0.52612
GET       0.810      0.54864
GET       0.820      0.57629
GET       0.830      0.60480
GET       0.840      0.64076
GET       0.850      0.68010
GET       0.860      0.72156
GET       0.870      0.76939
GET       0.880      0.82285
GET       0.890      0.88660
GET       0.900      0.96164
GET       0.910      1.04455
GET       0.920      1.14561
GET       0.930      1.27388
GET       0.940      1.43848
GET       0.950      1.66346
GET       0.960      1.99099
GET       0.970      2.48392
GET       0.980      3.26460
GET       0.990      4.50895
GET       1.000     32.02423
GET       1.100     75.63080
GET       1.200     78.92611
GET       1.300     79.47116
GET       1.400     79.55460
GET       1.500     79.57609
GET       1.600     79.59264
GET       1.700     79.60833
GET       1.800     79.62218
GET       1.900     79.64470
GET       2.000     79.93011
GET       2.100     81.97545
GET       2.200     82.80554
GET       2.300     82.93570
GET       2.400     83.01626
GET       2.500     83.61009
GET       2.600     85.78905
GET       2.700     89.25049
GET       2.800     91.74453
GET       2.900     92.40971
GET       3.000     92.53191
GET       3.100     92.55025
GET       3.200     92.56270
GET       3.300     92.57925
GET       3.400     92.64318
GET       3.500     92.79420
GET       3.600     93.01171
GET       3.700     93.31519
GET       3.800     93.73471
GET       3.900     94.28713
GET       4.000     95.01241
GET       4.100     95.68667
GET       4.200     95.88962
GET       4.300     95.93422
GET       4.400     95.94604
GET       4.500     95.95148
GET       4.600     95.95602
GET       4.700     95.95976
GET       4.800     95.96398
GET       4.900     95.96852
GET       5.000     95.97392
GET       5.100     95.98053
GET       5.200     95.98408
GET       5.300     95.98736
GET       5.400     95.99190
GET       5.500     96.00319
GET       5.600     96.03430
GET       5.700     96.09409
GET       5.800     96.17138
GET       5.900     96.26836
GET       6.000     96.39290
GET       6.100     96.59733
GET       6.200     96.98883
GET       6.300     97.65374
GET       6.400     98.40110
GET       6.500     98.97569
GET       6.600     99.36009
GET       6.700     99.61888
GET       6.800     99.78725
GET       6.900     99.89327
GET       7.000     99.95113
GET       7.100     99.97626
GET       7.200     99.98480
GET       7.300     99.98885
GET       7.400     99.99155
GET       7.500     99.99339
GET       7.600     99.99496
GET       7.700     99.99654
GET       7.800     99.99762
GET       7.900     99.99829
GET       8.000     99.99919
GET       8.100     99.99973
GET       8.200     99.99982
GET       8.900     99.99987
GET       9.000     99.99991
GET       9.100     99.99996
GET       9.200    100.00000
