[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  8 threads:       76270 ops,   76261 (avg:   76261) ops/sec, 2.88MB/sec (avg: 2.88MB/sec),  1.67 (avg:  1.67) msec latency[RUN #1 7%,   2 secs]  8 threads:      147555 ops,   71274 (avg:   73768) ops/sec, 2.69MB/sec (avg: 2.78MB/sec),  1.79 (avg:  1.73) msec latency[RUN #1 10%,   3 secs]  8 threads:      219546 ops,   71982 (avg:   73172) ops/sec, 2.71MB/sec (avg: 2.76MB/sec),  1.78 (avg:  1.75) msec latency[RUN #1 13%,   4 secs]  8 threads:      291905 ops,   72349 (avg:   72967) ops/sec, 2.73MB/sec (avg: 2.75MB/sec),  1.77 (avg:  1.75) msec latency[RUN #1 17%,   5 secs]  8 threads:      364363 ops,   72449 (avg:   72863) ops/sec, 2.73MB/sec (avg: 2.75MB/sec),  1.76 (avg:  1.75) msec latency[RUN #1 20%,   6 secs]  8 threads:      436717 ops,   72339 (avg:   72776) ops/sec, 2.73MB/sec (avg: 2.74MB/sec),  1.77 (avg:  1.76) msec latency[RUN #1 23%,   7 secs]  8 threads:      508982 ops,   72256 (avg:   72701) ops/sec, 2.72MB/sec (avg: 2.74MB/sec),  1.77 (avg:  1.76) msec latency[RUN #1 27%,   8 secs]  8 threads:      581209 ops,   72218 (avg:   72641) ops/sec, 2.72MB/sec (avg: 2.74MB/sec),  1.77 (avg:  1.76) msec latency[RUN #1 30%,   9 secs]  8 threads:      653338 ops,   72120 (avg:   72583) ops/sec, 2.72MB/sec (avg: 2.74MB/sec),  1.77 (avg:  1.76) msec latency[RUN #1 33%,  10 secs]  8 threads:      725341 ops,   71994 (avg:   72524) ops/sec, 2.71MB/sec (avg: 2.74MB/sec),  1.78 (avg:  1.76) msec latency[RUN #1 37%,  11 secs]  8 threads:      800988 ops,   75637 (avg:   72807) ops/sec, 2.85MB/sec (avg: 2.75MB/sec),  1.69 (avg:  1.75) msec latency[RUN #1 40%,  12 secs]  8 threads:      878159 ops,   77162 (avg:   73170) ops/sec, 2.91MB/sec (avg: 2.76MB/sec),  1.66 (avg:  1.75) msec latency[RUN #1 43%,  13 secs]  8 threads:      955404 ops,   77234 (avg:   73483) ops/sec, 2.91MB/sec (avg: 2.77MB/sec),  1.65 (avg:  1.74) msec latency[RUN #1 47%,  14 secs]  8 threads:     1032059 ops,   76646 (avg:   73709) ops/sec, 2.89MB/sec (avg: 2.78MB/sec),  1.67 (avg:  1.73) msec latency[RUN #1 50%,  15 secs]  8 threads:     1108882 ops,   76814 (avg:   73916) ops/sec, 2.90MB/sec (avg: 2.79MB/sec),  1.66 (avg:  1.73) msec latency[RUN #1 53%,  16 secs]  8 threads:     1185677 ops,   76786 (avg:   74095) ops/sec, 2.89MB/sec (avg: 2.79MB/sec),  1.66 (avg:  1.72) msec latency[RUN #1 57%,  17 secs]  8 threads:     1262388 ops,   76702 (avg:   74248) ops/sec, 2.89MB/sec (avg: 2.80MB/sec),  1.67 (avg:  1.72) msec latency[RUN #1 60%,  18 secs]  8 threads:     1339273 ops,   76876 (avg:   74394) ops/sec, 2.90MB/sec (avg: 2.81MB/sec),  1.66 (avg:  1.72) msec latency[RUN #1 63%,  19 secs]  8 threads:     1416248 ops,   76966 (avg:   74530) ops/sec, 2.90MB/sec (avg: 2.81MB/sec),  1.66 (avg:  1.71) msec latency[RUN #1 67%,  20 secs]  8 threads:     1493211 ops,   76954 (avg:   74651) ops/sec, 2.90MB/sec (avg: 2.82MB/sec),  1.66 (avg:  1.71) msec latency[RUN #1 70%,  21 secs]  8 threads:     1569422 ops,   76202 (avg:   74725) ops/sec, 2.87MB/sec (avg: 2.82MB/sec),  1.68 (avg:  1.71) msec latency[RUN #1 73%,  22 secs]  8 threads:     1645180 ops,   75750 (avg:   74771) ops/sec, 2.86MB/sec (avg: 2.82MB/sec),  1.69 (avg:  1.71) msec latency[RUN #1 77%,  23 secs]  8 threads:     1721720 ops,   76531 (avg:   74848) ops/sec, 2.89MB/sec (avg: 2.82MB/sec),  1.67 (avg:  1.71) msec latency[RUN #1 80%,  24 secs]  8 threads:     1798474 ops,   76744 (avg:   74927) ops/sec, 2.89MB/sec (avg: 2.83MB/sec),  1.66 (avg:  1.71) msec latency[RUN #1 83%,  25 secs]  8 threads:     1874689 ops,   76206 (avg:   74978) ops/sec, 2.87MB/sec (avg: 2.83MB/sec),  1.68 (avg:  1.70) msec latency[RUN #1 87%,  26 secs]  8 threads:     1950744 ops,   76046 (avg:   75019) ops/sec, 2.87MB/sec (avg: 2.83MB/sec),  1.68 (avg:  1.70) msec latency[RUN #1 90%,  27 secs]  8 threads:     2027209 ops,   76457 (avg:   75072) ops/sec, 2.88MB/sec (avg: 2.83MB/sec),  1.67 (avg:  1.70) msec latency[RUN #1 93%,  28 secs]  8 threads:     2103719 ops,   76501 (avg:   75123) ops/sec, 2.89MB/sec (avg: 2.83MB/sec),  1.67 (avg:  1.70) msec latency[RUN #1 97%,  29 secs]  8 threads:     2180360 ops,   76631 (avg:   75175) ops/sec, 2.89MB/sec (avg: 2.84MB/sec),  1.67 (avg:  1.70) msec latency[RUN #1 100%,  30 secs]  8 threads:     2256946 ops,   76631 (avg:   75228) ops/sec, 2.89MB/sec (avg: 2.84MB/sec),  1.67 (avg:  1.70) msec latency[RUN #1 100%,  30 secs]  0 threads:     2256973 ops,   76631 (avg:   75228) ops/sec, 2.89MB/sec (avg: 2.84MB/sec),  1.67 (avg:  1.70) msec latency

8         Threads
16        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        6840.62          ---          ---      1.70100       507.06
Gets       68387.99      8584.00     59803.99      1.69700      2398.06
Totals     75228.60      8584.00     59803.99      1.69800      2905.12


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.088      0.00005
GET       0.093      0.00010
GET       0.096      0.00015
GET       0.099      0.00019
GET       0.100      0.00034
GET       0.110      0.00054
GET       0.120      0.00068
GET       0.130      0.00102
GET       0.140      0.00253
GET       0.150      0.00361
GET       0.160      0.00517
GET       0.170      0.00609
GET       0.180      0.00760
GET       0.190      0.01043
GET       0.200      0.01292
GET       0.210      0.01521
GET       0.220      0.01701
GET       0.230      0.02076
GET       0.240      0.02495
GET       0.250      0.02973
GET       0.260      0.03353
GET       0.270      0.03690
GET       0.280      0.04075
GET       0.290      0.04655
GET       0.300      0.05244
GET       0.310      0.05649
GET       0.320      0.05946
GET       0.330      0.06321
GET       0.340      0.06843
GET       0.350      0.07247
GET       0.360      0.07579
GET       0.370      0.07930
GET       0.380      0.08305
GET       0.390      0.08758
GET       0.400      0.09192
GET       0.410      0.09538
GET       0.420      0.09811
GET       0.430      0.10186
GET       0.440      0.10645
GET       0.450      0.11225
GET       0.460      0.11654
GET       0.470      0.12024
GET       0.480      0.12433
GET       0.490      0.12935
GET       0.500      0.13393
GET       0.510      0.13798
GET       0.520      0.14212
GET       0.530      0.14661
GET       0.540      0.15182
GET       0.550      0.15601
GET       0.560      0.16030
GET       0.570      0.16347
GET       0.580      0.16717
GET       0.590      0.17015
GET       0.600      0.17327
GET       0.610      0.17600
GET       0.620      0.17936
GET       0.630      0.18170
GET       0.640      0.18414
GET       0.650      0.18706
GET       0.660      0.18964
GET       0.670      0.19218
GET       0.680      0.19491
GET       0.690      0.19739
GET       0.700      0.19968
GET       0.710      0.20188
GET       0.720      0.20422
GET       0.730      0.20719
GET       0.740      0.21026
GET       0.750      0.21304
GET       0.760      0.21664
GET       0.770      0.21981
GET       0.780      0.22488
GET       0.790      0.23039
GET       0.800      0.23585
GET       0.810      0.24379
GET       0.820      0.25310
GET       0.830      0.26446
GET       0.840      0.27747
GET       0.850      0.29419
GET       0.860      0.31432
GET       0.870      0.34176
GET       0.880      0.37349
GET       0.890      0.41399
GET       0.900      0.46356
GET       0.910      0.52083
GET       0.920      0.60144
GET       0.930      0.71534
GET       0.940      0.89090
GET       0.950      1.17934
GET       0.960      1.65001
GET       0.970      2.43856
GET       0.980      3.67887
GET       0.990      5.55459
GET       1.000     33.63729
GET       1.100     63.80104
GET       1.200     65.81347
GET       1.300     66.34283
GET       1.400     71.54221
GET       1.500     75.61484
GET       1.600     76.03960
GET       1.700     76.11369
GET       1.800     76.13445
GET       1.900     76.15477
GET       2.000     76.27628
GET       2.100     76.67302
GET       2.200     78.40476
GET       2.300     81.45821
GET       2.400     83.95619
GET       2.500     89.11263
GET       2.600     92.71025
GET       2.700     93.64258
GET       2.800     93.80961
GET       2.900     93.84436
GET       3.000     93.85703
GET       3.100     93.86239
GET       3.200     93.86541
GET       3.300     93.87248
GET       3.400     93.87862
GET       3.500     93.88437
GET       3.600     93.88891
GET       3.700     93.89256
GET       3.800     93.89592
GET       3.900     93.90246
GET       4.000     93.90806
GET       4.100     93.91610
GET       4.200     93.92181
GET       4.300     93.92575
GET       4.400     93.93219
GET       4.500     93.93847
GET       4.600     93.94427
GET       4.700     93.94939
GET       4.800     93.95358
GET       4.900     93.96094
GET       5.000     93.97108
GET       5.100     93.98234
GET       5.200     93.99116
GET       5.300     93.99769
GET       5.400     94.00720
GET       5.500     94.03464
GET       5.600     94.09712
GET       5.700     94.23242
GET       5.800     94.48455
GET       5.900     94.88182
GET       6.000     95.37311
GET       6.100     95.84529
GET       6.200     96.11696
GET       6.300     96.24792
GET       6.400     96.30237
GET       6.500     96.32352
GET       6.600     96.33400
GET       6.700     96.34516
GET       6.800     96.36090
GET       6.900     96.39209
GET       7.000     96.45394
GET       7.100     96.56249
GET       7.200     96.72576
GET       7.300     96.99378
GET       7.400     97.42921
GET       7.500     97.95857
GET       7.600     98.46345
GET       7.700     98.91258
GET       7.800     99.26838
GET       7.900     99.53644
GET       8.000     99.72999
GET       8.100     99.85758
GET       8.200     99.92952
GET       8.300     99.96388
GET       8.400     99.97787
GET       8.500     99.98704
GET       8.600     99.99201
GET       8.700     99.99527
GET       8.800     99.99742
GET       8.900     99.99839
GET       9.000     99.99888
GET       9.100     99.99951
GET       9.200     99.99981
GET       9.300     99.99990
GET       9.400     99.99995
GET       9.600    100.00000
