[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       70070 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:      139906 ops,   69828 (avg:   69955) ops/sec, 5.68MB/sec (avg: 5.69MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  2 threads:      210546 ops,   70631 (avg:   70180) ops/sec, 5.74MB/sec (avg: 5.71MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  2 threads:      280504 ops,   69948 (avg:   70122) ops/sec, 5.69MB/sec (avg: 5.70MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  2 threads:      351088 ops,   70577 (avg:   70213) ops/sec, 5.74MB/sec (avg: 5.71MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  2 threads:      415287 ops,   64191 (avg:   69209) ops/sec, 5.22MB/sec (avg: 5.63MB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 23%,   7 secs]  2 threads:      483617 ops,   68311 (avg:   69081) ops/sec, 5.56MB/sec (avg: 5.62MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 27%,   8 secs]  2 threads:      553620 ops,   69996 (avg:   69195) ops/sec, 5.69MB/sec (avg: 5.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 30%,   9 secs]  2 threads:      622624 ops,   68997 (avg:   69173) ops/sec, 5.61MB/sec (avg: 5.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  2 threads:      692494 ops,   69861 (avg:   69242) ops/sec, 5.68MB/sec (avg: 5.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  2 threads:      762720 ops,   70217 (avg:   69331) ops/sec, 5.71MB/sec (avg: 5.64MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 40%,  12 secs]  2 threads:      832867 ops,   70139 (avg:   69398) ops/sec, 5.70MB/sec (avg: 5.64MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 43%,  13 secs]  2 threads:      902972 ops,   70098 (avg:   69452) ops/sec, 5.70MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 47%,  14 secs]  2 threads:      973547 ops,   70566 (avg:   69532) ops/sec, 5.74MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 50%,  15 secs]  2 threads:     1043795 ops,   70240 (avg:   69579) ops/sec, 5.71MB/sec (avg: 5.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 53%,  16 secs]  2 threads:     1113699 ops,   69896 (avg:   69599) ops/sec, 5.68MB/sec (avg: 5.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 57%,  17 secs]  2 threads:     1183367 ops,   69660 (avg:   69602) ops/sec, 5.67MB/sec (avg: 5.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 60%,  18 secs]  2 threads:     1253213 ops,   69837 (avg:   69615) ops/sec, 5.68MB/sec (avg: 5.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 63%,  19 secs]  2 threads:     1322465 ops,   69245 (avg:   69596) ops/sec, 5.63MB/sec (avg: 5.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 67%,  20 secs]  2 threads:     1392027 ops,   69553 (avg:   69594) ops/sec, 5.66MB/sec (avg: 5.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 70%,  21 secs]  2 threads:     1461410 ops,   69375 (avg:   69583) ops/sec, 5.64MB/sec (avg: 5.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 73%,  22 secs]  2 threads:     1529955 ops,   68537 (avg:   69536) ops/sec, 5.57MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 77%,  23 secs]  2 threads:     1599362 ops,   69399 (avg:   69530) ops/sec, 5.64MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 80%,  24 secs]  2 threads:     1668460 ops,   69090 (avg:   69511) ops/sec, 5.62MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 83%,  25 secs]  2 threads:     1737364 ops,   68895 (avg:   69487) ops/sec, 5.60MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 87%,  26 secs]  2 threads:     1806956 ops,   69584 (avg:   69490) ops/sec, 5.66MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 90%,  27 secs]  2 threads:     1876396 ops,   69432 (avg:   69488) ops/sec, 5.65MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  2 threads:     1945868 ops,   69463 (avg:   69487) ops/sec, 5.65MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  2 threads:     2015085 ops,   69210 (avg:   69478) ops/sec, 5.63MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:     2084388 ops,   69210 (avg:   69479) ops/sec, 5.63MB/sec (avg: 5.65MB/sec),  0.17 (avg:  0.17) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        6316.45          ---          ---      0.18100      3441.97
Gets       63162.95      3062.46     60100.49      0.16800      2343.94
Totals     69479.40      3062.46     60100.49      0.16900      5785.91


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00011
GET       0.057      0.00026
GET       0.058      0.00053
GET       0.059      0.00069
GET       0.060      0.00095
GET       0.061      0.00179
GET       0.062      0.00227
GET       0.063      0.00359
GET       0.064      0.00538
GET       0.065      0.00760
GET       0.066      0.01019
GET       0.067      0.01267
GET       0.068      0.01636
GET       0.069      0.02211
GET       0.070      0.02765
GET       0.071      0.03494
GET       0.072      0.04306
GET       0.073      0.05240
GET       0.074      0.06248
GET       0.075      0.07409
GET       0.076      0.09019
GET       0.077      0.10702
GET       0.078      0.12745
GET       0.079      0.15420
GET       0.080      0.18349
GET       0.081      0.21774
GET       0.082      0.25848
GET       0.083      0.30899
GET       0.084      0.36804
GET       0.085      0.43939
GET       0.086      0.52758
GET       0.087      0.63254
GET       0.088      0.75508
GET       0.089      0.90491
GET       0.090      1.08312
GET       0.091      1.29258
GET       0.092      1.52911
GET       0.093      1.80601
GET       0.094      2.14007
GET       0.095      2.53529
GET       0.096      2.96476
GET       0.097      3.41660
GET       0.098      3.88877
GET       0.099      4.39507
GET       0.100      7.18668
GET       0.110     13.04384
GET       0.120     19.00634
GET       0.130     26.90330
GET       0.140     42.22336
GET       0.150     59.39034
GET       0.160     69.20208
GET       0.170     75.21466
GET       0.180     79.77639
GET       0.190     83.88105
GET       0.200     86.93056
GET       0.210     88.72454
GET       0.220     89.80502
GET       0.230     90.53377
GET       0.240     91.13354
GET       0.250     91.66645
GET       0.260     92.12494
GET       0.270     92.53161
GET       0.280     92.94678
GET       0.290     93.39599
GET       0.300     93.85264
GET       0.310     94.26147
GET       0.320     94.62719
GET       0.330     94.97903
GET       0.340     95.32496
GET       0.350     95.65321
GET       0.360     95.95750
GET       0.370     96.22839
GET       0.380     96.49933
GET       0.390     96.76710
GET       0.400     97.03640
GET       0.410     97.29547
GET       0.420     97.54345
GET       0.430     97.77681
GET       0.440     98.00701
GET       0.450     98.21974
GET       0.460     98.39975
GET       0.470     98.55902
GET       0.480     98.69940
GET       0.490     98.82959
GET       0.500     98.95387
GET       0.510     99.06512
GET       0.520     99.16381
GET       0.530     99.25510
GET       0.540     99.34207
GET       0.550     99.42065
GET       0.560     99.48694
GET       0.570     99.54467
GET       0.580     99.59254
GET       0.590     99.63486
GET       0.600     99.67122
GET       0.610     99.70136
GET       0.620     99.72922
GET       0.630     99.75334
GET       0.640     99.77276
GET       0.650     99.79292
GET       0.660     99.80986
GET       0.670     99.82405
GET       0.680     99.83804
GET       0.690     99.85197
GET       0.700     99.86443
GET       0.710     99.87398
GET       0.720     99.88348
GET       0.730     99.89218
GET       0.740     99.90021
GET       0.750     99.90780
GET       0.760     99.91408
GET       0.770     99.92068
GET       0.780     99.92585
GET       0.790     99.93097
GET       0.800     99.93609
GET       0.810     99.94037
GET       0.820     99.94454
GET       0.830     99.94802
GET       0.840     99.95092
GET       0.850     99.95419
GET       0.860     99.95662
GET       0.870     99.95926
GET       0.880     99.96116
GET       0.890     99.96332
GET       0.900     99.96533
GET       0.910     99.96712
GET       0.920     99.96834
GET       0.930     99.96955
GET       0.940     99.97076
GET       0.950     99.97240
GET       0.960     99.97298
GET       0.970     99.97361
GET       0.980     99.97409
GET       0.990     99.97535
GET       1.000     99.97852
GET       1.100     99.98163
GET       1.200     99.98343
GET       1.300     99.98496
GET       1.400     99.98580
GET       1.500     99.98681
GET       1.600     99.98712
GET       1.700     99.98776
GET       1.800     99.98813
GET       1.900     99.98850
GET       2.000     99.98886
GET       2.100     99.98918
GET       2.200     99.98939
GET       2.300     99.98955
GET       2.400     99.98966
GET       2.500     99.98976
GET       2.600     99.98981
GET       2.700     99.99003
GET       2.800     99.99024
GET       2.900     99.99066
GET       3.000     99.99087
GET       3.100     99.99092
GET       3.200     99.99145
GET       3.400     99.99161
GET       3.500     99.99166
GET       3.600     99.99187
GET       3.700     99.99214
GET       3.800     99.99219
GET       4.000     99.99230
GET       4.100     99.99266
GET       4.200     99.99346
GET       4.300     99.99446
GET       4.400     99.99551
GET       4.500     99.99599
GET       4.600     99.99636
GET       4.700     99.99662
GET       4.800     99.99678
GET       4.900     99.99689
GET       5.000     99.99704
GET       5.100     99.99720
GET       5.400     99.99731
GET       5.500     99.99741
GET       5.900     99.99747
GET       6.000     99.99757
GET       6.100     99.99768
GET       6.200     99.99773
GET       7.700     99.99778
GET       7.800     99.99789
GET       7.900     99.99794
GET       8.000     99.99799
GET       8.200     99.99810
GET       8.300     99.99836
GET       8.400     99.99847
GET       8.500     99.99868
GET       8.600     99.99894
GET       8.700     99.99900
GET       8.800     99.99905
GET       9.200     99.99916
GET      11.000     99.99926
GET      12.000     99.99974
GET      13.000    100.00000
