usr, nice, sys, iowait, irq, soft, steal, guest, idle
13.48, 0.0, 51.0566666667, 0.0, 0.0, 33.6666666667, 0.0, 0.0, 1.8
13.4833333333, 0.0, 50.83, 0.0, 0.0, 33.89, 0.0, 0.0, 1.79666666667
13.2933333333, 0.0, 51.2366666667, 0.0, 0.0, 33.6566666667, 0.0, 0.0, 1.80666666667
13.31, 0.0, 51.08, 0.0, 0.00333333333333, 33.8166666667, 0.0, 0.0, 1.79
13.25, 0.0, 50.8533333333, 0.0, 0.0, 34.1166666667, 0.0, 0.0, 1.79
13.5566666667, 0.0, 51.5033333333, 0.0, 0.0, 33.1466666667, 0.0, 0.0, 1.79666666667
13.2833333333, 0.0, 50.5666666667, 0.0, 0.0, 34.3533333333, 0.0, 0.0, 1.79333333333
13.54, 0.0, 51.1766666667, 0.0, 0.0, 33.48, 0.0, 0.0, 1.79666666667
13.2433333333, 0.0, 50.71, 0.0, 0.0, 34.25, 0.0, 0.0, 1.79333333333
13.3, 0.0, 51.2733333333, 0.0, 0.0, 33.6366666667, 0.0, 0.0, 1.79
13.27, 0.0, 51.06, 0.0, 0.0, 33.87, 0.0, 0.0, 1.80333333333
13.5, 0.0, 51.2133333333, 0.0, 0.0, 33.4933333333, 0.0, 0.0, 1.8
13.1133333333, 0.0, 51.1866666667, 0.0, 0.0, 33.91, 0.0, 0.0, 1.79
13.3433333333, 0.0, 50.9833333333, 0.0, 0.0, 33.8733333333, 0.0, 0.0, 1.8
13.2533333333, 0.0, 51.09, 0.0, 0.0, 33.8633333333, 0.0, 0.0, 1.79333333333
13.42, 0.0, 50.5533333333, 0.0, 0.0, 34.2333333333, 0.0, 0.0, 1.79
