[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16293 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       31534 ops,   15239 (avg:   15766) ops/sec, 11.35MB/sec (avg: 11.75MB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 10%,   3 secs]  2 threads:       45156 ops,   13620 (avg:   15051) ops/sec, 10.15MB/sec (avg: 11.22MB/sec),  0.29 (avg:  0.26) msec latency[RUN #1 13%,   4 secs]  2 threads:       57468 ops,   12310 (avg:   14366) ops/sec, 9.18MB/sec (avg: 10.71MB/sec),  0.32 (avg:  0.27) msec latency[RUN #1 17%,   5 secs]  2 threads:       69200 ops,   11730 (avg:   13838) ops/sec, 8.74MB/sec (avg: 10.31MB/sec),  0.34 (avg:  0.29) msec latency[RUN #1 20%,   6 secs]  2 threads:       80092 ops,   10890 (avg:   13347) ops/sec, 8.12MB/sec (avg: 9.95MB/sec),  0.36 (avg:  0.30) msec latency[RUN #1 23%,   7 secs]  2 threads:       90247 ops,   10153 (avg:   12891) ops/sec, 7.56MB/sec (avg: 9.61MB/sec),  0.39 (avg:  0.31) msec latency[RUN #1 27%,   8 secs]  2 threads:       99886 ops,    9638 (avg:   12484) ops/sec, 7.18MB/sec (avg: 9.30MB/sec),  0.41 (avg:  0.32) msec latency[RUN #1 30%,   9 secs]  2 threads:      108266 ops,    8379 (avg:   12028) ops/sec, 6.25MB/sec (avg: 8.97MB/sec),  0.47 (avg:  0.33) msec latency[RUN #1 33%,  10 secs]  2 threads:      116302 ops,    8035 (avg:   11629) ops/sec, 5.98MB/sec (avg: 8.67MB/sec),  0.49 (avg:  0.34) msec latency[RUN #1 37%,  11 secs]  2 threads:      123770 ops,    7467 (avg:   11250) ops/sec, 5.56MB/sec (avg: 8.38MB/sec),  0.53 (avg:  0.35) msec latency[RUN #1 40%,  12 secs]  2 threads:      130592 ops,    6821 (avg:   10881) ops/sec, 5.10MB/sec (avg: 8.11MB/sec),  0.58 (avg:  0.36) msec latency[RUN #1 43%,  13 secs]  2 threads:      137056 ops,    6463 (avg:   10541) ops/sec, 4.81MB/sec (avg: 7.86MB/sec),  0.61 (avg:  0.38) msec latency[RUN #1 47%,  14 secs]  2 threads:      143361 ops,    6304 (avg:   10239) ops/sec, 4.70MB/sec (avg: 7.63MB/sec),  0.63 (avg:  0.39) msec latency[RUN #1 50%,  15 secs]  2 threads:      149396 ops,    6034 (avg:    9958) ops/sec, 4.49MB/sec (avg: 7.42MB/sec),  0.66 (avg:  0.40) msec latency[RUN #1 53%,  16 secs]  2 threads:      155254 ops,    5857 (avg:    9702) ops/sec, 4.37MB/sec (avg: 7.23MB/sec),  0.68 (avg:  0.41) msec latency[RUN #1 57%,  17 secs]  2 threads:      161097 ops,    5842 (avg:    9475) ops/sec, 4.34MB/sec (avg: 7.06MB/sec),  0.68 (avg:  0.42) msec latency[RUN #1 60%,  18 secs]  2 threads:      166659 ops,    5561 (avg:    9257) ops/sec, 4.15MB/sec (avg: 6.90MB/sec),  0.71 (avg:  0.43) msec latency[RUN #1 63%,  19 secs]  2 threads:      172077 ops,    5417 (avg:    9055) ops/sec, 4.04MB/sec (avg: 6.75MB/sec),  0.73 (avg:  0.44) msec latency[RUN #1 67%,  20 secs]  2 threads:      177417 ops,    5339 (avg:    8870) ops/sec, 3.98MB/sec (avg: 6.61MB/sec),  0.74 (avg:  0.45) msec latency[RUN #1 70%,  21 secs]  2 threads:      182623 ops,    5205 (avg:    8695) ops/sec, 3.88MB/sec (avg: 6.48MB/sec),  0.76 (avg:  0.46) msec latency[RUN #1 73%,  22 secs]  2 threads:      187624 ops,    5000 (avg:    8527) ops/sec, 3.73MB/sec (avg: 6.36MB/sec),  0.79 (avg:  0.46) msec latency[RUN #1 77%,  23 secs]  2 threads:      192538 ops,    4913 (avg:    8370) ops/sec, 3.66MB/sec (avg: 6.24MB/sec),  0.81 (avg:  0.47) msec latency[RUN #1 80%,  24 secs]  2 threads:      197423 ops,    4884 (avg:    8225) ops/sec, 3.64MB/sec (avg: 6.13MB/sec),  0.81 (avg:  0.48) msec latency[RUN #1 83%,  25 secs]  2 threads:      202170 ops,    4746 (avg:    8085) ops/sec, 3.53MB/sec (avg: 6.03MB/sec),  0.84 (avg:  0.49) msec latency[RUN #1 87%,  26 secs]  2 threads:      206823 ops,    4652 (avg:    7953) ops/sec, 3.47MB/sec (avg: 5.93MB/sec),  0.85 (avg:  0.50) msec latency[RUN #1 90%,  27 secs]  2 threads:      211341 ops,    4517 (avg:    7826) ops/sec, 3.37MB/sec (avg: 5.83MB/sec),  0.88 (avg:  0.51) msec latency[RUN #1 93%,  28 secs]  2 threads:      215819 ops,    4477 (avg:    7707) ops/sec, 3.34MB/sec (avg: 5.74MB/sec),  0.89 (avg:  0.51) msec latency[RUN #1 97%,  29 secs]  2 threads:      220301 ops,    4481 (avg:    7595) ops/sec, 3.35MB/sec (avg: 5.66MB/sec),  0.89 (avg:  0.52) msec latency[RUN #1 100%,  30 secs]  0 threads:      224946 ops,    4481 (avg:    7498) ops/sec, 3.35MB/sec (avg: 5.59MB/sec),  0.89 (avg:  0.53) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         681.73          ---          ---      0.62800      5483.04
Gets        6816.42      1679.69      5136.73      0.51800       238.92
Totals      7498.14      1679.69      5136.73      0.52800      5721.96


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00049
GET       0.064      0.00098
GET       0.065      0.00147
GET       0.066      0.00196
GET       0.067      0.00245
GET       0.068      0.00293
GET       0.070      0.00342
GET       0.071      0.00587
GET       0.072      0.00929
GET       0.073      0.01223
GET       0.074      0.01956
GET       0.075      0.02592
GET       0.076      0.03423
GET       0.077      0.04206
GET       0.078      0.05086
GET       0.079      0.06699
GET       0.080      0.08264
GET       0.081      0.09878
GET       0.082      0.11247
GET       0.083      0.13790
GET       0.084      0.16137
GET       0.085      0.19512
GET       0.086      0.22201
GET       0.087      0.25478
GET       0.088      0.28803
GET       0.089      0.32813
GET       0.090      0.36480
GET       0.091      0.41273
GET       0.092      0.46456
GET       0.093      0.51689
GET       0.094      0.59268
GET       0.095      0.65919
GET       0.096      0.73303
GET       0.097      0.80345
GET       0.098      0.87582
GET       0.099      0.94379
GET       0.100      1.25676
GET       0.110      1.78881
GET       0.120      2.33112
GET       0.130      3.01085
GET       0.140      4.40062
GET       0.150      5.73073
GET       0.160      6.88724
GET       0.170      8.10684
GET       0.180      9.98709
GET       0.190     12.49132
GET       0.200     14.56571
GET       0.210     16.56723
GET       0.220     18.56191
GET       0.230     20.68227
GET       0.240     22.72145
GET       0.250     24.50096
GET       0.260     26.02277
GET       0.270     27.70106
GET       0.280     29.28057
GET       0.290     30.88159
GET       0.300     32.43958
GET       0.310     33.92276
GET       0.320     35.36583
GET       0.330     36.89937
GET       0.340     38.35565
GET       0.350     39.85154
GET       0.360     41.47408
GET       0.370     43.39052
GET       0.380     45.61943
GET       0.390     47.17889
GET       0.400     48.47135
GET       0.410     49.61564
GET       0.420     50.64403
GET       0.430     51.58782
GET       0.440     52.52575
GET       0.450     53.48617
GET       0.460     54.45979
GET       0.470     55.41189
GET       0.480     56.27696
GET       0.490     57.12001
GET       0.500     57.96014
GET       0.510     58.88926
GET       0.520     59.85995
GET       0.530     60.82966
GET       0.540     61.87761
GET       0.550     62.91480
GET       0.560     63.93146
GET       0.570     64.86156
GET       0.580     65.71782
GET       0.590     66.54670
GET       0.600     67.36726
GET       0.610     68.12669
GET       0.620     68.87048
GET       0.630     69.56194
GET       0.640     70.25830
GET       0.650     70.96394
GET       0.660     71.68034
GET       0.670     72.33709
GET       0.680     72.97378
GET       0.690     73.65986
GET       0.700     74.37627
GET       0.710     75.06186
GET       0.720     75.70295
GET       0.730     76.35872
GET       0.740     77.05018
GET       0.750     77.71377
GET       0.760     78.36220
GET       0.770     79.01405
GET       0.780     79.65026
GET       0.790     80.22387
GET       0.800     80.81900
GET       0.810     81.39163
GET       0.820     81.95497
GET       0.830     82.52174
GET       0.840     83.09975
GET       0.850     83.63913
GET       0.860     84.14330
GET       0.870     84.65089
GET       0.880     85.14333
GET       0.890     85.63087
GET       0.900     86.10326
GET       0.910     86.57467
GET       0.920     87.02603
GET       0.930     87.49499
GET       0.940     87.92825
GET       0.950     88.34489
GET       0.960     88.72094
GET       0.970     89.08574
GET       0.980     89.44761
GET       0.990     89.80263
GET       1.000     91.63839
GET       1.100     94.43798
GET       1.200     96.54513
GET       1.300     97.85617
GET       1.400     98.77405
GET       1.500     99.35891
GET       1.600     99.66845
GET       1.700     99.83667
GET       1.800     99.92714
GET       1.900     99.97457
GET       2.000     99.98924
GET       2.100     99.99511
GET       2.200     99.99853
GET       2.300    100.00000
