[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         684 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        1375 ops,     690 (avg:     687) ops/sec, 15.52MB/sec (avg: 15.66MB/sec),  5.74 (avg:  5.76) msec latency[RUN #1 10%,   2 secs]  2 threads:        2091 ops,     715 (avg:     697) ops/sec, 16.77MB/sec (avg: 16.03MB/sec),  5.63 (avg:  5.71) msec latency[RUN #1 13%,   3 secs]  2 threads:        2801 ops,     709 (avg:     700) ops/sec, 16.27MB/sec (avg: 16.09MB/sec),  5.58 (avg:  5.68) msec latency[RUN #1 17%,   4 secs]  2 threads:        3502 ops,     700 (avg:     700) ops/sec, 15.77MB/sec (avg: 16.03MB/sec),  5.71 (avg:  5.69) msec latency[RUN #1 20%,   5 secs]  2 threads:        4237 ops,     734 (avg:     706) ops/sec, 16.52MB/sec (avg: 16.11MB/sec),  5.37 (avg:  5.63) msec latency[RUN #1 23%,   6 secs]  2 threads:        4956 ops,     718 (avg:     708) ops/sec, 16.52MB/sec (avg: 16.17MB/sec),  5.53 (avg:  5.62) msec latency[RUN #1 27%,   8 secs]  2 threads:        5682 ops,     725 (avg:     710) ops/sec, 16.27MB/sec (avg: 16.18MB/sec),  5.57 (avg:  5.61) msec latency[RUN #1 30%,   9 secs]  2 threads:        6394 ops,     711 (avg:     710) ops/sec, 16.52MB/sec (avg: 16.22MB/sec),  5.60 (avg:  5.61) msec latency[RUN #1 33%,  10 secs]  2 threads:        7094 ops,     699 (avg:     709) ops/sec, 15.77MB/sec (avg: 16.17MB/sec),  5.69 (avg:  5.62) msec latency[RUN #1 37%,  11 secs]  2 threads:        7790 ops,     695 (avg:     708) ops/sec, 15.77MB/sec (avg: 16.14MB/sec),  5.69 (avg:  5.62) msec latency[RUN #1 40%,  12 secs]  2 threads:        8451 ops,     660 (avg:     704) ops/sec, 15.02MB/sec (avg: 16.04MB/sec),  6.00 (avg:  5.65) msec latency[RUN #1 43%,  13 secs]  2 threads:        9179 ops,     727 (avg:     706) ops/sec, 16.52MB/sec (avg: 16.08MB/sec),  5.48 (avg:  5.64) msec latency[RUN #1 47%,  14 secs]  2 threads:        9898 ops,     718 (avg:     706) ops/sec, 16.52MB/sec (avg: 16.11MB/sec),  5.57 (avg:  5.63) msec latency[RUN #1 50%,  15 secs]  2 threads:       10626 ops,     727 (avg:     708) ops/sec, 16.77MB/sec (avg: 16.16MB/sec),  5.52 (avg:  5.63) msec latency[RUN #1 53%,  16 secs]  2 threads:       11374 ops,     747 (avg:     710) ops/sec, 16.77MB/sec (avg: 16.20MB/sec),  5.30 (avg:  5.61) msec latency[RUN #1 57%,  17 secs]  2 threads:       12046 ops,     671 (avg:     708) ops/sec, 15.27MB/sec (avg: 16.14MB/sec),  5.91 (avg:  5.62) msec latency[RUN #1 60%,  18 secs]  2 threads:       12739 ops,     692 (avg:     707) ops/sec, 15.77MB/sec (avg: 16.12MB/sec),  5.73 (avg:  5.63) msec latency[RUN #1 63%,  19 secs]  2 threads:       13397 ops,     657 (avg:     705) ops/sec, 14.77MB/sec (avg: 16.05MB/sec),  5.69 (avg:  5.63) msec latency[RUN #1 67%,  20 secs]  2 threads:       14168 ops,     770 (avg:     708) ops/sec, 17.52MB/sec (avg: 16.12MB/sec),  5.50 (avg:  5.62) msec latency[RUN #1 70%,  21 secs]  2 threads:       14950 ops,     781 (avg:     711) ops/sec, 18.02MB/sec (avg: 16.21MB/sec),  5.14 (avg:  5.60) msec latency[RUN #1 73%,  22 secs]  2 threads:       15714 ops,     763 (avg:     714) ops/sec, 17.52MB/sec (avg: 16.27MB/sec),  5.22 (avg:  5.58) msec latency[RUN #1 77%,  23 secs]  2 threads:       16385 ops,     670 (avg:     712) ops/sec, 15.02MB/sec (avg: 16.22MB/sec),  5.87 (avg:  5.59) msec latency[RUN #1 80%,  24 secs]  2 threads:       17098 ops,     712 (avg:     712) ops/sec, 16.27MB/sec (avg: 16.22MB/sec),  5.62 (avg:  5.59) msec latency[RUN #1 83%,  25 secs]  2 threads:       17839 ops,     740 (avg:     713) ops/sec, 16.77MB/sec (avg: 16.24MB/sec),  5.36 (avg:  5.58) msec latency[RUN #1 87%,  26 secs]  2 threads:       18567 ops,     727 (avg:     714) ops/sec, 16.77MB/sec (avg: 16.26MB/sec),  5.49 (avg:  5.58) msec latency[RUN #1 90%,  27 secs]  2 threads:       19311 ops,     743 (avg:     715) ops/sec, 17.02MB/sec (avg: 16.29MB/sec),  5.33 (avg:  5.57) msec latency[RUN #1 93%,  28 secs]  2 threads:       19988 ops,     676 (avg:     713) ops/sec, 15.27MB/sec (avg: 16.26MB/sec),  5.90 (avg:  5.58) msec latency[RUN #1 97%,  29 secs]  2 threads:       20671 ops,     682 (avg:     712) ops/sec, 15.52MB/sec (avg: 16.23MB/sec),  5.87 (avg:  5.59) msec latency[RUN #1 100%,  30 secs]  2 threads:       21354 ops,     682 (avg:     711) ops/sec, 15.52MB/sec (avg: 16.21MB/sec),  5.87 (avg:  5.60) msec latency[RUN #1 100%,  30 secs]  0 threads:       21357 ops,     682 (avg:     711) ops/sec, 15.52MB/sec (avg: 16.23MB/sec),  5.87 (avg:  5.60) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          64.81          ---          ---     30.12700     16594.64
Gets         646.85        14.53       632.32      3.14300        22.67
Totals       711.67        14.53       632.32      5.60100     16617.31


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       8.000      0.05141
SET       9.000      0.10283
SET      10.000      0.15424
SET      11.000      0.20566
SET      12.000      0.41131
SET      13.000      0.82262
SET      14.000      1.02828
SET      15.000      1.49100
SET      16.000      2.15938
SET      17.000      3.13625
SET      18.000      4.67866
SET      19.000      7.76350
SET      20.000     10.84833
SET      21.000     13.93316
SET      22.000     18.09769
SET      23.000     23.59897
SET      24.000     27.45501
SET      25.000     32.64781
SET      26.000     38.45758
SET      27.000     43.65039
SET      28.000     49.20308
SET      29.000     54.75578
SET      30.000     60.30848
SET      31.000     65.03856
SET      32.000     68.27763
SET      33.000     72.28792
SET      34.000     75.98972
SET      35.000     79.48586
SET      36.000     82.26221
SET      37.000     84.52442
SET      38.000     86.94087
SET      39.000     88.68895
SET      40.000     90.74550
SET      41.000     92.49357
SET      42.000     93.98458
SET      43.000     95.11568
SET      44.000     96.50386
SET      45.000     96.96658
SET      46.000     97.27506
SET      47.000     97.68638
SET      48.000     97.99486
SET      49.000     98.56041
SET      50.000     98.86889
SET      51.000     99.07455
SET      52.000     99.28021
SET      53.000     99.38303
SET      54.000     99.48586
SET      55.000     99.58869
SET      57.000     99.69152
SET      58.000     99.74293
SET      63.000     99.84576
SET      66.000     99.89717
SET      69.000     99.94859
SET     270.000    100.00000
---
GET       0.190      0.02576
GET       0.200      0.04636
GET       0.210      0.05667
GET       0.230      0.06182
GET       0.240      0.06697
GET       0.250      0.07727
GET       0.260      0.09273
GET       0.270      0.10818
GET       0.280      0.12363
GET       0.290      0.13394
GET       0.300      0.15454
GET       0.310      0.15970
GET       0.320      0.16485
GET       0.340      0.18030
GET       0.350      0.18545
GET       0.360      0.19060
GET       0.370      0.19576
GET       0.380      0.21636
GET       0.390      0.22151
GET       0.400      0.22666
GET       0.410      0.23182
GET       0.440      0.24212
GET       0.450      0.25757
GET       0.460      0.26788
GET       0.470      0.27818
GET       0.480      0.28333
GET       0.490      0.30394
GET       0.500      0.31424
GET       0.510      0.32969
GET       0.520      0.34000
GET       0.530      0.35545
GET       0.540      0.36060
GET       0.550      0.36575
GET       0.590      0.37090
GET       0.600      0.38121
GET       0.610      0.39151
GET       0.620      0.39666
GET       0.630      0.42242
GET       0.640      0.42757
GET       0.660      0.43787
GET       0.670      0.44302
GET       0.680      0.44818
GET       0.690      0.47393
GET       0.700      0.47909
GET       0.730      0.52030
GET       0.740      0.52545
GET       0.750      0.53575
GET       0.760      0.55121
GET       0.770      0.56666
GET       0.780      0.59757
GET       0.790      0.60787
GET       0.800      0.61302
GET       0.810      0.61817
GET       0.820      0.62333
GET       0.830      0.62848
GET       0.840      0.63363
GET       0.860      0.64393
GET       0.880      0.66969
GET       0.890      0.67999
GET       0.900      0.69545
GET       0.910      0.71090
GET       0.920      0.72635
GET       0.930      0.74181
GET       0.940      0.75726
GET       0.950      0.77787
GET       0.970      0.80363
GET       0.980      0.81908
GET       0.990      0.82938
GET       1.000      0.93756
GET       1.100      1.16938
GET       1.200      1.42180
GET       1.300      1.82877
GET       1.400      2.19452
GET       1.500      2.74057
GET       1.600      3.36905
GET       1.700      4.27571
GET       1.800      5.19782
GET       1.900      6.41356
GET       2.000      8.07233
GET       2.100     10.05048
GET       2.200     12.32743
GET       2.300     15.34618
GET       2.400     18.75644
GET       2.500     22.58397
GET       2.600     27.14300
GET       2.700     31.47538
GET       2.800     36.65259
GET       2.900     42.10282
GET       3.000     47.53761
GET       3.100     53.24542
GET       3.200     58.94292
GET       3.300     64.24892
GET       3.400     69.47764
GET       3.500     74.21183
GET       3.600     78.55450
GET       3.700     82.66021
GET       3.800     86.34350
GET       3.900     89.24377
GET       4.000     91.60313
GET       4.100     93.45766
GET       4.200     94.93097
GET       4.300     95.99732
GET       4.400     96.47125
GET       4.500     96.68246
GET       4.600     96.85761
GET       4.700     96.96064
GET       4.800     97.06882
GET       4.900     97.20791
GET       5.000     97.32124
GET       5.100     97.43973
GET       5.200     97.56851
GET       5.300     97.67154
GET       5.400     97.80548
GET       5.500     97.86215
GET       5.600     97.97033
GET       5.700     98.06305
GET       5.800     98.16093
GET       5.900     98.26396
GET       6.000     98.36699
GET       6.100     98.44941
GET       6.200     98.53184
GET       6.300     98.61941
GET       6.400     98.67093
GET       6.500     98.73789
GET       6.600     98.82032
GET       6.700     98.86153
GET       6.800     98.88729
GET       6.900     98.92850
GET       7.000     98.95941
GET       7.100     99.00577
GET       7.200     99.06759
GET       7.300     99.10880
GET       7.400     99.13971
GET       7.500     99.18092
GET       7.600     99.22728
GET       7.700     99.26334
GET       7.800     99.30455
GET       7.900     99.32001
GET       8.000     99.37152
GET       8.100     99.38698
GET       8.200     99.42819
GET       8.300     99.43849
GET       8.400     99.45910
GET       8.500     99.50546
GET       8.600     99.51576
GET       8.700     99.53637
GET       8.800     99.57243
GET       8.900     99.58273
GET       9.000     99.59819
GET       9.100     99.64455
GET       9.200     99.66000
GET       9.300     99.66516
GET       9.400     99.69606
GET       9.500     99.70637
GET       9.600     99.71667
GET       9.700     99.72182
GET       9.800     99.73728
GET       9.900     99.74758
GET      10.000     99.78364
GET      11.000     99.82485
GET      12.000     99.87637
GET      13.000     99.90212
GET      14.000     99.91758
GET      15.000     99.92788
GET      16.000     99.94333
GET      17.000     99.94849
GET      18.000     99.96394
GET      20.000     99.96909
GET      21.000     99.97939
GET      24.000     99.98970
GET      28.000     99.99485
GET      33.000    100.00000
