[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         657 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        1355 ops,     697 (avg:     677) ops/sec, 16.02MB/sec (avg: 15.53MB/sec),  5.69 (avg:  5.83) msec latency[RUN #1 10%,   2 secs]  2 threads:        2080 ops,     724 (avg:     693) ops/sec, 16.52MB/sec (avg: 15.86MB/sec),  5.56 (avg:  5.73) msec latency[RUN #1 13%,   3 secs]  2 threads:        2805 ops,     724 (avg:     701) ops/sec, 16.52MB/sec (avg: 16.03MB/sec),  5.47 (avg:  5.67) msec latency[RUN #1 17%,   4 secs]  2 threads:        3543 ops,     737 (avg:     708) ops/sec, 16.77MB/sec (avg: 16.18MB/sec),  5.43 (avg:  5.62) msec latency[RUN #1 20%,   5 secs]  2 threads:        4260 ops,     716 (avg:     710) ops/sec, 16.27MB/sec (avg: 16.19MB/sec),  5.52 (avg:  5.60) msec latency[RUN #1 23%,   6 secs]  2 threads:        4964 ops,     703 (avg:     709) ops/sec, 16.02MB/sec (avg: 16.17MB/sec),  5.64 (avg:  5.61) msec latency[RUN #1 27%,   7 secs]  2 threads:        5670 ops,     705 (avg:     708) ops/sec, 16.02MB/sec (avg: 16.15MB/sec),  5.66 (avg:  5.61) msec latency[RUN #1 30%,   8 secs]  2 threads:        6431 ops,     760 (avg:     714) ops/sec, 17.52MB/sec (avg: 16.30MB/sec),  5.27 (avg:  5.57) msec latency[RUN #1 33%,   9 secs]  2 threads:        7176 ops,     744 (avg:     717) ops/sec, 16.77MB/sec (avg: 16.35MB/sec),  5.36 (avg:  5.55) msec latency[RUN #1 37%,  11 secs]  2 threads:        7863 ops,     686 (avg:     714) ops/sec, 16.02MB/sec (avg: 16.32MB/sec),  5.82 (avg:  5.57) msec latency[RUN #1 40%,  12 secs]  2 threads:        8546 ops,     682 (avg:     712) ops/sec, 15.27MB/sec (avg: 16.23MB/sec),  5.82 (avg:  5.59) msec latency[RUN #1 43%,  13 secs]  2 threads:        9228 ops,     681 (avg:     709) ops/sec, 15.52MB/sec (avg: 16.18MB/sec),  5.83 (avg:  5.61) msec latency[RUN #1 47%,  14 secs]  2 threads:        9972 ops,     743 (avg:     712) ops/sec, 17.02MB/sec (avg: 16.24MB/sec),  5.38 (avg:  5.59) msec latency[RUN #1 50%,  15 secs]  2 threads:       10757 ops,     784 (avg:     717) ops/sec, 17.78MB/sec (avg: 16.34MB/sec),  5.05 (avg:  5.55) msec latency[RUN #1 53%,  16 secs]  2 threads:       11481 ops,     723 (avg:     717) ops/sec, 16.77MB/sec (avg: 16.37MB/sec),  5.56 (avg:  5.55) msec latency[RUN #1 57%,  17 secs]  2 threads:       12272 ops,     790 (avg:     721) ops/sec, 17.53MB/sec (avg: 16.44MB/sec),  5.01 (avg:  5.52) msec latency[RUN #1 60%,  18 secs]  2 threads:       12928 ops,     655 (avg:     718) ops/sec, 15.02MB/sec (avg: 16.36MB/sec),  5.99 (avg:  5.54) msec latency[RUN #1 63%,  19 secs]  2 threads:       13541 ops,     612 (avg:     712) ops/sec, 13.77MB/sec (avg: 16.22MB/sec),  6.54 (avg:  5.59) msec latency[RUN #1 67%,  20 secs]  2 threads:       14238 ops,     696 (avg:     711) ops/sec, 16.27MB/sec (avg: 16.22MB/sec),  5.78 (avg:  5.60) msec latency[RUN #1 70%,  21 secs]  2 threads:       14956 ops,     717 (avg:     712) ops/sec, 16.02MB/sec (avg: 16.21MB/sec),  5.56 (avg:  5.60) msec latency[RUN #1 73%,  22 secs]  2 threads:       15681 ops,     724 (avg:     712) ops/sec, 17.02MB/sec (avg: 16.25MB/sec),  5.45 (avg:  5.59) msec latency[RUN #1 77%,  23 secs]  2 threads:       16434 ops,     752 (avg:     714) ops/sec, 16.77MB/sec (avg: 16.27MB/sec),  5.30 (avg:  5.58) msec latency[RUN #1 80%,  24 secs]  2 threads:       17135 ops,     700 (avg:     713) ops/sec, 15.77MB/sec (avg: 16.25MB/sec),  5.61 (avg:  5.58) msec latency[RUN #1 83%,  25 secs]  2 threads:       17800 ops,     664 (avg:     711) ops/sec, 15.27MB/sec (avg: 16.21MB/sec),  6.09 (avg:  5.60) msec latency[RUN #1 87%,  26 secs]  2 threads:       18425 ops,     624 (avg:     708) ops/sec, 14.02MB/sec (avg: 16.13MB/sec),  6.31 (avg:  5.62) msec latency[RUN #1 90%,  27 secs]  2 threads:       19145 ops,     719 (avg:     709) ops/sec, 17.02MB/sec (avg: 16.16MB/sec),  5.62 (avg:  5.62) msec latency[RUN #1 93%,  28 secs]  2 threads:       19827 ops,     681 (avg:     708) ops/sec, 15.02MB/sec (avg: 16.12MB/sec),  5.78 (avg:  5.63) msec latency[RUN #1 97%,  29 secs]  2 threads:       20505 ops,     677 (avg:     707) ops/sec, 15.77MB/sec (avg: 16.11MB/sec),  5.92 (avg:  5.64) msec latency[RUN #1 100%,  30 secs]  1 threads:       21229 ops,     677 (avg:     707) ops/sec, 15.77MB/sec (avg: 16.12MB/sec),  5.92 (avg:  5.63) msec latency[RUN #1 100%,  30 secs]  0 threads:       21231 ops,     677 (avg:     707) ops/sec, 15.77MB/sec (avg: 16.12MB/sec),  5.92 (avg:  5.63) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          64.36          ---          ---     30.55500     16478.71
Gets         642.89        14.22       628.67      3.13800        22.53
Totals       707.25        14.22       628.67      5.63300     16501.24


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       6.000      0.05176
SET       8.000      0.10352
SET      10.000      0.20704
SET      12.000      0.31056
SET      13.000      0.51760
SET      14.000      0.93168
SET      15.000      1.60455
SET      16.000      2.79503
SET      17.000      4.14079
SET      18.000      6.26294
SET      19.000      9.00621
SET      20.000     11.95652
SET      21.000     15.32091
SET      22.000     18.78882
SET      23.000     22.77433
SET      24.000     26.70807
SET      25.000     31.26294
SET      26.000     36.49068
SET      27.000     41.77019
SET      28.000     46.63561
SET      29.000     52.43271
SET      30.000     56.83230
SET      31.000     61.12836
SET      32.000     65.52795
SET      33.000     69.87578
SET      34.000     73.55072
SET      35.000     76.70807
SET      36.000     79.24431
SET      37.000     81.98758
SET      38.000     84.42029
SET      39.000     86.28364
SET      40.000     88.56108
SET      41.000     90.63147
SET      42.000     92.02899
SET      43.000     93.53002
SET      44.000     94.87578
SET      45.000     95.44513
SET      46.000     96.11801
SET      47.000     97.30849
SET      48.000     97.98137
SET      49.000     98.44720
SET      50.000     98.80952
SET      51.000     99.22360
SET      52.000     99.37888
SET      53.000     99.53416
SET      54.000     99.58592
SET      55.000     99.68944
SET      56.000     99.79296
SET      59.000     99.84472
SET      60.000     99.89648
SET      62.000     99.94824
SET     290.000    100.00000
---
GET       0.190      0.01554
GET       0.200      0.03627
GET       0.210      0.04663
GET       0.220      0.05182
GET       0.230      0.05700
GET       0.240      0.07772
GET       0.250      0.08809
GET       0.270      0.09327
GET       0.280      0.10363
GET       0.290      0.11918
GET       0.300      0.13472
GET       0.320      0.15027
GET       0.330      0.16063
GET       0.340      0.17099
GET       0.350      0.19172
GET       0.360      0.20208
GET       0.380      0.20726
GET       0.390      0.21245
GET       0.400      0.21763
GET       0.410      0.22799
GET       0.420      0.23835
GET       0.430      0.24872
GET       0.440      0.25908
GET       0.450      0.27463
GET       0.460      0.27981
GET       0.480      0.29017
GET       0.490      0.29535
GET       0.500      0.30572
GET       0.510      0.32644
GET       0.520      0.33162
GET       0.530      0.33681
GET       0.540      0.34199
GET       0.550      0.35235
GET       0.560      0.35753
GET       0.570      0.36789
GET       0.580      0.37308
GET       0.590      0.38344
GET       0.600      0.40417
GET       0.610      0.41971
GET       0.620      0.42489
GET       0.630      0.43007
GET       0.640      0.44562
GET       0.660      0.46116
GET       0.670      0.47671
GET       0.680      0.48707
GET       0.690      0.49225
GET       0.700      0.50780
GET       0.720      0.51816
GET       0.730      0.53371
GET       0.740      0.53889
GET       0.750      0.54407
GET       0.760      0.56480
GET       0.770      0.58034
GET       0.780      0.59070
GET       0.790      0.60107
GET       0.800      0.61143
GET       0.810      0.61661
GET       0.820      0.62698
GET       0.830      0.65807
GET       0.840      0.66843
GET       0.850      0.67879
GET       0.860      0.69952
GET       0.870      0.71506
GET       0.880      0.72024
GET       0.890      0.74097
GET       0.900      0.75133
GET       0.910      0.78242
GET       0.920      0.79279
GET       0.930      0.80315
GET       0.940      0.82388
GET       0.950      0.82906
GET       0.960      0.85497
GET       0.980      0.86533
GET       0.990      0.87051
GET       1.000      0.96896
GET       1.100      1.18141
GET       1.200      1.45603
GET       1.300      1.87574
GET       1.400      2.19182
GET       1.500      2.81362
GET       1.600      3.47168
GET       1.700      4.29556
GET       1.800      5.32670
GET       1.900      6.53402
GET       2.000      7.95896
GET       2.100      9.89170
GET       2.200     12.43070
GET       2.300     15.41012
GET       2.400     18.87663
GET       2.500     22.86647
GET       2.600     27.04803
GET       2.700     31.73740
GET       2.800     36.72211
GET       2.900     41.82082
GET       3.000     47.26152
GET       3.100     52.98202
GET       3.200     58.73361
GET       3.300     64.19504
GET       3.400     69.45956
GET       3.500     74.24737
GET       3.600     78.69320
GET       3.700     82.39287
GET       3.800     86.03555
GET       3.900     88.97352
GET       4.000     91.37779
GET       4.100     93.09809
GET       4.200     94.72512
GET       4.300     95.82362
GET       4.400     96.37805
GET       4.500     96.64231
GET       4.600     96.77704
GET       4.700     96.94803
GET       4.800     97.08793
GET       4.900     97.20193
GET       5.000     97.34183
GET       5.100     97.45583
GET       5.200     97.62682
GET       5.300     97.76154
GET       5.400     97.89108
GET       5.500     98.01544
GET       5.600     98.07762
GET       5.700     98.18125
GET       5.800     98.22271
GET       5.900     98.30043
GET       6.000     98.37815
GET       6.100     98.44552
GET       6.200     98.51806
GET       6.300     98.60096
GET       6.400     98.63724
GET       6.500     98.69941
GET       6.600     98.78232
GET       6.700     98.82895
GET       6.800     98.89113
GET       6.900     98.92741
GET       7.000     98.98440
GET       7.100     99.03104
GET       7.200     99.11394
GET       7.300     99.15022
GET       7.400     99.18130
GET       7.500     99.23312
GET       7.600     99.27976
GET       7.700     99.29530
GET       7.800     99.33157
GET       7.900     99.37821
GET       8.000     99.40930
GET       8.100     99.45075
GET       8.200     99.46111
GET       8.300     99.50256
GET       8.400     99.53884
GET       8.500     99.55438
GET       8.600     99.56993
GET       8.700     99.59583
GET       8.800     99.62174
GET       8.900     99.63211
GET       9.000     99.66838
GET       9.100     99.69428
GET       9.200     99.70983
GET       9.300     99.72537
GET       9.400     99.73574
GET       9.500     99.74610
GET       9.700     99.76165
GET       9.900     99.77719
GET      10.000     99.80828
GET      11.000     99.89119
GET      12.000     99.93264
GET      13.000     99.94300
GET      14.000     99.94818
GET      15.000     99.95337
GET      16.000     99.96373
GET      17.000     99.97927
GET      18.000     99.98446
GET      22.000     99.98964
GET      25.000     99.99482
GET      27.000    100.00000
