[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         752 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        1496 ops,     743 (avg:     749) ops/sec, 17.02MB/sec (avg: 17.30MB/sec),  5.35 (avg:  5.31) msec latency[RUN #1 10%,   2 secs]  2 threads:        2288 ops,     791 (avg:     763) ops/sec, 17.53MB/sec (avg: 17.37MB/sec),  4.94 (avg:  5.18) msec latency[RUN #1 13%,   3 secs]  2 threads:        3024 ops,     735 (avg:     756) ops/sec, 16.77MB/sec (avg: 17.22MB/sec),  5.47 (avg:  5.25) msec latency[RUN #1 17%,   4 secs]  2 threads:        3720 ops,     695 (avg:     744) ops/sec, 16.02MB/sec (avg: 16.98MB/sec),  5.75 (avg:  5.35) msec latency[RUN #1 20%,   5 secs]  2 threads:        4456 ops,     735 (avg:     742) ops/sec, 17.02MB/sec (avg: 16.99MB/sec),  5.43 (avg:  5.36) msec latency[RUN #1 23%,   6 secs]  2 threads:        5150 ops,     693 (avg:     735) ops/sec, 15.52MB/sec (avg: 16.78MB/sec),  5.71 (avg:  5.41) msec latency[RUN #1 27%,   7 secs]  2 threads:        5839 ops,     688 (avg:     730) ops/sec, 15.52MB/sec (avg: 16.62MB/sec),  5.75 (avg:  5.45) msec latency[RUN #1 30%,   8 secs]  2 threads:        6564 ops,     724 (avg:     729) ops/sec, 16.77MB/sec (avg: 16.64MB/sec),  5.58 (avg:  5.46) msec latency[RUN #1 33%,   9 secs]  2 threads:        7266 ops,     701 (avg:     726) ops/sec, 16.27MB/sec (avg: 16.60MB/sec),  5.68 (avg:  5.48) msec latency[RUN #1 37%,  10 secs]  2 threads:        7977 ops,     710 (avg:     725) ops/sec, 15.77MB/sec (avg: 16.53MB/sec),  5.61 (avg:  5.49) msec latency[RUN #1 40%,  11 secs]  2 threads:        8681 ops,     703 (avg:     723) ops/sec, 16.02MB/sec (avg: 16.49MB/sec),  5.63 (avg:  5.51) msec latency[RUN #1 43%,  12 secs]  2 threads:        9386 ops,     704 (avg:     722) ops/sec, 16.27MB/sec (avg: 16.47MB/sec),  5.63 (avg:  5.51) msec latency[RUN #1 47%,  13 secs]  2 threads:       10141 ops,     754 (avg:     724) ops/sec, 17.27MB/sec (avg: 16.53MB/sec),  5.34 (avg:  5.50) msec latency[RUN #1 50%,  14 secs]  2 threads:       10846 ops,     704 (avg:     723) ops/sec, 15.52MB/sec (avg: 16.46MB/sec),  5.58 (avg:  5.51) msec latency[RUN #1 53%,  15 secs]  2 threads:       11570 ops,     723 (avg:     723) ops/sec, 16.77MB/sec (avg: 16.48MB/sec),  5.52 (avg:  5.51) msec latency[RUN #1 57%,  16 secs]  2 threads:       12239 ops,     668 (avg:     719) ops/sec, 15.02MB/sec (avg: 16.39MB/sec),  5.89 (avg:  5.53) msec latency[RUN #1 60%,  17 secs]  2 threads:       12923 ops,     683 (avg:     717) ops/sec, 15.77MB/sec (avg: 16.36MB/sec),  5.96 (avg:  5.55) msec latency[RUN #1 63%,  18 secs]  2 threads:       13611 ops,     687 (avg:     716) ops/sec, 15.77MB/sec (avg: 16.33MB/sec),  5.77 (avg:  5.56) msec latency[RUN #1 67%,  19 secs]  2 threads:       14264 ops,     652 (avg:     713) ops/sec, 14.77MB/sec (avg: 16.25MB/sec),  6.07 (avg:  5.59) msec latency[RUN #1 70%,  20 secs]  2 threads:       14946 ops,     681 (avg:     711) ops/sec, 15.52MB/sec (avg: 16.22MB/sec),  5.87 (avg:  5.60) msec latency[RUN #1 73%,  21 secs]  2 threads:       15621 ops,     674 (avg:     710) ops/sec, 15.27MB/sec (avg: 16.17MB/sec),  5.90 (avg:  5.61) msec latency[RUN #1 77%,  22 secs]  2 threads:       16340 ops,     718 (avg:     710) ops/sec, 16.52MB/sec (avg: 16.19MB/sec),  5.57 (avg:  5.61) msec latency[RUN #1 80%,  23 secs]  2 threads:       17079 ops,     738 (avg:     711) ops/sec, 16.77MB/sec (avg: 16.21MB/sec),  5.38 (avg:  5.60) msec latency[RUN #1 83%,  25 secs]  2 threads:       17790 ops,     710 (avg:     711) ops/sec, 16.27MB/sec (avg: 16.21MB/sec),  5.60 (avg:  5.60) msec latency[RUN #1 87%,  26 secs]  2 threads:       18535 ops,     744 (avg:     712) ops/sec, 16.77MB/sec (avg: 16.24MB/sec),  5.39 (avg:  5.59) msec latency[RUN #1 90%,  27 secs]  2 threads:       19222 ops,     686 (avg:     711) ops/sec, 15.52MB/sec (avg: 16.21MB/sec),  5.74 (avg:  5.60) msec latency[RUN #1 93%,  28 secs]  2 threads:       19911 ops,     688 (avg:     711) ops/sec, 15.77MB/sec (avg: 16.19MB/sec),  5.80 (avg:  5.60) msec latency[RUN #1 97%,  29 secs]  2 threads:       20603 ops,     691 (avg:     710) ops/sec, 15.77MB/sec (avg: 16.18MB/sec),  5.80 (avg:  5.61) msec latency[RUN #1 100%,  30 secs]  2 threads:       21446 ops,     842 (avg:     714) ops/sec, 19.53MB/sec (avg: 16.29MB/sec),  4.74 (avg:  5.58) msec latency[RUN #1 100%,  30 secs]  0 threads:       21450 ops,     842 (avg:     714) ops/sec, 19.53MB/sec (avg: 16.30MB/sec),  4.74 (avg:  5.58) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          65.10          ---          ---     29.59500     16667.40
Gets         649.86        14.43       635.43      3.16900        22.77
Totals       714.96        14.43       635.43      5.57500     16690.17


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.000      0.05120
SET       4.000      0.25602
SET       5.000      0.40963
SET       6.000      0.56324
SET       7.000      0.61444
SET       9.000      0.71685
SET      10.000      0.81925
SET      11.000      0.97286
SET      12.000      1.07527
SET      14.000      1.38249
SET      15.000      1.84332
SET      16.000      2.81618
SET      17.000      3.99386
SET      18.000      5.88838
SET      19.000      8.75576
SET      20.000     12.54480
SET      21.000     16.23144
SET      22.000     21.30056
SET      23.000     26.83052
SET      24.000     31.49002
SET      25.000     36.61034
SET      26.000     41.62826
SET      27.000     47.77266
SET      28.000     53.09780
SET      29.000     57.85970
SET      30.000     63.44086
SET      31.000     67.58833
SET      32.000     71.17256
SET      33.000     74.80799
SET      34.000     76.85612
SET      35.000     79.00666
SET      36.000     80.95238
SET      37.000     83.41014
SET      38.000     85.81669
SET      39.000     87.81362
SET      40.000     89.70814
SET      41.000     91.50026
SET      42.000     93.03635
SET      43.000     94.06042
SET      44.000     94.98208
SET      45.000     95.85253
SET      46.000     96.72299
SET      47.000     97.28623
SET      48.000     97.84946
SET      49.000     98.15668
SET      50.000     98.31029
SET      51.000     98.71992
SET      52.000     99.02714
SET      53.000     99.23195
SET      54.000     99.33436
SET      55.000     99.59037
SET      56.000     99.64158
SET      57.000     99.69278
SET      58.000     99.84639
SET      63.000     99.89759
SET      64.000     99.94880
SET      69.000    100.00000
---
GET       0.078      0.00513
GET       0.090      0.01026
GET       0.098      0.01539
GET       0.130      0.02052
GET       0.140      0.03077
GET       0.150      0.03590
GET       0.160      0.04103
GET       0.170      0.04616
GET       0.180      0.16926
GET       0.190      0.22055
GET       0.200      0.24106
GET       0.210      0.26158
GET       0.220      0.28209
GET       0.230      0.29748
GET       0.240      0.30774
GET       0.250      0.31800
GET       0.260      0.34364
GET       0.270      0.34877
GET       0.280      0.36416
GET       0.290      0.36929
GET       0.300      0.37955
GET       0.310      0.39493
GET       0.320      0.40519
GET       0.330      0.41032
GET       0.340      0.42571
GET       0.350      0.45648
GET       0.360      0.46674
GET       0.380      0.48213
GET       0.390      0.48725
GET       0.400      0.50264
GET       0.410      0.50777
GET       0.420      0.51290
GET       0.440      0.52316
GET       0.460      0.52829
GET       0.480      0.53342
GET       0.490      0.54880
GET       0.500      0.55393
GET       0.510      0.56419
GET       0.520      0.57958
GET       0.530      0.60522
GET       0.540      0.62061
GET       0.550      0.62574
GET       0.560      0.63600
GET       0.570      0.65651
GET       0.580      0.66164
GET       0.600      0.66677
GET       0.620      0.67190
GET       0.630      0.67703
GET       0.640      0.69241
GET       0.650      0.69754
GET       0.660      0.71293
GET       0.670      0.71806
GET       0.680      0.72832
GET       0.700      0.73345
GET       0.710      0.73858
GET       0.720      0.74883
GET       0.740      0.75396
GET       0.780      0.76935
GET       0.800      0.78474
GET       0.810      0.78987
GET       0.830      0.80012
GET       0.840      0.82577
GET       0.850      0.83090
GET       0.860      0.83603
GET       0.870      0.85141
GET       0.880      0.85654
GET       0.890      0.86167
GET       0.900      0.87706
GET       0.910      0.88732
GET       0.920      0.90270
GET       0.930      0.91296
GET       0.940      0.91809
GET       0.960      0.92322
GET       0.980      0.92835
GET       0.990      0.94373
GET       1.000      1.03606
GET       1.100      1.25147
GET       1.200      1.42073
GET       1.300      1.66179
GET       1.400      1.97979
GET       1.500      2.48756
GET       1.600      3.05688
GET       1.700      3.74417
GET       1.800      4.55968
GET       1.900      5.75986
GET       2.000      7.20624
GET       2.100      9.14500
GET       2.200     11.45817
GET       2.300     14.38170
GET       2.400     17.78735
GET       2.500     21.30071
GET       2.600     25.34749
GET       2.700     30.15849
GET       2.800     34.99513
GET       2.900     40.22670
GET       3.000     45.58650
GET       3.100     51.60794
GET       3.200     57.09596
GET       3.300     62.85582
GET       3.400     67.95917
GET       3.500     72.93430
GET       3.600     77.68375
GET       3.700     81.52536
GET       3.800     85.32082
GET       3.900     88.30076
GET       4.000     90.86013
GET       4.100     92.81941
GET       4.200     94.39401
GET       4.300     95.46597
GET       4.400     95.97374
GET       4.500     96.23532
GET       4.600     96.44561
GET       4.700     96.61999
GET       4.800     96.78925
GET       4.900     96.92260
GET       5.000     97.04570
GET       5.100     97.20983
GET       5.200     97.34831
GET       5.300     97.49192
GET       5.400     97.62528
GET       5.500     97.76889
GET       5.600     97.91250
GET       5.700     98.03047
GET       5.800     98.13305
GET       5.900     98.22537
GET       6.000     98.35359
GET       6.100     98.40488
GET       6.200     98.51259
GET       6.300     98.61004
GET       6.400     98.68185
GET       6.500     98.73827
GET       6.600     98.82546
GET       6.700     98.86649
GET       6.800     98.94856
GET       6.900     98.99985
GET       7.000     99.05114
GET       7.100     99.11268
GET       7.200     99.14859
GET       7.300     99.17936
GET       7.400     99.21013
GET       7.500     99.25630
GET       7.600     99.28194
GET       7.700     99.31271
GET       7.800     99.34349
GET       7.900     99.36913
GET       8.000     99.39478
GET       8.100     99.44607
GET       8.200     99.47684
GET       8.300     99.50762
GET       8.400     99.53326
GET       8.500     99.56404
GET       8.600     99.58968
GET       8.700     99.62558
GET       8.800     99.65123
GET       8.900     99.65636
GET       9.000     99.66662
GET       9.100     99.68200
GET       9.200     99.68713
GET       9.400     99.69226
GET       9.500     99.69739
GET       9.600     99.71278
GET       9.700     99.73329
GET       9.800     99.75381
GET       9.900     99.75894
GET      10.000     99.82049
GET      11.000     99.88203
GET      12.000     99.91281
GET      13.000     99.92819
GET      14.000     99.94358
GET      15.000     99.96923
GET      17.000     99.98461
GET      18.000     99.99487
GET      22.000    100.00000
