[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       43912 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       87479 ops,   43562 (avg:   43738) ops/sec, 2.49MB/sec (avg: 2.50MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      130797 ops,   43313 (avg:   43596) ops/sec, 2.47MB/sec (avg: 2.49MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      174029 ops,   43227 (avg:   43504) ops/sec, 2.47MB/sec (avg: 2.48MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      216873 ops,   42838 (avg:   43371) ops/sec, 2.45MB/sec (avg: 2.48MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 20%,   6 secs]  2 threads:      259736 ops,   42858 (avg:   43285) ops/sec, 2.45MB/sec (avg: 2.47MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 23%,   7 secs]  2 threads:      302353 ops,   42611 (avg:   43189) ops/sec, 2.43MB/sec (avg: 2.47MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 27%,   8 secs]  2 threads:      344866 ops,   42507 (avg:   43104) ops/sec, 2.43MB/sec (avg: 2.46MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 30%,   9 secs]  2 threads:      387200 ops,   42328 (avg:   43018) ops/sec, 2.42MB/sec (avg: 2.46MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  2 threads:      429371 ops,   42166 (avg:   42932) ops/sec, 2.41MB/sec (avg: 2.45MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  2 threads:      471428 ops,   42051 (avg:   42852) ops/sec, 2.40MB/sec (avg: 2.45MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  2 threads:      513340 ops,   41906 (avg:   42774) ops/sec, 2.39MB/sec (avg: 2.44MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  2 threads:      555330 ops,   41985 (avg:   42713) ops/sec, 2.40MB/sec (avg: 2.44MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  2 threads:      596971 ops,   41636 (avg:   42636) ops/sec, 2.38MB/sec (avg: 2.44MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 50%,  15 secs]  2 threads:      638632 ops,   41656 (avg:   42571) ops/sec, 2.38MB/sec (avg: 2.43MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 53%,  16 secs]  2 threads:      680394 ops,   41756 (avg:   42520) ops/sec, 2.38MB/sec (avg: 2.43MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 57%,  17 secs]  2 threads:      722004 ops,   41605 (avg:   42466) ops/sec, 2.38MB/sec (avg: 2.43MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 60%,  18 secs]  2 threads:      763596 ops,   41587 (avg:   42417) ops/sec, 2.38MB/sec (avg: 2.42MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 63%,  19 secs]  2 threads:      805231 ops,   41630 (avg:   42376) ops/sec, 2.38MB/sec (avg: 2.42MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 67%,  20 secs]  2 threads:      846695 ops,   41459 (avg:   42330) ops/sec, 2.37MB/sec (avg: 2.42MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 70%,  21 secs]  2 threads:      887996 ops,   41296 (avg:   42280) ops/sec, 2.36MB/sec (avg: 2.41MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 73%,  22 secs]  2 threads:      929291 ops,   41290 (avg:   42235) ops/sec, 2.36MB/sec (avg: 2.41MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 77%,  23 secs]  2 threads:      970724 ops,   41428 (avg:   42200) ops/sec, 2.37MB/sec (avg: 2.41MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 80%,  24 secs]  2 threads:     1012114 ops,   41385 (avg:   42166) ops/sec, 2.36MB/sec (avg: 2.41MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 83%,  25 secs]  2 threads:     1053488 ops,   41369 (avg:   42134) ops/sec, 2.36MB/sec (avg: 2.41MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 87%,  26 secs]  2 threads:     1094684 ops,   41191 (avg:   42098) ops/sec, 2.35MB/sec (avg: 2.40MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 90%,  27 secs]  2 threads:     1135797 ops,   41108 (avg:   42061) ops/sec, 2.35MB/sec (avg: 2.40MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 93%,  28 secs]  2 threads:     1176860 ops,   41058 (avg:   42026) ops/sec, 2.35MB/sec (avg: 2.40MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 97%,  29 secs]  2 threads:     1217796 ops,   40931 (avg:   41988) ops/sec, 2.34MB/sec (avg: 2.40MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 100%,  30 secs]  0 threads:     1258725 ops,   40931 (avg:   41957) ops/sec, 2.34MB/sec (avg: 2.40MB/sec),  0.14 (avg:  0.14) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3814.43          ---          ---      0.14600      1117.11
Gets       38143.03     22528.01     15615.02      0.13900      1336.91
Totals     41957.46     22528.01     15615.02      0.13900      2454.01


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00026
GET       0.056      0.00035
GET       0.057      0.00044
GET       0.058      0.00061
GET       0.059      0.00070
GET       0.060      0.00122
GET       0.061      0.00245
GET       0.062      0.00323
GET       0.063      0.00498
GET       0.064      0.00769
GET       0.065      0.01092
GET       0.066      0.01521
GET       0.067      0.02027
GET       0.068      0.02718
GET       0.069      0.03504
GET       0.070      0.04667
GET       0.071      0.05986
GET       0.072      0.07603
GET       0.073      0.09508
GET       0.074      0.11833
GET       0.075      0.14612
GET       0.076      0.17941
GET       0.077      0.21821
GET       0.078      0.26304
GET       0.079      0.31574
GET       0.080      0.37517
GET       0.081      0.43643
GET       0.082      0.51158
GET       0.083      0.60422
GET       0.084      0.72988
GET       0.085      0.89496
GET       0.086      1.09159
GET       0.087      1.32047
GET       0.088      1.61934
GET       0.089      1.98472
GET       0.090      2.43941
GET       0.091      3.06635
GET       0.092      3.80751
GET       0.093      4.73629
GET       0.094      6.00625
GET       0.095      7.37679
GET       0.096      8.57657
GET       0.097      9.71194
GET       0.098     10.92754
GET       0.099     12.19916
GET       0.100     18.36821
GET       0.110     28.72798
GET       0.120     37.95351
GET       0.130     48.09332
GET       0.140     66.66489
GET       0.150     81.72695
GET       0.160     87.92161
GET       0.170     91.19648
GET       0.180     93.37398
GET       0.190     95.30321
GET       0.200     96.36649
GET       0.210     96.86129
GET       0.220     97.19206
GET       0.230     97.43597
GET       0.240     97.66240
GET       0.250     97.85710
GET       0.260     98.01318
GET       0.270     98.15021
GET       0.280     98.27544
GET       0.290     98.38564
GET       0.300     98.47836
GET       0.310     98.55920
GET       0.320     98.62823
GET       0.330     98.68609
GET       0.340     98.74141
GET       0.350     98.78877
GET       0.360     98.83517
GET       0.370     98.88604
GET       0.380     98.93497
GET       0.390     98.98208
GET       0.400     99.03006
GET       0.410     99.07139
GET       0.420     99.11544
GET       0.430     99.15494
GET       0.440     99.19050
GET       0.450     99.22328
GET       0.460     99.25797
GET       0.470     99.28663
GET       0.480     99.31530
GET       0.490     99.34414
GET       0.500     99.37464
GET       0.510     99.40688
GET       0.520     99.44053
GET       0.530     99.47225
GET       0.540     99.50196
GET       0.550     99.53133
GET       0.560     99.55894
GET       0.570     99.58289
GET       0.580     99.60771
GET       0.590     99.63515
GET       0.600     99.66014
GET       0.610     99.68417
GET       0.620     99.70532
GET       0.630     99.73031
GET       0.640     99.75269
GET       0.650     99.77366
GET       0.660     99.79542
GET       0.670     99.81456
GET       0.680     99.83693
GET       0.690     99.85362
GET       0.700     99.87092
GET       0.710     99.88430
GET       0.720     99.89845
GET       0.730     99.91008
GET       0.740     99.91925
GET       0.750     99.93052
GET       0.760     99.94092
GET       0.770     99.94949
GET       0.780     99.95901
GET       0.790     99.96566
GET       0.800     99.97378
GET       0.810     99.97876
GET       0.820     99.98383
GET       0.830     99.98899
GET       0.840     99.99266
GET       0.850     99.99449
GET       0.860     99.99598
GET       0.870     99.99755
GET       0.880     99.99816
GET       0.890     99.99869
GET       0.900     99.99904
GET       0.910     99.99921
GET       0.920     99.99956
GET       0.990     99.99965
GET       1.100     99.99983
GET       2.800    100.00000
