[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       31653 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       63568 ops,   31910 (avg:   31783) ops/sec, 2.53MB/sec (avg: 2.52MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 10%,   3 secs]  2 threads:       94935 ops,   31363 (avg:   31643) ops/sec, 2.49MB/sec (avg: 2.51MB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 13%,   4 secs]  2 threads:      126085 ops,   31146 (avg:   31519) ops/sec, 2.47MB/sec (avg: 2.50MB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 17%,   5 secs]  2 threads:      157350 ops,   31261 (avg:   31467) ops/sec, 2.48MB/sec (avg: 2.50MB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 20%,   6 secs]  2 threads:      187896 ops,   30543 (avg:   31313) ops/sec, 2.42MB/sec (avg: 2.48MB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 23%,   7 secs]  2 threads:      218267 ops,   30367 (avg:   31178) ops/sec, 2.41MB/sec (avg: 2.47MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      247971 ops,   29701 (avg:   30993) ops/sec, 2.36MB/sec (avg: 2.46MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      277514 ops,   29539 (avg:   30832) ops/sec, 2.34MB/sec (avg: 2.45MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      306913 ops,   29396 (avg:   30688) ops/sec, 2.33MB/sec (avg: 2.43MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      336245 ops,   29328 (avg:   30565) ops/sec, 2.33MB/sec (avg: 2.42MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  2 threads:      365455 ops,   29206 (avg:   30451) ops/sec, 2.32MB/sec (avg: 2.42MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      394766 ops,   29308 (avg:   30363) ops/sec, 2.32MB/sec (avg: 2.41MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      423588 ops,   28819 (avg:   30253) ops/sec, 2.29MB/sec (avg: 2.40MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  2 threads:      452536 ops,   28944 (avg:   30166) ops/sec, 2.29MB/sec (avg: 2.39MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  2 threads:      481302 ops,   28762 (avg:   30078) ops/sec, 2.28MB/sec (avg: 2.39MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  2 threads:      510147 ops,   28841 (avg:   30005) ops/sec, 2.29MB/sec (avg: 2.38MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  2 threads:      538734 ops,   28584 (avg:   29926) ops/sec, 2.27MB/sec (avg: 2.37MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  2 threads:      567471 ops,   28733 (avg:   29864) ops/sec, 2.28MB/sec (avg: 2.37MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  2 threads:      596020 ops,   28545 (avg:   29798) ops/sec, 2.26MB/sec (avg: 2.36MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  2 threads:      624434 ops,   28410 (avg:   29732) ops/sec, 2.25MB/sec (avg: 2.36MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  2 threads:      652932 ops,   28495 (avg:   29675) ops/sec, 2.26MB/sec (avg: 2.35MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  2 threads:      681464 ops,   28529 (avg:   29625) ops/sec, 2.26MB/sec (avg: 2.35MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  2 threads:      709509 ops,   28041 (avg:   29559) ops/sec, 2.22MB/sec (avg: 2.34MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  2 threads:      737616 ops,   28104 (avg:   29501) ops/sec, 2.23MB/sec (avg: 2.34MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  2 threads:      765734 ops,   28114 (avg:   29448) ops/sec, 2.23MB/sec (avg: 2.34MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  2 threads:      793810 ops,   28073 (avg:   29397) ops/sec, 2.23MB/sec (avg: 2.33MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  2 threads:      821742 ops,   27928 (avg:   29344) ops/sec, 2.21MB/sec (avg: 2.33MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  2 threads:      849647 ops,   27901 (avg:   29295) ops/sec, 2.21MB/sec (avg: 2.32MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 100%,  30 secs]  0 threads:      878230 ops,   27901 (avg:   29274) ops/sec, 2.21MB/sec (avg: 2.32MB/sec),  0.14 (avg:  0.13) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        2661.33          ---          ---      0.14100      1444.74
Gets       26612.95     16328.27     10284.68      0.13200       932.78
Totals     29274.28     16328.27     10284.68      0.13300      2377.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.056      0.00025
GET       0.057      0.00038
GET       0.058      0.00088
GET       0.059      0.00150
GET       0.060      0.00251
GET       0.061      0.00438
GET       0.062      0.00714
GET       0.063      0.01152
GET       0.064      0.01641
GET       0.065      0.02430
GET       0.066      0.03469
GET       0.067      0.05160
GET       0.068      0.07327
GET       0.069      0.10383
GET       0.070      0.14166
GET       0.071      0.18262
GET       0.072      0.23197
GET       0.073      0.29547
GET       0.074      0.36699
GET       0.075      0.45517
GET       0.076      0.56301
GET       0.077      0.68951
GET       0.078      0.84320
GET       0.079      1.01279
GET       0.080      1.21332
GET       0.081      1.43702
GET       0.082      1.68877
GET       0.083      1.98199
GET       0.084      2.32117
GET       0.085      2.71709
GET       0.086      3.14120
GET       0.087      3.57707
GET       0.088      4.05428
GET       0.089      4.57446
GET       0.090      5.15826
GET       0.091      5.88873
GET       0.092      6.72353
GET       0.093      7.60255
GET       0.094      8.67997
GET       0.095     10.11461
GET       0.096     11.68439
GET       0.097     13.19004
GET       0.098     14.57095
GET       0.099     15.74606
GET       0.100     20.25602
GET       0.110     31.41422
GET       0.120     39.91946
GET       0.130     48.48871
GET       0.140     62.84485
GET       0.150     85.87645
GET       0.160     91.36287
GET       0.170     93.48652
GET       0.180     95.00971
GET       0.190     96.98143
GET       0.200     98.19650
GET       0.210     98.59780
GET       0.220     98.75199
GET       0.230     98.88864
GET       0.240     99.03406
GET       0.250     99.15643
GET       0.260     99.26327
GET       0.270     99.36034
GET       0.280     99.45365
GET       0.290     99.54183
GET       0.300     99.60809
GET       0.310     99.66207
GET       0.320     99.71518
GET       0.330     99.76127
GET       0.340     99.80010
GET       0.350     99.83003
GET       0.360     99.85320
GET       0.370     99.87350
GET       0.380     99.89003
GET       0.390     99.90406
GET       0.400     99.91696
GET       0.410     99.92673
GET       0.420     99.93650
GET       0.430     99.94489
GET       0.440     99.95165
GET       0.450     99.95804
GET       0.460     99.96455
GET       0.470     99.96944
GET       0.480     99.97382
GET       0.490     99.97733
GET       0.500     99.97996
GET       0.510     99.98259
GET       0.520     99.98535
GET       0.530     99.98835
GET       0.540     99.98923
GET       0.550     99.99098
GET       0.560     99.99248
GET       0.570     99.99311
GET       0.580     99.99386
GET       0.590     99.99449
GET       0.600     99.99524
GET       0.610     99.99537
GET       0.620     99.99587
GET       0.630     99.99662
GET       0.640     99.99674
GET       0.650     99.99699
GET       0.660     99.99712
GET       0.670     99.99724
GET       0.680     99.99737
GET       0.750     99.99749
GET       0.760     99.99762
GET       0.800     99.99787
GET       0.830     99.99800
GET       0.840     99.99812
GET       0.850     99.99825
GET       0.880     99.99837
GET       0.890     99.99850
GET       0.900     99.99862
GET       0.920     99.99875
GET       0.960     99.99900
GET       1.000     99.99912
GET       1.100     99.99937
GET       1.300     99.99950
GET       2.100     99.99987
GET       7.800    100.00000
