[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       43620 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       86700 ops,   43074 (avg:   43350) ops/sec, 3.42MB/sec (avg: 3.44MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 10%,   3 secs]  2 threads:      129261 ops,   42555 (avg:   43085) ops/sec, 3.37MB/sec (avg: 3.42MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 13%,   4 secs]  2 threads:      171375 ops,   42108 (avg:   42841) ops/sec, 3.34MB/sec (avg: 3.40MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 17%,   5 secs]  2 threads:      213266 ops,   41885 (avg:   42650) ops/sec, 3.32MB/sec (avg: 3.38MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 20%,   6 secs]  2 threads:      254778 ops,   41507 (avg:   42459) ops/sec, 3.29MB/sec (avg: 3.37MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 23%,   7 secs]  2 threads:      296042 ops,   41259 (avg:   42288) ops/sec, 3.27MB/sec (avg: 3.35MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 27%,   8 secs]  2 threads:      337076 ops,   41029 (avg:   42130) ops/sec, 3.25MB/sec (avg: 3.34MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 30%,   9 secs]  2 threads:      377891 ops,   40809 (avg:   41984) ops/sec, 3.24MB/sec (avg: 3.33MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  2 threads:      418348 ops,   40451 (avg:   41830) ops/sec, 3.21MB/sec (avg: 3.32MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  2 threads:      458447 ops,   40094 (avg:   41673) ops/sec, 3.18MB/sec (avg: 3.31MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  2 threads:      498326 ops,   39874 (avg:   41523) ops/sec, 3.16MB/sec (avg: 3.29MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  2 threads:      537949 ops,   39618 (avg:   41376) ops/sec, 3.14MB/sec (avg: 3.28MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  2 threads:      577310 ops,   39356 (avg:   41232) ops/sec, 3.12MB/sec (avg: 3.27MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 50%,  15 secs]  2 threads:      616319 ops,   39005 (avg:   41083) ops/sec, 3.09MB/sec (avg: 3.26MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 53%,  16 secs]  2 threads:      655006 ops,   38683 (avg:   40933) ops/sec, 3.07MB/sec (avg: 3.25MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 57%,  17 secs]  2 threads:      693432 ops,   38422 (avg:   40786) ops/sec, 3.05MB/sec (avg: 3.23MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 60%,  18 secs]  2 threads:      731317 ops,   37881 (avg:   40624) ops/sec, 3.00MB/sec (avg: 3.22MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 63%,  19 secs]  2 threads:      768955 ops,   37633 (avg:   40467) ops/sec, 2.99MB/sec (avg: 3.21MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 67%,  20 secs]  2 threads:      806129 ops,   37169 (avg:   40302) ops/sec, 2.95MB/sec (avg: 3.20MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 70%,  21 secs]  2 threads:      842982 ops,   36849 (avg:   40137) ops/sec, 2.92MB/sec (avg: 3.18MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 73%,  22 secs]  2 threads:      879491 ops,   36505 (avg:   39972) ops/sec, 2.90MB/sec (avg: 3.17MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 77%,  23 secs]  2 threads:      915578 ops,   36083 (avg:   39803) ops/sec, 2.86MB/sec (avg: 3.16MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 80%,  24 secs]  2 threads:      951298 ops,   35716 (avg:   39633) ops/sec, 2.83MB/sec (avg: 3.14MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 83%,  25 secs]  2 threads:      986652 ops,   35350 (avg:   39462) ops/sec, 2.80MB/sec (avg: 3.13MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 87%,  26 secs]  2 threads:     1021892 ops,   35236 (avg:   39299) ops/sec, 2.80MB/sec (avg: 3.12MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 90%,  27 secs]  2 threads:     1056754 ops,   34858 (avg:   39135) ops/sec, 2.76MB/sec (avg: 3.10MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 93%,  28 secs]  2 threads:     1091495 ops,   34737 (avg:   38978) ops/sec, 2.76MB/sec (avg: 3.09MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 97%,  29 secs]  2 threads:     1125928 ops,   34429 (avg:   38821) ops/sec, 2.73MB/sec (avg: 3.08MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 100%,  30 secs]  0 threads:     1160524 ops,   34429 (avg:   38683) ops/sec, 2.73MB/sec (avg: 3.07MB/sec),  0.17 (avg:  0.15) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3516.78          ---          ---      0.15900      1909.13
Gets       35167.16     19612.80     15554.36      0.15100      1232.61
Totals     38683.94     19612.80     15554.36      0.15200      3141.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00009
GET       0.057      0.00019
GET       0.058      0.00038
GET       0.059      0.00076
GET       0.060      0.00123
GET       0.061      0.00237
GET       0.062      0.00341
GET       0.063      0.00502
GET       0.064      0.00626
GET       0.065      0.00919
GET       0.066      0.01100
GET       0.067      0.01498
GET       0.068      0.02028
GET       0.069      0.02588
GET       0.070      0.03498
GET       0.071      0.04398
GET       0.072      0.05706
GET       0.073      0.07270
GET       0.074      0.09441
GET       0.075      0.11602
GET       0.076      0.14388
GET       0.077      0.17516
GET       0.078      0.21061
GET       0.079      0.25327
GET       0.080      0.30303
GET       0.081      0.35867
GET       0.082      0.42028
GET       0.083      0.50132
GET       0.084      0.59392
GET       0.085      0.70425
GET       0.086      0.83022
GET       0.087      0.96984
GET       0.088      1.12576
GET       0.089      1.29836
GET       0.090      1.49533
GET       0.091      1.74224
GET       0.092      2.02631
GET       0.093      2.37455
GET       0.094      2.81871
GET       0.095      3.42534
GET       0.096      4.06134
GET       0.097      4.65394
GET       0.098      5.23128
GET       0.099      5.81344
GET       0.100      9.09613
GET       0.110     15.43923
GET       0.120     22.35266
GET       0.130     30.61696
GET       0.140     44.73166
GET       0.150     65.90065
GET       0.160     78.13596
GET       0.170     85.44208
GET       0.180     90.03971
GET       0.190     93.03824
GET       0.200     94.98645
GET       0.210     96.08624
GET       0.220     96.73873
GET       0.230     97.13968
GET       0.240     97.42450
GET       0.250     97.63502
GET       0.260     97.81066
GET       0.270     97.95748
GET       0.280     98.08601
GET       0.290     98.21283
GET       0.300     98.32269
GET       0.310     98.41643
GET       0.320     98.50107
GET       0.330     98.58088
GET       0.340     98.64950
GET       0.350     98.70751
GET       0.360     98.75765
GET       0.370     98.80476
GET       0.380     98.85026
GET       0.390     98.89547
GET       0.400     98.94248
GET       0.410     98.99291
GET       0.420     99.03926
GET       0.430     99.08476
GET       0.440     99.12599
GET       0.450     99.16466
GET       0.460     99.20390
GET       0.470     99.23670
GET       0.480     99.26854
GET       0.490     99.30267
GET       0.500     99.33442
GET       0.510     99.36447
GET       0.520     99.39916
GET       0.530     99.43470
GET       0.540     99.47082
GET       0.550     99.50465
GET       0.560     99.53688
GET       0.570     99.56731
GET       0.580     99.59726
GET       0.590     99.62437
GET       0.600     99.64873
GET       0.610     99.67356
GET       0.620     99.69441
GET       0.630     99.71508
GET       0.640     99.74029
GET       0.650     99.76218
GET       0.660     99.78342
GET       0.670     99.80588
GET       0.680     99.82778
GET       0.690     99.84834
GET       0.700     99.86796
GET       0.710     99.88294
GET       0.720     99.89886
GET       0.730     99.91024
GET       0.740     99.92266
GET       0.750     99.93014
GET       0.760     99.94076
GET       0.770     99.94806
GET       0.780     99.95649
GET       0.790     99.96322
GET       0.800     99.96986
GET       0.810     99.97602
GET       0.820     99.98047
GET       0.830     99.98493
GET       0.840     99.98844
GET       0.850     99.99090
GET       0.860     99.99280
GET       0.870     99.99393
GET       0.880     99.99526
GET       0.890     99.99649
GET       0.900     99.99754
GET       0.910     99.99810
GET       0.920     99.99848
GET       0.930     99.99877
GET       0.940     99.99886
GET       0.950     99.99915
GET       0.960     99.99924
GET       0.970     99.99943
GET       0.980     99.99953
GET       0.990     99.99962
GET       1.000     99.99972
GET       1.100     99.99981
GET       2.000     99.99991
GET       2.600    100.00000
