[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       42724 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       85438 ops,   42708 (avg:   42717) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 10%,   3 secs]  2 threads:      128162 ops,   42718 (avg:   42717) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 13%,   4 secs]  2 threads:      170496 ops,   42328 (avg:   42620) ops/sec, 1.49MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 17%,   5 secs]  2 threads:      213848 ops,   43347 (avg:   42765) ops/sec, 1.52MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 20%,   6 secs]  2 threads:      257107 ops,   43254 (avg:   42847) ops/sec, 1.52MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 23%,   7 secs]  2 threads:      300259 ops,   43146 (avg:   42889) ops/sec, 1.51MB/sec (avg: 1.51MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 27%,   8 secs]  2 threads:      343326 ops,   43061 (avg:   42911) ops/sec, 1.51MB/sec (avg: 1.51MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 30%,   9 secs]  2 threads:      386303 ops,   42972 (avg:   42918) ops/sec, 1.51MB/sec (avg: 1.51MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  2 threads:      428954 ops,   42645 (avg:   42890) ops/sec, 1.50MB/sec (avg: 1.51MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  2 threads:      470687 ops,   41728 (avg:   42785) ops/sec, 1.46MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  2 threads:      512735 ops,   42043 (avg:   42723) ops/sec, 1.48MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  2 threads:      555047 ops,   42307 (avg:   42691) ops/sec, 1.48MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  2 threads:      597299 ops,   42247 (avg:   42659) ops/sec, 1.48MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 50%,  15 secs]  2 threads:      640157 ops,   42853 (avg:   42672) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 53%,  16 secs]  2 threads:      683306 ops,   43145 (avg:   42702) ops/sec, 1.51MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 57%,  17 secs]  2 threads:      726319 ops,   43008 (avg:   42720) ops/sec, 1.51MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 60%,  18 secs]  2 threads:      769174 ops,   42850 (avg:   42727) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 63%,  19 secs]  2 threads:      810827 ops,   41649 (avg:   42670) ops/sec, 1.46MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 67%,  20 secs]  2 threads:      853701 ops,   42869 (avg:   42680) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 70%,  21 secs]  2 threads:      896756 ops,   43049 (avg:   42698) ops/sec, 1.51MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 73%,  22 secs]  2 threads:      939194 ops,   42433 (avg:   42686) ops/sec, 1.49MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 77%,  23 secs]  2 threads:      982007 ops,   42807 (avg:   42691) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 80%,  24 secs]  2 threads:     1024863 ops,   42850 (avg:   42698) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 83%,  25 secs]  2 threads:     1067387 ops,   42518 (avg:   42691) ops/sec, 1.49MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 87%,  26 secs]  2 threads:     1110205 ops,   42812 (avg:   42695) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 90%,  27 secs]  2 threads:     1152934 ops,   42723 (avg:   42696) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 93%,  28 secs]  2 threads:     1195731 ops,   42791 (avg:   42700) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 97%,  29 secs]  2 threads:     1238592 ops,   42855 (avg:   42705) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 100%,  30 secs]  0 threads:     1281297 ops,   42855 (avg:   42709) ops/sec, 1.50MB/sec (avg: 1.50MB/sec),  0.14 (avg:  0.14) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3882.79          ---          ---      0.14100       174.01
Gets       38827.04     23292.93     15534.11      0.13700      1360.88
Totals     42709.83     23292.93     15534.11      0.13700      1534.89


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000    100.00000
---
GET       0.053      0.00017
GET       0.054      0.00052
GET       0.055      0.00129
GET       0.056      0.00266
GET       0.057      0.00352
GET       0.058      0.00464
GET       0.059      0.00721
GET       0.060      0.01142
GET       0.061      0.01674
GET       0.062      0.02533
GET       0.063      0.03597
GET       0.064      0.05366
GET       0.065      0.07641
GET       0.066      0.10199
GET       0.067      0.13659
GET       0.068      0.18218
GET       0.069      0.23248
GET       0.070      0.29258
GET       0.071      0.36255
GET       0.072      0.43853
GET       0.073      0.52017
GET       0.074      0.60593
GET       0.075      0.69943
GET       0.076      0.79360
GET       0.077      0.89654
GET       0.078      1.00969
GET       0.079      1.12276
GET       0.080      1.24793
GET       0.081      1.38932
GET       0.082      1.54574
GET       0.083      1.71075
GET       0.084      1.89395
GET       0.085      2.09604
GET       0.086      2.33720
GET       0.087      2.61827
GET       0.088      2.96305
GET       0.089      3.38097
GET       0.090      3.87899
GET       0.091      4.59670
GET       0.092      5.51428
GET       0.093      6.60604
GET       0.094      8.03193
GET       0.095      9.66241
GET       0.096     11.12857
GET       0.097     12.33717
GET       0.098     13.44044
GET       0.099     14.63050
GET       0.100     21.00595
GET       0.110     31.23119
GET       0.120     39.72217
GET       0.130     48.53174
GET       0.140     66.89426
GET       0.150     83.22735
GET       0.160     89.33975
GET       0.170     92.10809
GET       0.180     94.21109
GET       0.190     95.86337
GET       0.200     96.70728
GET       0.210     97.09413
GET       0.220     97.34378
GET       0.230     97.56828
GET       0.240     97.79166
GET       0.250     97.96826
GET       0.260     98.12519
GET       0.270     98.25843
GET       0.280     98.37442
GET       0.290     98.47048
GET       0.300     98.55522
GET       0.310     98.62733
GET       0.320     98.68897
GET       0.330     98.74254
GET       0.340     98.79758
GET       0.350     98.84376
GET       0.360     98.88806
GET       0.370     98.93889
GET       0.380     98.99143
GET       0.390     99.04294
GET       0.400     99.08775
GET       0.410     99.13093
GET       0.420     99.17274
GET       0.430     99.20871
GET       0.440     99.24263
GET       0.450     99.27430
GET       0.460     99.30779
GET       0.470     99.34178
GET       0.480     99.37647
GET       0.490     99.41192
GET       0.500     99.44326
GET       0.510     99.47871
GET       0.520     99.51417
GET       0.530     99.54825
GET       0.540     99.58337
GET       0.550     99.60869
GET       0.560     99.63222
GET       0.570     99.65531
GET       0.580     99.67514
GET       0.590     99.69695
GET       0.600     99.71592
GET       0.610     99.73627
GET       0.620     99.75773
GET       0.630     99.77842
GET       0.640     99.79962
GET       0.650     99.82186
GET       0.660     99.84109
GET       0.670     99.85714
GET       0.680     99.87311
GET       0.690     99.88668
GET       0.700     99.89913
GET       0.710     99.90865
GET       0.720     99.92016
GET       0.730     99.93012
GET       0.740     99.93879
GET       0.750     99.94686
GET       0.760     99.95407
GET       0.770     99.96111
GET       0.780     99.96892
GET       0.790     99.97605
GET       0.800     99.98214
GET       0.810     99.98661
GET       0.820     99.99099
GET       0.830     99.99382
GET       0.840     99.99519
GET       0.850     99.99674
GET       0.860     99.99760
GET       0.870     99.99785
GET       0.880     99.99828
GET       0.890     99.99863
GET       0.900     99.99871
GET       0.910     99.99880
GET       0.920     99.99897
GET       0.930     99.99906
GET       0.970     99.99914
GET       0.990     99.99923
GET       1.000     99.99940
GET       1.100     99.99966
GET       2.100     99.99974
GET       2.200     99.99983
GET      13.000    100.00000
