[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       38405 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       74341 ops,   35931 (avg:   37169) ops/sec, 7.64MB/sec (avg: 7.90MB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 10%,   3 secs]  2 threads:      107883 ops,   33538 (avg:   35959) ops/sec, 7.13MB/sec (avg: 7.64MB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 13%,   4 secs]  2 threads:      139637 ops,   31750 (avg:   34906) ops/sec, 6.74MB/sec (avg: 7.42MB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  2 threads:      169251 ops,   29610 (avg:   33847) ops/sec, 6.30MB/sec (avg: 7.19MB/sec),  0.20 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  2 threads:      196534 ops,   27280 (avg:   32752) ops/sec, 5.80MB/sec (avg: 6.96MB/sec),  0.22 (avg:  0.18) msec latency[RUN #1 23%,   7 secs]  2 threads:      221448 ops,   24911 (avg:   31632) ops/sec, 5.29MB/sec (avg: 6.72MB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 27%,   8 secs]  2 threads:      245088 ops,   23637 (avg:   30633) ops/sec, 5.02MB/sec (avg: 6.51MB/sec),  0.25 (avg:  0.19) msec latency[RUN #1 30%,   9 secs]  2 threads:      267628 ops,   22537 (avg:   29733) ops/sec, 4.79MB/sec (avg: 6.32MB/sec),  0.26 (avg:  0.20) msec latency[RUN #1 33%,  10 secs]  2 threads:      289170 ops,   21539 (avg:   28914) ops/sec, 4.58MB/sec (avg: 6.14MB/sec),  0.28 (avg:  0.20) msec latency[RUN #1 37%,  11 secs]  2 threads:      309709 ops,   20536 (avg:   28152) ops/sec, 4.36MB/sec (avg: 5.98MB/sec),  0.29 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  2 threads:      329789 ops,   20077 (avg:   27479) ops/sec, 4.26MB/sec (avg: 5.84MB/sec),  0.30 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  2 threads:      348969 ops,   19177 (avg:   26841) ops/sec, 4.08MB/sec (avg: 5.70MB/sec),  0.31 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  2 threads:      367387 ops,   18416 (avg:   26239) ops/sec, 3.91MB/sec (avg: 5.58MB/sec),  0.32 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  2 threads:      385031 ops,   17642 (avg:   25666) ops/sec, 3.75MB/sec (avg: 5.45MB/sec),  0.34 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  2 threads:      402231 ops,   17197 (avg:   25136) ops/sec, 3.65MB/sec (avg: 5.34MB/sec),  0.35 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  2 threads:      418842 ops,   16609 (avg:   24635) ops/sec, 3.53MB/sec (avg: 5.23MB/sec),  0.36 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  2 threads:      434880 ops,   16036 (avg:   24157) ops/sec, 3.41MB/sec (avg: 5.13MB/sec),  0.37 (avg:  0.25) msec latency[RUN #1 63%,  19 secs]  2 threads:      450438 ops,   15556 (avg:   23704) ops/sec, 3.31MB/sec (avg: 5.04MB/sec),  0.38 (avg:  0.25) msec latency[RUN #1 67%,  20 secs]  2 threads:      465591 ops,   15151 (avg:   23277) ops/sec, 3.22MB/sec (avg: 4.95MB/sec),  0.39 (avg:  0.25) msec latency[RUN #1 70%,  21 secs]  2 threads:      480506 ops,   14913 (avg:   22878) ops/sec, 3.17MB/sec (avg: 4.86MB/sec),  0.40 (avg:  0.26) msec latency[RUN #1 73%,  22 secs]  2 threads:      495219 ops,   14711 (avg:   22507) ops/sec, 3.12MB/sec (avg: 4.78MB/sec),  0.40 (avg:  0.26) msec latency[RUN #1 77%,  23 secs]  2 threads:      509473 ops,   14252 (avg:   22148) ops/sec, 3.03MB/sec (avg: 4.71MB/sec),  0.42 (avg:  0.27) msec latency[RUN #1 80%,  24 secs]  2 threads:      523398 ops,   13923 (avg:   21806) ops/sec, 2.96MB/sec (avg: 4.63MB/sec),  0.43 (avg:  0.27) msec latency[RUN #1 83%,  25 secs]  2 threads:      537032 ops,   13632 (avg:   21479) ops/sec, 2.90MB/sec (avg: 4.56MB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 87%,  26 secs]  2 threads:      550446 ops,   13412 (avg:   21168) ops/sec, 2.85MB/sec (avg: 4.50MB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 90%,  27 secs]  2 threads:      563673 ops,   13225 (avg:   20874) ops/sec, 2.81MB/sec (avg: 4.44MB/sec),  0.45 (avg:  0.28) msec latency[RUN #1 93%,  28 secs]  2 threads:      576651 ops,   12976 (avg:   20592) ops/sec, 2.76MB/sec (avg: 4.38MB/sec),  0.46 (avg:  0.29) msec latency[RUN #1 97%,  29 secs]  2 threads:      589396 ops,   12743 (avg:   20321) ops/sec, 2.71MB/sec (avg: 4.32MB/sec),  0.47 (avg:  0.29) msec latency[RUN #1 100%,  30 secs]  0 threads:      602594 ops,   12743 (avg:   20086) ops/sec, 2.71MB/sec (avg: 4.27MB/sec),  0.47 (avg:  0.30) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1826.16          ---          ---      0.34300      3730.59
Gets       18260.22      6746.01     11514.22      0.29000       640.02
Totals     20086.38      6746.01     11514.22      0.29500      4370.61


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.057      0.00018
GET       0.060      0.00055
GET       0.061      0.00091
GET       0.062      0.00164
GET       0.063      0.00201
GET       0.064      0.00329
GET       0.065      0.00383
GET       0.066      0.00584
GET       0.067      0.00712
GET       0.068      0.01041
GET       0.069      0.01497
GET       0.070      0.02026
GET       0.071      0.02738
GET       0.072      0.03651
GET       0.073      0.04454
GET       0.074      0.05604
GET       0.075      0.06517
GET       0.076      0.07977
GET       0.077      0.09529
GET       0.078      0.11300
GET       0.079      0.13216
GET       0.080      0.15589
GET       0.081      0.18109
GET       0.082      0.21029
GET       0.083      0.24571
GET       0.084      0.28459
GET       0.085      0.33132
GET       0.086      0.38042
GET       0.087      0.44231
GET       0.088      0.51240
GET       0.089      0.59145
GET       0.090      0.69459
GET       0.091      0.79991
GET       0.092      0.90743
GET       0.093      1.03412
GET       0.094      1.18016
GET       0.095      1.35047
GET       0.096      1.51476
GET       0.097      1.67942
GET       0.098      1.82618
GET       0.099      1.97788
GET       0.100      2.75717
GET       0.110      4.50193
GET       0.120      6.45353
GET       0.130      8.82716
GET       0.140     12.45142
GET       0.150     15.93950
GET       0.160     18.86442
GET       0.170     21.82932
GET       0.180     25.61824
GET       0.190     29.30419
GET       0.200     32.55405
GET       0.210     35.49175
GET       0.220     38.43329
GET       0.230     42.08365
GET       0.240     45.14438
GET       0.250     47.75515
GET       0.260     50.13737
GET       0.270     52.57234
GET       0.280     55.01315
GET       0.290     57.89354
GET       0.300     60.37944
GET       0.310     62.60229
GET       0.320     64.70230
GET       0.330     66.80942
GET       0.340     69.04487
GET       0.350     71.05761
GET       0.360     72.96886
GET       0.370     74.74740
GET       0.380     76.48286
GET       0.390     78.19076
GET       0.400     79.78511
GET       0.410     81.32488
GET       0.420     82.75603
GET       0.430     84.13078
GET       0.440     85.43288
GET       0.450     86.64535
GET       0.460     87.77658
GET       0.470     88.83972
GET       0.480     89.85358
GET       0.490     90.78255
GET       0.500     91.67593
GET       0.510     92.46307
GET       0.520     93.20511
GET       0.530     93.93347
GET       0.540     94.60122
GET       0.550     95.18117
GET       0.560     95.72406
GET       0.570     96.23391
GET       0.580     96.69629
GET       0.590     97.09388
GET       0.600     97.46463
GET       0.610     97.80726
GET       0.620     98.10591
GET       0.630     98.37042
GET       0.640     98.60243
GET       0.650     98.80451
GET       0.660     98.98487
GET       0.670     99.14039
GET       0.680     99.27931
GET       0.690     99.39523
GET       0.700     99.49983
GET       0.710     99.58836
GET       0.720     99.66229
GET       0.730     99.72801
GET       0.740     99.77638
GET       0.750     99.82056
GET       0.760     99.85287
GET       0.770     99.88007
GET       0.780     99.90416
GET       0.790     99.92242
GET       0.800     99.93866
GET       0.810     99.95163
GET       0.820     99.96039
GET       0.830     99.96878
GET       0.840     99.97572
GET       0.850     99.98065
GET       0.860     99.98394
GET       0.870     99.98594
GET       0.880     99.98832
GET       0.890     99.98978
GET       0.900     99.99051
GET       0.910     99.99233
GET       0.920     99.99306
GET       0.930     99.99325
GET       0.940     99.99398
GET       0.950     99.99471
GET       0.960     99.99525
GET       0.970     99.99562
GET       0.980     99.99580
GET       0.990     99.99598
GET       1.000     99.99671
GET       1.100     99.99763
GET       1.200     99.99945
GET       1.300     99.99982
GET       1.400    100.00000
