[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       10490 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       20880 ops,   10388 (avg:   10440) ops/sec, 15.13MB/sec (avg: 15.22MB/sec),  0.57 (avg:  0.57) msec latency[RUN #1 10%,   3 secs]  2 threads:       31267 ops,   10385 (avg:   10422) ops/sec, 15.10MB/sec (avg: 15.18MB/sec),  0.57 (avg:  0.57) msec latency[RUN #1 13%,   4 secs]  2 threads:       41535 ops,   10266 (avg:   10383) ops/sec, 14.97MB/sec (avg: 15.12MB/sec),  0.58 (avg:  0.57) msec latency[RUN #1 17%,   5 secs]  2 threads:       51685 ops,   10149 (avg:   10336) ops/sec, 14.76MB/sec (avg: 15.05MB/sec),  0.59 (avg:  0.58) msec latency[RUN #1 20%,   6 secs]  2 threads:       61275 ops,    9589 (avg:   10211) ops/sec, 13.94MB/sec (avg: 14.87MB/sec),  0.62 (avg:  0.58) msec latency[RUN #1 23%,   7 secs]  2 threads:       70689 ops,    9413 (avg:   10097) ops/sec, 13.72MB/sec (avg: 14.70MB/sec),  0.63 (avg:  0.59) msec latency[RUN #1 27%,   8 secs]  2 threads:       79748 ops,    9058 (avg:    9967) ops/sec, 13.21MB/sec (avg: 14.52MB/sec),  0.66 (avg:  0.60) msec latency[RUN #1 30%,   9 secs]  2 threads:       88018 ops,    8269 (avg:    9779) ops/sec, 12.02MB/sec (avg: 14.24MB/sec),  0.72 (avg:  0.61) msec latency[RUN #1 33%,  10 secs]  2 threads:       96102 ops,    8083 (avg:    9609) ops/sec, 11.75MB/sec (avg: 13.99MB/sec),  0.74 (avg:  0.62) msec latency[RUN #1 37%,  11 secs]  2 threads:      103797 ops,    7694 (avg:    9435) ops/sec, 11.19MB/sec (avg: 13.73MB/sec),  0.78 (avg:  0.63) msec latency[RUN #1 40%,  12 secs]  2 threads:      111429 ops,    7631 (avg:    9285) ops/sec, 11.11MB/sec (avg: 13.52MB/sec),  0.78 (avg:  0.64) msec latency[RUN #1 43%,  13 secs]  2 threads:      118928 ops,    7498 (avg:    9147) ops/sec, 10.90MB/sec (avg: 13.31MB/sec),  0.80 (avg:  0.65) msec latency[RUN #1 47%,  14 secs]  2 threads:      126088 ops,    7159 (avg:    9005) ops/sec, 10.44MB/sec (avg: 13.11MB/sec),  0.83 (avg:  0.66) msec latency[RUN #1 50%,  15 secs]  2 threads:      132865 ops,    6776 (avg:    8856) ops/sec, 9.84MB/sec (avg: 12.89MB/sec),  0.88 (avg:  0.67) msec latency[RUN #1 53%,  16 secs]  2 threads:      139515 ops,    6649 (avg:    8718) ops/sec, 9.68MB/sec (avg: 12.69MB/sec),  0.90 (avg:  0.68) msec latency[RUN #1 57%,  17 secs]  2 threads:      145813 ops,    6297 (avg:    8576) ops/sec, 9.19MB/sec (avg: 12.49MB/sec),  0.95 (avg:  0.70) msec latency[RUN #1 60%,  18 secs]  2 threads:      151665 ops,    5851 (avg:    8425) ops/sec, 8.52MB/sec (avg: 12.26MB/sec),  1.02 (avg:  0.71) msec latency[RUN #1 63%,  19 secs]  2 threads:      157666 ops,    6000 (avg:    8297) ops/sec, 8.71MB/sec (avg: 12.08MB/sec),  1.00 (avg:  0.72) msec latency[RUN #1 67%,  20 secs]  2 threads:      163306 ops,    5639 (avg:    8164) ops/sec, 8.24MB/sec (avg: 11.89MB/sec),  1.06 (avg:  0.73) msec latency[RUN #1 70%,  21 secs]  2 threads:      168876 ops,    5569 (avg:    8041) ops/sec, 8.07MB/sec (avg: 11.70MB/sec),  1.07 (avg:  0.74) msec latency[RUN #1 73%,  22 secs]  2 threads:      174310 ops,    5433 (avg:    7922) ops/sec, 7.94MB/sec (avg: 11.53MB/sec),  1.10 (avg:  0.75) msec latency[RUN #1 77%,  23 secs]  2 threads:      179513 ops,    5202 (avg:    7804) ops/sec, 7.54MB/sec (avg: 11.36MB/sec),  1.15 (avg:  0.76) msec latency[RUN #1 80%,  24 secs]  2 threads:      184426 ops,    4912 (avg:    7683) ops/sec, 7.17MB/sec (avg: 11.18MB/sec),  1.22 (avg:  0.78) msec latency[RUN #1 83%,  25 secs]  2 threads:      189293 ops,    4866 (avg:    7571) ops/sec, 7.09MB/sec (avg: 11.02MB/sec),  1.23 (avg:  0.79) msec latency[RUN #1 87%,  26 secs]  2 threads:      194061 ops,    4767 (avg:    7463) ops/sec, 6.93MB/sec (avg: 10.86MB/sec),  1.25 (avg:  0.80) msec latency[RUN #1 90%,  27 secs]  2 threads:      198833 ops,    4771 (avg:    7363) ops/sec, 6.93MB/sec (avg: 10.72MB/sec),  1.25 (avg:  0.81) msec latency[RUN #1 93%,  28 secs]  2 threads:      203475 ops,    4641 (avg:    7266) ops/sec, 6.77MB/sec (avg: 10.58MB/sec),  1.29 (avg:  0.82) msec latency[RUN #1 97%,  29 secs]  2 threads:      208035 ops,    4559 (avg:    7172) ops/sec, 6.61MB/sec (avg: 10.44MB/sec),  1.31 (avg:  0.83) msec latency[RUN #1 100%,  30 secs]  0 threads:      212427 ops,    4559 (avg:    7080) ops/sec, 6.61MB/sec (avg: 10.31MB/sec),  1.31 (avg:  0.84) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         643.83          ---          ---      1.09700     10328.83
Gets        6437.01      1047.36      5389.65      0.81700       225.62
Totals      7080.83      1047.36      5389.65      0.84200     10554.45


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     93.73026
SET       2.000     99.23376
SET       3.000     99.96376
SET       4.000    100.00000
---
GET       0.069      0.00104
GET       0.072      0.00207
GET       0.073      0.00259
GET       0.074      0.00311
GET       0.075      0.00362
GET       0.077      0.00414
GET       0.078      0.00518
GET       0.079      0.00621
GET       0.080      0.00725
GET       0.081      0.00777
GET       0.082      0.00932
GET       0.083      0.01087
GET       0.084      0.01191
GET       0.085      0.01346
GET       0.086      0.01450
GET       0.087      0.01864
GET       0.088      0.02330
GET       0.089      0.02486
GET       0.090      0.02900
GET       0.091      0.03211
GET       0.092      0.03677
GET       0.093      0.04298
GET       0.094      0.04919
GET       0.095      0.05489
GET       0.096      0.06369
GET       0.097      0.07094
GET       0.098      0.07819
GET       0.099      0.08337
GET       0.100      0.11444
GET       0.110      0.19108
GET       0.120      0.28015
GET       0.130      0.41220
GET       0.140      0.59033
GET       0.150      0.77882
GET       0.160      1.02169
GET       0.170      1.41110
GET       0.180      2.05011
GET       0.190      3.01172
GET       0.200      4.11367
GET       0.210      5.22702
GET       0.220      6.43461
GET       0.230      7.71677
GET       0.240      8.94403
GET       0.250     10.08689
GET       0.260     11.22975
GET       0.270     12.34827
GET       0.280     13.50304
GET       0.290     14.61742
GET       0.300     15.69245
GET       0.310     16.74469
GET       0.320     17.81143
GET       0.330     18.94755
GET       0.340     20.13547
GET       0.350     21.30991
GET       0.360     22.59207
GET       0.370     24.24655
GET       0.380     26.05845
GET       0.390     27.18164
GET       0.400     28.19918
GET       0.410     29.09244
GET       0.420     29.99296
GET       0.430     30.85981
GET       0.440     31.75515
GET       0.450     32.61423
GET       0.460     33.46866
GET       0.470     34.28787
GET       0.480     35.09259
GET       0.490     35.85898
GET       0.500     36.62486
GET       0.510     37.37054
GET       0.520     38.11674
GET       0.530     38.93803
GET       0.540     39.76656
GET       0.550     40.51224
GET       0.560     41.27915
GET       0.570     42.00257
GET       0.580     42.71407
GET       0.590     43.40952
GET       0.600     44.08530
GET       0.610     44.78489
GET       0.620     45.49484
GET       0.630     46.20013
GET       0.640     46.87798
GET       0.650     47.57913
GET       0.660     48.26940
GET       0.670     48.97106
GET       0.680     49.67273
GET       0.690     50.39355
GET       0.700     51.15166
GET       0.710     51.91702
GET       0.720     52.71293
GET       0.730     53.48192
GET       0.740     54.24935
GET       0.750     55.04060
GET       0.760     55.80440
GET       0.770     56.58789
GET       0.780     57.37085
GET       0.790     58.17039
GET       0.800     58.91555
GET       0.810     59.67055
GET       0.820     60.44109
GET       0.830     61.16140
GET       0.840     61.87187
GET       0.850     62.57146
GET       0.860     63.29591
GET       0.870     64.02554
GET       0.880     64.72410
GET       0.890     65.44233
GET       0.900     66.18594
GET       0.910     66.95803
GET       0.920     67.65452
GET       0.930     68.34583
GET       0.940     69.03403
GET       0.950     69.73363
GET       0.960     70.38299
GET       0.970     71.04944
GET       0.980     71.64806
GET       0.990     72.23839
GET       1.000     75.15794
GET       1.100     79.04066
GET       1.200     81.65210
GET       1.300     83.90778
GET       1.400     86.35714
GET       1.500     88.94165
GET       1.600     91.23928
GET       1.700     92.92069
GET       1.800     94.01850
GET       1.900     94.79939
GET       2.000     95.52436
GET       2.100     96.28868
GET       2.200     97.07061
GET       2.300     97.74949
GET       2.400     98.23833
GET       2.500     98.53556
GET       2.600     98.76652
GET       2.700     98.94983
GET       2.800     99.14557
GET       2.900     99.35012
GET       3.000     99.50340
GET       3.100     99.61680
GET       3.200     99.69914
GET       3.300     99.75040
GET       3.400     99.79338
GET       3.500     99.83792
GET       3.600     99.88401
GET       3.700     99.91197
GET       3.800     99.93838
GET       3.900     99.95443
GET       4.000     99.96427
GET       4.100     99.97048
GET       4.200     99.97877
GET       4.300     99.98757
GET       4.400     99.99223
GET       4.500     99.99534
GET       4.600     99.99741
GET       4.700     99.99845
GET       5.000     99.99948
GET       5.100    100.00000
