[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        5356 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       10810 ops,    5453 (avg:    5406) ops/sec, 15.66MB/sec (avg: 15.58MB/sec),  1.09 (avg:  1.10) msec latency[RUN #1 10%,   2 secs]  2 threads:       16247 ops,    5436 (avg:    5416) ops/sec, 15.63MB/sec (avg: 15.60MB/sec),  1.10 (avg:  1.10) msec latency[RUN #1 13%,   3 secs]  2 threads:       21700 ops,    5452 (avg:    5425) ops/sec, 15.72MB/sec (avg: 15.63MB/sec),  1.09 (avg:  1.10) msec latency[RUN #1 17%,   4 secs]  2 threads:       27162 ops,    5461 (avg:    5432) ops/sec, 15.69MB/sec (avg: 15.64MB/sec),  1.09 (avg:  1.10) msec latency[RUN #1 20%,   6 secs]  2 threads:       32557 ops,    5394 (avg:    5426) ops/sec, 15.50MB/sec (avg: 15.62MB/sec),  1.11 (avg:  1.10) msec latency[RUN #1 23%,   7 secs]  2 threads:       37822 ops,    5264 (avg:    5403) ops/sec, 15.15MB/sec (avg: 15.55MB/sec),  1.13 (avg:  1.10) msec latency[RUN #1 27%,   8 secs]  2 threads:       43047 ops,    5224 (avg:    5380) ops/sec, 15.09MB/sec (avg: 15.49MB/sec),  1.14 (avg:  1.11) msec latency[RUN #1 30%,   9 secs]  2 threads:       48179 ops,    5131 (avg:    5353) ops/sec, 14.68MB/sec (avg: 15.40MB/sec),  1.16 (avg:  1.12) msec latency[RUN #1 33%,  10 secs]  2 threads:       53082 ops,    4902 (avg:    5307) ops/sec, 14.14MB/sec (avg: 15.28MB/sec),  1.22 (avg:  1.12) msec latency[RUN #1 37%,  11 secs]  2 threads:       57518 ops,    4435 (avg:    5228) ops/sec, 12.75MB/sec (avg: 15.05MB/sec),  1.35 (avg:  1.14) msec latency[RUN #1 40%,  12 secs]  2 threads:       61704 ops,    4185 (avg:    5141) ops/sec, 12.02MB/sec (avg: 14.79MB/sec),  1.43 (avg:  1.16) msec latency[RUN #1 43%,  13 secs]  2 threads:       66008 ops,    4303 (avg:    5077) ops/sec, 12.37MB/sec (avg: 14.61MB/sec),  1.39 (avg:  1.18) msec latency[RUN #1 47%,  14 secs]  2 threads:       70031 ops,    4022 (avg:    5001) ops/sec, 11.55MB/sec (avg: 14.39MB/sec),  1.49 (avg:  1.19) msec latency[RUN #1 50%,  15 secs]  2 threads:       73880 ops,    3848 (avg:    4924) ops/sec, 11.10MB/sec (avg: 14.17MB/sec),  1.55 (avg:  1.21) msec latency[RUN #1 53%,  16 secs]  2 threads:       77489 ops,    3608 (avg:    4842) ops/sec, 10.37MB/sec (avg: 13.93MB/sec),  1.66 (avg:  1.23) msec latency[RUN #1 57%,  17 secs]  2 threads:       80749 ops,    3259 (avg:    4749) ops/sec, 9.36MB/sec (avg: 13.66MB/sec),  1.83 (avg:  1.26) msec latency[RUN #1 60%,  18 secs]  2 threads:       83969 ops,    3219 (avg:    4664) ops/sec, 9.27MB/sec (avg: 13.42MB/sec),  1.86 (avg:  1.28) msec latency[RUN #1 63%,  19 secs]  2 threads:       86973 ops,    3003 (avg:    4577) ops/sec, 8.60MB/sec (avg: 13.17MB/sec),  1.99 (avg:  1.31) msec latency[RUN #1 67%,  20 secs]  2 threads:       89867 ops,    2893 (avg:    4492) ops/sec, 8.38MB/sec (avg: 12.93MB/sec),  2.07 (avg:  1.33) msec latency[RUN #1 70%,  21 secs]  2 threads:       92761 ops,    2893 (avg:    4416) ops/sec, 8.35MB/sec (avg: 12.71MB/sec),  2.07 (avg:  1.35) msec latency[RUN #1 73%,  22 secs]  2 threads:       95429 ops,    2667 (avg:    4337) ops/sec, 7.59MB/sec (avg: 12.48MB/sec),  2.24 (avg:  1.38) msec latency[RUN #1 77%,  23 secs]  2 threads:       98048 ops,    2618 (avg:    4262) ops/sec, 7.56MB/sec (avg: 12.26MB/sec),  2.29 (avg:  1.40) msec latency[RUN #1 80%,  24 secs]  2 threads:      100621 ops,    2572 (avg:    4192) ops/sec, 7.43MB/sec (avg: 12.06MB/sec),  2.33 (avg:  1.43) msec latency[RUN #1 83%,  25 secs]  2 threads:      103241 ops,    2619 (avg:    4129) ops/sec, 7.50MB/sec (avg: 11.88MB/sec),  2.28 (avg:  1.45) msec latency[RUN #1 87%,  26 secs]  2 threads:      105793 ops,    2551 (avg:    4068) ops/sec, 7.34MB/sec (avg: 11.70MB/sec),  2.34 (avg:  1.47) msec latency[RUN #1 90%,  27 secs]  2 threads:      108232 ops,    2438 (avg:    4008) ops/sec, 7.02MB/sec (avg: 11.53MB/sec),  2.45 (avg:  1.49) msec latency[RUN #1 93%,  28 secs]  2 threads:      110625 ops,    2392 (avg:    3950) ops/sec, 6.90MB/sec (avg: 11.36MB/sec),  2.50 (avg:  1.51) msec latency[RUN #1 97%,  29 secs]  2 threads:      112889 ops,    2263 (avg:    3892) ops/sec, 6.52MB/sec (avg: 11.20MB/sec),  2.64 (avg:  1.54) msec latency[RUN #1 100%,  30 secs]  0 threads:      115436 ops,    2263 (avg:    3847) ops/sec, 6.52MB/sec (avg: 11.07MB/sec),  2.64 (avg:  1.55) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         349.90          ---          ---      2.22800     11211.69
Gets        3497.93       375.60      3122.34      1.48600       122.60
Totals      3847.83       375.60      3122.34      1.55300     11334.29


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     50.36677
SET       2.000     80.12766
SET       3.000     92.95989
SET       4.000     97.78984
SET       5.000     99.15214
SET       6.000     99.75231
SET       7.000     99.95237
SET       8.000    100.00000
---
GET       0.067      0.00095
GET       0.068      0.00191
GET       0.069      0.00286
GET       0.071      0.00381
GET       0.076      0.00667
GET       0.078      0.00953
GET       0.079      0.01048
GET       0.080      0.01144
GET       0.082      0.01525
GET       0.083      0.02001
GET       0.084      0.02096
GET       0.085      0.02382
GET       0.086      0.02859
GET       0.087      0.03049
GET       0.088      0.03431
GET       0.089      0.03812
GET       0.090      0.04479
GET       0.091      0.04765
GET       0.092      0.05527
GET       0.093      0.05908
GET       0.094      0.06480
GET       0.095      0.07909
GET       0.096      0.08386
GET       0.097      0.09339
GET       0.098      0.10196
GET       0.099      0.11149
GET       0.100      0.15342
GET       0.110      0.23633
GET       0.120      0.34592
GET       0.130      0.46599
GET       0.140      0.61274
GET       0.150      0.75949
GET       0.160      0.91386
GET       0.170      1.06252
GET       0.180      1.27693
GET       0.190      1.55805
GET       0.200      1.85727
GET       0.210      2.18794
GET       0.220      2.53195
GET       0.230      2.95505
GET       0.240      3.38101
GET       0.250      3.77839
GET       0.260      4.21006
GET       0.270      4.66461
GET       0.280      5.13918
GET       0.290      5.56037
GET       0.300      6.06924
GET       0.310      6.63433
GET       0.320      7.14510
GET       0.330      7.66350
GET       0.340      8.22383
GET       0.350      8.80988
GET       0.360      9.38831
GET       0.370     10.09253
GET       0.380     10.77769
GET       0.390     11.40281
GET       0.400     11.93741
GET       0.410     12.46629
GET       0.420     13.02471
GET       0.430     13.54596
GET       0.440     14.09200
GET       0.450     14.62373
GET       0.460     15.18311
GET       0.470     15.67577
GET       0.480     16.20084
GET       0.490     16.70685
GET       0.500     17.17665
GET       0.510     17.69504
GET       0.520     18.22678
GET       0.530     18.76519
GET       0.540     19.29216
GET       0.550     19.79531
GET       0.560     20.26511
GET       0.570     20.79303
GET       0.580     21.31238
GET       0.590     21.78980
GET       0.600     22.30629
GET       0.610     22.83041
GET       0.620     23.29925
GET       0.630     23.80240
GET       0.640     24.30745
GET       0.650     24.79440
GET       0.660     25.26420
GET       0.670     25.73019
GET       0.680     26.22476
GET       0.690     26.67931
GET       0.700     27.09193
GET       0.710     27.54553
GET       0.720     28.02104
GET       0.730     28.47845
GET       0.740     28.93586
GET       0.750     29.35134
GET       0.760     29.81160
GET       0.770     30.25377
GET       0.780     30.70736
GET       0.790     31.13142
GET       0.800     31.56691
GET       0.810     32.04052
GET       0.820     32.47029
GET       0.830     32.90197
GET       0.840     33.33746
GET       0.850     33.78725
GET       0.860     34.24180
GET       0.870     34.65061
GET       0.880     35.09849
GET       0.890     35.53112
GET       0.900     35.94564
GET       0.910     36.39543
GET       0.920     36.82330
GET       0.930     37.25307
GET       0.940     37.66760
GET       0.950     38.08212
GET       0.960     38.49951
GET       0.970     38.91880
GET       0.980     39.34000
GET       0.990     39.72594
GET       1.000     41.94056
GET       1.100     45.96956
GET       1.200     50.08243
GET       1.300     53.94658
GET       1.400     57.95653
GET       1.500     62.10942
GET       1.600     66.13652
GET       1.700     70.12360
GET       1.800     73.65898
GET       1.900     76.52827
GET       2.000     78.68285
GET       2.100     80.38479
GET       2.200     81.76179
GET       2.300     82.83670
GET       2.400     83.85443
GET       2.500     84.73780
GET       2.600     85.77173
GET       2.700     86.78566
GET       2.800     87.93585
GET       2.900     89.09652
GET       3.000     90.32295
GET       3.100     91.53127
GET       3.200     92.57855
GET       3.300     93.44953
GET       3.400     94.06989
GET       3.500     94.54064
GET       3.600     94.90466
GET       3.700     95.18101
GET       3.800     95.45736
GET       3.900     95.72704
GET       4.000     96.01197
GET       4.100     96.36170
GET       4.200     96.73334
GET       4.300     97.10594
GET       4.400     97.47377
GET       4.500     97.81683
GET       4.600     98.11033
GET       4.700     98.34952
GET       4.800     98.53915
GET       4.900     98.68209
GET       5.000     98.78787
GET       5.100     98.85648
GET       5.200     98.93938
GET       5.300     99.02705
GET       5.400     99.10234
GET       5.500     99.18715
GET       5.600     99.28530
GET       5.700     99.37583
GET       5.800     99.46159
GET       5.900     99.54354
GET       6.000     99.61216
GET       6.100     99.65980
GET       6.200     99.71031
GET       6.300     99.74271
GET       6.400     99.76748
GET       6.500     99.79226
GET       6.600     99.80751
GET       6.700     99.83228
GET       6.800     99.85230
GET       6.900     99.87135
GET       7.000     99.89232
GET       7.100     99.90947
GET       7.200     99.91995
GET       7.300     99.93711
GET       7.400     99.94664
GET       7.500     99.95617
GET       7.600     99.96284
GET       7.700     99.96855
GET       7.800     99.97332
GET       7.900     99.97427
GET       8.000     99.97808
GET       8.100     99.98285
GET       8.200     99.98475
GET       8.300     99.98666
GET       8.400     99.98761
GET       8.500     99.98952
GET       8.600     99.99428
GET       8.700     99.99524
GET       8.800     99.99714
GET       8.900     99.99809
GET       9.200     99.99905
GET       9.400    100.00000
