[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        2746 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        5562 ops,    2815 (avg:    2781) ops/sec, 16.10MB/sec (avg: 15.97MB/sec),  2.12 (avg:  2.15) msec latency[RUN #1 10%,   3 secs]  2 threads:        8373 ops,    2810 (avg:    2790) ops/sec, 16.03MB/sec (avg: 15.99MB/sec),  2.13 (avg:  2.14) msec latency[RUN #1 13%,   4 secs]  2 threads:       11191 ops,    2817 (avg:    2797) ops/sec, 16.16MB/sec (avg: 16.03MB/sec),  2.12 (avg:  2.14) msec latency[RUN #1 17%,   5 secs]  2 threads:       14032 ops,    2840 (avg:    2806) ops/sec, 16.22MB/sec (avg: 16.07MB/sec),  2.11 (avg:  2.13) msec latency[RUN #1 20%,   6 secs]  2 threads:       16867 ops,    2834 (avg:    2810) ops/sec, 16.22MB/sec (avg: 16.10MB/sec),  2.11 (avg:  2.13) msec latency[RUN #1 23%,   7 secs]  2 threads:       19684 ops,    2816 (avg:    2811) ops/sec, 16.10MB/sec (avg: 16.10MB/sec),  2.12 (avg:  2.13) msec latency[RUN #1 27%,   8 secs]  2 threads:       22524 ops,    2839 (avg:    2815) ops/sec, 16.22MB/sec (avg: 16.11MB/sec),  2.11 (avg:  2.12) msec latency[RUN #1 30%,   9 secs]  2 threads:       25375 ops,    2850 (avg:    2819) ops/sec, 16.28MB/sec (avg: 16.13MB/sec),  2.10 (avg:  2.12) msec latency[RUN #1 33%,  10 secs]  2 threads:       28199 ops,    2823 (avg:    2819) ops/sec, 16.22MB/sec (avg: 16.14MB/sec),  2.12 (avg:  2.12) msec latency[RUN #1 37%,  11 secs]  2 threads:       31015 ops,    2815 (avg:    2819) ops/sec, 15.97MB/sec (avg: 16.13MB/sec),  2.12 (avg:  2.12) msec latency[RUN #1 40%,  12 secs]  2 threads:       33815 ops,    2799 (avg:    2817) ops/sec, 16.03MB/sec (avg: 16.12MB/sec),  2.14 (avg:  2.12) msec latency[RUN #1 43%,  13 secs]  2 threads:       36606 ops,    2790 (avg:    2815) ops/sec, 15.97MB/sec (avg: 16.11MB/sec),  2.14 (avg:  2.12) msec latency[RUN #1 47%,  14 secs]  2 threads:       39420 ops,    2813 (avg:    2815) ops/sec, 16.10MB/sec (avg: 16.11MB/sec),  2.12 (avg:  2.12) msec latency[RUN #1 50%,  15 secs]  2 threads:       42220 ops,    2799 (avg:    2814) ops/sec, 16.03MB/sec (avg: 16.10MB/sec),  2.13 (avg:  2.12) msec latency[RUN #1 53%,  16 secs]  2 threads:       44901 ops,    2680 (avg:    2805) ops/sec, 15.22MB/sec (avg: 16.05MB/sec),  2.23 (avg:  2.13) msec latency[RUN #1 57%,  17 secs]  2 threads:       47637 ops,    2735 (avg:    2801) ops/sec, 15.72MB/sec (avg: 16.03MB/sec),  2.19 (avg:  2.13) msec latency[RUN #1 60%,  18 secs]  2 threads:       50345 ops,    2707 (avg:    2796) ops/sec, 15.47MB/sec (avg: 16.00MB/sec),  2.21 (avg:  2.14) msec latency[RUN #1 63%,  19 secs]  2 threads:       53032 ops,    2686 (avg:    2790) ops/sec, 15.47MB/sec (avg: 15.97MB/sec),  2.23 (avg:  2.14) msec latency[RUN #1 67%,  20 secs]  2 threads:       55464 ops,    2431 (avg:    2772) ops/sec, 13.71MB/sec (avg: 15.85MB/sec),  2.46 (avg:  2.16) msec latency[RUN #1 70%,  21 secs]  2 threads:       57855 ops,    2390 (avg:    2754) ops/sec, 13.77MB/sec (avg: 15.76MB/sec),  2.50 (avg:  2.17) msec latency[RUN #1 73%,  22 secs]  2 threads:       60130 ops,    2274 (avg:    2732) ops/sec, 13.08MB/sec (avg: 15.63MB/sec),  2.63 (avg:  2.19) msec latency[RUN #1 77%,  23 secs]  2 threads:       62376 ops,    2245 (avg:    2711) ops/sec, 12.70MB/sec (avg: 15.51MB/sec),  2.66 (avg:  2.20) msec latency[RUN #1 80%,  24 secs]  2 threads:       64721 ops,    2344 (avg:    2696) ops/sec, 13.46MB/sec (avg: 15.42MB/sec),  2.56 (avg:  2.22) msec latency[RUN #1 83%,  25 secs]  2 threads:       67058 ops,    2336 (avg:    2681) ops/sec, 13.33MB/sec (avg: 15.34MB/sec),  2.56 (avg:  2.23) msec latency[RUN #1 87%,  26 secs]  2 threads:       69220 ops,    2161 (avg:    2661) ops/sec, 12.39MB/sec (avg: 15.22MB/sec),  2.76 (avg:  2.25) msec latency[RUN #1 90%,  27 secs]  2 threads:       71465 ops,    2244 (avg:    2646) ops/sec, 12.83MB/sec (avg: 15.13MB/sec),  2.67 (avg:  2.26) msec latency[RUN #1 93%,  28 secs]  2 threads:       73643 ops,    2177 (avg:    2629) ops/sec, 12.51MB/sec (avg: 15.04MB/sec),  2.75 (avg:  2.27) msec latency[RUN #1 97%,  29 secs]  2 threads:       75732 ops,    2088 (avg:    2611) ops/sec, 11.95MB/sec (avg: 14.93MB/sec),  2.86 (avg:  2.29) msec latency[RUN #1 100%,  30 secs]  0 threads:       78034 ops,    2088 (avg:    2601) ops/sec, 11.95MB/sec (avg: 14.88MB/sec),  2.86 (avg:  2.30) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         236.60          ---          ---      4.58200     15152.35
Gets        2364.50       155.63      2208.87      2.07000        82.87
Totals      2601.10       155.63      2208.87      2.29900     15235.22


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      6.36799
SET       2.000     20.45647
SET       3.000     41.94139
SET       4.000     64.35616
SET       5.000     80.40293
SET       6.000     90.06762
SET       7.000     94.75909
SET       8.000     97.04142
SET       9.000     98.37983
SET      10.000     99.12651
SET      11.000     99.54917
SET      12.000     99.76050
SET      13.000     99.81685
SET      14.000     99.85912
SET      15.000     99.94365
SET      16.000     99.98591
SET      17.000    100.00000
---
GET       0.080      0.00141
GET       0.084      0.00282
GET       0.092      0.00423
GET       0.098      0.00564
GET       0.100      0.00846
GET       0.110      0.01833
GET       0.120      0.02678
GET       0.130      0.03806
GET       0.140      0.04652
GET       0.150      0.06767
GET       0.160      0.08599
GET       0.170      0.11842
GET       0.180      0.20582
GET       0.190      0.33551
GET       0.200      0.47367
GET       0.210      0.60195
GET       0.220      0.73728
GET       0.230      0.92478
GET       0.240      1.11650
GET       0.250      1.29694
GET       0.260      1.44637
GET       0.270      1.60285
GET       0.280      1.81995
GET       0.290      2.00603
GET       0.300      2.22595
GET       0.310      2.45855
GET       0.320      2.68975
GET       0.330      2.92799
GET       0.340      3.18738
GET       0.350      3.45805
GET       0.360      3.71744
GET       0.370      4.05718
GET       0.380      4.43780
GET       0.390      4.68873
GET       0.400      4.96645
GET       0.410      5.19482
GET       0.420      5.44012
GET       0.430      5.68964
GET       0.440      5.93352
GET       0.450      6.19432
GET       0.460      6.42833
GET       0.470      6.66798
GET       0.480      6.91609
GET       0.490      7.16702
GET       0.500      7.45320
GET       0.510      7.70131
GET       0.520      7.93673
GET       0.530      8.21586
GET       0.540      8.44564
GET       0.550      8.67684
GET       0.560      8.94186
GET       0.570      9.20125
GET       0.580      9.43104
GET       0.590      9.66646
GET       0.600      9.90752
GET       0.610     10.19652
GET       0.620     10.46154
GET       0.630     10.70261
GET       0.640     10.93944
GET       0.650     11.19460
GET       0.660     11.45117
GET       0.670     11.70492
GET       0.680     11.95444
GET       0.690     12.22088
GET       0.700     12.46899
GET       0.710     12.67762
GET       0.720     12.95534
GET       0.730     13.24151
GET       0.740     13.50372
GET       0.750     13.72505
GET       0.760     13.98726
GET       0.770     14.24101
GET       0.780     14.51308
GET       0.790     14.78375
GET       0.800     15.06710
GET       0.810     15.32226
GET       0.820     15.57460
GET       0.830     15.82271
GET       0.840     16.03699
GET       0.850     16.28510
GET       0.860     16.56423
GET       0.870     16.83912
GET       0.880     17.10838
GET       0.890     17.35649
GET       0.900     17.60178
GET       0.910     17.91474
GET       0.920     18.18964
GET       0.930     18.46171
GET       0.940     18.70982
GET       0.950     19.02983
GET       0.960     19.30895
GET       0.970     19.56975
GET       0.980     19.86298
GET       0.990     20.16888
GET       1.000     21.86619
GET       1.100     24.99577
GET       1.200     28.24518
GET       1.300     31.60032
GET       1.400     35.06541
GET       1.500     38.59535
GET       1.600     42.08864
GET       1.700     45.69612
GET       1.800     49.36563
GET       1.900     52.83918
GET       2.000     56.19009
GET       2.100     59.41130
GET       2.200     62.58035
GET       2.300     65.58870
GET       2.400     68.41801
GET       2.500     71.10353
GET       2.600     73.63821
GET       2.700     75.97271
GET       2.800     78.26210
GET       2.900     80.50214
GET       3.000     82.58853
GET       3.100     84.52267
GET       3.200     86.31865
GET       3.300     87.86512
GET       3.400     89.30021
GET       3.500     90.45055
GET       3.600     91.40775
GET       3.700     92.21411
GET       3.800     92.83721
GET       3.900     93.33061
GET       4.000     93.79441
GET       4.100     94.17644
GET       4.200     94.51618
GET       4.300     94.88553
GET       4.400     95.12941
GET       4.500     95.36766
GET       4.600     95.57911
GET       4.700     95.71586
GET       4.800     95.90194
GET       4.900     96.09366
GET       5.000     96.28538
GET       5.100     96.47006
GET       5.200     96.68011
GET       5.300     96.86055
GET       5.400     97.05509
GET       5.500     97.25668
GET       5.600     97.42867
GET       5.700     97.62462
GET       5.800     97.81634
GET       5.900     98.00806
GET       6.000     98.15186
GET       6.100     98.33089
GET       6.200     98.49583
GET       6.300     98.63539
GET       6.400     98.76085
GET       6.500     98.86376
GET       6.600     98.94835
GET       6.700     99.00051
GET       6.800     99.05972
GET       6.900     99.11188
GET       7.000     99.16967
GET       7.100     99.20351
GET       7.200     99.24721
GET       7.300     99.27963
GET       7.400     99.30360
GET       7.500     99.33743
GET       7.600     99.35999
GET       7.700     99.39523
GET       7.800     99.43329
GET       7.900     99.47276
GET       8.000     99.50519
GET       8.100     99.54748
GET       8.200     99.57144
GET       8.300     99.60810
GET       8.400     99.63206
GET       8.500     99.66026
GET       8.600     99.69409
GET       8.700     99.72510
GET       8.800     99.75330
GET       8.900     99.77726
GET       9.000     99.79418
GET       9.100     99.81110
GET       9.200     99.82801
GET       9.300     99.83506
GET       9.400     99.85057
GET       9.500     99.86044
GET       9.600     99.87313
GET       9.700     99.88017
GET       9.800     99.88863
GET       9.900     99.89568
GET      10.000     99.94220
GET      11.000     99.97322
GET      12.000     99.98872
GET      13.000     99.99577
GET      14.000    100.00000
