[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 2%,   0 secs]  2 threads:         783 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 5%,   1 secs]  2 threads:        2254 ops,       0 (avg:    1504) ops/sec, 0.00KB/sec (avg: 17.32MB/sec),  0.00 (avg:  3.96) msec latency[RUN #1 8%,   2 secs]  2 threads:        3666 ops,    1411 (avg:    1467) ops/sec, 16.30MB/sec (avg: 16.91MB/sec),  4.25 (avg:  4.07) msec latency[RUN #1 12%,   3 secs]  2 threads:        5106 ops,    1439 (avg:    1459) ops/sec, 16.17MB/sec (avg: 16.70MB/sec),  4.15 (avg:  4.09) msec latency[RUN #1 15%,   4 secs]  2 threads:        6538 ops,    1431 (avg:    1453) ops/sec, 16.42MB/sec (avg: 16.64MB/sec),  4.19 (avg:  4.12) msec latency[RUN #1 18%,   5 secs]  2 threads:        7984 ops,    1445 (avg:    1451) ops/sec, 16.17MB/sec (avg: 16.55MB/sec),  4.10 (avg:  4.11) msec latency[RUN #1 22%,   6 secs]  2 threads:        9376 ops,    1391 (avg:    1442) ops/sec, 16.17MB/sec (avg: 16.50MB/sec),  4.33 (avg:  4.15) msec latency[RUN #1 25%,   7 secs]  2 threads:       10839 ops,    1462 (avg:    1445) ops/sec, 16.55MB/sec (avg: 16.50MB/sec),  4.09 (avg:  4.14) msec latency[RUN #1 28%,   8 secs]  2 threads:       12273 ops,    1433 (avg:    1444) ops/sec, 16.42MB/sec (avg: 16.49MB/sec),  4.18 (avg:  4.14) msec latency[RUN #1 32%,   9 secs]  2 threads:       13715 ops,    1441 (avg:    1443) ops/sec, 16.67MB/sec (avg: 16.51MB/sec),  4.15 (avg:  4.14) msec latency[RUN #1 35%,  10 secs]  2 threads:       15068 ops,    1352 (avg:    1435) ops/sec, 15.05MB/sec (avg: 16.37MB/sec),  4.42 (avg:  4.17) msec latency[RUN #1 38%,  11 secs]  2 threads:       16461 ops,    1392 (avg:    1431) ops/sec, 15.92MB/sec (avg: 16.33MB/sec),  4.29 (avg:  4.18) msec latency[RUN #1 42%,  12 secs]  2 threads:       17881 ops,    1419 (avg:    1430) ops/sec, 16.30MB/sec (avg: 16.33MB/sec),  4.22 (avg:  4.18) msec latency[RUN #1 45%,  13 secs]  2 threads:       19301 ops,    1419 (avg:    1429) ops/sec, 16.30MB/sec (avg: 16.33MB/sec),  4.22 (avg:  4.19) msec latency[RUN #1 48%,  14 secs]  2 threads:       20708 ops,    1406 (avg:    1428) ops/sec, 15.67MB/sec (avg: 16.28MB/sec),  4.22 (avg:  4.19) msec latency[RUN #1 52%,  15 secs]  2 threads:       22110 ops,    1401 (avg:    1426) ops/sec, 16.30MB/sec (avg: 16.28MB/sec),  4.30 (avg:  4.19) msec latency[RUN #1 55%,  16 secs]  2 threads:       23552 ops,    1441 (avg:    1427) ops/sec, 16.17MB/sec (avg: 16.28MB/sec),  4.13 (avg:  4.19) msec latency[RUN #1 58%,  17 secs]  2 threads:       24953 ops,    1400 (avg:    1425) ops/sec, 16.17MB/sec (avg: 16.27MB/sec),  4.28 (avg:  4.20) msec latency[RUN #1 62%,  18 secs]  2 threads:       26349 ops,    1395 (avg:    1424) ops/sec, 15.80MB/sec (avg: 16.25MB/sec),  4.29 (avg:  4.20) msec latency[RUN #1 65%,  19 secs]  2 threads:       27694 ops,    1344 (avg:    1420) ops/sec, 15.17MB/sec (avg: 16.19MB/sec),  4.30 (avg:  4.21) msec latency[RUN #1 68%,  20 secs]  2 threads:       29096 ops,    1401 (avg:    1419) ops/sec, 16.17MB/sec (avg: 16.19MB/sec),  4.41 (avg:  4.22) msec latency[RUN #1 72%,  21 secs]  2 threads:       30512 ops,    1415 (avg:    1419) ops/sec, 16.17MB/sec (avg: 16.19MB/sec),  4.23 (avg:  4.22) msec latency[RUN #1 75%,  22 secs]  2 threads:       31919 ops,    1406 (avg:    1418) ops/sec, 15.80MB/sec (avg: 16.17MB/sec),  4.25 (avg:  4.22) msec latency[RUN #1 78%,  23 secs]  2 threads:       33317 ops,    1397 (avg:    1417) ops/sec, 16.17MB/sec (avg: 16.17MB/sec),  4.29 (avg:  4.22) msec latency[RUN #1 82%,  24 secs]  2 threads:       34702 ops,    1384 (avg:    1416) ops/sec, 15.80MB/sec (avg: 16.16MB/sec),  4.31 (avg:  4.22) msec latency[RUN #1 85%,  25 secs]  2 threads:       36065 ops,    1362 (avg:    1414) ops/sec, 15.30MB/sec (avg: 16.12MB/sec),  4.38 (avg:  4.23) msec latency[RUN #1 88%,  26 secs]  2 threads:       37378 ops,    1312 (avg:    1410) ops/sec, 15.04MB/sec (avg: 16.08MB/sec),  4.54 (avg:  4.24) msec latency[RUN #1 92%,  27 secs]  2 threads:       38757 ops,    1378 (avg:    1409) ops/sec, 15.67MB/sec (avg: 16.07MB/sec),  4.37 (avg:  4.25) msec latency[RUN #1 95%,  28 secs]  2 threads:       40142 ops,    1384 (avg:    1408) ops/sec, 15.92MB/sec (avg: 16.06MB/sec),  4.32 (avg:  4.25) msec latency[RUN #1 98%,  29 secs]  2 threads:       41588 ops,    1445 (avg:    1409) ops/sec, 16.67MB/sec (avg: 16.08MB/sec),  4.15 (avg:  4.25) msec latency[RUN #1 100%,  30 secs]  0 threads:       47305 ops,    1445 (avg:    1576) ops/sec, 16.67MB/sec (avg: 17.99MB/sec),  4.15 (avg:  3.79) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         143.46          ---          ---     14.63000     18369.66
Gets        1433.35        50.60      1382.75      2.70900        50.23
Totals      1576.81        50.60      1382.75      3.79400     18419.89


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      7.13290
SET       2.000     11.47770
SET       3.000     12.05855
SET       4.000     12.15149
SET       5.000     12.26766
SET       6.000     12.54647
SET       7.000     12.91822
SET       8.000     13.98699
SET       9.000     16.21747
SET      10.000     20.32993
SET      11.000     25.72026
SET      12.000     32.57435
SET      13.000     40.79926
SET      14.000     50.83643
SET      15.000     59.66543
SET      16.000     67.07714
SET      17.000     73.93123
SET      18.000     80.39033
SET      19.000     84.20074
SET      20.000     87.31413
SET      21.000     90.03253
SET      22.000     91.93773
SET      23.000     93.84294
SET      24.000     95.44610
SET      25.000     96.77045
SET      26.000     97.37454
SET      27.000     98.11803
SET      28.000     98.79182
SET      29.000     99.04740
SET      30.000     99.23327
SET      31.000     99.41914
SET      32.000     99.58178
SET      34.000     99.69796
SET      35.000     99.72119
SET      36.000     99.76766
SET      37.000     99.86059
SET      38.000     99.88383
SET      39.000     99.90706
SET      40.000     99.93030
SET      42.000     99.95353
SET      50.000     99.97677
SET     220.000    100.00000
---
GET       0.060      0.00233
GET       0.062      0.00465
GET       0.063      0.00698
GET       0.064      0.01163
GET       0.065      0.01860
GET       0.066      0.02326
GET       0.067      0.03721
GET       0.068      0.05581
GET       0.069      0.08372
GET       0.070      0.10465
GET       0.071      0.11628
GET       0.072      0.13488
GET       0.073      0.14186
GET       0.074      0.14418
GET       0.075      0.15116
GET       0.076      0.15581
GET       0.077      0.16511
GET       0.078      0.17674
GET       0.079      0.17907
GET       0.081      0.18604
GET       0.082      0.19302
GET       0.083      0.20000
GET       0.084      0.21162
GET       0.085      0.23023
GET       0.086      0.24883
GET       0.087      0.26976
GET       0.088      0.30697
GET       0.089      0.35115
GET       0.090      0.37674
GET       0.091      0.41162
GET       0.092      0.46976
GET       0.093      0.58836
GET       0.094      0.77208
GET       0.095      0.95347
GET       0.096      1.04416
GET       0.097      1.09997
GET       0.098      1.15579
GET       0.099      1.21160
GET       0.100      1.36276
GET       0.110      1.47904
GET       0.120      1.57206
GET       0.130      1.66043
GET       0.140      1.83019
GET       0.150      2.04879
GET       0.160      2.28134
GET       0.170      3.05807
GET       0.180      4.25339
GET       0.190      5.85800
GET       0.200      6.34869
GET       0.210      6.58357
GET       0.220      6.82077
GET       0.230      6.99751
GET       0.240      7.11611
GET       0.250      7.18355
GET       0.260      7.30681
GET       0.270      7.41611
GET       0.280      7.52076
GET       0.290      7.60680
GET       0.300      7.69517
GET       0.310      7.77889
GET       0.320      7.86726
GET       0.330      8.06260
GET       0.340      8.30446
GET       0.350      8.62771
GET       0.360      9.15095
GET       0.370      9.62071
GET       0.380     10.06953
GET       0.390     10.25092
GET       0.400     10.36953
GET       0.410     10.42301
GET       0.420     10.47883
GET       0.430     10.51603
GET       0.440     10.54859
GET       0.450     10.57882
GET       0.460     10.61371
GET       0.470     10.64394
GET       0.480     10.66719
GET       0.490     10.69045
GET       0.500     10.70673
GET       0.510     10.72533
GET       0.520     10.76487
GET       0.530     10.79277
GET       0.540     10.85324
GET       0.550     10.92998
GET       0.560     11.00207
GET       0.570     11.06021
GET       0.580     11.09974
GET       0.590     11.13695
GET       0.600     11.17183
GET       0.610     11.19044
GET       0.620     11.22299
GET       0.630     11.26253
GET       0.640     11.28578
GET       0.650     11.31834
GET       0.660     11.34625
GET       0.670     11.36485
GET       0.680     11.39508
GET       0.690     11.42299
GET       0.700     11.46252
GET       0.710     11.48810
GET       0.720     11.51136
GET       0.730     11.55089
GET       0.740     11.60903
GET       0.750     11.63461
GET       0.760     11.68345
GET       0.770     11.70205
GET       0.780     11.72996
GET       0.790     11.75554
GET       0.800     11.78345
GET       0.810     11.79507
GET       0.820     11.81600
GET       0.830     11.85089
GET       0.840     11.88577
GET       0.850     11.89972
GET       0.860     11.91833
GET       0.870     11.94391
GET       0.880     11.95786
GET       0.890     11.98577
GET       0.900     12.00902
GET       0.910     12.03693
GET       0.920     12.06949
GET       0.930     12.10902
GET       0.940     12.12762
GET       0.950     12.16948
GET       0.960     12.21367
GET       0.970     12.23227
GET       0.980     12.25088
GET       0.990     12.28111
GET       1.000     12.42529
GET       1.100     12.74622
GET       1.200     13.07877
GET       1.300     13.51596
GET       1.400     14.15083
GET       1.500     14.86012
GET       1.600     15.63452
GET       1.700     16.68798
GET       1.800     18.00656
GET       1.900     19.68559
GET       2.000     21.61810
GET       2.100     24.01805
GET       2.200     26.69240
GET       2.300     29.59001
GET       2.400     33.10853
GET       2.500     36.83635
GET       2.600     40.54092
GET       2.700     44.84082
GET       2.800     49.21048
GET       2.900     53.91037
GET       3.000     58.66375
GET       3.100     63.23574
GET       3.200     67.71238
GET       3.300     72.22158
GET       3.400     76.16567
GET       3.500     79.84465
GET       3.600     82.99342
GET       3.700     85.84684
GET       3.800     88.22120
GET       3.900     90.34209
GET       4.000     92.04205
GET       4.100     93.51178
GET       4.200     94.81407
GET       4.300     95.76289
GET       4.400     96.31869
GET       4.500     96.66287
GET       4.600     96.90472
GET       4.700     97.17914
GET       4.800     97.42332
GET       4.900     97.58843
GET       5.000     97.75122
GET       5.100     97.92098
GET       5.200     98.12330
GET       5.300     98.25585
GET       5.400     98.40701
GET       5.500     98.50469
GET       5.600     98.63724
GET       5.700     98.73724
GET       5.800     98.85119
GET       5.900     98.91398
GET       6.000     98.98142
GET       6.100     99.05351
GET       6.200     99.11165
GET       6.300     99.15816
GET       6.400     99.21165
GET       6.500     99.27909
GET       6.600     99.33490
GET       6.700     99.39304
GET       6.800     99.43025
GET       6.900     99.46745
GET       7.000     99.51396
GET       7.100     99.54652
GET       7.200     99.58373
GET       7.300     99.60931
GET       7.400     99.62559
GET       7.500     99.65815
GET       7.600     99.68140
GET       7.700     99.70931
GET       7.800     99.73489
GET       7.900     99.75349
GET       8.000     99.77675
GET       8.100     99.79303
