[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       46615 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       92414 ops,   45793 (avg:   46206) ops/sec, 1.63MB/sec (avg: 1.65MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      136701 ops,   44282 (avg:   45564) ops/sec, 1.58MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      180995 ops,   44289 (avg:   45245) ops/sec, 1.58MB/sec (avg: 1.61MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      224601 ops,   43601 (avg:   44917) ops/sec, 1.55MB/sec (avg: 1.60MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  2 threads:      268385 ops,   43779 (avg:   44727) ops/sec, 1.56MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  2 threads:      311925 ops,   43535 (avg:   44557) ops/sec, 1.55MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      356446 ops,   44516 (avg:   44552) ops/sec, 1.59MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      402052 ops,   45601 (avg:   44668) ops/sec, 1.62MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      445738 ops,   43681 (avg:   44570) ops/sec, 1.56MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      489975 ops,   44231 (avg:   44539) ops/sec, 1.58MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  2 threads:      534991 ops,   45011 (avg:   44578) ops/sec, 1.60MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      579183 ops,   44187 (avg:   44548) ops/sec, 1.57MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      623985 ops,   44797 (avg:   44566) ops/sec, 1.60MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  2 threads:      667292 ops,   43302 (avg:   44482) ops/sec, 1.54MB/sec (avg: 1.58MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  2 threads:      711564 ops,   44267 (avg:   44468) ops/sec, 1.58MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  2 threads:      755695 ops,   44126 (avg:   44448) ops/sec, 1.57MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  2 threads:      800061 ops,   44361 (avg:   44443) ops/sec, 1.58MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  2 threads:      845014 ops,   44948 (avg:   44470) ops/sec, 1.60MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  2 threads:      889849 ops,   44830 (avg:   44488) ops/sec, 1.60MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  2 threads:      934373 ops,   44519 (avg:   44489) ops/sec, 1.59MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  2 threads:      979287 ops,   44908 (avg:   44508) ops/sec, 1.60MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  2 threads:     1023969 ops,   44676 (avg:   44516) ops/sec, 1.59MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  2 threads:     1069472 ops,   45497 (avg:   44557) ops/sec, 1.62MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  2 threads:     1114579 ops,   45101 (avg:   44578) ops/sec, 1.61MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  2 threads:     1158554 ops,   43968 (avg:   44555) ops/sec, 1.57MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  2 threads:     1203472 ops,   44913 (avg:   44568) ops/sec, 1.60MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  2 threads:     1249057 ops,   45580 (avg:   44604) ops/sec, 1.62MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  2 threads:     1294489 ops,   45427 (avg:   44633) ops/sec, 1.62MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 100%,  30 secs]  0 threads:     1339753 ops,   45427 (avg:   44658) ops/sec, 1.62MB/sec (avg: 1.59MB/sec),  0.13 (avg:  0.13) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        4059.96          ---          ---      0.13400       205.74
Gets       40598.40     24707.66     15890.74      0.13100      1422.96
Totals     44658.36     24707.66     15890.74      0.13100      1628.71


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.052      0.00016
GET       0.053      0.00041
GET       0.054      0.00057
GET       0.055      0.00099
GET       0.056      0.00164
GET       0.057      0.00296
GET       0.058      0.00632
GET       0.059      0.01002
GET       0.060      0.01683
GET       0.061      0.02660
GET       0.062      0.03966
GET       0.063      0.06018
GET       0.064      0.08252
GET       0.065      0.10879
GET       0.066      0.14836
GET       0.067      0.19508
GET       0.068      0.25247
GET       0.069      0.31742
GET       0.070      0.38934
GET       0.071      0.47153
GET       0.072      0.56734
GET       0.073      0.67121
GET       0.074      0.77786
GET       0.075      0.89650
GET       0.076      1.02368
GET       0.077      1.16080
GET       0.078      1.30547
GET       0.079      1.45974
GET       0.080      1.63775
GET       0.081      1.81559
GET       0.082      2.00812
GET       0.083      2.22931
GET       0.084      2.47210
GET       0.085      2.74526
GET       0.086      3.05800
GET       0.087      3.44841
GET       0.088      3.93898
GET       0.089      4.53983
GET       0.090      5.29790
GET       0.091      6.17872
GET       0.092      7.17285
GET       0.093      8.35508
GET       0.094     10.14184
GET       0.095     12.87142
GET       0.096     15.30764
GET       0.097     17.20205
GET       0.098     18.95868
GET       0.099     20.66786
GET       0.100     28.57341
GET       0.110     40.95311
GET       0.120     51.35046
GET       0.130     60.60442
GET       0.140     72.97443
GET       0.150     84.32979
GET       0.160     89.66431
GET       0.170     92.63043
GET       0.180     94.49363
GET       0.190     95.89229
GET       0.200     96.77188
GET       0.210     97.25203
GET       0.220     97.56436
GET       0.230     97.79877
GET       0.240     97.99713
GET       0.250     98.17013
GET       0.260     98.31094
GET       0.270     98.43286
GET       0.280     98.54108
GET       0.290     98.63492
GET       0.300     98.71276
GET       0.310     98.78624
GET       0.320     98.84511
GET       0.330     98.89971
GET       0.340     98.94865
GET       0.350     98.99873
GET       0.360     99.04167
GET       0.370     99.08584
GET       0.380     99.12640
GET       0.390     99.16959
GET       0.400     99.20925
GET       0.410     99.24784
GET       0.420     99.28528
GET       0.430     99.31754
GET       0.440     99.34488
GET       0.450     99.37214
GET       0.460     99.39768
GET       0.470     99.42576
GET       0.480     99.45441
GET       0.490     99.48348
GET       0.500     99.51304
GET       0.510     99.54185
GET       0.520     99.56928
GET       0.530     99.59744
GET       0.540     99.62141
GET       0.550     99.64399
GET       0.560     99.66846
GET       0.570     99.68932
GET       0.580     99.71173
GET       0.590     99.72914
GET       0.600     99.74662
GET       0.610     99.76485
GET       0.620     99.78357
GET       0.630     99.80205
GET       0.640     99.82003
GET       0.650     99.83768
GET       0.660     99.85394
GET       0.670     99.86921
GET       0.680     99.88333
GET       0.690     99.89532
GET       0.700     99.90763
GET       0.710     99.91765
GET       0.720     99.92734
GET       0.730     99.93760
GET       0.740     99.94491
GET       0.750     99.95419
GET       0.760     99.96141
GET       0.770     99.96855
GET       0.780     99.97438
GET       0.790     99.97939
GET       0.800     99.98465
GET       0.810     99.98883
GET       0.820     99.99212
GET       0.830     99.99401
GET       0.840     99.99565
GET       0.850     99.99721
GET       0.860     99.99770
GET       0.870     99.99819
GET       0.880     99.99852
GET       0.890     99.99885
GET       0.900     99.99910
GET       0.910     99.99934
GET       0.920     99.99959
GET       0.930     99.99967
GET       1.000     99.99975
GET       1.100     99.99984
GET       2.000     99.99992
GET       2.600    100.00000
