[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       45509 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       90585 ops,   45069 (avg:   45291) ops/sec, 2.57MB/sec (avg: 2.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      135482 ops,   44892 (avg:   45158) ops/sec, 2.56MB/sec (avg: 2.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      180278 ops,   44790 (avg:   45066) ops/sec, 2.56MB/sec (avg: 2.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      224858 ops,   44573 (avg:   44968) ops/sec, 2.55MB/sec (avg: 2.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  2 threads:      269592 ops,   44728 (avg:   44928) ops/sec, 2.55MB/sec (avg: 2.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  2 threads:      313834 ops,   44236 (avg:   44829) ops/sec, 2.53MB/sec (avg: 2.56MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      358097 ops,   44258 (avg:   44757) ops/sec, 2.53MB/sec (avg: 2.56MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      401869 ops,   43766 (avg:   44647) ops/sec, 2.50MB/sec (avg: 2.55MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      445619 ops,   43744 (avg:   44557) ops/sec, 2.50MB/sec (avg: 2.55MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      489391 ops,   43766 (avg:   44485) ops/sec, 2.50MB/sec (avg: 2.54MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  2 threads:      533549 ops,   44153 (avg:   44457) ops/sec, 2.52MB/sec (avg: 2.54MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      577106 ops,   43552 (avg:   44388) ops/sec, 2.49MB/sec (avg: 2.54MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      620596 ops,   43485 (avg:   44323) ops/sec, 2.48MB/sec (avg: 2.53MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  2 threads:      663695 ops,   43094 (avg:   44241) ops/sec, 2.46MB/sec (avg: 2.53MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  2 threads:      706615 ops,   42915 (avg:   44158) ops/sec, 2.45MB/sec (avg: 2.52MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  2 threads:      750097 ops,   43477 (avg:   44118) ops/sec, 2.48MB/sec (avg: 2.52MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  2 threads:      793223 ops,   43121 (avg:   44063) ops/sec, 2.46MB/sec (avg: 2.52MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  2 threads:      836929 ops,   43700 (avg:   44044) ops/sec, 2.50MB/sec (avg: 2.52MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  2 threads:      879985 ops,   43051 (avg:   43994) ops/sec, 2.46MB/sec (avg: 2.51MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  2 threads:      922754 ops,   42764 (avg:   43936) ops/sec, 2.44MB/sec (avg: 2.51MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  2 threads:      965702 ops,   42943 (avg:   43890) ops/sec, 2.45MB/sec (avg: 2.51MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  2 threads:     1008568 ops,   42861 (avg:   43846) ops/sec, 2.45MB/sec (avg: 2.50MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  2 threads:     1051431 ops,   42858 (avg:   43805) ops/sec, 2.45MB/sec (avg: 2.50MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  2 threads:     1094699 ops,   43263 (avg:   43783) ops/sec, 2.47MB/sec (avg: 2.50MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  2 threads:     1138045 ops,   43340 (avg:   43766) ops/sec, 2.48MB/sec (avg: 2.50MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  2 threads:     1180957 ops,   42907 (avg:   43734) ops/sec, 2.45MB/sec (avg: 2.50MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  2 threads:     1223750 ops,   42788 (avg:   43700) ops/sec, 2.44MB/sec (avg: 2.50MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  2 threads:     1266602 ops,   42847 (avg:   43671) ops/sec, 2.45MB/sec (avg: 2.49MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 100%,  30 secs]  0 threads:     1309422 ops,   42847 (avg:   43647) ops/sec, 2.45MB/sec (avg: 2.49MB/sec),  0.14 (avg:  0.13) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3968.02          ---          ---      0.14000      1162.09
Gets       39679.28     23435.95     16243.33      0.13300      1390.75
Totals     43647.30     23435.95     16243.33      0.13400      2552.84


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.053      0.00008
GET       0.055      0.00042
GET       0.056      0.00059
GET       0.057      0.00067
GET       0.058      0.00176
GET       0.059      0.00319
GET       0.060      0.00613
GET       0.061      0.01294
GET       0.062      0.01915
GET       0.063      0.02982
GET       0.064      0.04209
GET       0.065      0.05679
GET       0.066      0.07922
GET       0.067      0.10644
GET       0.068      0.14474
GET       0.069      0.19238
GET       0.070      0.25269
GET       0.071      0.32662
GET       0.072      0.42037
GET       0.073      0.52093
GET       0.074      0.65399
GET       0.075      0.80428
GET       0.076      0.97817
GET       0.077      1.18206
GET       0.078      1.41644
GET       0.079      1.69114
GET       0.080      1.98978
GET       0.081      2.30834
GET       0.082      2.65461
GET       0.083      3.01256
GET       0.084      3.41849
GET       0.085      3.86985
GET       0.086      4.36835
GET       0.087      4.90851
GET       0.088      5.51210
GET       0.089      6.20322
GET       0.090      6.95945
GET       0.091      7.77390
GET       0.092      8.65387
GET       0.093      9.61280
GET       0.094     10.64365
GET       0.095     11.74868
GET       0.096     12.86983
GET       0.097     14.03517
GET       0.098     15.25201
GET       0.099     16.50623
GET       0.100     22.47600
GET       0.110     34.08539
GET       0.120     45.92950
GET       0.130     58.28655
GET       0.140     72.76259
GET       0.150     83.92531
GET       0.160     89.62576
GET       0.170     92.67193
GET       0.180     94.40473
GET       0.190     95.89493
GET       0.200     96.73575
GET       0.210     97.13982
GET       0.220     97.40864
GET       0.230     97.62454
GET       0.240     97.82330
GET       0.250     97.99199
GET       0.260     98.13513
GET       0.270     98.25787
GET       0.280     98.37481
GET       0.290     98.47637
GET       0.300     98.56155
GET       0.310     98.63430
GET       0.320     98.70016
GET       0.330     98.75645
GET       0.340     98.80727
GET       0.350     98.85440
GET       0.360     98.89960
GET       0.370     98.94698
GET       0.380     98.99242
GET       0.390     99.04308
GET       0.400     99.08928
GET       0.410     99.13154
GET       0.420     99.17127
GET       0.430     99.20933
GET       0.440     99.24604
GET       0.450     99.27603
GET       0.460     99.30518
GET       0.470     99.33181
GET       0.480     99.35768
GET       0.490     99.38667
GET       0.500     99.41792
GET       0.510     99.44892
GET       0.520     99.48235
GET       0.530     99.51327
GET       0.540     99.54460
GET       0.550     99.57232
GET       0.560     99.60004
GET       0.570     99.62348
GET       0.580     99.64558
GET       0.590     99.66775
GET       0.600     99.68817
GET       0.610     99.71076
GET       0.620     99.73361
GET       0.630     99.75386
GET       0.640     99.77444
GET       0.650     99.79460
GET       0.660     99.81451
GET       0.670     99.83291
GET       0.680     99.84996
GET       0.690     99.86811
GET       0.700     99.88281
GET       0.710     99.89617
GET       0.720     99.90860
GET       0.730     99.91893
GET       0.740     99.92893
GET       0.750     99.93859
GET       0.760     99.94724
GET       0.770     99.95598
GET       0.780     99.96430
GET       0.790     99.97152
GET       0.800     99.97782
GET       0.810     99.98328
GET       0.820     99.98790
GET       0.830     99.99084
GET       0.840     99.99378
GET       0.850     99.99555
GET       0.860     99.99681
GET       0.870     99.99765
GET       0.880     99.99824
GET       0.890     99.99882
GET       0.900     99.99899
GET       0.920     99.99924
GET       0.940     99.99933
GET       0.950     99.99966
GET       1.100     99.99975
GET       2.900     99.99983
GET       3.700     99.99992
GET      11.000    100.00000
