[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  2 threads:       45494 ops,   45490 (avg:   45490) ops/sec, 3.61MB/sec (avg: 3.61MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 7%,   2 secs]  2 threads:       90542 ops,   45041 (avg:   45266) ops/sec, 3.57MB/sec (avg: 3.59MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      134949 ops,   44402 (avg:   44978) ops/sec, 3.52MB/sec (avg: 3.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      179235 ops,   44280 (avg:   44803) ops/sec, 3.51MB/sec (avg: 3.55MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      222931 ops,   43691 (avg:   44581) ops/sec, 3.46MB/sec (avg: 3.54MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  2 threads:      266050 ops,   43114 (avg:   44336) ops/sec, 3.42MB/sec (avg: 3.52MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  2 threads:      308992 ops,   42937 (avg:   44136) ops/sec, 3.40MB/sec (avg: 3.50MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      351700 ops,   42703 (avg:   43957) ops/sec, 3.39MB/sec (avg: 3.49MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      394049 ops,   42344 (avg:   43778) ops/sec, 3.36MB/sec (avg: 3.47MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      436174 ops,   42120 (avg:   43612) ops/sec, 3.34MB/sec (avg: 3.46MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      477869 ops,   41691 (avg:   43438) ops/sec, 3.31MB/sec (avg: 3.45MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  2 threads:      519342 ops,   41469 (avg:   43273) ops/sec, 3.29MB/sec (avg: 3.43MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  2 threads:      560460 ops,   41113 (avg:   43107) ops/sec, 3.26MB/sec (avg: 3.42MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  2 threads:      601308 ops,   40844 (avg:   42946) ops/sec, 3.24MB/sec (avg: 3.41MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 50%,  15 secs]  2 threads:      641830 ops,   40517 (avg:   42784) ops/sec, 3.21MB/sec (avg: 3.39MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 53%,  16 secs]  2 threads:      682025 ops,   40190 (avg:   42622) ops/sec, 3.19MB/sec (avg: 3.38MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 57%,  17 secs]  2 threads:      721768 ops,   39739 (avg:   42452) ops/sec, 3.15MB/sec (avg: 3.37MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 60%,  18 secs]  2 threads:      761137 ops,   39364 (avg:   42280) ops/sec, 3.12MB/sec (avg: 3.35MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 63%,  19 secs]  2 threads:      800116 ops,   38975 (avg:   42106) ops/sec, 3.09MB/sec (avg: 3.34MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 67%,  20 secs]  2 threads:      838851 ops,   38730 (avg:   41938) ops/sec, 3.07MB/sec (avg: 3.33MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 70%,  21 secs]  2 threads:      877214 ops,   38358 (avg:   41767) ops/sec, 3.04MB/sec (avg: 3.31MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 73%,  22 secs]  2 threads:      915216 ops,   37997 (avg:   41596) ops/sec, 3.01MB/sec (avg: 3.30MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 77%,  23 secs]  2 threads:      952738 ops,   37517 (avg:   41419) ops/sec, 2.98MB/sec (avg: 3.29MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 80%,  24 secs]  2 threads:      990060 ops,   37316 (avg:   41248) ops/sec, 2.96MB/sec (avg: 3.27MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 83%,  25 secs]  2 threads:     1027200 ops,   37136 (avg:   41083) ops/sec, 2.95MB/sec (avg: 3.26MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 87%,  26 secs]  2 threads:     1063911 ops,   36706 (avg:   40915) ops/sec, 2.91MB/sec (avg: 3.25MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 90%,  27 secs]  2 threads:     1100291 ops,   36376 (avg:   40747) ops/sec, 2.88MB/sec (avg: 3.23MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 93%,  28 secs]  2 threads:     1136398 ops,   36103 (avg:   40581) ops/sec, 2.86MB/sec (avg: 3.22MB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 97%,  29 secs]  2 threads:     1172369 ops,   35967 (avg:   40422) ops/sec, 2.85MB/sec (avg: 3.21MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 100%,  30 secs]  0 threads:     1208438 ops,   35967 (avg:   40281) ops/sec, 2.85MB/sec (avg: 3.19MB/sec),  0.16 (avg:  0.15) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3662.02          ---          ---      0.15300      1987.98
Gets       36619.15     20454.15     16165.00      0.14500      1283.50
Totals     40281.17     20454.15     16165.00      0.14600      3271.47


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.057      0.00027
GET       0.060      0.00082
GET       0.061      0.00218
GET       0.062      0.00410
GET       0.063      0.00683
GET       0.064      0.00974
GET       0.065      0.01429
GET       0.066      0.01884
GET       0.067      0.02449
GET       0.068      0.03286
GET       0.069      0.04378
GET       0.070      0.05744
GET       0.071      0.07482
GET       0.072      0.09540
GET       0.073      0.11843
GET       0.074      0.14828
GET       0.075      0.18278
GET       0.076      0.22211
GET       0.077      0.27181
GET       0.078      0.32870
GET       0.079      0.39551
GET       0.080      0.46779
GET       0.081      0.54835
GET       0.082      0.64711
GET       0.083      0.75789
GET       0.084      0.88660
GET       0.085      1.03197
GET       0.086      1.19646
GET       0.087      1.39499
GET       0.088      1.63202
GET       0.089      1.93359
GET       0.090      2.28996
GET       0.091      2.72425
GET       0.092      3.24747
GET       0.093      3.85608
GET       0.094      4.55699
GET       0.095      5.38615
GET       0.096      6.27566
GET       0.097      7.13914
GET       0.098      7.99070
GET       0.099      8.79865
GET       0.100     12.68541
GET       0.110     21.11268
GET       0.120     29.43817
GET       0.130     38.64244
GET       0.140     52.31231
GET       0.150     73.07744
GET       0.160     82.78873
GET       0.170     88.57213
GET       0.180     92.27118
GET       0.190     94.66473
GET       0.200     96.02213
GET       0.210     96.71630
GET       0.220     97.12319
GET       0.230     97.41584
GET       0.240     97.64586
GET       0.250     97.82874
GET       0.260     97.98348
GET       0.270     98.12548
GET       0.280     98.25456
GET       0.290     98.36725
GET       0.300     98.47038
GET       0.310     98.55977
GET       0.320     98.63706
GET       0.330     98.70933
GET       0.340     98.77259
GET       0.350     98.83413
GET       0.360     98.88701
GET       0.370     98.93499
GET       0.380     98.98596
GET       0.390     99.03548
GET       0.400     99.08591
GET       0.410     99.13406
GET       0.420     99.17830
GET       0.430     99.21899
GET       0.440     99.25777
GET       0.450     99.29418
GET       0.460     99.32895
GET       0.470     99.36117
GET       0.480     99.39549
GET       0.490     99.42881
GET       0.500     99.45912
GET       0.510     99.48816
GET       0.520     99.51892
GET       0.530     99.54924
GET       0.540     99.57855
GET       0.550     99.60822
GET       0.560     99.63671
GET       0.570     99.66147
GET       0.580     99.68705
GET       0.590     99.70835
GET       0.600     99.73020
GET       0.610     99.75059
GET       0.620     99.76879
GET       0.630     99.78845
GET       0.640     99.80557
GET       0.650     99.82405
GET       0.660     99.84052
GET       0.670     99.85973
GET       0.680     99.87502
GET       0.690     99.88877
GET       0.700     99.90187
GET       0.710     99.91434
GET       0.720     99.92454
GET       0.730     99.93437
GET       0.740     99.94375
GET       0.750     99.95166
GET       0.760     99.95858
GET       0.770     99.96605
GET       0.780     99.97287
GET       0.790     99.97724
GET       0.800     99.98161
GET       0.810     99.98498
GET       0.820     99.98789
GET       0.830     99.99072
GET       0.840     99.99272
GET       0.850     99.99472
GET       0.860     99.99609
GET       0.870     99.99718
GET       0.880     99.99782
GET       0.890     99.99845
GET       0.900     99.99873
GET       0.910     99.99891
GET       0.920     99.99927
GET       0.930     99.99945
GET       0.940     99.99954
GET       0.950     99.99964
GET       0.960     99.99973
GET       1.000     99.99982
GET       1.100     99.99991
GET       2.000    100.00000
