[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       42584 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       85072 ops,   42482 (avg:   42535) ops/sec, 3.37MB/sec (avg: 3.37MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 10%,   3 secs]  2 threads:      126985 ops,   41907 (avg:   42325) ops/sec, 3.32MB/sec (avg: 3.36MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 13%,   4 secs]  2 threads:      168450 ops,   41459 (avg:   42109) ops/sec, 3.29MB/sec (avg: 3.34MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 17%,   5 secs]  2 threads:      209825 ops,   41370 (avg:   41961) ops/sec, 3.28MB/sec (avg: 3.33MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 20%,   6 secs]  2 threads:      250430 ops,   40600 (avg:   41734) ops/sec, 3.22MB/sec (avg: 3.31MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 23%,   7 secs]  2 threads:      290962 ops,   40527 (avg:   41562) ops/sec, 3.21MB/sec (avg: 3.30MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 27%,   8 secs]  2 threads:      331287 ops,   40320 (avg:   41407) ops/sec, 3.20MB/sec (avg: 3.28MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 30%,   9 secs]  2 threads:      370997 ops,   39705 (avg:   41218) ops/sec, 3.15MB/sec (avg: 3.27MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  2 threads:      410555 ops,   39554 (avg:   41051) ops/sec, 3.14MB/sec (avg: 3.26MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  2 threads:      449654 ops,   39094 (avg:   40873) ops/sec, 3.10MB/sec (avg: 3.24MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  2 threads:      488294 ops,   38635 (avg:   40687) ops/sec, 3.06MB/sec (avg: 3.23MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  2 threads:      526515 ops,   38217 (avg:   40497) ops/sec, 3.03MB/sec (avg: 3.21MB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  2 threads:      565081 ops,   38562 (avg:   40359) ops/sec, 3.06MB/sec (avg: 3.20MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 50%,  15 secs]  2 threads:      603092 ops,   38006 (avg:   40202) ops/sec, 3.01MB/sec (avg: 3.19MB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 53%,  16 secs]  2 threads:      640702 ops,   37605 (avg:   40039) ops/sec, 2.98MB/sec (avg: 3.18MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 57%,  17 secs]  2 threads:      677995 ops,   37289 (avg:   39878) ops/sec, 2.96MB/sec (avg: 3.16MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 60%,  18 secs]  2 threads:      715066 ops,   37067 (avg:   39721) ops/sec, 2.94MB/sec (avg: 3.15MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 63%,  19 secs]  2 threads:      751885 ops,   36815 (avg:   39569) ops/sec, 2.92MB/sec (avg: 3.14MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 67%,  20 secs]  2 threads:      788561 ops,   36672 (avg:   39424) ops/sec, 2.91MB/sec (avg: 3.13MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 70%,  21 secs]  2 threads:      824754 ops,   36189 (avg:   39270) ops/sec, 2.87MB/sec (avg: 3.11MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 73%,  22 secs]  2 threads:      860611 ops,   35853 (avg:   39114) ops/sec, 2.84MB/sec (avg: 3.10MB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 77%,  23 secs]  2 threads:      896182 ops,   35567 (avg:   38960) ops/sec, 2.82MB/sec (avg: 3.09MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 80%,  24 secs]  2 threads:      931670 ops,   35484 (avg:   38815) ops/sec, 2.81MB/sec (avg: 3.08MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 83%,  25 secs]  2 threads:      966734 ops,   35060 (avg:   38665) ops/sec, 2.78MB/sec (avg: 3.07MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 87%,  26 secs]  2 threads:     1001529 ops,   34791 (avg:   38516) ops/sec, 2.76MB/sec (avg: 3.05MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 90%,  27 secs]  2 threads:     1036084 ops,   34550 (avg:   38369) ops/sec, 2.74MB/sec (avg: 3.04MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 93%,  28 secs]  2 threads:     1070399 ops,   34311 (avg:   38224) ops/sec, 2.72MB/sec (avg: 3.03MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 97%,  29 secs]  2 threads:     1104562 ops,   34159 (avg:   38084) ops/sec, 2.71MB/sec (avg: 3.02MB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 100%,  30 secs]  0 threads:     1138862 ops,   34159 (avg:   37961) ops/sec, 2.71MB/sec (avg: 3.01MB/sec),  0.17 (avg:  0.15) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3451.15          ---          ---      0.16200      1873.51
Gets       34510.78     19298.10     15212.68      0.15400      1209.60
Totals     37961.94     19298.10     15212.68      0.15400      3083.11


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.057      0.00010
GET       0.059      0.00048
GET       0.060      0.00058
GET       0.061      0.00068
GET       0.062      0.00116
GET       0.063      0.00212
GET       0.064      0.00338
GET       0.065      0.00483
GET       0.066      0.00637
GET       0.067      0.00956
GET       0.068      0.01323
GET       0.069      0.01787
GET       0.070      0.02279
GET       0.071      0.02840
GET       0.072      0.03738
GET       0.073      0.04694
GET       0.074      0.05805
GET       0.075      0.07167
GET       0.076      0.08915
GET       0.077      0.10856
GET       0.078      0.13281
GET       0.079      0.16304
GET       0.080      0.19887
GET       0.081      0.23587
GET       0.082      0.27991
GET       0.083      0.33699
GET       0.084      0.40557
GET       0.085      0.48342
GET       0.086      0.58242
GET       0.087      0.69340
GET       0.088      0.83771
GET       0.089      1.02615
GET       0.090      1.24656
GET       0.091      1.49557
GET       0.092      1.76678
GET       0.093      2.10639
GET       0.094      2.56576
GET       0.095      3.14026
GET       0.096      3.73467
GET       0.097      4.31680
GET       0.098      4.91091
GET       0.099      5.54192
GET       0.100      8.82291
GET       0.110     14.51860
GET       0.120     19.74265
GET       0.130     25.98667
GET       0.140     40.21918
GET       0.150     65.06283
GET       0.160     75.92896
GET       0.170     81.93537
GET       0.180     86.12139
GET       0.190     90.44495
GET       0.200     94.27640
GET       0.210     95.81070
GET       0.220     96.48971
GET       0.230     96.91247
GET       0.240     97.27516
GET       0.250     97.55391
GET       0.260     97.74361
GET       0.270     97.90549
GET       0.280     98.04506
GET       0.290     98.17256
GET       0.300     98.29097
GET       0.310     98.39481
GET       0.320     98.48328
GET       0.330     98.56326
GET       0.340     98.64014
GET       0.350     98.70476
GET       0.360     98.76454
GET       0.370     98.82472
GET       0.380     98.87659
GET       0.390     98.92865
GET       0.400     98.98100
GET       0.410     99.02813
GET       0.420     99.08010
GET       0.430     99.13090
GET       0.440     99.17620
GET       0.450     99.21967
GET       0.460     99.25772
GET       0.470     99.29530
GET       0.480     99.32929
GET       0.490     99.36368
GET       0.500     99.39497
GET       0.510     99.42772
GET       0.520     99.46094
GET       0.530     99.49417
GET       0.540     99.52759
GET       0.550     99.55908
GET       0.560     99.58873
GET       0.570     99.61857
GET       0.580     99.64552
GET       0.590     99.66870
GET       0.600     99.69208
GET       0.610     99.71439
GET       0.620     99.73593
GET       0.630     99.75689
GET       0.640     99.77717
GET       0.650     99.79562
GET       0.660     99.81561
GET       0.670     99.83493
GET       0.680     99.85154
GET       0.690     99.86961
GET       0.700     99.88661
GET       0.710     99.90080
GET       0.720     99.91326
GET       0.730     99.92563
GET       0.740     99.93616
GET       0.750     99.94379
GET       0.760     99.95190
GET       0.770     99.96011
GET       0.780     99.96590
GET       0.790     99.97228
GET       0.800     99.97807
GET       0.810     99.98203
GET       0.820     99.98542
GET       0.830     99.98851
GET       0.840     99.99082
GET       0.850     99.99295
GET       0.860     99.99488
GET       0.870     99.99575
GET       0.880     99.99710
GET       0.890     99.99730
GET       0.900     99.99788
GET       0.910     99.99797
GET       0.920     99.99865
GET       0.930     99.99894
GET       0.940     99.99932
GET       0.950     99.99942
GET       0.970     99.99952
GET       0.990     99.99961
GET       1.100     99.99971
GET       2.000     99.99981
GET       3.400     99.99990
GET       5.100    100.00000
