[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       61664 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:      122993 ops,   61322 (avg:   61498) ops/sec, 7.58MB/sec (avg: 7.61MB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 10%,   3 secs]  2 threads:      181482 ops,   58480 (avg:   60492) ops/sec, 7.24MB/sec (avg: 7.48MB/sec),  0.20 (avg:  0.20) msec latency[RUN #1 13%,   4 secs]  2 threads:      237266 ops,   55776 (avg:   59313) ops/sec, 6.90MB/sec (avg: 7.34MB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 17%,   5 secs]  2 threads:      291363 ops,   54091 (avg:   58268) ops/sec, 6.69MB/sec (avg: 7.21MB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 20%,   6 secs]  2 threads:      341124 ops,   49754 (avg:   56849) ops/sec, 6.15MB/sec (avg: 7.03MB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  2 threads:      386369 ops,   45239 (avg:   55190) ops/sec, 5.60MB/sec (avg: 6.83MB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  2 threads:      428131 ops,   41757 (avg:   53511) ops/sec, 5.17MB/sec (avg: 6.62MB/sec),  0.28 (avg:  0.22) msec latency[RUN #1 30%,   9 secs]  2 threads:      468402 ops,   40266 (avg:   52039) ops/sec, 4.98MB/sec (avg: 6.44MB/sec),  0.29 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  2 threads:      506479 ops,   38072 (avg:   50643) ops/sec, 4.71MB/sec (avg: 6.27MB/sec),  0.31 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  2 threads:      543626 ops,   37142 (avg:   49415) ops/sec, 4.60MB/sec (avg: 6.11MB/sec),  0.32 (avg:  0.24) msec latency[RUN #1 40%,  12 secs]  2 threads:      578965 ops,   35334 (avg:   48242) ops/sec, 4.37MB/sec (avg: 5.97MB/sec),  0.34 (avg:  0.25) msec latency[RUN #1 43%,  13 secs]  2 threads:      613235 ops,   34266 (avg:   47167) ops/sec, 4.24MB/sec (avg: 5.84MB/sec),  0.35 (avg:  0.25) msec latency[RUN #1 47%,  14 secs]  2 threads:      646480 ops,   33241 (avg:   46172) ops/sec, 4.11MB/sec (avg: 5.71MB/sec),  0.36 (avg:  0.26) msec latency[RUN #1 50%,  15 secs]  2 threads:      678561 ops,   32077 (avg:   45232) ops/sec, 3.97MB/sec (avg: 5.60MB/sec),  0.37 (avg:  0.26) msec latency[RUN #1 53%,  16 secs]  2 threads:      709792 ops,   31227 (avg:   44357) ops/sec, 3.86MB/sec (avg: 5.49MB/sec),  0.38 (avg:  0.27) msec latency[RUN #1 57%,  17 secs]  2 threads:      739979 ops,   30183 (avg:   43523) ops/sec, 3.73MB/sec (avg: 5.38MB/sec),  0.39 (avg:  0.27) msec latency[RUN #1 60%,  18 secs]  2 threads:      769302 ops,   29319 (avg:   42734) ops/sec, 3.63MB/sec (avg: 5.29MB/sec),  0.41 (avg:  0.28) msec latency[RUN #1 63%,  19 secs]  2 threads:      797939 ops,   28634 (avg:   41992) ops/sec, 3.54MB/sec (avg: 5.19MB/sec),  0.42 (avg:  0.28) msec latency[RUN #1 67%,  20 secs]  2 threads:      825676 ops,   27734 (avg:   41279) ops/sec, 3.43MB/sec (avg: 5.11MB/sec),  0.43 (avg:  0.29) msec latency[RUN #1 70%,  21 secs]  2 threads:      852879 ops,   27200 (avg:   40609) ops/sec, 3.36MB/sec (avg: 5.02MB/sec),  0.44 (avg:  0.29) msec latency[RUN #1 73%,  22 secs]  2 threads:      879538 ops,   26656 (avg:   39974) ops/sec, 3.29MB/sec (avg: 4.95MB/sec),  0.45 (avg:  0.30) msec latency[RUN #1 77%,  23 secs]  2 threads:      905715 ops,   26174 (avg:   39374) ops/sec, 3.24MB/sec (avg: 4.87MB/sec),  0.45 (avg:  0.30) msec latency[RUN #1 80%,  24 secs]  2 threads:      931421 ops,   25703 (avg:   38805) ops/sec, 3.18MB/sec (avg: 4.80MB/sec),  0.46 (avg:  0.31) msec latency[RUN #1 83%,  25 secs]  2 threads:      956717 ops,   25293 (avg:   38264) ops/sec, 3.13MB/sec (avg: 4.73MB/sec),  0.47 (avg:  0.31) msec latency[RUN #1 87%,  26 secs]  2 threads:      981578 ops,   24858 (avg:   37749) ops/sec, 3.08MB/sec (avg: 4.67MB/sec),  0.48 (avg:  0.31) msec latency[RUN #1 90%,  27 secs]  2 threads:     1006075 ops,   24494 (avg:   37258) ops/sec, 3.03MB/sec (avg: 4.61MB/sec),  0.49 (avg:  0.32) msec latency[RUN #1 93%,  28 secs]  2 threads:     1030304 ops,   24226 (avg:   36792) ops/sec, 3.00MB/sec (avg: 4.55MB/sec),  0.49 (avg:  0.32) msec latency[RUN #1 97%,  29 secs]  2 threads:     1054069 ops,   23762 (avg:   36343) ops/sec, 2.94MB/sec (avg: 4.50MB/sec),  0.50 (avg:  0.33) msec latency[RUN #1 100%,  30 secs]  0 threads:     1077624 ops,   23762 (avg:   35920) ops/sec, 2.94MB/sec (avg: 4.44MB/sec),  0.50 (avg:  0.33) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3265.72          ---          ---      0.34500      3405.70
Gets       32654.97     11930.70     20724.27      0.32800      1144.55
Totals     35920.70     11930.70     20724.27      0.33000      4550.25


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.057      0.00010
GET       0.064      0.00041
GET       0.066      0.00051
GET       0.068      0.00061
GET       0.069      0.00071
GET       0.070      0.00092
GET       0.071      0.00122
GET       0.072      0.00163
GET       0.073      0.00225
GET       0.074      0.00286
GET       0.075      0.00347
GET       0.076      0.00439
GET       0.077      0.00510
GET       0.078      0.00602
GET       0.079      0.00725
GET       0.080      0.00878
GET       0.081      0.00980
GET       0.082      0.01215
GET       0.083      0.01480
GET       0.084      0.01756
GET       0.085      0.02103
GET       0.086      0.02532
GET       0.087      0.03021
GET       0.088      0.03654
GET       0.089      0.04144
GET       0.090      0.04910
GET       0.091      0.06196
GET       0.092      0.07319
GET       0.093      0.08911
GET       0.094      0.10545
GET       0.095      0.12310
GET       0.096      0.14607
GET       0.097      0.16792
GET       0.098      0.19201
GET       0.099      0.21967
GET       0.100      0.38708
GET       0.110      0.83724
GET       0.120      1.41856
GET       0.130      2.44311
GET       0.140      4.71259
GET       0.150      7.59627
GET       0.160     10.00100
GET       0.170     12.14299
GET       0.180     14.70226
GET       0.190     18.35111
GET       0.200     21.81826
GET       0.210     24.70479
GET       0.220     27.44975
GET       0.230     30.51431
GET       0.240     34.04954
GET       0.250     37.38675
GET       0.260     40.43426
GET       0.270     43.40592
GET       0.280     46.52121
GET       0.290     49.58281
GET       0.300     52.40269
GET       0.310     54.98830
GET       0.320     57.43856
GET       0.330     59.88443
GET       0.340     62.14452
GET       0.350     64.24200
GET       0.360     66.23383
GET       0.370     68.14256
GET       0.380     69.96301
GET       0.390     71.68219
GET       0.400     73.32022
GET       0.410     74.87485
GET       0.420     76.34252
GET       0.430     77.74159
GET       0.440     79.07083
GET       0.450     80.31546
GET       0.460     81.51078
GET       0.470     82.61332
GET       0.480     83.67277
GET       0.490     84.68732
GET       0.500     85.65807
GET       0.510     86.61811
GET       0.520     87.55762
GET       0.530     88.47336
GET       0.540     89.36888
GET       0.550     90.25348
GET       0.560     91.08837
GET       0.570     91.92193
GET       0.580     92.72956
GET       0.590     93.49932
GET       0.600     94.22315
GET       0.610     94.90584
GET       0.620     95.54658
GET       0.630     96.13536
GET       0.640     96.66892
GET       0.650     97.14266
GET       0.660     97.56710
GET       0.670     97.92967
GET       0.680     98.26367
GET       0.690     98.55275
GET       0.700     98.79508
GET       0.710     99.00189
GET       0.720     99.16960
GET       0.730     99.30679
GET       0.740     99.41612
GET       0.750     99.50411
GET       0.760     99.57761
GET       0.770     99.63987
GET       0.780     99.69101
GET       0.790     99.73521
GET       0.800     99.76267
GET       0.810     99.79074
GET       0.820     99.81289
GET       0.830     99.83321
GET       0.840     99.85127
GET       0.850     99.86822
GET       0.860     99.88251
GET       0.870     99.89466
GET       0.880     99.90680
GET       0.890     99.91701
GET       0.900     99.92650
GET       0.910     99.93457
GET       0.920     99.94161
GET       0.930     99.94672
GET       0.940     99.95223
GET       0.950     99.95743
GET       0.960     99.96090
GET       0.970     99.96499
GET       0.980     99.96907
GET       0.990     99.97234
GET       1.000     99.98357
GET       1.100     99.99183
GET       1.200     99.99479
GET       1.300     99.99602
GET       1.400     99.99622
GET       1.500     99.99673
GET       1.700     99.99694
GET       1.800     99.99724
GET       1.900     99.99816
GET       2.000     99.99867
GET       2.100     99.99878
GET       2.200     99.99898
GET       2.300     99.99918
GET       2.400     99.99929
GET       2.900     99.99939
GET       3.100     99.99949
GET       3.300     99.99969
GET       3.400     99.99980
GET       4.600    100.00000
