[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       51928 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:      102060 ops,   50124 (avg:   51031) ops/sec, 10.66MB/sec (avg: 10.85MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  2 threads:      148528 ops,   46461 (avg:   49508) ops/sec, 9.87MB/sec (avg: 10.52MB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  2 threads:      189519 ops,   40986 (avg:   47377) ops/sec, 8.71MB/sec (avg: 10.07MB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 17%,   5 secs]  2 threads:      230224 ops,   40699 (avg:   46041) ops/sec, 8.65MB/sec (avg: 9.79MB/sec),  0.29 (avg:  0.26) msec latency[RUN #1 20%,   6 secs]  2 threads:      266371 ops,   36141 (avg:   44391) ops/sec, 7.68MB/sec (avg: 9.43MB/sec),  0.33 (avg:  0.27) msec latency[RUN #1 23%,   7 secs]  2 threads:      300217 ops,   33842 (avg:   42884) ops/sec, 7.19MB/sec (avg: 9.11MB/sec),  0.35 (avg:  0.28) msec latency[RUN #1 27%,   8 secs]  2 threads:      330301 ops,   30081 (avg:   41284) ops/sec, 6.39MB/sec (avg: 8.77MB/sec),  0.40 (avg:  0.29) msec latency[RUN #1 30%,   9 secs]  2 threads:      358002 ops,   27698 (avg:   39774) ops/sec, 5.88MB/sec (avg: 8.45MB/sec),  0.43 (avg:  0.30) msec latency[RUN #1 33%,  10 secs]  2 threads:      383444 ops,   25439 (avg:   38341) ops/sec, 5.41MB/sec (avg: 8.15MB/sec),  0.47 (avg:  0.31) msec latency[RUN #1 37%,  11 secs]  2 threads:      407139 ops,   23692 (avg:   37009) ops/sec, 5.03MB/sec (avg: 7.86MB/sec),  0.50 (avg:  0.32) msec latency[RUN #1 40%,  12 secs]  2 threads:      429521 ops,   22379 (avg:   35790) ops/sec, 4.76MB/sec (avg: 7.61MB/sec),  0.53 (avg:  0.33) msec latency[RUN #1 43%,  13 secs]  2 threads:      450911 ops,   21387 (avg:   34682) ops/sec, 4.54MB/sec (avg: 7.37MB/sec),  0.56 (avg:  0.34) msec latency[RUN #1 47%,  14 secs]  2 threads:      471310 ops,   20396 (avg:   33661) ops/sec, 4.34MB/sec (avg: 7.15MB/sec),  0.59 (avg:  0.35) msec latency[RUN #1 50%,  15 secs]  2 threads:      491165 ops,   19852 (avg:   32741) ops/sec, 4.22MB/sec (avg: 6.96MB/sec),  0.60 (avg:  0.36) msec latency[RUN #1 53%,  16 secs]  2 threads:      510828 ops,   19660 (avg:   31923) ops/sec, 4.17MB/sec (avg: 6.78MB/sec),  0.61 (avg:  0.37) msec latency[RUN #1 57%,  17 secs]  2 threads:      529541 ops,   18711 (avg:   31146) ops/sec, 3.98MB/sec (avg: 6.62MB/sec),  0.64 (avg:  0.38) msec latency[RUN #1 60%,  18 secs]  2 threads:      547468 ops,   17925 (avg:   30412) ops/sec, 3.81MB/sec (avg: 6.46MB/sec),  0.67 (avg:  0.39) msec latency[RUN #1 63%,  19 secs]  2 threads:      565276 ops,   17806 (avg:   29748) ops/sec, 3.78MB/sec (avg: 6.32MB/sec),  0.67 (avg:  0.40) msec latency[RUN #1 67%,  20 secs]  2 threads:      582726 ops,   17448 (avg:   29133) ops/sec, 3.71MB/sec (avg: 6.19MB/sec),  0.68 (avg:  0.41) msec latency[RUN #1 70%,  21 secs]  2 threads:      599753 ops,   17025 (avg:   28556) ops/sec, 3.62MB/sec (avg: 6.07MB/sec),  0.70 (avg:  0.42) msec latency[RUN #1 73%,  22 secs]  2 threads:      616309 ops,   16554 (avg:   28011) ops/sec, 3.52MB/sec (avg: 5.95MB/sec),  0.72 (avg:  0.43) msec latency[RUN #1 77%,  23 secs]  2 threads:      632161 ops,   15850 (avg:   27482) ops/sec, 3.37MB/sec (avg: 5.84MB/sec),  0.75 (avg:  0.43) msec latency[RUN #1 80%,  24 secs]  2 threads:      647788 ops,   15625 (avg:   26988) ops/sec, 3.32MB/sec (avg: 5.73MB/sec),  0.76 (avg:  0.44) msec latency[RUN #1 83%,  25 secs]  2 threads:      663092 ops,   15302 (avg:   26521) ops/sec, 3.25MB/sec (avg: 5.64MB/sec),  0.78 (avg:  0.45) msec latency[RUN #1 87%,  26 secs]  2 threads:      678275 ops,   15181 (avg:   26084) ops/sec, 3.23MB/sec (avg: 5.54MB/sec),  0.79 (avg:  0.46) msec latency[RUN #1 90%,  27 secs]  2 threads:      693013 ops,   14736 (avg:   25664) ops/sec, 3.13MB/sec (avg: 5.45MB/sec),  0.81 (avg:  0.46) msec latency[RUN #1 93%,  28 secs]  2 threads:      707793 ops,   14778 (avg:   25275) ops/sec, 3.14MB/sec (avg: 5.37MB/sec),  0.81 (avg:  0.47) msec latency[RUN #1 97%,  29 secs]  2 threads:      722212 ops,   14417 (avg:   24901) ops/sec, 3.07MB/sec (avg: 5.29MB/sec),  0.83 (avg:  0.48) msec latency[RUN #1 100%,  30 secs]  0 threads:      737415 ops,   14417 (avg:   24580) ops/sec, 3.07MB/sec (avg: 5.22MB/sec),  0.83 (avg:  0.49) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        2234.72          ---          ---      0.52900      4565.23
Gets       22345.68      6218.01     16127.67      0.48000       783.21
Totals     24580.41      6218.01     16127.67      0.48500      5348.44


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00030
GET       0.068      0.00045
GET       0.071      0.00060
GET       0.073      0.00075
GET       0.074      0.00104
GET       0.075      0.00119
GET       0.076      0.00134
GET       0.077      0.00149
GET       0.079      0.00239
GET       0.081      0.00269
GET       0.082      0.00313
GET       0.083      0.00433
GET       0.084      0.00522
GET       0.085      0.00567
GET       0.086      0.00716
GET       0.087      0.00895
GET       0.088      0.01044
GET       0.089      0.01283
GET       0.090      0.01611
GET       0.091      0.02133
GET       0.092      0.02581
GET       0.093      0.02894
GET       0.094      0.03491
GET       0.095      0.04192
GET       0.096      0.05117
GET       0.097      0.05937
GET       0.098      0.06757
GET       0.099      0.07697
GET       0.100      0.12888
GET       0.110      0.27030
GET       0.120      0.47019
GET       0.130      0.80821
GET       0.140      1.59717
GET       0.150      2.79844
GET       0.160      4.01732
GET       0.170      5.25961
GET       0.180      6.83798
GET       0.190      9.11701
GET       0.200     11.48271
GET       0.210     13.71073
GET       0.220     15.91621
GET       0.230     18.39976
GET       0.240     21.04232
GET       0.250     23.48678
GET       0.260     25.75596
GET       0.270     27.92401
GET       0.280     30.13218
GET       0.290     32.21774
GET       0.300     34.18023
GET       0.310     36.00011
GET       0.320     37.74406
GET       0.330     39.48951
GET       0.340     41.20050
GET       0.350     42.78872
GET       0.360     44.31369
GET       0.370     45.79167
GET       0.380     47.29382
GET       0.390     48.73406
GET       0.400     50.08883
GET       0.410     51.41884
GET       0.420     52.69440
GET       0.430     53.95638
GET       0.440     55.21389
GET       0.450     56.41441
GET       0.460     57.59137
GET       0.470     58.72969
GET       0.480     59.84444
GET       0.490     60.92892
GET       0.500     62.01413
GET       0.510     63.06429
GET       0.520     64.09566
GET       0.530     65.11524
GET       0.540     66.10350
GET       0.550     67.04641
GET       0.560     67.96798
GET       0.570     68.87658
GET       0.580     69.77518
GET       0.590     70.67095
GET       0.600     71.51974
GET       0.610     72.33510
GET       0.620     73.16076
GET       0.630     73.97046
GET       0.640     74.73571
GET       0.650     75.49170
GET       0.660     76.20877
GET       0.670     76.94284
GET       0.680     77.64573
GET       0.690     78.33162
GET       0.700     78.99274
GET       0.710     79.65207
GET       0.720     80.29589
GET       0.730     80.92420
GET       0.740     81.54818
GET       0.750     82.15635
GET       0.760     82.74811
GET       0.770     83.34241
GET       0.780     83.92402
GET       0.790     84.49535
GET       0.800     85.04982
GET       0.810     85.59503
GET       0.820     86.15129
GET       0.830     86.67667
GET       0.840     87.20459
GET       0.850     87.71505
GET       0.860     88.21641
GET       0.870     88.71345
GET       0.880     89.20183
GET       0.890     89.68007
GET       0.900     90.15652
GET       0.910     90.62119
GET       0.920     91.07407
GET       0.930     91.50920
GET       0.940     91.94702
GET       0.950     92.37842
GET       0.960     92.79282
GET       0.970     93.19543
GET       0.980     93.59521
GET       0.990     93.97067
GET       1.000     95.90676
GET       1.100     98.28021
GET       1.200     99.46791
GET       1.300     99.87828
GET       1.400     99.97837
GET       1.500     99.99761
GET       1.600     99.99910
GET       1.700     99.99940
GET       1.800     99.99985
GET       1.900    100.00000
