[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        5284 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       10646 ops,    5361 (avg:    5323) ops/sec, 15.47MB/sec (avg: 15.36MB/sec),  1.11 (avg:  1.12) msec latency[RUN #1 10%,   2 secs]  2 threads:       15958 ops,    5311 (avg:    5319) ops/sec, 15.28MB/sec (avg: 15.33MB/sec),  1.12 (avg:  1.12) msec latency[RUN #1 13%,   3 secs]  2 threads:       21224 ops,    5265 (avg:    5306) ops/sec, 15.12MB/sec (avg: 15.28MB/sec),  1.13 (avg:  1.12) msec latency[RUN #1 17%,   5 secs]  2 threads:       26525 ops,    5300 (avg:    5304) ops/sec, 15.21MB/sec (avg: 15.27MB/sec),  1.12 (avg:  1.12) msec latency[RUN #1 20%,   6 secs]  2 threads:       31742 ops,    5216 (avg:    5290) ops/sec, 14.99MB/sec (avg: 15.22MB/sec),  1.15 (avg:  1.13) msec latency[RUN #1 23%,   7 secs]  2 threads:       36953 ops,    5210 (avg:    5278) ops/sec, 15.02MB/sec (avg: 15.19MB/sec),  1.14 (avg:  1.13) msec latency[RUN #1 27%,   8 secs]  2 threads:       42057 ops,    5103 (avg:    5256) ops/sec, 14.68MB/sec (avg: 15.13MB/sec),  1.17 (avg:  1.14) msec latency[RUN #1 30%,   9 secs]  2 threads:       47006 ops,    4948 (avg:    5222) ops/sec, 14.23MB/sec (avg: 15.03MB/sec),  1.21 (avg:  1.14) msec latency[RUN #1 33%,  10 secs]  2 threads:       51965 ops,    4958 (avg:    5196) ops/sec, 14.23MB/sec (avg: 14.95MB/sec),  1.20 (avg:  1.15) msec latency[RUN #1 37%,  11 secs]  2 threads:       56460 ops,    4494 (avg:    5132) ops/sec, 12.94MB/sec (avg: 14.77MB/sec),  1.33 (avg:  1.16) msec latency[RUN #1 40%,  12 secs]  2 threads:       60707 ops,    4246 (avg:    5058) ops/sec, 12.21MB/sec (avg: 14.55MB/sec),  1.41 (avg:  1.18) msec latency[RUN #1 43%,  13 secs]  2 threads:       65048 ops,    4340 (avg:    5003) ops/sec, 12.46MB/sec (avg: 14.39MB/sec),  1.38 (avg:  1.19) msec latency[RUN #1 47%,  14 secs]  2 threads:       69218 ops,    4169 (avg:    4943) ops/sec, 12.02MB/sec (avg: 14.22MB/sec),  1.43 (avg:  1.21) msec latency[RUN #1 50%,  15 secs]  2 threads:       73388 ops,    4169 (avg:    4892) ops/sec, 12.02MB/sec (avg: 14.08MB/sec),  1.43 (avg:  1.22) msec latency[RUN #1 53%,  16 secs]  2 threads:       77013 ops,    3624 (avg:    4812) ops/sec, 10.41MB/sec (avg: 13.85MB/sec),  1.65 (avg:  1.24) msec latency[RUN #1 57%,  17 secs]  2 threads:       80544 ops,    3530 (avg:    4737) ops/sec, 10.15MB/sec (avg: 13.63MB/sec),  1.69 (avg:  1.26) msec latency[RUN #1 60%,  18 secs]  2 threads:       83893 ops,    3348 (avg:    4660) ops/sec, 9.62MB/sec (avg: 13.41MB/sec),  1.79 (avg:  1.28) msec latency[RUN #1 63%,  19 secs]  2 threads:       87076 ops,    3182 (avg:    4582) ops/sec, 9.17MB/sec (avg: 13.18MB/sec),  1.88 (avg:  1.30) msec latency[RUN #1 67%,  20 secs]  2 threads:       90096 ops,    3019 (avg:    4504) ops/sec, 8.67MB/sec (avg: 12.96MB/sec),  1.98 (avg:  1.33) msec latency[RUN #1 70%,  21 secs]  2 threads:       93224 ops,    3127 (avg:    4438) ops/sec, 8.98MB/sec (avg: 12.77MB/sec),  1.91 (avg:  1.35) msec latency[RUN #1 73%,  22 secs]  2 threads:       96397 ops,    3172 (avg:    4381) ops/sec, 9.17MB/sec (avg: 12.61MB/sec),  1.88 (avg:  1.36) msec latency[RUN #1 77%,  23 secs]  2 threads:       99471 ops,    3073 (avg:    4324) ops/sec, 8.83MB/sec (avg: 12.44MB/sec),  1.94 (avg:  1.38) msec latency[RUN #1 80%,  24 secs]  2 threads:      102554 ops,    3082 (avg:    4272) ops/sec, 8.83MB/sec (avg: 12.29MB/sec),  1.94 (avg:  1.40) msec latency[RUN #1 83%,  25 secs]  2 threads:      105488 ops,    2933 (avg:    4219) ops/sec, 8.48MB/sec (avg: 12.14MB/sec),  2.04 (avg:  1.42) msec latency[RUN #1 87%,  26 secs]  2 threads:      108317 ops,    2828 (avg:    4165) ops/sec, 8.10MB/sec (avg: 11.98MB/sec),  2.12 (avg:  1.43) msec latency[RUN #1 90%,  27 secs]  2 threads:      111136 ops,    2818 (avg:    4115) ops/sec, 8.13MB/sec (avg: 11.84MB/sec),  2.12 (avg:  1.45) msec latency[RUN #1 93%,  28 secs]  2 threads:      113707 ops,    2570 (avg:    4060) ops/sec, 7.43MB/sec (avg: 11.68MB/sec),  2.32 (avg:  1.47) msec latency[RUN #1 97%,  29 secs]  2 threads:      116328 ops,    2620 (avg:    4010) ops/sec, 7.50MB/sec (avg: 11.54MB/sec),  2.28 (avg:  1.49) msec latency[RUN #1 100%,  30 secs]  0 threads:      118955 ops,    2620 (avg:    3965) ops/sec, 7.50MB/sec (avg: 11.41MB/sec),  2.28 (avg:  1.51) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         360.56          ---          ---      2.14800     11553.32
Gets        3604.52       370.29      3234.23      1.44200       126.33
Totals      3965.08       370.29      3234.23      1.50600     11679.66


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     52.96293
SET       2.000     82.73089
SET       3.000     94.85994
SET       4.000     98.46538
SET       5.000     99.41758
SET       6.000     99.88906
SET       7.000     99.99076
SET       8.000    100.00000
---
GET       0.066      0.00092
GET       0.074      0.00185
GET       0.076      0.00277
GET       0.077      0.00370
GET       0.080      0.00647
GET       0.081      0.00740
GET       0.082      0.00925
GET       0.083      0.01017
GET       0.084      0.01202
GET       0.085      0.01387
GET       0.086      0.01665
GET       0.087      0.01942
GET       0.088      0.02312
GET       0.089      0.02404
GET       0.090      0.02589
GET       0.091      0.02867
GET       0.092      0.03237
GET       0.093      0.03699
GET       0.094      0.03791
GET       0.095      0.04161
GET       0.096      0.04439
GET       0.097      0.04624
GET       0.098      0.04901
GET       0.099      0.05364
GET       0.100      0.06936
GET       0.110      0.14241
GET       0.120      0.21824
GET       0.130      0.30979
GET       0.140      0.42723
GET       0.150      0.55392
GET       0.160      0.65842
GET       0.170      0.78788
GET       0.180      0.96266
GET       0.190      1.11987
GET       0.200      1.34180
GET       0.210      1.57299
GET       0.220      1.89018
GET       0.230      2.25268
GET       0.240      2.64107
GET       0.250      3.02669
GET       0.260      3.43727
GET       0.270      3.90242
GET       0.280      4.35000
GET       0.290      4.82254
GET       0.300      5.32283
GET       0.310      5.82127
GET       0.320      6.27531
GET       0.330      6.85420
GET       0.340      7.40350
GET       0.350      7.91766
GET       0.360      8.50765
GET       0.370      9.15497
GET       0.380      9.81524
GET       0.390     10.42187
GET       0.400     11.00261
GET       0.410     11.55098
GET       0.420     12.08641
GET       0.430     12.66345
GET       0.440     13.21645
GET       0.450     13.73153
GET       0.460     14.29840
GET       0.470     14.83660
GET       0.480     15.33688
GET       0.490     15.83255
GET       0.500     16.37445
GET       0.510     16.86734
GET       0.520     17.36947
GET       0.530     17.90860
GET       0.540     18.45512
GET       0.550     18.99610
GET       0.560     19.56482
GET       0.570     20.09007
GET       0.580     20.63752
GET       0.590     21.18497
GET       0.600     21.72039
GET       0.610     22.23640
GET       0.620     22.73946
GET       0.630     23.22680
GET       0.640     23.72432
GET       0.650     24.24495
GET       0.660     24.72859
GET       0.670     25.20576
GET       0.680     25.73286
GET       0.690     26.19801
GET       0.700     26.66870
GET       0.710     27.13292
GET       0.720     27.58697
GET       0.730     28.06691
GET       0.740     28.53299
GET       0.750     28.96946
GET       0.760     29.42906
GET       0.770     29.85260
GET       0.780     30.30572
GET       0.790     30.73850
GET       0.800     31.17313
GET       0.810     31.63273
GET       0.820     32.07291
GET       0.830     32.52881
GET       0.840     32.98378
GET       0.850     33.42581
GET       0.860     33.86044
GET       0.870     34.31911
GET       0.880     34.76114
GET       0.890     35.18652
GET       0.900     35.65352
GET       0.910     36.08907
GET       0.920     36.54774
GET       0.930     36.94908
GET       0.940     37.37077
GET       0.950     37.77765
GET       0.960     38.20951
GET       0.970     38.60992
GET       0.980     39.00756
GET       0.990     39.44312
GET       1.000     41.69580
GET       1.100     45.74433
GET       1.200     49.95654
GET       1.300     54.04576
GET       1.400     58.29403
GET       1.500     62.62646
GET       1.600     66.99588
GET       1.700     71.22751
GET       1.800     75.01803
GET       1.900     78.04380
GET       2.000     80.31867
GET       2.100     82.06643
GET       2.200     83.40084
GET       2.300     84.57989
GET       2.400     85.60728
GET       2.500     86.56716
GET       2.600     87.53722
GET       2.700     88.57016
GET       2.800     89.63547
GET       2.900     90.75256
GET       3.000     91.90571
GET       3.100     92.99691
GET       3.200     93.99101
GET       3.300     94.80109
GET       3.400     95.33466
GET       3.500     95.69439
GET       3.600     96.00233
GET       3.700     96.25571
GET       3.800     96.52204
GET       3.900     96.79299
GET       4.000     97.08706
GET       4.100     97.36633
GET       4.200     97.66964
GET       4.300     97.97389
GET       4.400     98.31234
GET       4.500     98.55370
GET       4.600     98.77749
GET       4.700     98.95134
GET       4.800     99.08265
GET       4.900     99.16958
GET       5.000     99.24911
GET       5.100     99.32124
GET       5.200     99.38597
GET       5.300     99.44330
GET       5.400     99.51174
GET       5.500     99.56722
GET       5.600     99.63842
GET       5.700     99.69853
GET       5.800     99.74939
GET       5.900     99.79563
GET       6.000     99.83540
GET       6.100     99.86036
GET       6.200     99.88533
GET       6.300     99.89735
GET       6.400     99.90660
GET       6.500     99.91585
GET       6.600     99.92417
GET       6.700     99.93342
GET       6.800     99.94452
GET       6.900     99.95191
GET       7.000     99.95746
GET       7.100     99.96578
GET       7.200     99.97133
GET       7.300     99.97966
GET       7.400     99.98335
GET       7.500     99.98798
GET       7.600     99.98983
GET       7.700     99.99075
GET       7.800     99.99260
GET       7.900     99.99353
GET       8.000     99.99630
GET       8.200     99.99723
GET       8.400     99.99815
GET       8.600     99.99908
GET       9.400    100.00000
