[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       44277 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       88597 ops,   44314 (avg:   44298) ops/sec, 1.58MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      132829 ops,   44227 (avg:   44274) ops/sec, 1.58MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      177241 ops,   44406 (avg:   44307) ops/sec, 1.58MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      221544 ops,   44298 (avg:   44305) ops/sec, 1.58MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  2 threads:      265548 ops,   43999 (avg:   44254) ops/sec, 1.57MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  2 threads:      309746 ops,   44191 (avg:   44245) ops/sec, 1.57MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      354031 ops,   44280 (avg:   44250) ops/sec, 1.58MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      398142 ops,   44106 (avg:   44234) ops/sec, 1.57MB/sec (avg: 1.58MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      442224 ops,   44076 (avg:   44218) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      486302 ops,   44072 (avg:   44205) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  2 threads:      530334 ops,   44027 (avg:   44190) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      574603 ops,   44264 (avg:   44196) ops/sec, 1.58MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      618886 ops,   44278 (avg:   44201) ops/sec, 1.58MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  2 threads:      662960 ops,   44069 (avg:   44193) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  2 threads:      707101 ops,   44136 (avg:   44189) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  2 threads:      751086 ops,   43979 (avg:   44177) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  2 threads:      795207 ops,   44115 (avg:   44173) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  2 threads:      839349 ops,   44136 (avg:   44171) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  2 threads:      883694 ops,   44340 (avg:   44180) ops/sec, 1.58MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  2 threads:      927919 ops,   44219 (avg:   44182) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  2 threads:      971950 ops,   44026 (avg:   44175) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  2 threads:     1015955 ops,   44000 (avg:   44167) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  2 threads:     1060063 ops,   44103 (avg:   44164) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  2 threads:     1103904 ops,   43836 (avg:   44151) ops/sec, 1.56MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  2 threads:     1147975 ops,   44066 (avg:   44148) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  2 threads:     1191917 ops,   43937 (avg:   44140) ops/sec, 1.56MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  2 threads:     1236058 ops,   44135 (avg:   44140) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  2 threads:     1280079 ops,   44016 (avg:   44136) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 100%,  30 secs]  0 threads:     1324146 ops,   44016 (avg:   44138) ops/sec, 1.57MB/sec (avg: 1.57MB/sec),  0.13 (avg:  0.13) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        4012.66          ---          ---      0.13600       203.35
Gets       40125.45     24381.59     15743.87      0.13200      1406.39
Totals     44138.11     24381.59     15743.87      0.13200      1609.73


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00008
GET       0.057      0.00066
GET       0.058      0.00075
GET       0.059      0.00199
GET       0.060      0.00374
GET       0.061      0.00706
GET       0.062      0.01121
GET       0.063      0.01678
GET       0.064      0.02708
GET       0.065      0.03871
GET       0.066      0.05425
GET       0.067      0.07452
GET       0.068      0.10043
GET       0.069      0.12909
GET       0.070      0.16124
GET       0.071      0.20544
GET       0.072      0.26766
GET       0.073      0.33752
GET       0.074      0.41918
GET       0.075      0.51056
GET       0.076      0.60294
GET       0.077      0.72007
GET       0.078      0.85764
GET       0.079      1.01149
GET       0.080      1.18761
GET       0.081      1.38723
GET       0.082      1.62457
GET       0.083      1.92587
GET       0.084      2.29721
GET       0.085      2.74763
GET       0.086      3.23119
GET       0.087      3.77731
GET       0.088      4.35841
GET       0.089      4.98020
GET       0.090      5.76632
GET       0.091      6.81843
GET       0.092      8.07674
GET       0.093      9.52095
GET       0.094     11.53987
GET       0.095     13.83948
GET       0.096     15.84685
GET       0.097     17.41568
GET       0.098     18.81063
GET       0.099     20.13938
GET       0.100     27.65189
GET       0.110     40.35469
GET       0.120     48.76645
GET       0.130     56.66658
GET       0.140     71.23669
GET       0.150     84.34139
GET       0.160     89.95768
GET       0.170     92.73214
GET       0.180     94.65511
GET       0.190     96.05015
GET       0.200     96.83327
GET       0.210     97.26209
GET       0.220     97.53208
GET       0.230     97.74524
GET       0.240     97.94138
GET       0.250     98.11168
GET       0.260     98.25332
GET       0.270     98.36820
GET       0.280     98.47022
GET       0.290     98.56758
GET       0.300     98.65132
GET       0.310     98.72292
GET       0.320     98.78623
GET       0.330     98.83923
GET       0.340     98.88558
GET       0.350     98.92595
GET       0.360     98.96624
GET       0.370     99.00828
GET       0.380     99.05073
GET       0.390     99.08770
GET       0.400     99.12840
GET       0.410     99.16437
GET       0.420     99.20192
GET       0.430     99.23773
GET       0.440     99.27071
GET       0.450     99.30036
GET       0.460     99.32620
GET       0.470     99.35079
GET       0.480     99.37662
GET       0.490     99.40404
GET       0.500     99.43203
GET       0.510     99.46061
GET       0.520     99.48570
GET       0.530     99.51369
GET       0.540     99.53945
GET       0.550     99.56570
GET       0.560     99.58946
GET       0.570     99.61355
GET       0.580     99.63631
GET       0.590     99.65757
GET       0.600     99.67809
GET       0.610     99.70011
GET       0.620     99.72179
GET       0.630     99.74289
GET       0.640     99.76565
GET       0.650     99.78534
GET       0.660     99.80677
GET       0.670     99.82879
GET       0.680     99.84665
GET       0.690     99.86351
GET       0.700     99.87822
GET       0.710     99.89117
GET       0.720     99.90330
GET       0.730     99.91402
GET       0.740     99.92266
GET       0.750     99.93288
GET       0.760     99.94226
GET       0.770     99.95182
GET       0.780     99.96013
GET       0.790     99.96885
GET       0.800     99.97632
GET       0.810     99.98214
GET       0.820     99.98712
GET       0.830     99.98953
GET       0.840     99.99244
GET       0.850     99.99427
GET       0.860     99.99551
GET       0.870     99.99634
GET       0.880     99.99701
GET       0.890     99.99759
GET       0.900     99.99767
GET       0.910     99.99784
GET       0.920     99.99792
GET       0.930     99.99817
GET       0.940     99.99826
GET       0.950     99.99834
GET       0.960     99.99850
GET       0.970     99.99867
GET       0.980     99.99875
GET       0.990     99.99892
GET       1.000     99.99900
GET       1.100     99.99909
GET       2.600     99.99917
GET       2.800     99.99925
GET       4.100     99.99942
GET       4.300     99.99950
GET       4.700     99.99958
GET       5.200     99.99967
GET       5.300     99.99983
GET       8.100     99.99992
GET      14.000    100.00000
