[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       70823 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:      141268 ops,   70436 (avg:   70635) ops/sec, 2.66MB/sec (avg: 2.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  2 threads:      211148 ops,   69871 (avg:   70380) ops/sec, 2.63MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  2 threads:      281600 ops,   70441 (avg:   70395) ops/sec, 2.66MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  2 threads:      352129 ops,   70519 (avg:   70420) ops/sec, 2.66MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  2 threads:      422884 ops,   70745 (avg:   70474) ops/sec, 2.67MB/sec (avg: 2.66MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 23%,   7 secs]  2 threads:      492890 ops,   69996 (avg:   70406) ops/sec, 2.64MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 27%,   8 secs]  2 threads:      562624 ops,   69725 (avg:   70321) ops/sec, 2.63MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 30%,   9 secs]  2 threads:      632794 ops,   70152 (avg:   70302) ops/sec, 2.64MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  2 threads:      702833 ops,   70031 (avg:   70275) ops/sec, 2.64MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  2 threads:      772010 ops,   69169 (avg:   70175) ops/sec, 2.61MB/sec (avg: 2.65MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 40%,  12 secs]  2 threads:      841483 ops,   69464 (avg:   70115) ops/sec, 2.62MB/sec (avg: 2.64MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 43%,  13 secs]  2 threads:      910923 ops,   69433 (avg:   70063) ops/sec, 2.62MB/sec (avg: 2.64MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 47%,  14 secs]  2 threads:      979530 ops,   68598 (avg:   69958) ops/sec, 2.59MB/sec (avg: 2.64MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 50%,  15 secs]  2 threads:     1047904 ops,   68365 (avg:   69852) ops/sec, 2.58MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 53%,  16 secs]  2 threads:     1117297 ops,   69384 (avg:   69823) ops/sec, 2.62MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 57%,  17 secs]  2 threads:     1186523 ops,   69217 (avg:   69787) ops/sec, 2.61MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 60%,  18 secs]  2 threads:     1255876 ops,   69343 (avg:   69762) ops/sec, 2.61MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 63%,  19 secs]  2 threads:     1326274 ops,   70388 (avg:   69795) ops/sec, 2.65MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 67%,  20 secs]  2 threads:     1396195 ops,   69912 (avg:   69801) ops/sec, 2.64MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 70%,  21 secs]  2 threads:     1465318 ops,   69114 (avg:   69768) ops/sec, 2.61MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 73%,  22 secs]  2 threads:     1533657 ops,   68330 (avg:   69703) ops/sec, 2.58MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 77%,  23 secs]  2 threads:     1602787 ops,   69122 (avg:   69678) ops/sec, 2.61MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 80%,  24 secs]  2 threads:     1673401 ops,   70605 (avg:   69716) ops/sec, 2.66MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 83%,  25 secs]  2 threads:     1744208 ops,   70799 (avg:   69760) ops/sec, 2.67MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 87%,  26 secs]  2 threads:     1813528 ops,   69311 (avg:   69742) ops/sec, 2.61MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 90%,  27 secs]  2 threads:     1882902 ops,   69365 (avg:   69728) ops/sec, 2.61MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  2 threads:     1952385 ops,   69474 (avg:   69719) ops/sec, 2.62MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  2 threads:     2022116 ops,   69721 (avg:   69719) ops/sec, 2.63MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:     2091120 ops,   69721 (avg:   69703) ops/sec, 2.63MB/sec (avg: 2.63MB/sec),  0.17 (avg:  0.17) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        6336.88          ---          ---      0.17300       469.65
Gets       63366.91     34767.63     28599.28      0.16900      2220.99
Totals     69703.79     34767.63     28599.28      0.16900      2690.64


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.052      0.00005
GET       0.055      0.00021
GET       0.057      0.00042
GET       0.058      0.00084
GET       0.059      0.00116
GET       0.060      0.00189
GET       0.061      0.00258
GET       0.062      0.00395
GET       0.063      0.00537
GET       0.064      0.00789
GET       0.065      0.01094
GET       0.066      0.01499
GET       0.067      0.01878
GET       0.068      0.02451
GET       0.069      0.03167
GET       0.070      0.04066
GET       0.071      0.05197
GET       0.072      0.06549
GET       0.073      0.08359
GET       0.074      0.10168
GET       0.075      0.12088
GET       0.076      0.14903
GET       0.077      0.17727
GET       0.078      0.21173
GET       0.079      0.25397
GET       0.080      0.30305
GET       0.081      0.36291
GET       0.082      0.42630
GET       0.083      0.50205
GET       0.084      0.58879
GET       0.085      0.69174
GET       0.086      0.81036
GET       0.087      0.95265
GET       0.088      1.12077
GET       0.089      1.31330
GET       0.090      1.53229
GET       0.091      1.77374
GET       0.092      2.04433
GET       0.093      2.34770
GET       0.094      2.68957
GET       0.095      3.08793
GET       0.096      3.53243
GET       0.097      3.98714
GET       0.098      4.46709
GET       0.099      4.97387
GET       0.100      7.65218
GET       0.110     13.14636
GET       0.120     18.47568
GET       0.130     26.41681
GET       0.140     42.80134
GET       0.150     59.34394
GET       0.160     67.63142
GET       0.170     72.62286
GET       0.180     77.40484
GET       0.190     82.46961
GET       0.200     86.17958
GET       0.210     88.17488
GET       0.220     89.31054
GET       0.230     90.16829
GET       0.240     90.93183
GET       0.250     91.56208
GET       0.260     92.05713
GET       0.270     92.46391
GET       0.280     92.87974
GET       0.290     93.37190
GET       0.300     93.83376
GET       0.310     94.20662
GET       0.320     94.54591
GET       0.330     94.88894
GET       0.340     95.26300
GET       0.350     95.60340
GET       0.360     95.88367
GET       0.370     96.14395
GET       0.380     96.43869
GET       0.390     96.76846
GET       0.400     97.07966
GET       0.410     97.34957
GET       0.420     97.59991
GET       0.430     97.85362
GET       0.440     98.11711
GET       0.450     98.34183
GET       0.460     98.53210
GET       0.470     98.69517
GET       0.480     98.85193
GET       0.490     99.00195
GET       0.500     99.12710
GET       0.510     99.22873
GET       0.520     99.31610
GET       0.530     99.39732
GET       0.540     99.47312
GET       0.550     99.53683
GET       0.560     99.58796
GET       0.570     99.63630
GET       0.580     99.67807
GET       0.590     99.71783
GET       0.600     99.75182
GET       0.610     99.77759
GET       0.620     99.80168
GET       0.630     99.82104
GET       0.640     99.83893
GET       0.650     99.85471
GET       0.660     99.86697
GET       0.670     99.87927
GET       0.680     99.89127
GET       0.690     99.90063
GET       0.700     99.90926
GET       0.710     99.91668
GET       0.720     99.92320
GET       0.730     99.92893
GET       0.740     99.93456
GET       0.750     99.93987
GET       0.760     99.94419
GET       0.770     99.94871
GET       0.780     99.95245
GET       0.790     99.95581
GET       0.800     99.95955
GET       0.810     99.96213
GET       0.820     99.96418
GET       0.830     99.96612
GET       0.840     99.96791
GET       0.850     99.96944
GET       0.860     99.97149
GET       0.870     99.97333
GET       0.880     99.97480
GET       0.890     99.97591
GET       0.900     99.97722
GET       0.910     99.97827
GET       0.920     99.97922
GET       0.930     99.97996
GET       0.940     99.98054
GET       0.950     99.98112
GET       0.960     99.98175
GET       0.970     99.98227
GET       0.980     99.98296
GET       0.990     99.98375
GET       1.000     99.98580
GET       1.100     99.98759
GET       1.200     99.98890
GET       1.300     99.99027
GET       1.400     99.99127
GET       1.500     99.99295
GET       1.600     99.99342
GET       1.700     99.99448
GET       1.800     99.99511
GET       1.900     99.99584
GET       2.000     99.99648
GET       2.100     99.99679
GET       2.200     99.99700
GET       2.300     99.99711
GET       2.400     99.99742
GET       2.500     99.99748
GET       2.600     99.99758
GET       2.700     99.99769
GET       2.800     99.99784
GET       2.900     99.99811
GET       3.000     99.99858
GET       3.100     99.99868
GET       3.700     99.99884
GET       3.800     99.99890
GET       4.000     99.99895
GET       4.100     99.99905
GET       4.200     99.99926
GET       4.300     99.99958
GET       4.400     99.99984
GET       4.500     99.99989
GET       8.500    100.00000
