[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       34284 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       68438 ops,   34149 (avg:   34218) ops/sec, 1.29MB/sec (avg: 1.29MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  1 threads:      102208 ops,   33765 (avg:   34067) ops/sec, 1.27MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  1 threads:      136120 ops,   33907 (avg:   34027) ops/sec, 1.28MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  1 threads:      170118 ops,   33993 (avg:   34020) ops/sec, 1.28MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 20%,   6 secs]  1 threads:      203198 ops,   33075 (avg:   33863) ops/sec, 1.24MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 23%,   7 secs]  1 threads:      236405 ops,   33202 (avg:   33768) ops/sec, 1.25MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 27%,   8 secs]  1 threads:      270271 ops,   33861 (avg:   33780) ops/sec, 1.27MB/sec (avg: 1.27MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:      303102 ops,   32826 (avg:   33674) ops/sec, 1.24MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:      336907 ops,   33800 (avg:   33687) ops/sec, 1.27MB/sec (avg: 1.27MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:      370116 ops,   33204 (avg:   33643) ops/sec, 1.25MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      402813 ops,   32692 (avg:   33564) ops/sec, 1.23MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 43%,  13 secs]  1 threads:      435813 ops,   32996 (avg:   33520) ops/sec, 1.24MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 47%,  14 secs]  1 threads:      469462 ops,   33645 (avg:   33529) ops/sec, 1.27MB/sec (avg: 1.26MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 50%,  15 secs]  1 threads:      502517 ops,   33051 (avg:   33497) ops/sec, 1.24MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 53%,  16 secs]  1 threads:      535738 ops,   33216 (avg:   33479) ops/sec, 1.25MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:      569545 ops,   33802 (avg:   33498) ops/sec, 1.27MB/sec (avg: 1.26MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      602708 ops,   33159 (avg:   33479) ops/sec, 1.25MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      635389 ops,   32677 (avg:   33437) ops/sec, 1.23MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      668222 ops,   32829 (avg:   33407) ops/sec, 1.23MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      702216 ops,   33990 (avg:   33435) ops/sec, 1.28MB/sec (avg: 1.26MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:      735401 ops,   33181 (avg:   33423) ops/sec, 1.25MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:      767677 ops,   32271 (avg:   33373) ops/sec, 1.21MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  1 threads:      800074 ops,   32392 (avg:   33332) ops/sec, 1.22MB/sec (avg: 1.25MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  1 threads:      833583 ops,   33504 (avg:   33339) ops/sec, 1.26MB/sec (avg: 1.25MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 87%,  26 secs]  1 threads:      866027 ops,   32440 (avg:   33304) ops/sec, 1.22MB/sec (avg: 1.25MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 90%,  27 secs]  1 threads:      897919 ops,   31888 (avg:   33252) ops/sec, 1.20MB/sec (avg: 1.25MB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  1 threads:      930215 ops,   32291 (avg:   33218) ops/sec, 1.22MB/sec (avg: 1.25MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  1 threads:      964921 ops,   34701 (avg:   33269) ops/sec, 1.31MB/sec (avg: 1.25MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 100%,  30 secs]  0 threads:     1010597 ops,   34701 (avg:   33686) ops/sec, 1.31MB/sec (avg: 1.27MB/sec),  0.23 (avg:  0.23) msec latency

1         Threads
8         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3062.56          ---          ---      0.24100       226.76
Gets       30623.93     19541.05     11082.87      0.23300      1071.09
Totals     33686.49     19541.05     11082.87      0.23400      1297.85


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00011
GET       0.056      0.00022
GET       0.058      0.00033
GET       0.059      0.00044
GET       0.060      0.00054
GET       0.061      0.00142
GET       0.062      0.00174
GET       0.063      0.00207
GET       0.064      0.00272
GET       0.065      0.00337
GET       0.066      0.00414
GET       0.067      0.00588
GET       0.068      0.00805
GET       0.069      0.00958
GET       0.070      0.01230
GET       0.071      0.01535
GET       0.072      0.01927
GET       0.073      0.02427
GET       0.074      0.02993
GET       0.075      0.03625
GET       0.076      0.04289
GET       0.077      0.05203
GET       0.078      0.06498
GET       0.079      0.07695
GET       0.080      0.09111
GET       0.081      0.11015
GET       0.082      0.13258
GET       0.083      0.16371
GET       0.084      0.19941
GET       0.085      0.23968
GET       0.086      0.28812
GET       0.087      0.34668
GET       0.088      0.41536
GET       0.089      0.49656
GET       0.090      0.59082
GET       0.091      0.69640
GET       0.092      0.81722
GET       0.093      0.95916
GET       0.094      1.12385
GET       0.095      1.30094
GET       0.096      1.49795
GET       0.097      1.69747
GET       0.098      1.90101
GET       0.099      2.11381
GET       0.100      3.26661
GET       0.110      5.76149
GET       0.120      8.55745
GET       0.130     12.69734
GET       0.140     19.69523
GET       0.150     27.51567
GET       0.160     33.68861
GET       0.170     38.91871
GET       0.180     44.75967
GET       0.190     52.23093
GET       0.200     59.45293
GET       0.210     65.02318
GET       0.220     69.59933
GET       0.230     73.95039
GET       0.240     78.49094
GET       0.250     82.31093
GET       0.260     84.99412
GET       0.270     86.96915
GET       0.280     88.60948
GET       0.290     90.07347
GET       0.300     91.24249
GET       0.310     92.10804
GET       0.320     92.78485
GET       0.330     93.38221
GET       0.340     93.91850
GET       0.350     94.37587
GET       0.360     94.75357
GET       0.370     95.07478
GET       0.380     95.36986
GET       0.390     95.65428
GET       0.400     95.90093
GET       0.410     96.11111
GET       0.420     96.29321
GET       0.430     96.47020
GET       0.440     96.63728
GET       0.450     96.78923
GET       0.460     96.91897
GET       0.470     97.03664
GET       0.480     97.14690
GET       0.490     97.25150
GET       0.500     97.34489
GET       0.510     97.42642
GET       0.520     97.49684
GET       0.530     97.56607
GET       0.540     97.63214
GET       0.550     97.69375
GET       0.560     97.75742
GET       0.570     97.80314
GET       0.580     97.85201
GET       0.590     97.89773
GET       0.600     97.94638
GET       0.610     97.98666
GET       0.620     98.02388
GET       0.630     98.06045
GET       0.640     98.10127
GET       0.650     98.13523
GET       0.660     98.16658
GET       0.670     98.19727
GET       0.680     98.22862
GET       0.690     98.25812
GET       0.700     98.28315
GET       0.710     98.30852
GET       0.720     98.33649
GET       0.730     98.36163
GET       0.740     98.38721
GET       0.750     98.40670
GET       0.760     98.42629
GET       0.770     98.44849
GET       0.780     98.46841
GET       0.790     98.49073
GET       0.800     98.51010
GET       0.810     98.53013
GET       0.820     98.54798
GET       0.830     98.56354
GET       0.840     98.58020
GET       0.850     98.59729
GET       0.860     98.61209
GET       0.870     98.62679
GET       0.880     98.64464
GET       0.890     98.66151
GET       0.900     98.67413
GET       0.910     98.68676
GET       0.920     98.70037
GET       0.930     98.71136
GET       0.940     98.72627
GET       0.950     98.73912
GET       0.960     98.74902
GET       0.970     98.76306
GET       0.980     98.77427
GET       0.990     98.78592
GET       1.000     98.84774
GET       1.100     98.94266
GET       1.200     99.02930
GET       1.300     99.09722
GET       1.400     99.15818
GET       1.500     99.21304
GET       1.600     99.26082
GET       1.700     99.30621
GET       1.800     99.34888
GET       1.900     99.38980
GET       2.000     99.42268
GET       2.100     99.45740
GET       2.200     99.48951
GET       2.300     99.51759
GET       2.400     99.54186
GET       2.500     99.56690
GET       2.600     99.59139
GET       2.700     99.61359
GET       2.800     99.63351
GET       2.900     99.65343
GET       3.000     99.67226
GET       3.100     99.68979
GET       3.200     99.70981
GET       3.300     99.72766
GET       3.400     99.74258
GET       3.500     99.75596
GET       3.600     99.76892
GET       3.700     99.78263
GET       3.800     99.79276
GET       3.900     99.80299
GET       4.000     99.81354
GET       4.100     99.82247
GET       4.200     99.83466
GET       4.300     99.84707
GET       4.400     99.86035
GET       4.500     99.87178
GET       4.600     99.87962
GET       4.700     99.88517
GET       4.800     99.88887
GET       4.900     99.89442
GET       5.000     99.89888
GET       5.100     99.90465
GET       5.200     99.90944
GET       5.300     99.91434
GET       5.400     99.92032
GET       5.500     99.92402
GET       5.600     99.92762
GET       5.700     99.93034
GET       5.800     99.93251
GET       5.900     99.93491
GET       6.000     99.93839
GET       6.100     99.94057
GET       6.200     99.94209
GET       6.300     99.94405
GET       6.400     99.94634
GET       6.500     99.94819
GET       6.600     99.94960
GET       6.700     99.95113
GET       6.800     99.95232
GET       6.900     99.95418
GET       7.000     99.95559
GET       7.100     99.95755
GET       7.200     99.95994
GET       7.300     99.96103
GET       7.400     99.96288
GET       7.500     99.96386
GET       7.600     99.96473
GET       7.700     99.96669
GET       7.800     99.96724
GET       7.900     99.96822
GET       8.000     99.96963
GET       8.100     99.97061
GET       8.200     99.97301
GET       8.300     99.97605
GET       8.400     99.97932
GET       8.500     99.98171
GET       8.600     99.98400
GET       8.700     99.98454
GET       8.800     99.98541
GET       8.900     99.98607
GET       9.000     99.98683
GET       9.100     99.98748
GET       9.200     99.98781
GET       9.300     99.98835
GET       9.400     99.98890
GET       9.500     99.98933
GET       9.600     99.98977
GET       9.800     99.99031
GET       9.900     99.99086
GET      10.000     99.99205
GET      11.000     99.99347
GET      12.000     99.99586
GET      13.000     99.99782
GET      14.000     99.99858
GET      15.000     99.99902
GET      16.000     99.99946
GET      17.000     99.99967
GET      20.000     99.99978
GET      22.000    100.00000
