[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       25679 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       47501 ops,   21819 (avg:   23749) ops/sec, 836.69KB/sec (avg: 910.65KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       63338 ops,   15835 (avg:   21111) ops/sec, 607.03KB/sec (avg: 809.44KB/sec),  0.25 (avg:  0.19) msec latency[RUN #1 13%,   4 secs]  1 threads:       78545 ops,   15205 (avg:   19634) ops/sec, 582.95KB/sec (avg: 752.81KB/sec),  0.26 (avg:  0.20) msec latency[RUN #1 17%,   5 secs]  1 threads:       93347 ops,   14800 (avg:   18668) ops/sec, 567.38KB/sec (avg: 715.73KB/sec),  0.27 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:      108156 ops,   14807 (avg:   18024) ops/sec, 567.92KB/sec (avg: 691.09KB/sec),  0.27 (avg:  0.22) msec latency[RUN #1 23%,   7 secs]  1 threads:      123932 ops,   15774 (avg:   17703) ops/sec, 604.99KB/sec (avg: 678.79KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 27%,   8 secs]  1 threads:      138489 ops,   14555 (avg:   17309) ops/sec, 558.07KB/sec (avg: 663.70KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:      154105 ops,   15614 (avg:   17121) ops/sec, 598.64KB/sec (avg: 656.47KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:      169362 ops,   15255 (avg:   16934) ops/sec, 584.80KB/sec (avg: 649.30KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:      184350 ops,   14986 (avg:   16757) ops/sec, 574.66KB/sec (avg: 642.52KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      199499 ops,   15147 (avg:   16623) ops/sec, 580.79KB/sec (avg: 637.37KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 43%,  13 secs]  1 threads:      214419 ops,   14918 (avg:   16492) ops/sec, 572.00KB/sec (avg: 632.35KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 47%,  14 secs]  1 threads:      229994 ops,   15573 (avg:   16426) ops/sec, 597.17KB/sec (avg: 629.83KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 50%,  15 secs]  1 threads:      245527 ops,   15531 (avg:   16366) ops/sec, 595.48KB/sec (avg: 627.54KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 53%,  16 secs]  1 threads:      261420 ops,   15891 (avg:   16337) ops/sec, 609.30KB/sec (avg: 626.40KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:      276067 ops,   14645 (avg:   16237) ops/sec, 561.58KB/sec (avg: 622.59KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      291133 ops,   15064 (avg:   16172) ops/sec, 577.58KB/sec (avg: 620.09KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      306566 ops,   15431 (avg:   16133) ops/sec, 591.67KB/sec (avg: 618.59KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      321510 ops,   14942 (avg:   16073) ops/sec, 572.95KB/sec (avg: 616.31KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      336288 ops,   14776 (avg:   16012) ops/sec, 566.54KB/sec (avg: 613.94KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 73%,  22 secs]  1 threads:      351593 ops,   15303 (avg:   15979) ops/sec, 586.70KB/sec (avg: 612.70KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 77%,  23 secs]  1 threads:      366675 ops,   15080 (avg:   15940) ops/sec, 578.17KB/sec (avg: 611.20KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  1 threads:      381192 ops,   14515 (avg:   15881) ops/sec, 556.56KB/sec (avg: 608.92KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 83%,  25 secs]  1 threads:      396260 ops,   15066 (avg:   15848) ops/sec, 577.61KB/sec (avg: 607.67KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  1 threads:      411433 ops,   15171 (avg:   15822) ops/sec, 581.75KB/sec (avg: 606.67KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  1 threads:      427265 ops,   15830 (avg:   15823) ops/sec, 606.92KB/sec (avg: 606.68KB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 93%,  28 secs]  1 threads:      442111 ops,   14844 (avg:   15788) ops/sec, 569.25KB/sec (avg: 605.35KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 97%,  29 secs]  1 threads:      457537 ops,   15424 (avg:   15775) ops/sec, 591.45KB/sec (avg: 604.87KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 100%,  30 secs]  0 threads:      477901 ops,   15424 (avg:   15929) ops/sec, 591.45KB/sec (avg: 610.79KB/sec),  0.26 (avg:  0.25) msec latency

1         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1448.23          ---          ---      0.25000       106.95
Gets       14481.76     11730.06      2751.69      0.24600       503.84
Totals     15929.99     11730.06      2751.69      0.24700       610.79


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00023
GET       0.059      0.00092
GET       0.060      0.00138
GET       0.061      0.00184
GET       0.062      0.00230
GET       0.063      0.00368
GET       0.064      0.00668
GET       0.065      0.01013
GET       0.066      0.01450
GET       0.067      0.01887
GET       0.068      0.02279
GET       0.069      0.02877
GET       0.070      0.03798
GET       0.071      0.04719
GET       0.072      0.05777
GET       0.073      0.06882
GET       0.074      0.08355
GET       0.075      0.09920
GET       0.076      0.11992
GET       0.077      0.14271
GET       0.078      0.17033
GET       0.079      0.19933
GET       0.080      0.23708
GET       0.081      0.27989
GET       0.082      0.34020
GET       0.083      0.41615
GET       0.084      0.49718
GET       0.085      0.60214
GET       0.086      0.72827
GET       0.087      0.86753
GET       0.088      1.04614
GET       0.089      1.25974
GET       0.090      1.50027
GET       0.091      1.78316
GET       0.092      2.11576
GET       0.093      2.53352
GET       0.094      3.02748
GET       0.095      3.59969
GET       0.096      4.13991
GET       0.097      4.65941
GET       0.098      5.14462
GET       0.099      5.63098
GET       0.100      7.94722
GET       0.110     11.85580
GET       0.120     15.21013
GET       0.130     20.19938
GET       0.140     30.03724
GET       0.150     39.58578
GET       0.160     45.42644
GET       0.170     49.83082
GET       0.180     54.17950
GET       0.190     59.60861
GET       0.200     64.19483
GET       0.210     67.21103
GET       0.220     69.67412
GET       0.230     72.01568
GET       0.240     74.59892
GET       0.250     76.86544
GET       0.260     78.56689
GET       0.270     80.03563
GET       0.280     81.39918
GET       0.290     82.89646
GET       0.300     84.17255
GET       0.310     85.15746
GET       0.320     86.02936
GET       0.330     86.85016
GET       0.340     87.66981
GET       0.350     88.40982
GET       0.360     89.00942
GET       0.370     89.53836
GET       0.380     90.03761
GET       0.390     90.51798
GET       0.400     90.95992
GET       0.410     91.34385
GET       0.420     91.69809
GET       0.430     92.01365
GET       0.440     92.32600
GET       0.450     92.61119
GET       0.460     92.86530
GET       0.470     93.09984
GET       0.480     93.33370
GET       0.490     93.55996
GET       0.500     93.76067
GET       0.510     93.95195
GET       0.520     94.12389
GET       0.530     94.29030
GET       0.540     94.44912
GET       0.550     94.61140
GET       0.560     94.75641
GET       0.570     94.88093
GET       0.580     95.01006
GET       0.590     95.14011
GET       0.600     95.26095
GET       0.610     95.38041
GET       0.620     95.49181
GET       0.630     95.59884
GET       0.640     95.70657
GET       0.650     95.79633
GET       0.660     95.89370
GET       0.670     95.98185
GET       0.680     96.06978
GET       0.690     96.15103
GET       0.700     96.22607
GET       0.710     96.30778
GET       0.720     96.38558
GET       0.730     96.45923
GET       0.740     96.53335
GET       0.750     96.60102
GET       0.760     96.66869
GET       0.770     96.73521
GET       0.780     96.80519
GET       0.790     96.86089
GET       0.800     96.91728
GET       0.810     96.97252
GET       0.820     97.02753
GET       0.830     97.07748
GET       0.840     97.13111
GET       0.850     97.17577
GET       0.860     97.22272
GET       0.870     97.26807
GET       0.880     97.32308
GET       0.890     97.36934
GET       0.900     97.41008
GET       0.910     97.45243
GET       0.920     97.49663
GET       0.930     97.54082
GET       0.940     97.58709
GET       0.950     97.62645
GET       0.960     97.66489
GET       0.970     97.70194
GET       0.980     97.73808
GET       0.990     97.77468
GET       1.000     97.95928
GET       1.100     98.23549
GET       1.200     98.46152
GET       1.300     98.66568
GET       1.400     98.82289
GET       1.500     98.96261
GET       1.600     99.09242
GET       1.700     99.20521
GET       1.800     99.29037
GET       1.900     99.36771
GET       2.000     99.44160
GET       2.100     99.49799
GET       2.200     99.55185
GET       2.300     99.60249
GET       2.400     99.64668
GET       2.500     99.68075
GET       2.600     99.71458
GET       2.700     99.74221
GET       2.800     99.76937
GET       2.900     99.79100
GET       3.000     99.81034
GET       3.100     99.83059
GET       3.200     99.84855
GET       3.300     99.86121
GET       3.400     99.87409
GET       3.500     99.88860
GET       3.600     99.89987
GET       3.700     99.91069
GET       3.800     99.92013
GET       3.900     99.92819
GET       4.000     99.93716
GET       4.100     99.94246
GET       4.200     99.94913
GET       4.300     99.95397
GET       4.400     99.95742
GET       4.500     99.96179
GET       4.600     99.96662
GET       4.700     99.96985
GET       4.800     99.97445
GET       4.900     99.97675
GET       5.000     99.97882
GET       5.100     99.98228
GET       5.200     99.98412
GET       5.300     99.98596
GET       5.400     99.98734
GET       5.500     99.98872
GET       5.600     99.98918
GET       5.700     99.99125
GET       5.800     99.99217
GET       5.900     99.99332
GET       6.000     99.99471
GET       6.100     99.99540
GET       6.200     99.99586
GET       6.300     99.99609
GET       6.500     99.99632
GET       6.600     99.99678
GET       6.700     99.99724
GET       6.900     99.99747
GET       7.000     99.99793
GET       7.100     99.99839
GET       7.400     99.99862
GET       7.500     99.99885
GET       7.700     99.99908
GET       8.000     99.99931
GET       8.100     99.99954
GET       8.200     99.99977
GET       9.700    100.00000
