[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        9417 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       16773 ops,    7355 (avg:    8386) ops/sec, 279.04KB/sec (avg: 318.20KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  1 threads:       24085 ops,    7311 (avg:    8027) ops/sec, 277.39KB/sec (avg: 304.60KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  1 threads:       31627 ops,    7541 (avg:    7906) ops/sec, 286.13KB/sec (avg: 299.98KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 17%,   5 secs]  1 threads:       38494 ops,    6866 (avg:    7698) ops/sec, 260.57KB/sec (avg: 292.10KB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 20%,   6 secs]  1 threads:       45885 ops,    7390 (avg:    7646) ops/sec, 280.36KB/sec (avg: 290.14KB/sec),  0.27 (avg:  0.26) msec latency[RUN #1 23%,   7 secs]  1 threads:       52848 ops,    6962 (avg:    7549) ops/sec, 264.15KB/sec (avg: 286.43KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  1 threads:       59961 ops,    7112 (avg:    7494) ops/sec, 269.82KB/sec (avg: 284.35KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 30%,   9 secs]  1 threads:       66631 ops,    6669 (avg:    7402) ops/sec, 253.00KB/sec (avg: 280.87KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 33%,  10 secs]  1 threads:       73258 ops,    6626 (avg:    7325) ops/sec, 251.43KB/sec (avg: 277.93KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 37%,  11 secs]  1 threads:       81093 ops,    7834 (avg:    7371) ops/sec, 297.20KB/sec (avg: 279.68KB/sec),  0.25 (avg:  0.27) msec latency[RUN #1 40%,  12 secs]  1 threads:       87387 ops,    6293 (avg:    7281) ops/sec, 238.76KB/sec (avg: 276.27KB/sec),  0.31 (avg:  0.27) msec latency[RUN #1 43%,  13 secs]  1 threads:       93850 ops,    6462 (avg:    7218) ops/sec, 245.20KB/sec (avg: 273.88KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 47%,  14 secs]  1 threads:      100706 ops,    6855 (avg:    7192) ops/sec, 260.04KB/sec (avg: 272.89KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 50%,  15 secs]  1 threads:      110710 ops,   10003 (avg:    7379) ops/sec, 379.57KB/sec (avg: 280.00KB/sec),  0.19 (avg:  0.27) msec latency[RUN #1 53%,  16 secs]  1 threads:      117775 ops,    7064 (avg:    7360) ops/sec, 268.13KB/sec (avg: 279.26KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 57%,  17 secs]  1 threads:      125136 ops,    7360 (avg:    7360) ops/sec, 279.31KB/sec (avg: 279.26KB/sec),  0.27 (avg:  0.27) msec latency[RUN #1 60%,  18 secs]  1 threads:      132690 ops,    7553 (avg:    7370) ops/sec, 286.63KB/sec (avg: 279.67KB/sec),  0.26 (avg:  0.27) msec latency[RUN #1 63%,  19 secs]  1 threads:      140905 ops,    8214 (avg:    7415) ops/sec, 311.67KB/sec (avg: 281.36KB/sec),  0.24 (avg:  0.26) msec latency[RUN #1 67%,  20 secs]  1 threads:      147213 ops,    6307 (avg:    7359) ops/sec, 239.32KB/sec (avg: 279.25KB/sec),  0.31 (avg:  0.27) msec latency[RUN #1 70%,  21 secs]  1 threads:      156396 ops,    9182 (avg:    7446) ops/sec, 348.35KB/sec (avg: 282.54KB/sec),  0.21 (avg:  0.26) msec latency[RUN #1 73%,  22 secs]  1 threads:      162923 ops,    6526 (avg:    7404) ops/sec, 247.67KB/sec (avg: 280.96KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 77%,  23 secs]  1 threads:      169837 ops,    6913 (avg:    7383) ops/sec, 262.33KB/sec (avg: 280.15KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 80%,  24 secs]  1 threads:      178414 ops,    8576 (avg:    7433) ops/sec, 325.43KB/sec (avg: 282.04KB/sec),  0.23 (avg:  0.26) msec latency[RUN #1 83%,  25 secs]  1 threads:      185924 ops,    7509 (avg:    7436) ops/sec, 284.96KB/sec (avg: 282.15KB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 87%,  26 secs]  1 threads:      193762 ops,    7837 (avg:    7451) ops/sec, 297.38KB/sec (avg: 282.74KB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 90%,  27 secs]  1 threads:      202246 ops,    8483 (avg:    7489) ops/sec, 321.92KB/sec (avg: 284.19KB/sec),  0.23 (avg:  0.26) msec latency[RUN #1 93%,  28 secs]  1 threads:      213143 ops,   10896 (avg:    7611) ops/sec, 413.46KB/sec (avg: 288.81KB/sec),  0.18 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  1 threads:      225226 ops,   12081 (avg:    7765) ops/sec, 458.44KB/sec (avg: 294.66KB/sec),  0.16 (avg:  0.25) msec latency[RUN #1 100%,  30 secs]  0 threads:      239238 ops,   12081 (avg:    7974) ops/sec, 458.44KB/sec (avg: 302.58KB/sec),  0.16 (avg:  0.25) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         725.00          ---          ---      0.25000        53.25
Gets        7249.58      6561.99       687.60      0.24500       249.33
Totals      7974.58      6561.99       687.60      0.24600       302.58


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.059      0.00092
GET       0.061      0.00138
GET       0.062      0.00184
GET       0.063      0.00368
GET       0.064      0.00690
GET       0.065      0.01012
GET       0.066      0.01563
GET       0.067      0.02253
GET       0.068      0.03081
GET       0.069      0.04138
GET       0.070      0.05426
GET       0.071      0.07219
GET       0.072      0.09656
GET       0.073      0.11541
GET       0.074      0.14070
GET       0.075      0.17426
GET       0.076      0.21243
GET       0.077      0.24783
GET       0.078      0.29979
GET       0.079      0.35910
GET       0.080      0.41703
GET       0.081      0.49198
GET       0.082      0.57382
GET       0.083      0.68050
GET       0.084      0.79177
GET       0.085      0.93476
GET       0.086      1.09063
GET       0.087      1.28559
GET       0.088      1.50905
GET       0.089      1.75504
GET       0.090      2.04977
GET       0.091      2.35553
GET       0.092      2.73624
GET       0.093      3.30915
GET       0.094      4.03517
GET       0.095      4.79429
GET       0.096      5.37179
GET       0.097      5.87711
GET       0.098      6.39392
GET       0.099      6.93877
GET       0.100      9.74537
GET       0.110     13.83157
GET       0.120     17.16279
GET       0.130     21.54280
GET       0.140     29.67244
GET       0.150     37.20067
GET       0.160     41.77794
GET       0.170     45.04157
GET       0.180     48.29324
GET       0.190     52.22863
GET       0.200     55.66836
GET       0.210     58.10481
GET       0.220     60.18631
GET       0.230     62.30183
GET       0.240     64.66564
GET       0.250     66.77196
GET       0.260     68.53068
GET       0.270     70.11145
GET       0.280     71.72718
GET       0.290     73.47486
GET       0.300     75.06851
GET       0.310     76.41387
GET       0.320     77.68337
GET       0.330     78.99700
GET       0.340     80.35110
GET       0.350     81.52358
GET       0.360     82.61467
GET       0.370     83.59358
GET       0.380     84.55455
GET       0.390     85.51966
GET       0.400     86.41672
GET       0.410     87.19102
GET       0.420     87.91474
GET       0.430     88.67846
GET       0.440     89.39160
GET       0.450     90.07026
GET       0.460     90.67765
GET       0.470     91.19905
GET       0.480     91.68920
GET       0.490     92.20049
GET       0.500     92.68281
GET       0.510     93.11870
GET       0.520     93.50401
GET       0.530     93.88196
GET       0.540     94.25807
GET       0.550     94.59051
GET       0.560     94.91374
GET       0.570     95.20157
GET       0.580     95.49079
GET       0.590     95.76344
GET       0.600     96.00852
GET       0.610     96.23427
GET       0.620     96.44946
GET       0.630     96.65499
GET       0.640     96.84166
GET       0.650     97.00949
GET       0.660     97.18099
GET       0.670     97.33181
GET       0.680     97.47618
GET       0.690     97.61504
GET       0.700     97.73735
GET       0.710     97.86839
GET       0.720     97.98242
GET       0.730     98.10794
GET       0.740     98.21645
GET       0.750     98.31255
GET       0.760     98.38060
GET       0.770     98.47210
GET       0.780     98.55118
GET       0.790     98.62291
GET       0.800     98.69510
GET       0.810     98.75625
GET       0.820     98.82936
GET       0.830     98.89511
GET       0.840     98.95029
GET       0.850     98.99903
GET       0.860     99.03857
GET       0.870     99.08409
GET       0.880     99.12409
GET       0.890     99.16409
GET       0.900     99.20639
GET       0.910     99.24685
GET       0.920     99.27766
GET       0.930     99.31123
GET       0.940     99.33789
GET       0.950     99.36640
GET       0.960     99.39169
GET       0.970     99.42296
GET       0.980     99.45054
GET       0.990     99.47951
GET       1.000     99.61009
GET       1.100     99.72366
GET       1.200     99.81332
GET       1.300     99.87034
GET       1.400     99.91494
GET       1.500     99.93563
GET       1.600     99.95310
GET       1.700     99.96506
GET       1.800     99.97517
GET       1.900     99.98207
GET       2.000     99.98575
GET       2.100     99.98805
GET       2.200     99.99126
GET       2.300     99.99218
GET       2.400     99.99448
GET       2.500     99.99494
GET       2.600     99.99678
GET       2.700     99.99770
GET       2.900     99.99816
GET       3.000     99.99862
GET       3.500     99.99908
GET       4.200     99.99954
GET       4.800    100.00000
