[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13995 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       26847 ops,   12850 (avg:   13422) ops/sec, 487.48KB/sec (avg: 509.27KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       38406 ops,   11557 (avg:   12801) ops/sec, 438.58KB/sec (avg: 485.71KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       49053 ops,   10645 (avg:   12262) ops/sec, 403.99KB/sec (avg: 465.28KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       58141 ops,    9087 (avg:   11627) ops/sec, 344.71KB/sec (avg: 441.17KB/sec),  0.22 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  1 threads:       65758 ops,    7616 (avg:   10958) ops/sec, 288.94KB/sec (avg: 415.79KB/sec),  0.26 (avg:  0.18) msec latency[RUN #1 23%,   7 secs]  1 threads:       73956 ops,    8197 (avg:   10564) ops/sec, 310.96KB/sec (avg: 400.82KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 27%,   8 secs]  1 threads:       82160 ops,    8203 (avg:   10269) ops/sec, 311.26KB/sec (avg: 389.62KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 30%,   9 secs]  1 threads:       90213 ops,    8052 (avg:   10022) ops/sec, 305.49KB/sec (avg: 380.27KB/sec),  0.24 (avg:  0.20) msec latency[RUN #1 33%,  10 secs]  1 threads:       97601 ops,    7386 (avg:    9759) ops/sec, 280.19KB/sec (avg: 370.26KB/sec),  0.27 (avg:  0.20) msec latency[RUN #1 37%,  11 secs]  1 threads:      104849 ops,    7247 (avg:    9530) ops/sec, 275.01KB/sec (avg: 361.61KB/sec),  0.27 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      112995 ops,    8145 (avg:    9415) ops/sec, 309.10KB/sec (avg: 357.23KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 43%,  13 secs]  1 threads:      121750 ops,    8754 (avg:    9364) ops/sec, 332.21KB/sec (avg: 355.31KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 47%,  14 secs]  1 threads:      129865 ops,    8114 (avg:    9275) ops/sec, 307.91KB/sec (avg: 351.92KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 50%,  15 secs]  1 threads:      137630 ops,    7764 (avg:    9174) ops/sec, 294.62KB/sec (avg: 348.10KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 53%,  16 secs]  1 threads:      144300 ops,    6669 (avg:    9017) ops/sec, 253.04KB/sec (avg: 342.16KB/sec),  0.30 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      152556 ops,    8255 (avg:    8973) ops/sec, 313.24KB/sec (avg: 340.46KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:      160443 ops,    7886 (avg:    8912) ops/sec, 299.18KB/sec (avg: 338.17KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:      169132 ops,    8688 (avg:    8900) ops/sec, 329.72KB/sec (avg: 337.72KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 67%,  20 secs]  1 threads:      177039 ops,    7906 (avg:    8851) ops/sec, 300.00KB/sec (avg: 335.83KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      184440 ops,    7400 (avg:    8782) ops/sec, 280.81KB/sec (avg: 333.21KB/sec),  0.27 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      191684 ops,    7243 (avg:    8712) ops/sec, 274.87KB/sec (avg: 330.56KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  1 threads:      199605 ops,    7920 (avg:    8677) ops/sec, 300.58KB/sec (avg: 329.26KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  1 threads:      206328 ops,    6722 (avg:    8596) ops/sec, 255.09KB/sec (avg: 326.17KB/sec),  0.29 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  1 threads:      214775 ops,    8446 (avg:    8590) ops/sec, 320.46KB/sec (avg: 325.94KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:      222174 ops,    7398 (avg:    8544) ops/sec, 280.73KB/sec (avg: 324.20KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  1 threads:      229876 ops,    7701 (avg:    8513) ops/sec, 292.26KB/sec (avg: 323.02KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  1 threads:      237004 ops,    7127 (avg:    8463) ops/sec, 270.44KB/sec (avg: 321.14KB/sec),  0.28 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:      246254 ops,    9249 (avg:    8490) ops/sec, 350.94KB/sec (avg: 322.17KB/sec),  0.21 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      257526 ops,    9249 (avg:    8584) ops/sec, 350.94KB/sec (avg: 325.71KB/sec),  0.21 (avg:  0.23) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         780.40          ---          ---      0.23200        57.32
Gets        7803.79      7139.62       664.17      0.22800       268.39
Totals      8584.19      7139.62       664.17      0.22800       325.72


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.059      0.00043
GET       0.060      0.00128
GET       0.061      0.00171
GET       0.062      0.00299
GET       0.063      0.00470
GET       0.064      0.00641
GET       0.065      0.00812
GET       0.066      0.01153
GET       0.067      0.01879
GET       0.068      0.02606
GET       0.069      0.03332
GET       0.070      0.04271
GET       0.071      0.05297
GET       0.072      0.06621
GET       0.073      0.07731
GET       0.074      0.09440
GET       0.075      0.11447
GET       0.076      0.13925
GET       0.077      0.16402
GET       0.078      0.19051
GET       0.079      0.22510
GET       0.080      0.25970
GET       0.081      0.30498
GET       0.082      0.36094
GET       0.083      0.43099
GET       0.084      0.52923
GET       0.085      0.66421
GET       0.086      0.82866
GET       0.087      1.01660
GET       0.088      1.24427
GET       0.089      1.48005
GET       0.090      1.77136
GET       0.091      2.16903
GET       0.092      2.66793
GET       0.093      3.40262
GET       0.094      4.36881
GET       0.095      5.46443
GET       0.096      6.33281
GET       0.097      6.98549
GET       0.098      7.56597
GET       0.099      8.16269
GET       0.100     10.97799
GET       0.110     14.69797
GET       0.120     17.98098
GET       0.130     22.79018
GET       0.140     35.28751
GET       0.150     45.74267
GET       0.160     50.88589
GET       0.170     54.69643
GET       0.180     58.44930
GET       0.190     63.91587
GET       0.200     68.12109
GET       0.210     70.67326
GET       0.220     72.56508
GET       0.230     74.33729
GET       0.240     76.43498
GET       0.250     78.18926
GET       0.260     79.45189
GET       0.270     80.51462
GET       0.280     81.55984
GET       0.290     82.77335
GET       0.300     83.82540
GET       0.310     84.71300
GET       0.320     85.46691
GET       0.330     86.25969
GET       0.340     87.10927
GET       0.350     87.84396
GET       0.360     88.49535
GET       0.370     89.06943
GET       0.380     89.64991
GET       0.390     90.26372
GET       0.400     90.80064
GET       0.410     91.27519
GET       0.420     91.70191
GET       0.430     92.15553
GET       0.440     92.58908
GET       0.450     92.98419
GET       0.460     93.33060
GET       0.470     93.63814
GET       0.480     93.94996
GET       0.490     94.24169
GET       0.500     94.51592
GET       0.510     94.76665
GET       0.520     95.00585
GET       0.530     95.23565
GET       0.540     95.45734
GET       0.550     95.66280
GET       0.560     95.83707
GET       0.570     96.01049
GET       0.580     96.18775
GET       0.590     96.34409
GET       0.600     96.49231
GET       0.610     96.62429
GET       0.620     96.76098
GET       0.630     96.89937
GET       0.640     97.01556
GET       0.650     97.11978
GET       0.660     97.22315
GET       0.670     97.32395
GET       0.680     97.41365
GET       0.690     97.50207
GET       0.700     97.58067
GET       0.710     97.65627
GET       0.720     97.73273
GET       0.730     97.79466
GET       0.740     97.85617
GET       0.750     97.92195
GET       0.760     97.97663
GET       0.770     98.02831
GET       0.780     98.07701
GET       0.790     98.11844
GET       0.800     98.16671
GET       0.810     98.20942
GET       0.820     98.25939
GET       0.830     98.29527
GET       0.840     98.33201
GET       0.850     98.36362
GET       0.860     98.39992
GET       0.870     98.42513
GET       0.880     98.45887
GET       0.890     98.49091
GET       0.900     98.52550
GET       0.910     98.55370
GET       0.920     98.57420
GET       0.930     98.60324
GET       0.940     98.62588
GET       0.950     98.65621
GET       0.960     98.67714
GET       0.970     98.69722
GET       0.980     98.72284
GET       0.990     98.74719
GET       1.000     98.87021
GET       1.100     99.01843
GET       1.200     99.13974
GET       1.300     99.25037
GET       1.400     99.33152
GET       1.500     99.40969
GET       1.600     99.46906
GET       1.700     99.52288
GET       1.800     99.57542
GET       1.900     99.62454
GET       2.000     99.66298
GET       2.100     99.68904
GET       2.200     99.72065
GET       2.300     99.75055
GET       2.400     99.77276
GET       2.500     99.79369
GET       2.600     99.81505
GET       2.700     99.83427
GET       2.800     99.85007
GET       2.900     99.86374
GET       3.000     99.87698
GET       3.100     99.89022
GET       3.200     99.89834
GET       3.300     99.90646
GET       3.400     99.91286
GET       3.500     99.92141
GET       3.600     99.93038
GET       3.700     99.93465
GET       3.800     99.94234
GET       3.900     99.94618
GET       4.000     99.95173
GET       4.100     99.95686
GET       4.200     99.96028
GET       4.300     99.96455
GET       4.400     99.96967
GET       4.500     99.97010
GET       4.600     99.97266
GET       4.700     99.97394
GET       4.800     99.97779
GET       4.900     99.98035
GET       5.000     99.98334
GET       5.100     99.98505
GET       5.200     99.98590
GET       5.300     99.98633
GET       5.400     99.98761
GET       5.600     99.98804
GET       5.700     99.98975
GET       5.800     99.99103
GET       5.900     99.99188
GET       6.000     99.99274
GET       6.100     99.99359
GET       6.200     99.99487
GET       6.300     99.99530
GET       6.400     99.99616
GET       6.900     99.99701
GET       7.300     99.99744
GET       8.500     99.99786
GET       8.600     99.99829
GET       9.300     99.99872
GET      11.000     99.99957
GET      14.000    100.00000
