[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       23789 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       42222 ops,   18430 (avg:   21111) ops/sec, 711.77KB/sec (avg: 815.32KB/sec),  0.43 (avg:  0.38) msec latency[RUN #1 10%,   3 secs]  2 threads:       60799 ops,   18575 (avg:   20265) ops/sec, 717.28KB/sec (avg: 782.64KB/sec),  0.43 (avg:  0.39) msec latency[RUN #1 13%,   4 secs]  2 threads:       75311 ops,   14510 (avg:   18826) ops/sec, 560.40KB/sec (avg: 727.08KB/sec),  0.55 (avg:  0.42) msec latency[RUN #1 17%,   5 secs]  2 threads:       98088 ops,   22774 (avg:   19616) ops/sec, 879.45KB/sec (avg: 757.55KB/sec),  0.35 (avg:  0.40) msec latency[RUN #1 20%,   6 secs]  2 threads:      118272 ops,   20182 (avg:   19710) ops/sec, 779.28KB/sec (avg: 761.17KB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 23%,   7 secs]  2 threads:      138010 ops,   19736 (avg:   19714) ops/sec, 762.12KB/sec (avg: 761.31KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 27%,   8 secs]  2 threads:      160033 ops,   22020 (avg:   20002) ops/sec, 850.45KB/sec (avg: 772.45KB/sec),  0.36 (avg:  0.40) msec latency[RUN #1 30%,   9 secs]  2 threads:      176855 ops,   16819 (avg:   19648) ops/sec, 649.51KB/sec (avg: 758.79KB/sec),  0.47 (avg:  0.40) msec latency[RUN #1 33%,  10 secs]  2 threads:      199100 ops,   22242 (avg:   19908) ops/sec, 858.86KB/sec (avg: 768.80KB/sec),  0.36 (avg:  0.40) msec latency[RUN #1 37%,  11 secs]  2 threads:      217893 ops,   18790 (avg:   19806) ops/sec, 725.61KB/sec (avg: 764.87KB/sec),  0.42 (avg:  0.40) msec latency[RUN #1 40%,  12 secs]  2 threads:      239505 ops,   21609 (avg:   19956) ops/sec, 834.51KB/sec (avg: 770.67KB/sec),  0.37 (avg:  0.40) msec latency[RUN #1 43%,  13 secs]  2 threads:      257370 ops,   17863 (avg:   19795) ops/sec, 689.75KB/sec (avg: 764.45KB/sec),  0.44 (avg:  0.40) msec latency[RUN #1 47%,  14 secs]  2 threads:      275979 ops,   18607 (avg:   19710) ops/sec, 718.46KB/sec (avg: 761.17KB/sec),  0.43 (avg:  0.40) msec latency[RUN #1 50%,  15 secs]  2 threads:      299882 ops,   23900 (avg:   19990) ops/sec, 922.97KB/sec (avg: 771.95KB/sec),  0.33 (avg:  0.40) msec latency[RUN #1 53%,  16 secs]  2 threads:      321148 ops,   21263 (avg:   20069) ops/sec, 821.08KB/sec (avg: 775.02KB/sec),  0.37 (avg:  0.40) msec latency[RUN #1 57%,  17 secs]  2 threads:      341731 ops,   20580 (avg:   20099) ops/sec, 794.78KB/sec (avg: 776.18KB/sec),  0.39 (avg:  0.39) msec latency[RUN #1 60%,  18 secs]  2 threads:      357779 ops,   16045 (avg:   19874) ops/sec, 619.68KB/sec (avg: 767.49KB/sec),  0.49 (avg:  0.40) msec latency[RUN #1 63%,  19 secs]  2 threads:      373845 ops,   16064 (avg:   19674) ops/sec, 620.35KB/sec (avg: 759.75KB/sec),  0.49 (avg:  0.40) msec latency[RUN #1 67%,  20 secs]  2 threads:      394744 ops,   20896 (avg:   19735) ops/sec, 806.98KB/sec (avg: 762.11KB/sec),  0.38 (avg:  0.40) msec latency[RUN #1 70%,  21 secs]  2 threads:      413247 ops,   18501 (avg:   19676) ops/sec, 714.49KB/sec (avg: 759.84KB/sec),  0.43 (avg:  0.40) msec latency[RUN #1 73%,  22 secs]  2 threads:      430870 ops,   17620 (avg:   19583) ops/sec, 680.52KB/sec (avg: 756.23KB/sec),  0.45 (avg:  0.41) msec latency[RUN #1 77%,  23 secs]  2 threads:      451199 ops,   20326 (avg:   19615) ops/sec, 784.98KB/sec (avg: 757.48KB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 80%,  24 secs]  2 threads:      471004 ops,   19802 (avg:   19623) ops/sec, 764.79KB/sec (avg: 757.79KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 83%,  25 secs]  2 threads:      491192 ops,   20185 (avg:   19645) ops/sec, 779.61KB/sec (avg: 758.66KB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 87%,  26 secs]  2 threads:      510080 ops,   18886 (avg:   19616) ops/sec, 729.34KB/sec (avg: 757.53KB/sec),  0.42 (avg:  0.40) msec latency[RUN #1 90%,  27 secs]  2 threads:      531575 ops,   21492 (avg:   19685) ops/sec, 830.07KB/sec (avg: 760.22KB/sec),  0.37 (avg:  0.40) msec latency[RUN #1 93%,  28 secs]  2 threads:      553380 ops,   21802 (avg:   19761) ops/sec, 842.07KB/sec (avg: 763.14KB/sec),  0.36 (avg:  0.40) msec latency[RUN #1 97%,  29 secs]  2 threads:      571306 ops,   17923 (avg:   19698) ops/sec, 692.15KB/sec (avg: 760.70KB/sec),  0.44 (avg:  0.40) msec latency[RUN #1 100%,  30 secs]  0 threads:      590982 ops,   17923 (avg:   19699) ops/sec, 692.15KB/sec (avg: 760.74KB/sec),  0.44 (avg:  0.40) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1790.93          ---          ---      0.40300       132.76
Gets       17908.42      6137.99     11770.44      0.40200       627.99
Totals     19699.35      6137.99     11770.44      0.40200       760.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.120      0.00074
GET       0.130      0.00149
GET       0.140      0.00279
GET       0.150      0.00316
GET       0.160      0.00838
GET       0.170      0.01564
GET       0.180      0.02885
GET       0.190      0.04765
GET       0.200      0.07650
GET       0.210      0.10963
GET       0.220      0.17589
GET       0.230      0.33764
GET       0.240      0.75086
GET       0.250      1.68468
GET       0.260      3.82370
GET       0.270      8.63837
GET       0.280     17.78563
GET       0.290     31.21801
GET       0.300     44.91377
GET       0.310     53.85777
GET       0.320     58.58514
GET       0.330     60.76884
GET       0.340     61.71103
GET       0.350     62.06841
GET       0.360     62.21545
GET       0.370     62.28655
GET       0.380     62.32955
GET       0.390     62.35989
GET       0.400     62.38576
GET       0.410     62.40270
GET       0.420     62.42410
GET       0.430     62.44216
GET       0.440     62.45984
GET       0.450     62.48423
GET       0.460     62.53094
GET       0.470     62.60074
GET       0.480     62.70684
GET       0.490     62.84458
GET       0.500     63.06384
GET       0.510     63.41172
GET       0.520     63.98463
GET       0.530     64.96499
GET       0.540     66.61895
GET       0.550     69.06696
GET       0.560     72.50760
GET       0.570     76.94331
GET       0.580     82.17082
GET       0.590     87.34658
GET       0.600     91.69220
GET       0.610     94.82628
GET       0.620     96.96382
GET       0.630     98.22151
GET       0.640     98.95599
GET       0.650     99.35208
GET       0.660     99.54751
GET       0.670     99.64672
GET       0.680     99.70405
GET       0.690     99.73551
GET       0.700     99.75598
GET       0.710     99.76938
GET       0.720     99.78427
GET       0.730     99.80475
GET       0.740     99.82653
GET       0.750     99.84998
GET       0.760     99.87231
GET       0.770     99.89670
GET       0.780     99.92555
GET       0.790     99.94304
GET       0.800     99.96352
GET       0.810     99.97264
GET       0.820     99.98250
GET       0.830     99.98883
GET       0.840     99.99181
GET       0.850     99.99572
GET       0.860     99.99702
GET       0.870     99.99832
GET       0.880     99.99888
GET       0.890     99.99907
GET       0.900     99.99926
GET       0.920     99.99944
GET       0.930     99.99963
GET       0.940     99.99981
GET       0.960    100.00000
