[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  2 threads:       10682 ops,   10681 (avg:   10681) ops/sec, 412.57KB/sec (avg: 412.57KB/sec),  0.37 (avg:  0.37) msec latency[RUN #1 7%,   2 secs]  2 threads:       17583 ops,    6899 (avg:    8790) ops/sec, 266.38KB/sec (avg: 339.47KB/sec),  0.57 (avg:  0.45) msec latency[RUN #1 10%,   3 secs]  2 threads:       27868 ops,   10283 (avg:    9288) ops/sec, 397.14KB/sec (avg: 358.69KB/sec),  0.38 (avg:  0.42) msec latency[RUN #1 13%,   4 secs]  2 threads:       37490 ops,    9620 (avg:    9371) ops/sec, 371.58KB/sec (avg: 361.92KB/sec),  0.41 (avg:  0.42) msec latency[RUN #1 17%,   5 secs]  2 threads:       46439 ops,    8947 (avg:    9286) ops/sec, 345.54KB/sec (avg: 358.64KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 20%,   6 secs]  2 threads:       55213 ops,    8772 (avg:    9201) ops/sec, 338.72KB/sec (avg: 355.32KB/sec),  0.45 (avg:  0.43) msec latency[RUN #1 23%,   7 secs]  2 threads:       62457 ops,    7243 (avg:    8921) ops/sec, 279.70KB/sec (avg: 344.52KB/sec),  0.55 (avg:  0.44) msec latency[RUN #1 27%,   8 secs]  2 threads:       67652 ops,    5194 (avg:    8455) ops/sec, 200.61KB/sec (avg: 326.53KB/sec),  0.76 (avg:  0.47) msec latency[RUN #1 30%,   9 secs]  2 threads:       74676 ops,    7023 (avg:    8296) ops/sec, 271.20KB/sec (avg: 320.38KB/sec),  0.56 (avg:  0.48) msec latency[RUN #1 33%,  10 secs]  2 threads:       84813 ops,   10136 (avg:    8480) ops/sec, 391.40KB/sec (avg: 327.48KB/sec),  0.39 (avg:  0.47) msec latency[RUN #1 37%,  11 secs]  2 threads:       91209 ops,    6395 (avg:    8290) ops/sec, 247.00KB/sec (avg: 320.17KB/sec),  0.62 (avg:  0.48) msec latency[RUN #1 40%,  12 secs]  2 threads:       98733 ops,    7523 (avg:    8226) ops/sec, 290.49KB/sec (avg: 317.69KB/sec),  0.52 (avg:  0.48) msec latency[RUN #1 43%,  13 secs]  2 threads:      105303 ops,    6569 (avg:    8099) ops/sec, 253.72KB/sec (avg: 312.77KB/sec),  0.61 (avg:  0.49) msec latency[RUN #1 47%,  14 secs]  2 threads:      112827 ops,    7523 (avg:    8058) ops/sec, 290.49KB/sec (avg: 311.18KB/sec),  0.53 (avg:  0.49) msec latency[RUN #1 50%,  15 secs]  2 threads:      120029 ops,    7201 (avg:    8001) ops/sec, 278.13KB/sec (avg: 308.98KB/sec),  0.55 (avg:  0.49) msec latency[RUN #1 53%,  16 secs]  2 threads:      128566 ops,    8535 (avg:    8034) ops/sec, 329.53KB/sec (avg: 310.26KB/sec),  0.46 (avg:  0.49) msec latency[RUN #1 57%,  17 secs]  2 threads:      138483 ops,    9916 (avg:    8145) ops/sec, 382.92KB/sec (avg: 314.54KB/sec),  0.40 (avg:  0.49) msec latency[RUN #1 60%,  18 secs]  2 threads:      145557 ops,    7073 (avg:    8085) ops/sec, 273.14KB/sec (avg: 312.24KB/sec),  0.56 (avg:  0.49) msec latency[RUN #1 63%,  19 secs]  2 threads:      151423 ops,    5865 (avg:    7968) ops/sec, 226.48KB/sec (avg: 307.72KB/sec),  0.68 (avg:  0.50) msec latency[RUN #1 67%,  20 secs]  2 threads:      161462 ops,   10038 (avg:    8072) ops/sec, 387.68KB/sec (avg: 311.72KB/sec),  0.39 (avg:  0.49) msec latency[RUN #1 70%,  21 secs]  2 threads:      170916 ops,    9453 (avg:    8138) ops/sec, 364.98KB/sec (avg: 314.26KB/sec),  0.42 (avg:  0.49) msec latency[RUN #1 73%,  22 secs]  2 threads:      177406 ops,    6489 (avg:    8063) ops/sec, 250.62KB/sec (avg: 311.37KB/sec),  0.61 (avg:  0.49) msec latency[RUN #1 77%,  23 secs]  2 threads:      183869 ops,    6462 (avg:    7993) ops/sec, 249.54KB/sec (avg: 308.68KB/sec),  0.61 (avg:  0.49) msec latency[RUN #1 80%,  24 secs]  2 threads:      191107 ops,    7237 (avg:    7961) ops/sec, 279.54KB/sec (avg: 307.46KB/sec),  0.55 (avg:  0.50) msec latency[RUN #1 83%,  25 secs]  2 threads:      202640 ops,   11531 (avg:    8104) ops/sec, 445.37KB/sec (avg: 312.98KB/sec),  0.34 (avg:  0.49) msec latency[RUN #1 87%,  26 secs]  2 threads:      222604 ops,   19961 (avg:    8560) ops/sec, 770.90KB/sec (avg: 330.59KB/sec),  0.20 (avg:  0.46) msec latency[RUN #1 90%,  27 secs]  2 threads:      239674 ops,   17068 (avg:    8875) ops/sec, 659.10KB/sec (avg: 342.76KB/sec),  0.23 (avg:  0.45) msec latency[RUN #1 93%,  28 secs]  2 threads:      255840 ops,   16164 (avg:    9136) ops/sec, 624.36KB/sec (avg: 352.82KB/sec),  0.24 (avg:  0.43) msec latency[RUN #1 97%,  29 secs]  2 threads:      273017 ops,   17175 (avg:    9413) ops/sec, 663.36KB/sec (avg: 363.52KB/sec),  0.23 (avg:  0.42) msec latency[RUN #1 100%,  30 secs]  0 threads:      291712 ops,   17175 (avg:    9723) ops/sec, 663.36KB/sec (avg: 375.51KB/sec),  0.23 (avg:  0.41) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         884.03          ---          ---      0.42200        65.53
Gets        8839.68      2541.99      6297.68      0.40400       309.98
Totals      9723.71      2541.99      6297.68      0.40500       375.51


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     93.46179
SET       2.000     93.46933
SET       3.000     94.57788
SET       4.000     97.77912
SET       5.000     97.80174
SET       6.000     97.80928
SET       8.000     98.45783
SET       9.000     98.46914
SET      10.000     99.40802
SET      12.000     99.86803
SET      13.000     99.87180
SET      14.000     99.87934
SET      16.000    100.00000
---
GET       0.063      0.00038
GET       0.071      0.00151
GET       0.072      0.00264
GET       0.074      0.00339
GET       0.075      0.00415
GET       0.076      0.00641
GET       0.077      0.00716
GET       0.078      0.00905
GET       0.079      0.01018
GET       0.080      0.01433
GET       0.081      0.02225
GET       0.082      0.02828
GET       0.083      0.03507
GET       0.084      0.04374
GET       0.085      0.05581
GET       0.086      0.06524
GET       0.087      0.08032
GET       0.088      0.09842
GET       0.089      0.11614
GET       0.090      0.14254
GET       0.091      0.17195
GET       0.092      0.20476
GET       0.093      0.23681
GET       0.094      0.27754
GET       0.095      0.31864
GET       0.096      0.36502
GET       0.097      0.41291
GET       0.098      0.45816
GET       0.099      0.50680
GET       0.100      0.80810
GET       0.110      1.49515
GET       0.120      2.46916
GET       0.130      4.47489
GET       0.140      8.71447
GET       0.150     14.09927
GET       0.160     18.72311
GET       0.170     22.71042
GET       0.180     26.89043
GET       0.190     31.71412
GET       0.200     35.98388
GET       0.210     39.34410
GET       0.220     42.32610
GET       0.230     45.49438
GET       0.240     49.24865
GET       0.250     52.96673
GET       0.260     56.28434
GET       0.270     59.38475
GET       0.280     62.58885
GET       0.290     66.03542
GET       0.300     69.16901
GET       0.310     71.89648
GET       0.320     74.35320
GET       0.330     76.72508
GET       0.340     79.15276
GET       0.350     81.23881
GET       0.360     82.94965
GET       0.370     84.39427
GET       0.380     85.77026
GET       0.390     87.05311
GET       0.400     88.08255
GET       0.410     88.96116
GET       0.420     89.68894
GET       0.430     90.35978
GET       0.440     90.95972
GET       0.450     91.48651
GET       0.460     91.92808
GET       0.470     92.32214
GET       0.480     92.72788
GET       0.490     93.08687
GET       0.500     93.42625
GET       0.510     93.72188
GET       0.520     94.00658
GET       0.530     94.31165
GET       0.540     94.59786
GET       0.550     94.86332
GET       0.560     95.11032
GET       0.570     95.33355
GET       0.580     95.54962
GET       0.590     95.75099
GET       0.600     95.90899
GET       0.610     96.07264
GET       0.620     96.19369
GET       0.630     96.33019
GET       0.640     96.44256
GET       0.650     96.55117
GET       0.660     96.65637
GET       0.670     96.74122
GET       0.680     96.81777
GET       0.690     96.89205
GET       0.700     96.95352
GET       0.710     97.00518
GET       0.720     97.05458
GET       0.730     97.09379
GET       0.740     97.12999
GET       0.750     97.16167
GET       0.760     97.19561
GET       0.770     97.22351
GET       0.780     97.25594
GET       0.790     97.28384
GET       0.800     97.31326
GET       0.810     97.33437
GET       0.820     97.35851
GET       0.830     97.37962
GET       0.840     97.39961
GET       0.850     97.42186
GET       0.860     97.44863
GET       0.870     97.47691
GET       0.880     97.50067
GET       0.890     97.52744
GET       0.900     97.55158
GET       0.910     97.57797
GET       0.920     97.60550
GET       0.930     97.63114
GET       0.940     97.65414
GET       0.950     97.68129
GET       0.960     97.70769
GET       0.970     97.73748
GET       0.980     97.76388
GET       0.990     97.79404
GET       1.000     97.95091
GET       1.100     98.15416
GET       1.200     98.26389
GET       1.300     98.32272
GET       1.400     98.35213
GET       1.500     98.35741
GET       1.600     98.35854
GET       1.700     98.35967
GET       1.800     98.36005
GET       1.900     98.36043
GET       2.000     98.36080
GET       2.100     98.36194
GET       2.200     98.36307
GET       2.300     98.36533
GET       2.400     98.36571
GET       2.800     98.36646
GET       3.100     98.36684
GET       3.200     98.36759
GET       3.500     98.36835
GET       3.700     98.36872
GET       3.800     98.37099
GET       3.900     98.37287
GET       4.100     98.38305
GET       4.200     98.47468
GET       4.300     98.55425
GET       4.400     98.70094
GET       4.500     98.78993
GET       4.600     98.84913
GET       4.700     98.87100
GET       4.800     98.87930
GET       4.900     98.88797
GET       5.000     98.90042
GET       5.100     98.91361
GET       5.200     98.92153
GET       5.300     98.92342
GET       5.400     98.92568
GET       5.600     98.92606
GET       5.700     98.92757
GET       5.900     98.93021
GET       6.000     98.93284
GET       6.100     98.93548
GET       6.200     98.93775
GET       6.500     98.93926
GET       6.600     98.94039
GET       6.700     98.94076
GET       7.400     98.94152
GET       7.800     98.94303
GET       8.000     98.94567
GET       8.100     98.96603
GET       8.200     99.10970
GET       8.300     99.20510
GET       8.400     99.35292
GET       8.500     99.42004
GET       8.600     99.44795
GET       8.700     99.45511
GET       8.800     99.45963
GET       8.900     99.46341
GET       9.000     99.47132
GET       9.100     99.47773
GET       9.200     99.48151
GET       9.300     99.48226
GET       9.400     99.48264
GET       9.700     99.48301
GET       9.900     99.48452
GET      10.000     99.48905
GET      11.000     99.49056
GET      12.000     99.88612
GET      13.000     99.92081
GET      14.000     99.92458
GET      15.000     99.92609
GET      16.000     99.99057
GET      17.000     99.99397
GET      18.000     99.99547
GET      20.000    100.00000
