[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       15497 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       29064 ops,   13565 (avg:   14531) ops/sec, 523.78KB/sec (avg: 561.22KB/sec),  0.58 (avg:  0.55) msec latency[RUN #1 10%,   3 secs]  2 threads:       44017 ops,   14951 (avg:   14671) ops/sec, 577.43KB/sec (avg: 566.62KB/sec),  0.53 (avg:  0.54) msec latency[RUN #1 13%,   4 secs]  2 threads:       59551 ops,   15532 (avg:   14886) ops/sec, 599.73KB/sec (avg: 574.90KB/sec),  0.51 (avg:  0.53) msec latency[RUN #1 17%,   5 secs]  2 threads:       74849 ops,   15296 (avg:   14968) ops/sec, 590.72KB/sec (avg: 578.06KB/sec),  0.52 (avg:  0.53) msec latency[RUN #1 20%,   6 secs]  2 threads:       88756 ops,   13905 (avg:   14791) ops/sec, 537.04KB/sec (avg: 571.23KB/sec),  0.57 (avg:  0.54) msec latency[RUN #1 23%,   7 secs]  2 threads:      103708 ops,   14950 (avg:   14814) ops/sec, 577.34KB/sec (avg: 572.10KB/sec),  0.53 (avg:  0.53) msec latency[RUN #1 27%,   8 secs]  2 threads:      119342 ops,   15632 (avg:   14916) ops/sec, 603.64KB/sec (avg: 576.04KB/sec),  0.51 (avg:  0.53) msec latency[RUN #1 30%,   9 secs]  2 threads:      133493 ops,   14149 (avg:   14831) ops/sec, 546.39KB/sec (avg: 572.75KB/sec),  0.56 (avg:  0.53) msec latency[RUN #1 33%,  10 secs]  2 threads:      147159 ops,   13664 (avg:   14714) ops/sec, 527.64KB/sec (avg: 568.24KB/sec),  0.58 (avg:  0.54) msec latency[RUN #1 37%,  11 secs]  2 threads:      161363 ops,   14202 (avg:   14668) ops/sec, 548.50KB/sec (avg: 566.44KB/sec),  0.56 (avg:  0.54) msec latency[RUN #1 40%,  12 secs]  2 threads:      173990 ops,   12625 (avg:   14497) ops/sec, 487.57KB/sec (avg: 559.87KB/sec),  0.63 (avg:  0.55) msec latency[RUN #1 43%,  13 secs]  2 threads:      187268 ops,   13276 (avg:   14403) ops/sec, 512.67KB/sec (avg: 556.24KB/sec),  0.60 (avg:  0.55) msec latency[RUN #1 47%,  14 secs]  2 threads:      199927 ops,   12657 (avg:   14279) ops/sec, 488.80KB/sec (avg: 551.42KB/sec),  0.63 (avg:  0.56) msec latency[RUN #1 50%,  15 secs]  2 threads:      212958 ops,   13029 (avg:   14195) ops/sec, 503.13KB/sec (avg: 548.20KB/sec),  0.61 (avg:  0.56) msec latency[RUN #1 53%,  16 secs]  2 threads:      226244 ops,   13284 (avg:   14138) ops/sec, 513.00KB/sec (avg: 546.00KB/sec),  0.60 (avg:  0.56) msec latency[RUN #1 57%,  17 secs]  2 threads:      241106 ops,   14860 (avg:   14181) ops/sec, 573.83KB/sec (avg: 547.64KB/sec),  0.53 (avg:  0.56) msec latency[RUN #1 60%,  18 secs]  2 threads:      253467 ops,   12359 (avg:   14080) ops/sec, 477.25KB/sec (avg: 543.73KB/sec),  0.64 (avg:  0.56) msec latency[RUN #1 63%,  19 secs]  2 threads:      266974 ops,   13505 (avg:   14049) ops/sec, 521.53KB/sec (avg: 542.56KB/sec),  0.59 (avg:  0.56) msec latency[RUN #1 67%,  20 secs]  2 threads:      281619 ops,   14643 (avg:   14079) ops/sec, 565.43KB/sec (avg: 543.70KB/sec),  0.54 (avg:  0.56) msec latency[RUN #1 70%,  21 secs]  2 threads:      294208 ops,   12587 (avg:   14008) ops/sec, 486.16KB/sec (avg: 540.96KB/sec),  0.63 (avg:  0.57) msec latency[RUN #1 73%,  22 secs]  2 threads:      307565 ops,   13355 (avg:   13978) ops/sec, 515.71KB/sec (avg: 539.82KB/sec),  0.59 (avg:  0.57) msec latency[RUN #1 77%,  23 secs]  2 threads:      321344 ops,   13777 (avg:   13970) ops/sec, 532.05KB/sec (avg: 539.48KB/sec),  0.58 (avg:  0.57) msec latency[RUN #1 80%,  24 secs]  2 threads:      334864 ops,   13518 (avg:   13951) ops/sec, 521.98KB/sec (avg: 538.75KB/sec),  0.59 (avg:  0.57) msec latency[RUN #1 83%,  25 secs]  2 threads:      349678 ops,   14812 (avg:   13985) ops/sec, 572.05KB/sec (avg: 540.08KB/sec),  0.53 (avg:  0.57) msec latency[RUN #1 87%,  26 secs]  2 threads:      363618 ops,   13938 (avg:   13983) ops/sec, 538.25KB/sec (avg: 540.01KB/sec),  0.57 (avg:  0.57) msec latency[RUN #1 90%,  27 secs]  2 threads:      377138 ops,   13518 (avg:   13966) ops/sec, 522.16KB/sec (avg: 539.35KB/sec),  0.59 (avg:  0.57) msec latency[RUN #1 93%,  28 secs]  2 threads:      392660 ops,   15520 (avg:   14022) ops/sec, 599.31KB/sec (avg: 541.49KB/sec),  0.51 (avg:  0.57) msec latency[RUN #1 97%,  29 secs]  2 threads:      407618 ops,   14956 (avg:   14054) ops/sec, 577.57KB/sec (avg: 542.73KB/sec),  0.53 (avg:  0.56) msec latency[RUN #1 100%,  30 secs]  0 threads:      422880 ops,   14956 (avg:   14095) ops/sec, 577.57KB/sec (avg: 544.34KB/sec),  0.53 (avg:  0.56) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1281.53          ---          ---      0.56500        95.00
Gets       12814.43      3212.19      9602.24      0.56200       449.34
Totals     14095.96      3212.19      9602.24      0.56200       544.34


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.110      0.00052
GET       0.130      0.00234
GET       0.140      0.00494
GET       0.150      0.00858
GET       0.160      0.01301
GET       0.170      0.01587
GET       0.180      0.02237
GET       0.190      0.03069
GET       0.200      0.03824
GET       0.210      0.04812
GET       0.220      0.05983
GET       0.230      0.07101
GET       0.240      0.10197
GET       0.250      0.14125
GET       0.260      0.19327
GET       0.270      0.27079
GET       0.280      0.39799
GET       0.290      0.61545
GET       0.300      0.88104
GET       0.310      1.18824
GET       0.320      1.58597
GET       0.330      2.17463
GET       0.340      3.17246
GET       0.350      4.66218
GET       0.360      6.64249
GET       0.370      9.20990
GET       0.380     12.74055
GET       0.390     17.43784
GET       0.400     22.84840
GET       0.410     28.53364
GET       0.420     34.52608
GET       0.430     40.57055
GET       0.440     46.45505
GET       0.450     51.25509
GET       0.460     54.81097
GET       0.470     57.47150
GET       0.480     59.38835
GET       0.490     60.69494
GET       0.500     61.51537
GET       0.510     62.04602
GET       0.520     62.38158
GET       0.530     62.62713
GET       0.540     62.83601
GET       0.550     63.07455
GET       0.560     63.36614
GET       0.570     63.71471
GET       0.580     64.15301
GET       0.590     64.58820
GET       0.600     65.01038
GET       0.610     65.33241
GET       0.620     65.55950
GET       0.630     65.71765
GET       0.640     65.84667
GET       0.650     65.96685
GET       0.660     66.11694
GET       0.670     66.30215
GET       0.680     66.54276
GET       0.690     66.84372
GET       0.700     67.19463
GET       0.710     67.59444
GET       0.720     68.10194
GET       0.730     68.67759
GET       0.740     69.33362
GET       0.750     70.11347
GET       0.760     71.05927
GET       0.770     72.25115
GET       0.780     73.73333
GET       0.790     75.45951
GET       0.800     77.44502
GET       0.810     79.64150
GET       0.820     81.98624
GET       0.830     84.47250
GET       0.840     86.88982
GET       0.850     89.11855
GET       0.860     91.21774
GET       0.870     93.05603
GET       0.880     94.63107
GET       0.890     95.91477
GET       0.900     96.94850
GET       0.910     97.75254
GET       0.920     98.34770
GET       0.930     98.77612
GET       0.940     99.09789
GET       0.950     99.32212
GET       0.960     99.48314
GET       0.970     99.59681
GET       0.980     99.68473
GET       0.990     99.73389
GET       1.000     99.91520
GET       1.100     99.99272
GET       1.200    100.00000
