[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17460 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       35605 ops,   18143 (avg:   17802) ops/sec, 700.55KB/sec (avg: 687.54KB/sec),  0.44 (avg:  0.45) msec latency[RUN #1 10%,   3 secs]  2 threads:       51493 ops,   15886 (avg:   17163) ops/sec, 613.52KB/sec (avg: 662.86KB/sec),  0.50 (avg:  0.46) msec latency[RUN #1 13%,   4 secs]  2 threads:       68457 ops,   16961 (avg:   17113) ops/sec, 654.95KB/sec (avg: 660.88KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 17%,   5 secs]  2 threads:       83707 ops,   15248 (avg:   16740) ops/sec, 588.86KB/sec (avg: 646.48KB/sec),  0.52 (avg:  0.47) msec latency[RUN #1 20%,   6 secs]  2 threads:       98445 ops,   14736 (avg:   16406) ops/sec, 569.15KB/sec (avg: 633.59KB/sec),  0.54 (avg:  0.48) msec latency[RUN #1 23%,   7 secs]  2 threads:      113766 ops,   15319 (avg:   16250) ops/sec, 591.48KB/sec (avg: 627.57KB/sec),  0.52 (avg:  0.49) msec latency[RUN #1 27%,   8 secs]  2 threads:      128758 ops,   14990 (avg:   16093) ops/sec, 578.92KB/sec (avg: 621.49KB/sec),  0.53 (avg:  0.49) msec latency[RUN #1 30%,   9 secs]  2 threads:      144184 ops,   15424 (avg:   16019) ops/sec, 595.65KB/sec (avg: 618.62KB/sec),  0.51 (avg:  0.49) msec latency[RUN #1 33%,  10 secs]  2 threads:      159675 ops,   15489 (avg:   15966) ops/sec, 598.09KB/sec (avg: 616.57KB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 37%,  11 secs]  2 threads:      174486 ops,   14809 (avg:   15860) ops/sec, 571.92KB/sec (avg: 612.51KB/sec),  0.54 (avg:  0.50) msec latency[RUN #1 40%,  12 secs]  2 threads:      189914 ops,   15426 (avg:   15824) ops/sec, 595.70KB/sec (avg: 611.11KB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 43%,  13 secs]  2 threads:      205446 ops,   15530 (avg:   15802) ops/sec, 599.71KB/sec (avg: 610.23KB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 47%,  14 secs]  2 threads:      221110 ops,   15662 (avg:   15792) ops/sec, 604.76KB/sec (avg: 609.84KB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 50%,  15 secs]  2 threads:      236557 ops,   15445 (avg:   15769) ops/sec, 596.53KB/sec (avg: 608.95KB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 53%,  16 secs]  2 threads:      251741 ops,   15182 (avg:   15732) ops/sec, 586.21KB/sec (avg: 607.53KB/sec),  0.52 (avg:  0.50) msec latency[RUN #1 57%,  17 secs]  2 threads:      266031 ops,   14288 (avg:   15647) ops/sec, 551.68KB/sec (avg: 604.25KB/sec),  0.56 (avg:  0.51) msec latency[RUN #1 60%,  18 secs]  2 threads:      281135 ops,   15102 (avg:   15617) ops/sec, 583.16KB/sec (avg: 603.07KB/sec),  0.52 (avg:  0.51) msec latency[RUN #1 63%,  19 secs]  2 threads:      296300 ops,   15163 (avg:   15593) ops/sec, 585.58KB/sec (avg: 602.15KB/sec),  0.52 (avg:  0.51) msec latency[RUN #1 67%,  20 secs]  2 threads:      311492 ops,   15190 (avg:   15573) ops/sec, 586.59KB/sec (avg: 601.38KB/sec),  0.52 (avg:  0.51) msec latency[RUN #1 70%,  21 secs]  2 threads:      326748 ops,   15254 (avg:   15557) ops/sec, 589.09KB/sec (avg: 600.79KB/sec),  0.52 (avg:  0.51) msec latency[RUN #1 73%,  22 secs]  2 threads:      340187 ops,   13437 (avg:   15461) ops/sec, 518.93KB/sec (avg: 597.07KB/sec),  0.59 (avg:  0.51) msec latency[RUN #1 77%,  23 secs]  2 threads:      353735 ops,   13546 (avg:   15378) ops/sec, 523.01KB/sec (avg: 593.85KB/sec),  0.59 (avg:  0.52) msec latency[RUN #1 80%,  24 secs]  2 threads:      367643 ops,   13906 (avg:   15316) ops/sec, 537.10KB/sec (avg: 591.49KB/sec),  0.57 (avg:  0.52) msec latency[RUN #1 83%,  25 secs]  2 threads:      382328 ops,   14683 (avg:   15291) ops/sec, 567.16KB/sec (avg: 590.51KB/sec),  0.54 (avg:  0.52) msec latency[RUN #1 87%,  26 secs]  2 threads:      397643 ops,   15313 (avg:   15292) ops/sec, 591.42KB/sec (avg: 590.55KB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 90%,  27 secs]  2 threads:      411754 ops,   14109 (avg:   15248) ops/sec, 544.84KB/sec (avg: 588.85KB/sec),  0.56 (avg:  0.52) msec latency[RUN #1 93%,  28 secs]  2 threads:      426991 ops,   15235 (avg:   15248) ops/sec, 588.38KB/sec (avg: 588.84KB/sec),  0.52 (avg:  0.52) msec latency[RUN #1 97%,  29 secs]  2 threads:      441374 ops,   14381 (avg:   15218) ops/sec, 555.32KB/sec (avg: 587.68KB/sec),  0.55 (avg:  0.52) msec latency[RUN #1 100%,  30 secs]  0 threads:      457814 ops,   14381 (avg:   15260) ops/sec, 555.32KB/sec (avg: 589.30KB/sec),  0.55 (avg:  0.52) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1387.41          ---          ---      0.52100       102.85
Gets       13872.81      3224.35     10648.46      0.51900       486.45
Totals     15260.22      3224.35     10648.46      0.51900       589.30


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.99760
SET       2.000    100.00000
---
GET       0.140      0.00024
GET       0.150      0.00096
GET       0.160      0.00240
GET       0.170      0.00336
GET       0.180      0.00457
GET       0.190      0.00841
GET       0.200      0.01273
GET       0.210      0.01922
GET       0.220      0.02907
GET       0.230      0.03844
GET       0.240      0.05358
GET       0.250      0.06752
GET       0.260      0.09010
GET       0.270      0.11749
GET       0.280      0.16146
GET       0.290      0.26190
GET       0.300      0.43706
GET       0.310      0.70665
GET       0.320      1.13602
GET       0.330      1.80014
GET       0.340      2.75667
GET       0.350      3.94074
GET       0.360      5.11568
GET       0.370      6.33387
GET       0.380      7.63015
GET       0.390      8.99899
GET       0.400     10.45145
GET       0.410     12.02285
GET       0.420     13.84340
GET       0.430     16.14956
GET       0.440     19.01170
GET       0.450     22.45940
GET       0.460     26.53493
GET       0.470     31.34907
GET       0.480     36.97966
GET       0.490     43.33635
GET       0.500     49.92996
GET       0.510     56.41400
GET       0.520     62.71880
GET       0.530     68.67256
GET       0.540     74.11525
GET       0.550     78.74534
GET       0.560     82.50491
GET       0.570     85.38628
GET       0.580     87.54730
GET       0.590     89.13167
GET       0.600     90.24847
GET       0.610     91.02672
GET       0.620     91.56685
GET       0.630     91.94000
GET       0.640     92.22713
GET       0.650     92.46836
GET       0.660     92.69134
GET       0.670     92.93738
GET       0.680     93.20793
GET       0.690     93.48929
GET       0.700     93.78098
GET       0.710     94.05465
GET       0.720     94.31030
GET       0.730     94.56524
GET       0.740     94.79878
GET       0.750     94.99533
GET       0.760     95.18827
GET       0.770     95.35261
GET       0.780     95.52105
GET       0.790     95.68155
GET       0.800     95.82740
GET       0.810     95.95714
GET       0.820     96.08809
GET       0.830     96.18853
GET       0.840     96.27503
GET       0.850     96.36345
GET       0.860     96.45259
GET       0.870     96.53500
GET       0.880     96.61718
GET       0.890     96.68614
GET       0.900     96.75894
GET       0.910     96.85505
GET       0.920     96.94900
GET       0.930     97.05159
GET       0.940     97.16885
GET       0.950     97.30124
GET       0.960     97.44925
GET       0.970     97.61528
GET       0.980     97.81831
GET       0.990     98.00765
GET       1.000     99.06653
GET       1.100     99.90509
GET       1.200     99.98462
GET       1.300     99.99519
GET       1.400     99.99664
GET       1.500     99.99688
GET       1.600     99.99736
GET       1.700     99.99760
GET       1.800     99.99832
GET       1.900     99.99880
GET       2.200     99.99976
GET       2.300    100.00000
